bill_id,date,action
840502,2016-02-08,Prefiled.
840502,2016-02-08,"Under the rules, provisionally referred to the Committee on Ways and Means."
840502,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
840503,2016-02-08,Prefiled.
840503,2016-02-08,"Under the rules, provisionally referred to the Committee on Ways and Means."
840503,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
840504,2016-02-08,Prefiled.
840504,2016-02-08,"Under the rules, provisionally referred to the Committee on Ways and Means."
840504,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
840504,2016-02-16,"Reported favorably (18-0)."
840504,2016-02-17,"Read by title, ordered engrossed, passed to 3rd reading."
840504,2016-02-17,"Scheduled for floor debate on 2-18-2016."
840504,2016-02-18,"Read third time by title, roll called on final passage, yeas 95, nays 0. Finally passed, title adopted, ordered to the Senate."
840504,2016-02-22,"Received in the Senate. Read first time by title and placed on the Calendar for a second reading."
840504,2016-02-23,"Read second time by title and referred to the Committee on Revenue and Fiscal Affairs."
840504,2016-03-03,"Rules suspended. Reported with amendments. Rules suspended. Committee amendments read and adopted. Read by title and referred to the Legislative Bureau."
840504,2016-03-03,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
840504,2016-03-04,"Read by title and returned to the Calendar, subject to call."
840504,2016-03-09,"Rules suspended. Called from the Calendar."
840504,2016-03-09,"Senate floor amendments read and adopted. Read by title, passed by a vote of 39 yeas and 0 nays, and ordered returned to the House. Motion to reconsider tabled."
840504,2016-03-09,"Received from the Senate with amendments."
840504,2016-03-09,"Rules suspended."
840504,2016-03-09,"Read by title, roll called, yeas 103, nays 0, Senate amendments concurred in."
840504,2016-03-09,"Enrolled and signed by the Speaker of the House."
840504,2016-03-09,"Signed by the President of the Senate."
840504,2016-03-09,"Sent to the Governor for executive approval."
840504,2016-03-14,"Signed by the Governor. Becomes Act No. 21."
840504,2016-03-14,"Effective date: 03/14/2016."
845927,2016-02-11,Prefiled.
845927,2016-02-11,"Under the rules, provisionally referred to the Committee on Ways and Means."
845927,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
846260,2016-02-11,Prefiled.
846260,2016-02-11,"Under the rules, provisionally referred to the Committee on Ways and Means."
846260,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
846340,2016-02-11,Prefiled.
846340,2016-02-11,"Under the rules, provisionally referred to the Committee on Ways and Means."
846340,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
846340,2016-02-23,"Reported without action, (19-0) with recommendation to recommit to the Committee of the Whole."
846340,2016-02-23,"Rules suspended."
846340,2016-02-23,"Read by title, ordered engrossed, passed to 3rd reading."
846340,2016-02-23,"Scheduled for floor debate on 02/25/2016."
846340,2016-02-25,"Read by title, returned to the calendar."
846340,2016-02-25,"Notice given."
846340,2016-02-25,"Scheduled for floor debate on 02/26/2016."
846340,2016-02-26,"Notice removed"
846340,2016-02-26,"Notice given."
846340,2016-02-26,"Scheduled for floor debate on 02/29/2016."
846340,2016-02-29,"Called from the calendar."
846340,2016-02-29,"Read by title, returned to the calendar."
846340,2016-02-29,"Notice removed"
846340,2016-02-29,"Notice given."
846340,2016-02-29,"Scheduled for floor debate on 03/01/2016."
846340,2016-03-01,"Called from the calendar."
846340,2016-03-01,"Read by title, returned to the calendar."
846340,2016-03-01,"Notice removed"
846340,2016-03-01,"Notice given."
846340,2016-03-01,"Scheduled for floor debate on 03/02/2016."
846340,2016-03-02,"Called from the calendar."
846340,2016-03-02,"Read by title, returned to the calendar."
846340,2016-03-02,"Notice removed"
846340,2016-03-02,"Notice given."
846340,2016-03-02,"Scheduled for floor debate on 03/03/2016."
846340,2016-03-03,"Called from the calendar."
846340,2016-03-03,"Read by title, returned to the calendar."
846340,2016-03-03,"Notice removed"
846340,2016-03-03,"Notice given."
846340,2016-03-03,"Scheduled for floor debate on 03/04/2016."
846340,2016-03-04,"Called from the calendar."
846340,2016-03-04,"Read by title, returned to the calendar."
846340,2016-03-04,"Notice removed"
846340,2016-03-04,"Notice given."
846340,2016-03-04,"Scheduled for floor debate on 03/06/2016."
846340,2016-03-06,"Called from the calendar."
846340,2016-03-06,"Read by title, returned to the calendar."
846340,2016-03-06,"Notice removed"
846340,2016-03-06,"Notice given."
846340,2016-03-06,"Scheduled for floor debate on 03/07/2016."
846340,2016-03-07,"Read by title, returned to the calendar."
847721,2016-02-12,Prefiled.
847721,2016-02-12,"Under the rules, provisionally referred to the Committee on House and Governmental Affairs."
847721,2016-02-14,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs."
847785,2016-02-12,Prefiled.
847785,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847785,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847785,2016-02-23,"Reported favorably (19-0)."
847785,2016-02-23,"Rules suspended."
847785,2016-02-23,"Read by title, ordered engrossed, passed to 3rd reading."
847785,2016-02-23,"Scheduled for floor debate on 02/25/2016."
847785,2016-02-25,"Read third time by title, roll called on final passage, yeas 99, nays 0. Finally passed, title adopted, ordered to the Senate."
847785,2016-02-25,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Revenue and Fiscal Affairs."
847785,2016-02-26,"Reported favorably. Rules suspended. Read by title and referred to the Legislative Bureau."
847785,2016-02-28,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
847785,2016-03-02,"Read by title, passed by a vote of 38 yeas and 0 nays, and ordered returned to the House. Motion to reconsider tabled."
847785,2016-03-03,"Received from the Senate without amendments."
847785,2016-03-03,"Enrolled and signed by the Speaker of the House."
847785,2016-03-03,"Signed by the President of the Senate."
847785,2016-03-03,"Sent to the Governor for executive approval."
847785,2016-03-04,"Signed by the Governor. Becomes Act No. 1."
847785,2016-03-04,"Effective date: 03/03/2016."
847917,2016-02-12,Prefiled.
847917,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847917,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847917,2016-02-23,"Reported favorably (19-0)."
847917,2016-02-23,"Rules suspended."
847917,2016-02-23,"Read by title, ordered engrossed, passed to 3rd reading."
847917,2016-02-23,"Scheduled for floor debate on 02/25/2016."
847917,2016-02-25,"Read by title, returned to the calendar."
847917,2016-02-25,"Notice given."
847917,2016-02-25,"Scheduled for floor debate on 02/26/2016."
847917,2016-02-26,"Notice removed"
847917,2016-02-26,"Notice given."
847917,2016-02-26,"Scheduled for floor debate on 02/29/2016."
847917,2016-02-29,"Called from the calendar."
847917,2016-02-29,"Read by title, returned to the calendar."
847917,2016-02-29,"Notice removed"
847917,2016-02-29,"Notice given."
847917,2016-02-29,"Scheduled for floor debate on 03/01/2016."
847917,2016-03-01,"Called from the calendar."
847917,2016-03-01,"Read by title, returned to the calendar."
847917,2016-03-01,"Notice removed"
847917,2016-03-01,"Notice given."
847917,2016-03-01,"Scheduled for floor debate on 03/02/2016."
847917,2016-03-02,"Called from the calendar."
847917,2016-03-02,"Read by title, returned to the calendar."
847917,2016-03-02,"Notice removed"
847917,2016-03-02,"Notice given."
847917,2016-03-02,"Scheduled for floor debate on 03/03/2016."
847917,2016-03-03,"Rules suspended, called out of its regular order."
847917,2016-03-03,"Called from the calendar."
847917,2016-03-03,"Read third time by title, amended, roll called on final passage, yeas 74, nays 26. The bill, having received two-thirds vote of the elected members, was finally passed, title adopted, ordered to the Senate."
847917,2016-03-03,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Revenue and Fiscal Affairs."
847917,2016-03-04,"Reported favorably. Rules suspended. Read by title and referred to the Legislative Bureau."
847917,2016-03-04,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
847917,2016-03-05,"Read by title, passed by a vote of 33 yeas and 2 nays, and ordered returned to the House. Motion to reconsider tabled."
847917,2016-03-06,"Received from the Senate without amendments."
847917,2016-03-06,"Enrolled and signed by the Speaker of the House."
847917,2016-03-06,"Signed by the President of the Senate."
847917,2016-03-07,"Sent to the Governor for executive approval."
847917,2016-03-08,"Signed by the Governor. Becomes Act No. 4."
847917,2016-03-08,"Effective date: 04/01/2016."
847925,2016-02-12,Prefiled.
847925,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847925,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847933,2016-02-12,Prefiled.
847933,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847933,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847939,2016-02-12,Prefiled.
847939,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847939,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847944,2016-02-12,Prefiled.
847944,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847944,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847950,2016-02-12,Prefiled.
847950,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847950,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
847950,2016-02-29,"Discharged from the Committee on Ways and Means."
847950,2016-02-29,"Read by title, withdrawn from the files of the House."
847951,2016-02-12,Prefiled.
847951,2016-02-12,"Under the rules, provisionally referred to the Committee on Ways and Means."
847951,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
848097,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
848098,2016-02-14,"Read by title, rules suspended, referred to the Committee on Ways and Means."
848098,2016-03-02,"Reported favorably (18-0)."
848098,2016-03-02,"Rules suspended."
848098,2016-03-02,"Read by title, ordered engrossed, passed to 3rd reading."
848098,2016-03-02,"Scheduled for floor debate on 03/03/2016."
848098,2016-03-03,"Read by title, returned to the calendar."
848098,2016-03-03,"Called from the calendar."
848098,2016-03-03,"Read third time by title, roll called on final passage, yeas 67, nays 33. Finally passed, title adopted, ordered to the Senate."
848098,2016-03-03,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Revenue and Fiscal Affairs."
848098,2016-03-04,"Reported favorably. Rules suspended. Read by title and referred to the Legislative Bureau."
848098,2016-03-04,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
