bill_number,bill_id,title
HB1,121643,"Income Tax - Military Retirement Income"
HB2,121645,"Public Health - Lyme Disease - Record of Reported Cases"
HB3,121646,"Business Regulation - Employees Who Carry Firearms - Protective Body Armor"
HB4,121647,"Election Law - United States Senate - Special Election to Fill Vacancy"
HB5,121648,"Corporations and Associations - Low-Profit Limited Liability Companies"
HB6,121649,"Property Tax - Notice - 60-Day Appeal"
HB7,121650,"Property Tax Credit - Security Guard Disabled or Killed in Line of Duty"
HB8,121651,"Video Lottery Terminals - State Legislators - Prohibited Acts"
HB9,121652,"Vehicle Laws - Vehicle Emissions Inspection - Test Performed by Dealers"
HB10,121653,"Teacher and Employee Pension Sustainability and Solvency Trust Fund"
HB11,121654,"Student Stigma Act"
HB12,121655,"Health - Failure to Properly Bury or Dispose of a Body - Penalties"
HB13,121656,"Criminal Law - Salvia Divinorum and Salvinorin A - Distribution to and"
HB14,121657,"Gaming - Video Lottery Facilities - Restriction on Location"
HB15,121658,"Criminal Law - Dangerous Dogs - Mandatory Spaying or Neutering"
HB16,121659,"Sales and Use Tax - Exemption - University and College Textbooks"
HB17,121660,"Education - Incidents of Bullying, Harassment, or Intimidation - Reports by"
HB18,121661,"Environment - Lead Wheel Weights - Prohibited"
HB19,121662,"Health Insurance - Coverage of In Vitro Fertilization Services"
HB20,121663,"Public Service Companies - Termination of Electric or Gas Service - Notice"
HB21,121664,"Maryland Consolidated Capital Bond Loan of 2009 - Frederick County - The John"
HB22,121665,"Task Force to Study Traffic Accident Clearance Procedures"
HB23,121666,"Talbot County - Knapps Narrows - Speed Limit"
HB24,121667,"Criminal Law - Plea Agreements - Prohibition of Concurrent Sentences for Child"
HB25,121668,"Income Tax - Subtraction Modification - Amounts Received for Agricultural"
HB26,121669,"Family Law - Child Custody Orders"
HB27,121670,"Automobile Insurance - Use of Territory in Rate Making - Limitation"
HB28,121671,"Condominiums and Homeowners Associations - Reserves and Reserve Studies"
HB29,121672,"Real Property - Condominiums and Homeowners Associations - Priority of Liens"
HB30,121673,"Health Insurance - Coverage of In Vitro Fertilization Services"
HB31,121674,"Maryland Constitution - Laws Making an Appropriation Made Subject to Petition"
HB32,121675,"Health Insurance - Small Group Market - Cap on Comprehensive Standard Health"
HB33,121676,"Child Care Articles Containing Bisphenol-A - Prohibition"
HB34,121677,"State Government - Commemorative Month - Hispanic Heritage Month"
HB35,121678,"Environment - Brominated Flame Retardants - Decabrominated Diphenyl Ether -"
HB36,121679,"Environment - Bay Restoration Fund - Payments to Contractors"
HB37,121680,"Creation of a State Debt - Frederick County - Way Station"
HB38,121681,"Motor Vehicles - Disposal Under Indemnity Agreement - Repeal"
HB39,121682,"Education - Public High Schools and Public High School Students - Data"
HB40,121683,"Video Lottery - Costs - Money for Terminals"
HB41,121684,"Health Insurance - Copayments for In Vitro Fertilization Procedures and"
HB42,121685,"Real Estate Appraisers - Knowledge of Value of Real Estate - Prohibited"
HB43,121686,"State Retirement and Pension System - Military Service Credit - Eligibility"
HB44,121687,"State Spending Procedure - Fiscal Notes"
HB45,121688,"Dorchester County - Bay Restoration Fee - Lien Against Property"
HB46,121689,"Department of Natural Resources - State Boat Act - Auctioneers"
HB47,121690,"Legislative Districting - Resident Delegates by County"
HB48,121691,"Domestic Violence - Requirement to Advise Respondent of Consequences of Final"
HB49,121692,"Creation of a State Debt - Prince George's County - Walker Mill Daycare and"
HB50,121693,"Agriculture - Lawn Fertilizer - Low Phosphorous Fertilizer"
HB51,121694,"Real Property - Installation and Use of Clotheslines on Residential Property"
HB52,121695,"Regulated Firearms - License Issued by Delaware, Pennsylvania, or Virginia -"
HB53,121696,"Environment - Sewage Sludge Utilization Permit - Septage"
HB54,121697,"Real Property - Condominiums - Dispute Settlement Mechanism"
HB55,121698,"Homeowner's Insurance - Coverage for Water Damage"
HB56,121699,"Worcester County - Slot Machines for Nonprofit Organizations"
HB57,121700,"Subway and Light Rail Operation Safety Act"
HB58,121701,"State Government - Open Meetings Act - Definition of Public Body"
HB59,121702,"Task Force to Explore the Incorporation of the Principles of Universal Design"
HB60,121703,"Criminal Procedure - Violation by Child Sexual Offender of Pretrial or"
HB61,121704,"Correctional Services - Provision, Possession, and Use of Wireless"
HB62,121705,"Environment - Payment of Cost Differential - Nitrogen Removal Technology"
HB63,121707,"Eminent Domain - Condemnation Proceedings and Limitation on Condemnation"
HB64,121708,"Real Property - Residential Mortgages and Deeds of Trust - Foreclosure Sales"
HB65,121709,"International Marriage Brokers - Regulation"
HB66,121710,"Department of Housing and Community Development - Neighborhood Business"
HB67,121711,"Senior Prescription Drug Assistance Program - Sunset Extension"
HB68,121712,"Department of the Environment - Grants - Small Businesses and Certified"
HB69,121713,"Insurance - Insurers - Audits, Investments, and Operations"
HB70,121714,"Bay Restoration Fund - Expanded Use of Funds"
HB71,121715,"Senior Prescription Drug Assistance Program - Training for Insurance Producers"
HB72,121716,"Department of the Environment - Oil and Gas Production Permits - Fees"
HB73,121717,"Environment - Water Quality Revolving Loan Fund - Use of Funds"
HB74,121718,"Family Law - Maryland Uniform Interstate Family Support Act - Revision"
HB75,121719,"Criminal Law - Escape from Juvenile Facility"
HB76,121720,"Criminal Procedure - Criminal Injuries Compensation Board - Claimant"
HB77,121721,"Criminal Procedure - Criminal Injuries Compensation Board - Claims by Victims"
HB78,121722,"Criminal Law - Contraband - Telecommunication Devices - Penalties"
HB79,121723,"Commercial Law - Credit Services Businesses - Limitation on Fees"
HB80,121724,"State Board for Professional Engineers"
HB81,121725,"State Board of Cosmetologists - Hearing Board"
HB82,121726,"State Board of Pilots - Limited Licenses"
HB83,121727,"Department of Labor, Licensing, and Regulation - State Real Estate Commission -"
HB84,121728,"State Board of Heating, Ventilation, Air-Conditioning, and Refrigeration"
HB85,121729,"Commissioner of Labor and Industry - Boiler and Pressure Vessel Safety Act"
HB86,121730,"Insurance - Underwriting and Rating - Consumer Rates and Rating"
HB87,121731,"State Fire Marshal - Nongovernmental Electrical Inspectors"
HB88,121732,"Other Tobacco Products Licenses"
HB89,121733,"Environment - Wetlands and Waterways Program Fees - Aquaculture"
HB90,121734,"Same Sex Marriages - Foreign Jurisdictions - Invalidity"
HB91,121735,"Labor and Employment - Unemployment Insurance - Modernization and Tax Relief"
HB92,121736,"Labor and Employment - Job Creation and Recovery Tax Credit"
HB93,121737,"Motor Vehicle Administration - Identification Cards and Drivers' Licenses"
HB94,121738,"Juvenile Causes - Exceptions - Hearings"
HB95,121739,"Criminal Procedure - Sex Offenders - Notification and Registration"
HB96,121740,"Calvert County - Education - Junior Reserve Officer Training Corps Instructors"
HB97,121741,"Education - Hearing and Vision Screenings"
HB98,121742,"Department of Natural Resources - Tidal Fish Licenses - Transfer and Suspension"
HB99,121743,"Legislative Community Initiatives Loan of 2004 - Wicomico County - Wicomico"
HB100,121744,"Corporations - Directors - Factors Considered in Best Interests of Corporation"
HB101,121745,"Vehicle Laws - Rules of the Road - Use of Signals When Changing Lanes"
HB102,121746,"Campaign Finance - Contributions by Minors"
HB103,121747,"Real Property - Mobile Home Parks - Plans for Dislocated Residents"
HB104,121748,"Baltimore City - Ivy Family Support Center Loan of 2001"
HB105,121749,"Maryland Consolidated Capital Bond Loan of 2008 - Baltimore City - Youth Sports"
HB106,121750,"Civil Cases - Maryland Legal Services Corporation Fund"
HB107,121751,"Legislative Voting Sunshine Act"
HB108,121752,"Western Maryland Code Home Rule Counties - Police Departments - Local"
HB109,121753,"Residential Property Tax Disclaimer Act"
HB110,121754,"Dorchester County - Alcoholic Beverages - Clubs - Membership"
HB111,121755,"Counties - Local Laws - Copies for Legislative Delegations"
HB112,121756,"Dorchester County - Alcoholic Beverages License Holders - Fines"
HB113,121758,"Dorchester County - Membership of Sanitary Commission"
HB114,121759,"Health Occupations Boards - Revisions"
HB115,121760,"Creation of a State Debt - Baltimore City - Maryland SPCA Adoption Center"
HB116,121761,"Credit Card Blacklisting Prevention Act"
HB117,121762,"Creation of a State Debt - Montgomery County - Camp Brighton Woods"
HB118,121763,"Department of Public Safety and Correctional Services - Secretary - Acting"
HB119,121764,"Department of State Police - Firearm Applications - Authority of Secretary"
HB120,121765,"Law Enforcement Officers - Unsubstantiated Complaints - Admissibility"
HB121,121766,"Office of the Public Defender - Eligibility for Services - Requests for"
HB122,121767,"Office of the Public Defender - Board of Trustees - Membership"
HB123,121768,"Jury Duty - Exemption from Service - Election Judge"
HB124,121769,"Criminal Procedure - Warrantless Arrest - Violation of Protective Order"
HB125,121770,"Baltimore City Public School System - Exclusion from Amount of Bonds"
HB126,121771,"Outstanding Arrest Warrants - Drivers' Licenses and Vehicle Registrations"
HB127,121772,"Public Health - Food Establishments - Transportation of Perishable Foods"
HB128,121773,"Criminal Procedure - Petition for Writ of Actual Innocence - Notice of Filing"
HB129,121774,"Creation of a State Debt - Prince George's County - John E. Feggans Center"
HB130,121775,"State Board for Professional Land Surveyors - Sunset Extension and Program"
HB131,121776,"State Board of Physical Therapy Examiners - Sunset Extension and Program"
HB132,121777,"State Board of Examiners in Optometry - Sunset Extension and Program Evaluation"
HB133,121778,"State Board of Pilots - Sunset Extension and Program Evaluation"
HB134,121779,"State Board of Examiners of Landscape Architects - Sunset Extension and Program"
HB135,121780,"State Board of Chiropractic and Massage Therapy Examiners - Sunset Extension"
HB136,121781,"State Board of Plumbing - Sunset Extension and Program Evaluation"
HB137,121782,"State Board of Examiners of Nursing Home Administrators - Sunset Extension and"
HB138,121783,"Criminal Injuries Compensation Board - Right to Hearing"
HB139,121784,"Creation of a State Debt - Baltimore County - Augsburg Lutheran Home of"
HB140,121785,"Bicycles, Mopeds, and Motor Scooters - Minors - Protective Headgear"
HB141,121786,"Creation of a State Debt - Talbot County - Family Support Center"
HB142,121787,"Correctional Services - Prerelease Unit - Inmate Aftercare Plans"
HB143,121788,"Vehicle Laws - Use of Work Zone Speed Control Systems - Presence of Workers"
HB144,121789,"People's Insurance Counsel Division in the Office of the Attorney General -"
HB145,121790,"County Income Tax - Transparency"
HB146,121791,"Creation of a State Debt - Prince George's County - LARS Facility Renovation"
HB147,121792,"Health Insurance - Assignment of Benefits and Reimbursement of Nonpreferred"
HB148,121793,"Criminal Procedure - Child Sexual Offenders - Elimination of Diminution Credits"
HB149,121794,"Calvert County - Public Facilities Bonds"
HB150,121795,"Budget Bill (Fiscal Year 2011)"
HB151,121796,"Budget Reconciliation and Financing Act of 2010"
HB152,121797,"Creation of a State Debt - Maryland Consolidated Capital Bond Loan of 2010, and"
HB153,121798,"Creation of a State Debt - Calvert County - Kellam's Field"
HB154,121799,"Patuxent River - Oysters - Use of Patent Tongs"
HB155,121800,"Delegate Howard P. Rawlings Educational Excellence Award - Qualifications -"
HB156,121801,"Mental Hygiene Administration - Upper Shore Community Mental Health Center -"
HB157,121802,"Criminal Law - Use of Firearm in the Commission of a Crime of Violence or a"
HB158,121803,"Special Election for U.S. Senate Vacancies Act"
HB159,121804,"Criminal Law - Interception of Communication - Immunity from Prosecution"
HB160,121805,"Maryland Estate Tax - Exclusion for Family Farm Subject to Agricultural"
