bill_id,date,action
356231,2011-09-05,Pre-filed
356231,2012-01-11,"First Reading Environmental Matters"
356231,2012-01-18,"Hearing 1/31 at 1:00 p.m."
356231,2012-03-12,"Favorable with Amendments Report by Environmental Matters"
356231,2012-03-13,"Favorable with Amendments 220418/1 Report Adopted"
356231,2012-03-13,"Special Order until 3/14 (Delegate McDermott) Adopted"
356231,2012-03-14,"Second Reading Passed with Amendments"
356231,2012-03-16,"Third Reading Passed (98-38)"
356231,2012-03-30,"Returned Passed"
356231,2012-03-16,"First Reading Education Health and Environmental Affairs"
356231,2012-04-02,"Favorable Report by Education Health and Environmental Affairs"
356231,2012-03-27,"Favorable Report Adopted"
356231,2012-03-27,"Second Reading Passed"
356231,2012-03-28,"Third Reading Passed (42-2)"
356231,2012-05-02,"Approved by the Governor"
356238,2011-11-15,Pre-filed
356238,2012-01-11,"First Reading Environmental Matters"
356238,2012-01-18,"Hearing 2/2 at 1:00 p.m."
356238,2012-03-05,"Favorable with Amendments Report by Environmental Matters"
356238,2012-03-06,"Favorable with Amendments 260415/1 Report Adopted"
356238,2012-03-06,"Floor Amendment (Delegate Niemann) 463629/1 Adopted"
356238,2012-03-06,"Second Reading Passed with Amendments"
356238,2012-03-08,"Third Reading Passed (123-15)"
356238,2012-04-01,"Returned Passed"
356238,2012-03-09,"First Reading Education Health and Environmental Affairs"
356238,2012-04-04,"Favorable Report by Education Health and Environmental Affairs"
356238,2012-03-29,"Favorable Report Adopted"
356238,2012-03-29,"Second Reading Passed"
356238,2012-03-30,"Third Reading Passed (45-0)"
356238,2012-04-10,"Approved by the Governor"
356246,2011-09-22,Pre-filed
356246,2012-01-11,"First Reading Appropriations"
356246,2012-02-29,"Hearing 3/10 at 10:00 a.m."
356246,2012-04-09,"Unfavorable Report by Appropriations"
356252,2011-09-23,Pre-filed
356252,2012-01-11,"First Reading Judiciary"
356252,2012-01-04,"Hearing 1/19 at 1:00 p.m."
356252,2012-02-06,"Favorable with Amendments Report by Judiciary"
356252,2012-02-07,"Favorable with Amendments 232412/1 Report Adopted"
356252,2012-02-07,"Second Reading Passed with Amendments"
356252,2012-02-09,"Motion vote previous question (Delegate Minnick) Adopted"
356252,2012-02-09,"Third Reading Passed (104-30)"
356252,2012-02-10,"First Reading Judicial Proceedings"
356260,2011-10-12,Pre-filed
356260,2012-01-11,"First Reading Environmental Matters"
356260,2012-02-13,"Unfavorable Report by Environmental Matters Withdrawn"
356267,2011-08-26,Pre-filed
356267,2012-01-11,"First Reading Ways and Means"
356267,2012-01-25,"Hearing 2/1 at 2:00 p.m."
356267,2012-02-20,"Favorable Report by Ways and Means"
356267,2012-02-21,"Favorable Report Adopted"
356267,2012-02-21,"Second Reading Passed"
356267,2012-02-24,"Third Reading Passed (133-0)"
356267,2012-02-27,"First Reading Education Health and Environmental Affairs"
356267,2012-03-07,"Hearing 3/22 at 1:00 p.m."
356267,2012-04-09,"Favorable with Amendments Report by Education Health and Environmental Affairs"
356267,2012-04-05,"Favorable with Amendments 254635/1"
356267,2012-04-05,"Special Order until later today (Senator Shank) Adopted"
356274,2011-10-04,Pre-filed
356274,2012-01-11,"First Reading Ways and Means"
356274,2012-02-16,"Hearing 3/16 at 1:00 p.m."
356274,2012-03-24,"Favorable with Amendments Report by Ways and Means"
356274,2012-03-21,"Favorable with Amendments 775564/1 Report Adopted"
356274,2012-03-21,"Second Reading Passed with Amendments"
356274,2012-03-22,"Motion vote previous question (Delegate McHale) Adopted"
356274,2012-03-22,"Third Reading Passed (115-15)"
356274,2012-04-03,"Returned Passed"
356274,2012-03-22,"First Reading Judicial Proceedings"
356274,2012-03-27,"Hearing 4/4 at 1:00 p.m."
356274,2012-04-06,"Favorable Report by Judicial Proceedings"
356274,2012-03-31,"Favorable Report Adopted"
356274,2012-03-31,"Second Reading Passed"
356274,2012-04-01,"Third Reading Passed (46-1)"
356274,2012-05-02,"Approved by the Governor"
356281,2011-08-02,Pre-filed
356281,2012-01-11,"First Reading Judiciary"
356281,2012-01-04,"Hearing 1/19 at 1:00 p.m."
356281,2012-02-20,"Favorable with Amendments Report by Judiciary"
356281,2012-02-21,"Favorable with Amendments 992411/1 Report Adopted"
356281,2012-02-21,"Second Reading Passed with Amendments"
356281,2012-02-24,"Third Reading Passed (134-0)"
356281,2012-03-28,"Returned Passed"
356281,2012-02-27,"First Reading Judicial Proceedings"
356281,2012-03-29,"Favorable Report by Judicial Proceedings"
356281,2012-03-25,"Favorable Report Adopted"
356281,2012-03-25,"Second Reading Passed"
356281,2012-03-26,"Third Reading Passed (46-0)"
356281,2012-04-10,"Approved by the Governor"
356289,2011-08-26,Pre-filed
356289,2012-01-11,"First Reading Ways and Means"
356289,2012-02-08,"Hearing 2/23 at 1:00 p.m."
356289,2012-03-21,"Favorable with Amendments Report by Ways and Means"
356289,2012-03-20,"Favorable with Amendments 655766/1 Report Adopted"
356289,2012-03-20,"Second Reading Passed with Amendments"
356289,2012-03-22,"Third Reading Passed (138-0)"
356289,2012-04-01,"House Concur - Senate Amendments"
356289,2012-04-01,"Third Reading Passed (135-0)"
356289,2012-04-01,"Passed Enrolled"
356289,2012-03-22,"First Reading Education Health and Environmental Affairs"
356289,2012-03-28,"Hearing 3/30 at 1:00 p.m."
356289,2012-04-04,"Favorable with Amendments Report by Education Health and Environmental Affairs"
356289,2012-03-29,"Favorable with Amendments 854932/1 Report Adopted"
