bill_id,roll_call_id,date,description,yea,nay,nv
575640,310658,2014-01-21,"Senate Floor - Third Reading Passed (46-0)",46,0,0
575644,309183,2014-01-15,"Senate Floor - Third Reading Passed (45-0)",45,0,0
575644,349804,2014-03-23,"House Floor - Third Reading Passed (135-0)",135,0,0
575646,333974,2014-02-28,"House Floor - Third Reading Passed (113-19)",113,19,0
575646,350039,2014-03-22,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575648,315245,2014-01-31,"Senate Floor - Third Reading Passed (42-0)",42,0,1
575648,349845,2014-03-23,"House Floor - Third Reading Passed (109-25)",109,25,1
575649,314913,2014-01-30,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575649,351617,2014-03-26,"House Floor - Third Reading Passed (132-0)",132,0,1
575652,314852,2014-01-30,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575652,351172,2014-03-26,"House Floor - Third Reading Passed (132-0)",132,0,1
575656,337034,2014-03-06,"House Floor - Third Reading Passed (135-0)",135,0,2
575656,352195,2014-03-26,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575656,353361,2014-03-30,"House Floor - Third Reading Passed (134-0)",134,0,0
575657,312292,2014-01-24,"Senate Floor - Third Reading Passed (44-0)",44,0,0
575657,351441,2014-03-26,"House Floor - Third Reading Passed (132-0)",132,0,2
575660,325227,2014-02-18,"Senate Floor - Third Reading Passed (45-0)",45,0,1
575660,353376,2014-03-28,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575660,353377,2014-03-28,"House Floor - Third Reading Passed (137-0)",137,0,2
575661,318922,2014-02-07,"House Floor - Third Reading Passed (132-0)",132,0,2
575661,348753,2014-03-19,"Senate Floor - Third Reading Passed (46-0)",46,0,0
575662,326450,2014-02-20,"House Floor - Third Reading Passed (133-0)",133,0,0
575662,349122,2014-03-20,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575664,311512,2014-01-23,"Senate Floor - Third Reading Passed (45-0)",45,0,0
575664,349874,2014-03-23,"House Floor - Third Reading Passed (135-0)",135,0,0
575666,321724,2014-02-13,"Senate Floor - Third Reading Passed (44-0)",44,0,1
575666,351925,2014-03-27,"House Floor - Third Reading Passed (135-0)",135,0,3
575666,351926,2014-03-27,"House Floor - Third Reading Passed (135-0)",135,0,3
575667,341521,2014-03-09,"House Floor - Third Reading Passed (134-0)",134,0,2
575667,351194,2014-03-24,"Senate Floor - Favorable Adopted (44-1)",44,1,2
575667,352188,2014-03-26,"Senate Floor - Third Reading Passed (45-2)",45,2,0
575669,315794,2014-02-04,"Senate Floor - Third Reading Passed (46-0)",46,0,0
575669,350936,2014-03-25,"House Floor - Third Reading Passed (133-0)",133,0,2
575670,316066,2014-02-04,"Senate Floor - Third Reading Passed (46-0)",46,0,0
575670,350875,2014-03-25,"House Floor - Third Reading Passed (135-0)",135,0,0
575674,344884,2014-03-13,"House Floor - Third Reading Passed (134-0)",134,0,4
575674,354218,2014-04-02,"House Floor - Third Reading Passed (137-0)",137,0,1
575674,354219,2014-03-28,"Senate Floor - Third Reading Passed with Amendments (47-0)",47,0,0
575675,318223,2014-02-07,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575682,311541,2014-01-23,"Senate Floor - Third Reading Passed (45-0)",45,0,0
575682,349630,2014-03-23,"House Floor - Third Reading Passed (135-0)",135,0,0
575684,344909,2014-03-12,"Senate Floor - Third Reading Passed (47-0)",47,0,0
575689,316337,2014-02-05,"Senate Floor - Third Reading Passed (37-10)",37,10,0
575689,349884,2014-03-23,"House Floor - Third Reading Passed (99-35)",99,35,0
575689,353597,2014-04-01,"House Floor - Third Reading Passed (91-43)",91,43,3
575690,339324,2014-03-07,"House Floor - Third Reading Passed (133-0)",133,0,3
575690,351486,2014-03-24,"Senate Floor - Third Reading Passed (47-0)",47,0,0
