sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
4495,"Joan Conway",Joan,Carter,Conway,,,1,D,2,Sen,SD-043
4498,"Jim Mathias",Jim,,Mathias,,,1,D,2,Sen,SD-038
4524,"Susan Aumann",Susan,L.M.,Aumann,,,2,R,1,Rep,HD-042B
4525,"Charles Barkley",Charles,E,Barkley,,,1,D,1,Rep,HD-039
4526,"Gail Bates",Gail,H,Bates,,,2,R,2,Sen,SD-009
4527,"Pamela Beidle",Pamela,G,Beidle,,,1,D,1,Rep,HD-032
4528,"Wendell Beitzel",Wendell,R,Beitzel,,,2,R,1,Rep,HD-001A
4531,"Frank Conaway",Frank,M,Conaway,Jr.,,1,D,1,Rep,HD-040
4533,"Frank Turner",Frank,S.,Turner,,,1,D,1,Rep,HD-013
4534,"Kriselda Valderrama",Kriselda,,Valderrama,,Kris,1,D,1,Rep,HD-026
4535,"Tony McConkey",Tony,,McConkey,,,2,R,1,Rep,HD-033
4536,"Kumar Barve",Kumar,P,Barve,,,1,D,1,Rep,HD-017
4538,"Roger Manno",Roger,P.,Manno,,,1,D,2,Sen,SD-019
4539,"Theodore Sophocleus",Theodore,J,Sophocleus,,,1,D,1,Rep,HD-032
4544,"Cheryl Glenn",Cheryl,D,Glenn,,,1,D,1,Rep,HD-045
4547,"Alfred Carr",Alfred,C,Carr,Jr.,,1,D,1,Rep,HD-018
4549,"Adelaide Eckardt",Adelaide,C,Eckardt,,,2,R,2,Sen,SD-037
4553,"Jeff Waldstreicher",Jeff,D.,Waldstreicher,,,1,D,1,Rep,HD-018
4556,"Carolyn Howard",Carolyn,"J B",Howard,,,1,D,1,Rep,HD-024
4558,"Wayne Norman",Wayne,,Norman,Jr.,,2,R,2,Sen,SD-035
4559,"Barbara Frush",Barbara,Ann,Frush,,,1,D,1,Rep,HD-021
4561,"Joseline Pena-Melnyk",Joseline,A,Pena-Melnyk,,,1,D,1,Rep,HD-021
4562,"Joanne Benson",Joanne,C.,Benson,,,1,D,2,Sen,SD-024
4567,"Anthony O'Donnell",Anthony,J.,O'Donnell,,,2,R,1,Rep,HD-029C
4569,"Michael Busch",Michael,E,Busch,,,1,D,1,Rep,HD-030A
4570,"Sheila Hixson",Sheila,Ellis,Hixson,,,1,D,1,Rep,HD-020
4575,"Brian Feldman",Brian,J.,Feldman,,,1,D,2,Sen,SD-015
4577,"Stephen Lafferty",Stephen,W,Lafferty,,,1,D,1,Rep,HD-042A
4579,"Nathaniel Oaks",Nathaniel,T,Oaks,,,1,D,1,Rep,HD-041
4580,"Kathleen Dumais",Kathleen,M,Dumais,,,1,D,1,Rep,HD-015
4581,"Samuel Rosenberg",Samuel,I,Rosenberg,,Sandy,1,D,1,Rep,HD-041
4582,"Curtis Anderson",Curtis,S.,Anderson,,Curt,1,D,1,Rep,HD-043
4583,"Ben Barnes",Ben,,Barnes,,,1,D,1,Rep,HD-021
4584,"Jill Carter",Jill,P,Carter,,,1,D,1,Rep,HD-041
4586,"Ana Gutierrez",Ana,Sol,Gutierrez,,,1,D,1,Rep,HD-018
4588,"Anne Kaiser",Anne,R,Kaiser,,,1,D,1,Rep,HD-014
4590,"Shirley Nathan-Pulliam",Shirley,,Nathan-Pulliam,,,1,D,2,Sen,SD-044
4593,"Michael Vaughn",Michael,L,Vaughn,,,1,D,1,Rep,HD-024
4594,"Joseph Vallario",Joseph,F,Vallario,Jr.,,1,D,1,Rep,HD-023B
4596,"J Jennings",J,B.,Jennings,,,2,R,2,Sen,SD-007
4597,"Benjamin Kramer",Benjamin,Fred,Kramer,,Ben,1,D,1,Rep,HD-019
4600,"Victor Ramirez",Victor,R.,Ramirez,,,1,D,2,Sen,SD-047
4602,"Talmadge Branch",Talmadge,,Branch,,,1,D,1,Rep,HD-045
4603,"Peter Hammen",Peter,A,Hammen,,,1,D,1,Rep,HD-046
4606,"Nicholaus Kipke",Nicholaus,R,Kipke,,,2,R,1,Rep,HD-031B
4607,"Adrienne Jones",Adrienne,A.,Jones,,,1,D,1,Rep,HD-010
4609,"Kirill Reznik",Kirill,,Reznik,,,1,D,1,Rep,HD-039
4611,"Dan Morhaim",Dan,K,Morhaim,,,1,D,1,Rep,HD-011
4617,"Eric Bromwell",Eric,M,Bromwell,,,1,D,1,Rep,HD-008
4623,"Marvin Holmes",Marvin,E,Holmes,Jr.,,1,D,1,Rep,HD-023B
4624,"Anne Healey",Anne,,Healey,,,1,D,1,Rep,HD-022
4626,"Susan Lee",Susan,C,Lee,,,1,D,2,Sen,SD-016
4627,"Dana Stein",Dana,M,Stein,,,1,D,1,Rep,HD-011
4629,"Susan Krebs",Susan,W,Krebs,,,2,R,1,Rep,HD-005
