sponsor_id,name
8743,"Troy Jackson"
8745,"Bernard Ayotte"
8746,"Charles Theriault"
8747,"Margaret Craven"
8748,"Justin Alfond"
8758,"Stanley Gerzofsky"
8759,"Seth Goodall"
8762,"Barry Hobbins"
8773,"Roger Sherman"
8782,"Paulette Beaudoin"
8783,"Michael Beaulieu"
8784,"Henry Beck"
8785,"Seth Berry"
8789,"Andrea Boland"
8790,"Brian Bolduc"
8791,"Sheryl Briggs"
8794,"David C. Burns"
8796,"Emily Cain"
8797,"James Campbell"
8798,"Michael Carey"
8799,"Alan Casavant"
8802,"Kathleen Chase"
8804,"Tyler Clark"
8809,"David Cotta"
8810,"Dean Cray"
8811,"Jarrod Crockett"
8814,"Andre Cushing"
8815,"Paul Davis"
8823,"Mark Eves"
8829,"Patrick Flood"
8831,"Jeffery Gifford"
8832,"Paul Gilbert"
8834,"Adam Goode"
8836,"James Hamper"
8838,"Charles Harlow"
8839,"Lance Harvell"
8840,"Anne Haskell"
8841,"Terry Hayes"
8842,"Dawn Hill"
8847,"Peter Johnson"
8850,"Bryan Kaenrath"
8851,"Peter Kent"
8853,"Gary Knight"
8854,"Charles Kruger"
8855,"Michael Lajoie"
8856,"Brian Langley"
8860,"Bruce Macdonald"
8863,"Edward Mazurek"
8864,"Jeffrey Mccabe"
8870,"W. Mitchell"
8871,"Terry Morrison"
8873,"Mary Nelson"
8874,"Robert Nutting"
8877,"Ann Peoples"
8880,"Matthew Peterson"
8885,"Gary Plummer"
8888,"Charles Priest"
8889,"Helen Rankin"
8894,"Margaret Rotundo"
8895,"Diane Russell"
8896,"Linda Sanborn"
8898,"Thomas Saviello"
8900,"Michael Shaw"
8903,Soctomah
8906,"Peter Stuckey"
8909,"Michael Thibodeau"
8910,"Douglas Thomas"
8912,"Sharon Treat"
8914,"John Tuttle"
8915,"Linda Valentino"
8920,"Windol Weaver"
8922,"Joan Welsh"
8926,"Dale Crafts"
10318,"Roberta Beavers"
10320,"Paul Bennett"
10321,"Russell Black"
10325,"Ralph Chapman"
10326,"Benjamin Chipman"
10331,"James Dill"
10332,"Mark Dion"
10334,"Larry Dunphy"
10335,"Eleanor Espling"
10336,"Joyce Fitzpatrick"
10338,"Kenneth Fredette"
10339,"James Gillway"
10340,"Anne Graham"
10341,"Stacey Guerin"
10343,"Erin Herbig"
10344,"David Johnson"
10346,"Dennis Keschl"
10347,"Walter Kumiega"
10348,"Aaron Libby"
10349,"Ricky Long"
10350,"Thomas Longstaff"
10351,"Louis Luchini"
10352,"Joyce Maker"
10353,"Richard Malaby"
10356,"Michael Mcclellan"
10361,"Melvin Newendyke"
10366,"Wayne Parry"
10369,"Megan Rochelo"
10370,"Deborah Sanderson"
10371,"Heather Sirocki"
10372,"Jeffrey Timberlake"
10373,"Amy Volk"
10377,"Alexander Willette"
10379,"Tom Winsor"
10381,"Stephen Wood"
11311,"Richard Woodbury"
11874,"Ronald Collins"
11885,"Garrett Mason"
11886,"John Patrick"
11890,"Roger Katz"
11976,"Rodney Whittemore"
12720,"Beth Turner"
13876,"Wallace Dexter"
13884,"Kimberly Monaghan-Derrig"
14714,"Matthea Larsen Daughtry"
14716,"Richard Farnsworth"
14717,"Andrew Gattine"
14718,"Sara Gideon"
14719,"Scott Hamann"
14720,"Craig Hickman"
14721,"Brian Jones"
14722,"Victoria Kornfield"
14723,"Karen Kusiak"
14724,"Andrew Mason"
14725,"Carol McElwee"
14726,"Matthew Moonen"
14727,"Allen Nadeau"
14728,"Joshua Plante"
14729,"Matthew Pouliot"
14730,"Robert Saucier"
14731,"Stanley Short"
14732,"Stephen Stanley"
14733,"Thomas Tyler"
14734,"Lisa Villa"
14736,"Corey Wilson"
14737,"James Boyle"
14739,"John Cleveland"
14740,"David Dutremble"
14742,"Geoffrey Gratwick"
14744,"Christopher Johnson"
14745,"Colleen Lachowicz"
14747,"Rebecca Millett"
15041,Bear
15044,"Nathan Libby"
15045,"Catherine Nadeau"
15046,"Christine Powers"
15047,"John Schneck"
15048,"Russell Werts"
15269,"Katherine Cassidy"
15270,"Justin Chenette"
15271,"Peter Doak"
15272,"Lori Fowle"
15273,"Gay Grant"
15274,"Roger Jackson"
15275,"Lawrence Lockman"
15276,"Sharri Macdonald"
15277,"Paul McGowan"
15278,"Andrew McLean"
15391,"Brian Hubbell"
15392,"Erik Jorgensen"
15394,"Edward Youngblood"
15402,"Janice Cooper"
15403,"Jeffrey Evangelos"
15404,"Jonathan Kinney"
15405,"Jane Pringle"
15406,"Roger Reed"
15407,"Jeremy Saxton"
15472,"Joseph Brooks"
15473,"William Noon"
15474,"Jethro Pease"
15475,"Ellen Winchenbach"
15525,"Elizabeth Dickerson"
15526,"Ann Dorney"
15700,"Brian Duprey"
15701,"Timothy Marks"
15702,"Deane Rykerson"
15703,"Arthur Verow"
15729,"Anne-Marie Mastraccio"
15744,"Jennifer DeChant"
15747,"Donald Marean"
15748,"Ryan Tipping-Spitz"
15773,"Aaron Frey"
15775,"Richard Campbell"
15823,"Stephen Moriarty"
15824,"Anita Peavey Haskell"
15889,"Michael Devin"
16089,"Eloise Vitelli"
