sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
8744,"John Martin",John,L.,Martin,,,1,D,1,Rep,HD-001
8748,"Justin Alfond",Justin,L.,Alfond,,,1,D,2,Sen,SD-027
8757,"William Diamond",William,,Diamond,,Bill,1,D,2,Sen,SD-026
8758,"Stanley Gerzofsky",Stanley,,Gerzofsky,,,1,D,2,Sen,SD-024
8762,"Barry Hobbins",Barry,J.,Hobbins,,,1,D,1,Rep,HD-014
8763,"Earle Mccormick",Earle,L.,Mccormick,,,2,R,2,Sen,SD-014
8773,"Roger Sherman",Roger,L.,Sherman,,,2,R,1,Rep,HD-144
8780,"Susan Austin",Susan,,Austin,,,2,R,1,Rep,HD-067
8784,"Henry Beck",Henry,"E. M.",Beck,,,1,D,1,Rep,HD-110
8786,"Bruce Bickford",Bruce,A.,Bickford,,,2,R,1,Rep,HD-063
8793,"Mark Bryant",Mark,E.,Bryant,,,1,D,1,Rep,HD-024
8794,"David C. Burns",David,C.,Burns,,,2,R,2,Sen,SD-006
8797,"James Campbell",James,J.,Campbell,Sr.,,2,R,1,Rep,HD-021
8814,"Andre Cushing",Andre,E.,Cushing,III,,2,R,2,Sen,SD-010
8815,"Paul Davis",Paul,T.,Davis,Sr.,,2,R,2,Sen,SD-004
8819,"Robert Duchesne",Robert,S.,Duchesne,,,1,D,1,Rep,HD-121
8822,"Peter Edgecomb",Peter,,Edgecomb,,,2,R,2,Sen,SD-001
8823,"Mark Eves",Mark,,Eves,,,1,D,1,Rep,HD-006
8832,"Paul Gilbert",Paul,E.,Gilbert,,,1,D,1,Rep,HD-074
8834,"Adam Goode",Adam,A.,Goode,,,1,D,1,Rep,HD-127
8836,"James Hamper",James,Michael,Hamper,,,2,R,2,Sen,SD-019
8840,"Anne Haskell",Anne,M.,Haskell,,,1,D,2,Sen,SD-028
8842,"Dawn Hill",Dawn,,Hill,,,1,D,2,Sen,SD-035
8844,"George Hogan",George,W.,Hogan,,,1,D,1,Rep,HD-013
8854,"Charles Kruger",Charles,B.,Kruger,,,1,D,1,Rep,HD-092
8855,"Michael Lajoie",Michael,,Lajoie,,,1,D,1,Rep,HD-058
8856,"Brian Langley",Brian,D.,Langley,,,2,R,2,Sen,SD-007
8864,"Jeffrey Mccabe",Jeffrey,M.,Mccabe,,,1,D,1,Rep,HD-107
8870,"W. Mitchell",W.,,Mitchell,,,1,D,1,Rep,
8871,"Terry Morrison",Terry,K.,Morrison,,,1,D,1,Rep,HD-031
8874,"Robert Nutting",Robert,W.,Nutting,,,2,R,1,Rep,HD-077
8880,"Matthew Peterson",Matthew,John,Peterson,,,1,D,1,Rep,HD-115
8893,"Kimberley Rosen",Kimberley,C.,Rosen,,,2,R,2,Sen,SD-008
8894,"Margaret Rotundo",Margaret,R.,Rotundo,,,1,D,1,Rep,HD-059
8895,"Diane Russell",Diane,M.,Russell,,,1,D,1,Rep,HD-039
8896,"Linda Sanborn",Linda,F.,Sanborn,,,1,D,1,Rep,HD-026
8898,"Thomas Saviello",Thomas,B.,Saviello,,,2,R,2,Sen,SD-017
8900,"Michael Shaw",Michael,A.,Shaw,,,1,D,1,Rep,HD-023
8906,"Peter Stuckey",Peter,C.,Stuckey,,,1,D,1,Rep,HD-042
8909,"Michael Thibodeau",Michael,D.,Thibodeau,,,2,R,2,Sen,SD-011
8915,"Linda Valentino",Linda,M.,Valentino,,,1,D,2,Sen,SD-031
8922,"Joan Welsh",Joan,W.,Welsh,,,1,D,1,Rep,HD-094
8924,"Michael Willette",Michael,J.,Willette,,,2,R,2,Sen,SD-002
8926,"Dale Crafts",Dale,J.,Crafts,,,2,R,1,Rep,HD-056
10318,"Roberta Beavers",Roberta,B.,Beavers,,,1,D,1,Rep,HD-002
10321,"Russell Black",Russell,J.,Black,,,2,R,1,Rep,HD-114
10325,"Ralph Chapman",Ralph,,Chapman,,,1,D,1,Rep,HD-133
