roll_call_id,sponsor_id,vote
442539,8744,1
442539,8762,1
442539,8773,4
442539,8780,1
442539,8784,1
442539,8786,1
442539,8793,1
442539,8797,1
442539,8819,1
442539,8823,4
442539,8832,1
442539,8834,1
442539,8844,1
442539,8854,1
442539,8855,1
442539,8864,1
442539,8871,1
442539,8874,1
442539,8880,1
442539,8894,1
442539,8895,4
442539,8896,1
442539,8900,1
442539,8906,1
442539,8922,1
442539,8926,2
442539,10318,1
442539,10321,2
442539,10325,1
442539,10326,1
442539,10332,1
442539,10334,2
442539,10335,1
442539,10338,1
442539,10339,1
442539,10341,2
442539,10343,1
442539,10347,1
442539,10349,2
442539,10350,1
442539,10351,1
442539,10352,1
442539,10353,1
442539,10356,1
442539,10363,2
442539,10366,1
442539,10367,1
442539,10370,1
442539,10371,1
442539,10372,2
442539,10379,2
442539,10381,1
442539,12720,1
442539,13221,1
442539,13876,2
442539,13884,1
442539,14714,1
442539,14716,1
442539,14717,1
442539,14718,1
442539,14719,1
442539,14720,1
442539,14722,1
442539,14725,1
442539,14726,1
442539,14729,1
442539,14730,1
442539,14731,1
442539,14732,1
442539,15045,1
442539,15046,1
442539,15047,1
442539,15270,1
442539,15272,1
442539,15273,1
442539,15275,1
442539,15278,1
442539,15391,1
442539,15392,1
442539,15402,1
442539,15403,1
442539,15404,1
442539,15406,1
442539,15473,1
442539,15702,1
442539,15703,1
442539,15729,1
442539,15744,1
442539,15747,1
442539,15748,1
442539,15773,1
442539,15775,1
442539,15889,1
442539,16615,2
442539,16631,1
442539,16632,1
442539,16633,1
442539,16634,1
442539,16635,1
442539,16636,1
442539,16637,1
442539,16688,1
442539,16690,1
442539,16697,1
442539,16779,1
442539,16780,2
442539,16781,1
442539,16782,1
442539,16783,1
442539,16784,1
442539,16785,1
442539,16786,1
442539,16853,1
442539,16877,1
442539,17105,1
442539,17106,1
442539,17107,1
442539,17108,1
442539,17214,2
442539,17215,1
442539,17216,1
442539,17217,1
442539,17270,2
442539,17271,1
442539,17272,1
442539,17273,1
442539,17274,1
442539,17275,1
442539,17330,1
442539,17331,1
442539,17332,1
442539,17333,1
442539,17334,1
442539,17335,1
442539,17336,1
442539,17337,1
442539,17338,1
442539,17339,1
442539,17340,1
442539,17341,1
442539,17441,1
442539,17452,1
442539,17506,1
442539,17531,1
442539,17532,1
442539,17533,4
442539,17564,1
442539,17583,1
442539,17584,1
442539,17585,1
442539,17667,1
452179,8748,1
452179,8757,1
452179,8758,1
452179,8763,1
452179,8794,1
452179,8814,2
452179,8815,1
452179,8822,1
452179,8836,1
452179,8840,1
452179,8842,1
452179,8856,4
452179,8893,2
452179,8898,1
452179,8909,2
452179,8915,1
452179,8924,2
452179,10331,4
452179,10373,1
452179,11874,1
452179,11885,1
452179,11886,1
452179,11890,1
452179,11976,1
452179,14740,1
452179,14742,4
452179,14744,1
452179,14747,1
452179,15044,1
452179,16614,1
452179,16638,2
452179,16639,1
452179,16689,1
452179,16787,1
452179,16852,1
490486,8748,2
490486,8757,2
490486,8758,2
490486,8763,2
490486,8794,2
490486,8814,2
490486,8815,2
490486,8822,2
490486,8836,2
490486,8840,2
490486,8842,2
490486,8856,2
490486,8893,2
490486,8898,2
490486,8909,2
490486,8915,2
490486,8924,2
490486,10331,2
490486,10373,2
490486,11874,2
490486,11885,2
490486,11886,2
490486,11890,2
490486,11976,2
490486,14740,2
490486,14742,2
490486,14744,2
490486,14747,2
490486,15044,2
490486,16614,2
490486,16638,2
490486,16639,2
490486,16689,2
490486,16787,2
490486,16852,2
490487,8748,1
490487,8757,2
490487,8758,1
490487,8763,1
490487,8794,1
490487,8814,1
490487,8815,1
490487,8822,2
490487,8836,1
490487,8840,2
490487,8842,1
490487,8856,2
490487,8893,1
490487,8898,2
490487,8909,2
490487,8915,1
490487,8924,2
490487,10331,1
490487,10373,2
490487,11874,2
490487,11885,2
490487,11886,2
490487,11890,1
490487,11976,1
490487,14740,2
490487,14742,2
490487,14744,2
490487,14747,2
490487,15044,1
490487,16614,1
490487,16638,2
490487,16639,1
490487,16689,2
490487,16787,1
490487,16852,2
445362,8744,1
445362,8762,1
445362,8773,1
445362,8780,1
445362,8784,1
445362,8786,1
445362,8793,1
445362,8797,1
445362,8819,1
445362,8823,1
445362,8832,1
445362,8834,1
445362,8844,4
445362,8854,1
445362,8855,1
445362,8864,1
