bill_id,date,action
415647,2011-09-02,"Referred To Rules"
415647,2011-09-02,"Title Suff Do Be Adopted"
415647,2011-09-02,Adopted
415647,2011-09-02,"Immediate Release"
415657,2011-09-02,"Referred To Rules"
415657,2011-09-02,"Title Suff Do Be Adopted"
415657,2011-09-02,Adopted
415657,2011-09-02,"Immediate Release"
415665,2011-09-02,"Referred To Rules"
415665,2011-09-02,"Title Suff Do Be Adopted"
415665,2011-09-02,Adopted
415665,2011-09-02,"Immediate Release"
415675,2011-09-02,"Referred To Rules"
415675,2011-09-02,"Title Suff Do Be Adopted"
415675,2011-09-02,Adopted
415675,2011-09-02,"Immediate Release"
415685,2011-09-02,"Referred To Rules"
415685,2011-09-02,"Title Suff Do Be Adopted"
415685,2011-09-02,Adopted
415685,2011-09-02,"Immediate Release"
415694,2011-09-02,"Referred To Rules"
415694,2011-09-02,"Title Suff Do Be Adopted"
415694,2011-09-02,Adopted
415694,2011-09-02,"Immediate Release"
415703,2011-09-02,"Referred To Rules"
415703,2011-09-02,"Title Suff Do Be Adopted"
415703,2011-09-02,Adopted
415703,2011-09-02,"Immediate Release"
415703,2011-09-02,"Transmitted To House"
415703,2011-09-02,"Referred To Rules"
415703,2011-09-02,"Title Suff Do Be Adopted"
415703,2011-09-02,Adopted
415703,2011-09-02,"Immediate Release"
415703,2011-09-02,"Transmitted To Senate"
415703,2011-09-06,"Enrolled Bill Signed"
415703,2011-09-07,"Enrolled Bill Signed"
415713,2011-09-02,"Referred To Rules"
415713,2011-09-02,"Title Suff Do Be Adopted"
415713,2011-09-02,Adopted
415713,2011-09-02,"Immediate Release"
415713,2011-09-02,"Transmitted To House"
415713,2011-09-02,"Referred To Rules"
415713,2011-09-02,"Title Suff Do Be Adopted"
415713,2011-09-02,Adopted
415713,2011-09-02,"Immediate Release"
415713,2011-09-02,"Transmitted To Senate"
415713,2011-09-06,"Enrolled Bill Signed"
415713,2011-09-07,"Enrolled Bill Signed"
415722,2011-09-02,"Referred To Rules"
415722,2011-09-02,"Title Suff Do Be Adopted"
415722,2011-09-02,Adopted
415722,2011-09-02,"Immediate Release"
415722,2011-09-02,"Transmitted To House"
415722,2011-09-02,"Referred To Rules"
415722,2011-09-02,"Title Suff Do Be Adopted"
415722,2011-09-02,Adopted
415722,2011-09-02,"Immediate Release"
415722,2011-09-02,"Transmitted To Senate"
415722,2011-09-06,"Enrolled Bill Signed"
415722,2011-09-07,"Enrolled Bill Signed"
415728,2011-09-02,"Referred To Rules"
415728,2011-09-02,"Title Suff Do Be Adopted"
415728,2011-09-02,"Died by Other Means"
415740,2011-09-02,"Referred To Rules"
415740,2011-09-02,"Title Suff Do Be Adopted"
415740,2011-09-02,Adopted
415740,2011-09-02,"Immediate Release"
