bill_id,date,action
346177,2012-01-03,"Referred To Committee of the Whole"
346177,2012-01-03,Adopted
346263,2012-01-05,"Referred To Rules"
346263,2012-01-05,"Title Suff Do Be Adopted"
346263,2012-01-18,"Recommitted to Committee"
346263,2012-05-03,"Died In Committee"
346349,2012-01-03,"Referred To Rules"
346349,2012-01-03,"Title Suff Do Be Adopted"
346349,2012-01-03,Adopted
346349,2012-01-03,"Immediate Release"
346349,2012-01-03,"Transmitted To House"
346349,2012-01-03,"Referred To Rules"
346349,2012-01-17,"Title Suff Do Be Adopted"
346349,2012-01-18,Adopted
346349,2012-01-18,"Immediate Release"
346349,2012-01-18,"Transmitted To Senate"
346349,2012-01-19,"Enrolled Bill Signed"
346349,2012-01-20,"Enrolled Bill Signed"
346436,2012-01-03,"Referred To Rules"
346436,2012-01-03,"Title Suff Do Be Adopted"
346436,2012-01-03,Adopted
346436,2012-01-03,"Immediate Release"
346436,2012-01-03,"Transmitted To House"
346436,2012-01-03,"Referred To Rules"
346436,2012-01-17,"Title Suff Do Be Adopted"
346436,2012-01-18,Adopted
346436,2012-01-18,"Immediate Release"
346436,2012-01-18,"Transmitted To Senate"
346436,2012-01-19,"Enrolled Bill Signed"
346436,2012-01-20,"Enrolled Bill Signed"
346522,2012-01-03,"Referred To Rules"
346522,2012-01-03,"Title Suff Do Be Adopted"
346522,2012-01-03,Adopted
346522,2012-01-03,"Immediate Release"
346522,2012-01-03,"Transmitted To House"
346522,2012-01-03,"Referred To Rules"
346522,2012-01-03,"Title Suff Do Be Adopted"
346522,2012-01-03,Adopted
346522,2012-01-03,"Immediate Release"
346522,2012-01-03,"Transmitted To Senate"
346522,2012-01-04,"Enrolled Bill Signed"
346522,2012-01-05,"Enrolled Bill Signed"
346608,2012-01-03,"Referred To Rules"
346608,2012-01-03,"Title Suff Do Be Adopted"
346608,2012-01-03,Adopted
346608,2012-01-03,"Immediate Release"
346608,2012-01-03,"Transmitted To House"
346608,2012-01-03,"Referred To Rules"
346608,2012-01-03,"Title Suff Do Be Adopted"
346608,2012-01-03,Adopted
346608,2012-01-03,"Immediate Release"
346608,2012-01-03,"Transmitted To Senate"
346608,2012-01-04,"Enrolled Bill Signed"
346608,2012-01-05,"Enrolled Bill Signed"
346695,2012-01-05,"Referred To Rules"
346695,2012-01-05,"Title Suff Do Be Adopted"
346695,2012-01-05,Adopted
346695,2012-01-05,"Immediate Release"
346695,2012-01-06,"Enrolled Bill Signed"
346782,2012-01-03,"Referred To Committee of the Whole"
346782,2012-01-03,Adopted
346782,2012-01-04,"Enrolled Bill Signed"
346869,2012-01-03,"Referred To Committee of the Whole"
346869,2012-01-03,Adopted
346869,2012-01-04,"Enrolled Bill Signed"
346955,2012-01-03,"Referred To Committee of the Whole"
346955,2012-01-03,Adopted
346955,2012-01-04,"Enrolled Bill Signed"
347041,2012-01-03,"Referred To Committee of the Whole"
347041,2012-01-03,Adopted
347041,2012-01-04,"Enrolled Bill Signed"
347127,2012-01-05,"Referred To Rules"
347127,2012-01-05,"Title Suff Do Be Adopted"
347127,2012-01-05,Adopted
347127,2012-01-05,"Immediate Release"
347127,2012-01-05,"Transmitted To Senate"
347127,2012-01-06,"Referred To Rules"
347127,2012-01-09,"Title Suff Do Be Adopted"
347127,2012-01-09,Adopted
347127,2012-01-09,"Immediate Release"
347127,2012-01-09,"Transmitted To House"
347127,2012-01-10,"Enrolled Bill Signed"
