bill_id,date,action
882870,2016-06-28,"Referred To Appropriations"
882870,2016-06-28,"Title Suff Do Pass"
882870,2016-06-28,Passed
882870,2016-06-28,"Transmitted To House"
882870,2016-06-28,"Referred To Appropriations"
882870,2016-06-28,"Title Suff Do Pass"
882870,2016-06-28,"Failed to Suspend Rules"
882870,2016-06-28,"Read the Third Time"
882870,2016-06-29,"Amendment Failed"
882870,2016-06-29,Passed
882870,2016-06-29,"Returned For Enrolling"
882870,2016-06-29,"Enrolled Bill Signed"
882870,2016-06-29,"Enrolled Bill Signed"
882870,2016-06-29,"Approved by Governor"
