bill_id,date,action
837402,2016-02-04,"Referred To Rules"
837402,2016-02-04,"Title Suff Do Be Adopted"
837402,2016-02-04,Adopted
837402,2016-02-04,"Immediate Release"
837402,2016-02-04,"Transmitted To House"
837402,2016-02-04,"Referred To Rules"
837402,2016-02-04,"Died In Committee"
837497,2016-02-04,"Referred To Ways and Means"
837497,2016-02-04,"Title Suff Do Pass As Amended"
837497,2016-02-04,Amended
837497,2016-02-04,"Passed As Amended"
837497,2016-02-04,"Immediate Release"
837497,2016-02-04,"Transmitted To Senate"
837497,2016-02-04,"Referred To Finance"
837497,2016-02-04,"Title Suff Do Pass"
837497,2016-02-04,Passed
837497,2016-02-04,"Returned For Enrolling"
837497,2016-02-05,"Enrolled Bill Signed"
837497,2016-02-05,"Enrolled Bill Signed"
837497,2016-02-08,"Approved by Governor"
