bill_id,roll_call_id,date,description,yea,nay,nv
807681,483771,2016-01-05,"Senate Adopted",51,0,0
807681,483772,2016-01-06,"House Adopted",120,0,2
807696,483773,2016-01-05,"Senate Adopted",51,0,0
807713,484153,2016-01-05,"Senate Adopted",51,0,0
807906,483792,2016-01-06,"Senate Adopted",51,0,0
807906,487616,2016-01-26,"House Adopted",119,0,3
808130,486472,2016-01-21,"Senate Adopted",51,0,0
808130,487609,2016-01-26,"House Adopted",119,0,3
808153,486552,2016-01-21,"Senate Adopted",51,0,0
808153,487607,2016-01-26,"House Adopted",119,0,3
808177,487070,2016-01-21,"Senate Adopted",51,0,0
808177,489301,2016-01-26,"House Adopted",119,0,3
808201,486386,2016-01-21,"Senate Adopted",51,0,0
808201,487599,2016-01-26,"House Adopted",119,0,3
808225,486420,2016-01-21,"Senate Adopted",51,0,0
808225,487441,2016-01-26,"House Adopted",119,0,3
808249,486543,2016-01-21,"Senate Adopted",51,0,0
808249,487622,2016-01-26,"House Adopted",119,0,3
808273,486512,2016-01-21,"Senate Adopted",51,0,0
808273,487601,2016-01-26,"House Adopted",119,0,3
808297,486404,2016-01-21,"Senate Adopted",51,0,0
808297,487646,2016-01-26,"House Adopted",119,0,3
808508,483769,2016-01-06,"House Adopted",120,0,2
808508,484059,2016-01-07,"Senate Adopted",51,0,0
808516,486522,2016-01-21,"Senate Adopted",51,0,0
808516,487666,2016-01-26,"House Adopted",119,0,3
808526,483768,2016-01-06,"House Adopted",119,0,3
808526,484065,2016-01-07,"Senate Adopted",51,0,0
808538,486395,2016-01-21,"Senate Adopted",51,0,0
808549,486547,2016-01-21,"Senate Adopted",51,0,0
808549,487617,2016-01-26,"House Adopted",119,0,3
808562,486540,2016-01-21,"Senate Adopted",51,0,0
808573,486480,2016-01-21,"Senate Adopted",51,0,0
808573,487618,2016-01-26,"House Adopted",119,0,3
808586,486567,2016-01-21,"Senate Adopted",51,0,0
808595,486418,2016-01-21,"Senate Adopted",51,0,0
808606,486471,2016-01-21,"Senate Adopted",51,0,0
808606,487585,2016-01-26,"House Adopted",119,0,3
808619,486481,2016-01-21,"Senate Adopted",51,0,0
808619,487624,2016-01-26,"House Adopted",119,0,3
808630,483770,2016-01-06,"House Adopted",118,0,4
808630,484056,2016-01-07,"Senate Adopted",51,0,0
808642,486424,2016-01-21,"Senate Adopted",51,0,0
808642,487570,2016-01-26,"House Adopted",119,0,3
808654,486551,2016-01-21,"Senate Adopted",51,0,0
808654,487608,2016-01-26,"House Adopted",119,0,3
808666,486541,2016-01-21,"Senate Adopted",51,0,0
808666,487678,2016-01-26,"House Adopted",119,0,3
808676,486546,2016-01-21,"Senate Adopted",51,0,0
808676,487527,2016-01-26,"House Adopted",119,0,3
809490,485644,2016-01-19,"Senate Adopted",51,0,0
809490,487600,2016-01-26,"House Adopted",119,0,3
809974,486462,2016-01-21,"Senate Adopted",51,0,0
809974,487614,2016-01-26,"House Adopted",119,0,3
810010,486473,2016-01-21,"Senate Adopted",51,0,0
810010,487539,2016-01-26,"House Adopted",119,0,3
810045,486550,2016-01-21,"Senate Adopted",51,0,0
810045,487723,2016-01-26,"House Adopted",119,0,3
810080,485801,2016-01-19,"Senate Adopted",51,0,0
810080,487605,2016-01-26,"House Adopted",119,0,3
811826,486444,2016-01-21,"Senate Adopted",51,0,0
811826,487490,2016-01-26,"House Adopted",119,0,3
812027,486457,2016-01-21,"Senate Adopted",51,0,0
812027,487575,2016-01-26,"House Adopted",119,0,3
812738,484802,2016-01-13,"House Adopted",120,0,2
812738,484915,2016-01-13,"Senate Adopted",50,0,1
818233,486422,2016-01-21,"Senate Adopted",51,0,0
818233,487623,2016-01-26,"House Adopted",119,0,3
818239,487603,2016-01-26,"House Adopted",118,0,4
818239,489016,2016-01-28,"Senate Adopted",51,0,0
818242,487371,2016-01-26,"House Adopted",118,0,4
818242,489036,2016-01-28,"Senate Adopted",51,0,0
818246,487767,2016-01-26,"House Adopted",118,0,4
818246,489046,2016-01-28,"Senate Adopted",51,0,0
818249,487739,2016-01-26,"House Adopted As Amended",120,0,2
818249,489040,2016-01-28,"Senate Adopted",51,0,0
818252,487514,2016-01-26,"House Adopted",118,0,4
818252,489028,2016-01-28,"Senate Adopted",51,0,0
818255,487664,2016-01-26,"House Adopted",118,0,4
818255,489223,2016-01-28,"Senate Adopted",51,0,0
818261,487764,2016-01-26,"House Adopted",118,0,4
818261,488999,2016-01-28,"Senate Adopted",51,0,0
818276,485401,2016-01-18,"Senate Adopted",47,3,1
818346,485459,2016-01-19,"House Adopted",116,0,6
818346,485618,2016-01-19,"Senate Adopted",51,0,0
819513,486421,2016-01-21,"Senate Adopted",51,0,0
819513,487781,2016-01-26,"House Adopted",119,0,3
820622,486469,2016-01-21,"Senate Adopted",51,0,0
820622,487583,2016-01-26,"House Adopted",119,0,3
820798,486531,2016-01-21,"Senate Adopted",51,0,0
820798,487691,2016-01-26,"House Adopted",119,0,3
820975,486460,2016-01-21,"Senate Adopted",51,0,0
820975,487581,2016-01-26,"House Adopted",119,0,3
821373,488306,2016-01-26,"Senate Adopted",49,0,2
821373,488307,2016-01-27,"House Adopted",119,0,3
821446,489239,2016-01-28,"Senate Adopted",51,0,0
821446,490368,2016-02-02,"House Adopted",119,0,3
821518,489153,2016-01-28,"Senate Adopted",51,0,0
821518,490249,2016-02-02,"House Adopted",119,0,3
821591,489152,2016-01-28,"Senate Adopted",51,0,0
821591,489863,2016-02-02,"House Adopted",119,0,3
821663,489229,2016-01-28,"Senate Adopted",51,0,0
821663,489914,2016-02-02,"House Adopted",119,0,3
821736,489010,2016-01-28,"Senate Adopted",51,0,0
821736,490022,2016-02-02,"House Adopted",119,0,3
821808,489148,2016-01-28,"Senate Adopted",51,0,0
821808,490258,2016-02-02,"House Adopted",119,0,3
821880,486553,2016-01-21,"Senate Adopted",51,0,0
821880,487636,2016-01-26,"House Adopted",119,0,3
821951,489069,2016-01-28,"Senate Adopted",51,0,0
821951,490262,2016-02-02,"House Adopted",119,0,3
825063,489236,2016-01-28,"Senate Adopted",49,1,1
825063,490268,2016-02-02,"House Adopted",119,0,3
825208,487917,2016-01-26,"Senate Adopted",49,0,2
825208,488421,2016-01-27,"House Adopted",119,0,3
826920,487660,2016-01-26,"House Adopted",120,0,2
826920,489212,2016-01-28,"Senate Adopted",51,0,0
827693,488252,2016-01-27,"House Adopted",119,0,3
827693,493677,2016-02-09,"Senate Adopted",51,0,0
827813,488269,2016-01-26,"Senate Adopted",49,0,2
827813,488270,2016-01-27,"House Adopted",119,0,3
827851,488274,2016-01-27,"House Adopted",119,0,3
827851,496239,2016-02-11,"Senate Adopted",50,0,1
827860,489211,2016-01-28,"Senate Adopted",51,0,0
827860,489927,2016-02-02,"House Adopted",119,0,3
827900,488772,2016-01-28,"House Adopted",98,23,1
827900,489797,2016-02-01,"Senate Adopted",37,9,5
827944,489209,2016-01-28,"Senate Adopted",51,0,0
827944,490299,2016-02-02,"House Adopted",119,0,3
827987,488279,2016-01-27,"House Adopted",119,0,3
827987,493975,2016-02-09,"Senate Adopted",51,0,0
