bill_id,date,action
212802,2010-09-13,"(C) Draft Request Received"
212802,2010-10-28,"(C) Draft On Hold"
212802,2010-12-09,"(C) Draft Taken Off Hold"
212802,2010-12-09,"(C) Draft to Requester for Review"
212802,2010-12-13,"(C) Draft in Legal Review"
212802,2010-12-14,"(C) Draft to Drafter - Edit Review [CMD]"
212802,2010-12-14,"(C) Draft in Input/Proofing"
212802,2010-12-14,"(C) Bill Draft Text Available Electronically"
212802,2010-12-14,"(C) Draft in Final Drafter Review"
212802,2010-12-14,"(C) Draft in Assembly/Executive Director Review"
212802,2010-12-14,"(C) Pre-Introduction Letter Sent"
212802,2010-12-14,"(H) Introduced"
212802,2010-12-14,"(C) Introduced Bill Text Available Electronically"
212802,2010-12-20,"(H) Referred to Committee (H) Appropriations"
212802,2011-01-03,"(H) First Reading"
212802,2011-01-10,"(H) Hearing (H) Appropriations"
212802,2011-01-10,"(H) Committee Executive Action--Bill Passed (H) Appropriations"
212802,2011-01-11,"(H) Committee Report--Bill Passed (H) Appropriations"
212802,2011-01-12,"(H) Scheduled for 2nd Reading"
212802,2011-01-12,"(H) 2nd Reading Passed"
212802,2011-01-13,"(H) Scheduled for 3rd Reading"
212802,2011-01-13,"(H) 3rd Reading Passed"
212802,2011-01-13,"(H) Transmitted to Senate"
212802,2011-01-14,"(S) First Reading"
212802,2011-01-14,"(S) Referred to Committee (S) Finance and Claims"
212802,2011-01-20,"(S) Hearing (S) Finance and Claims"
212802,2011-01-20,"(S) Committee Executive Action--Bill Concurred as Amended (S) Finance and Claims"
212802,2011-01-21,"(S) Committee Report--Bill Concurred as Amended (S) Finance and Claims"
212802,2011-01-21,"(C) Printed - New Version Available"
212802,2011-01-22,"(S) Scheduled for 2nd Reading"
212802,2011-01-22,"(S) 2nd Reading Concurred"
212802,2011-01-22,"(S) On Motion Rules Suspended"
212802,2011-01-22,"(S) 3rd Reading Concurred"
212802,2011-01-22,"(S) Returned to House with Amendments"
212802,2011-01-25,"(H) Scheduled for 2nd Reading"
212802,2011-01-25,"(H) 2nd Reading Senate Amendments Concurred"
212802,2011-01-25,"(H) On Motion Rules Suspended"
212802,2011-01-25,"(H) 3rd Reading Passed as Amended by Senate"
212802,2011-01-25,"(H) Sent to Enrolling"
212802,2011-01-25,"(C) Printed - Enrolled Version Available"
212802,2011-01-25,"(H) Returned from Enrolling"
212802,2011-01-26,"(H) Signed by Speaker"
212802,2011-01-26,"(S) Signed by President"
212802,2011-01-26,"(H) Transmitted to Governor"
212802,2011-01-31,"(H) Signed by Governor"
212802,2011-02-01,"Chapter Number Assigned"
212803,2010-06-07,"(C) Draft Request Received"
212803,2010-10-28,"(C) Draft On Hold"
212803,2010-11-24,"(C) Draft Taken Off Hold"
212803,2010-12-07,"(C) Draft to Requester for Review"
212803,2010-12-07,"(C) Draft in Legal Review"
212803,2010-12-07,"(C) Draft to Drafter - Edit Review [CMD]"
212803,2010-12-07,"(C) Draft in Input/Proofing"
212803,2010-12-07,"(C) Draft in Final Drafter Review"
212803,2010-12-07,"(C) Draft in Assembly/Executive Director Review"
