sponsor_id,name
7853,"Jon Sesso"
7854,"Duane Ankney"
7855,"Llew Jones"
7856,"Walter McNutt"
7857,"Galen Hollenbaugh"
7859,"Franke Wilmer"
7860,"Chuck Hunter"
7863,"Pat Ingraham"
7864,"Ken Peterson"
7868,"Bill McChesney"
7870,"Kendall Van Dyk"
7873,"Chas Vincent"
7877,"Bob Lake"
7879,"Ted Washburn"
7885,"Diane Sands"
7886,"Tony Belcourt"
7887,"Robyn Driscoll"
7888,"Gordon Hendrick"
7889,"Wayne Stahl"
7892,"Carlie Boland"
7893,"Dick Barrett"
7896,"Cary Smith"
7897,"Cynthia Hiner"
7899,"Harry Klock"
7900,"Mike Menahan"
7901,"Robert Mehlhoff"
7902,"Shannon Augare"
7906,"Gary MacLaren"
7908,"Betsy Hands"
7910,"Timothy Furey"
7912,"Elsie Arntzen"
7913,"Janna Taylor"
7915,"Mike Miller"
7916,"Jesse O'Hara"
7917,"Mike Phillips"
7918,"Margaret MacDonald"
7920,"Krayton Kerns"
7921,"Edith McClafferty"
7923,"Mary Caferro"
7924,"Mike Milburn"
7926,"Tom McGillvray"
7927,"Sue Malek"
7928,"Michele Reinhart"
7929,"Jon Sonju"
7930,"Anders Blewett"
7932,"Donald Roberts"
7933,"Mark Blasdel"
7934,"Bill Beck"
7935,"Pat Noonan"
7936,"Wendy Warburton"
7937,"Bob Wagner"
7938,"Tom Berry"
7939,"Scott Reichner"
7940,"Gerald Bennett"
7942,"David Howard"
7944,"Gordon Vance"
7945,"Carolyn Pease-Lopez"
7946,"Lee Randall"
7948,"Michael More"
7949,"Brian Hoven"
7952,"Jeff Essmann"
7953,"David Wanzenried"
7954,"Ronald Erickson"
7958,"Jim Peterson"
7959,"Donald Steinbeisser"
7960,"Larry Jent"
7962,"Terry Murphy"
7963,"Carol Williams"
7964,"Bob Hawks"
7967,"Dave Lewis"
7968,"Christine Kaufmann"
7973,"James Shockley"
7974,"Trudi Schmidt"
7975,"Kim Gillan"
7977,"Gary Branae"
7979,"John Brenden"
7981,"Mitch Tropila"
7982,"Verdell Jackson"
7984,"Jim Keane"
7985,"Lynda Moss"
7986,"John Esp"
7987,"Rick Ripley"
7988,"Ryan Zinke"
7989,"Carolyn Squires"
7990,"Bradley Hamlett"
7991,"Clifford Larsen"
7992,"Debby Barrett"
7993,"Joe Balyeat"
7994,"Jonathan Boy"
7995,"Greg Hinkle"
7997,"Taylor Brown"
7998,"Bruce Tutvedt"
7999,"Steve Gallus"
8000,"Sharon Stewart-Peregoy"
10388,"Roy Hollandsworth"
10389,"Jonathan McNiven"
10390,"Kathy Swanson"
10391,"Rob Cook"
10392,"Lila Walter Evans"
10393,"Austin Knudsen"
10396,"Steve Fitzpatrick"
10397,"Steve Lavin"
10398,"Kris Hansen"
10399,"Daniel Salomon"
10401,"Jerry O'Neil"
10402,"Keith Regier"
10403,"Douglas Kary"
10404,"James Knox"
10405,"Frank Smith"
10406,"Ryan Osmundson"
10408,"Champ Edmunds"
10409,"Patrick Connell"
10410,"Cleve Loney"
10411,"Bryce Bennett"
10412,"Kelly Flynn"
10417,"Gene Vuckovich"
10421,"Thomas Facey"
10422,"Art Wittich"
10423,"Jason Priest"
10425,"Alan Olson"
10876,"Ron Ehli"
10877,"Matthew Rosendale"
10878,"Bill Harris"
10879,"Steven Gibson"
10880,"Randy Brodehl"
10881,"Edward Greef"
10882,"Derek Skees"
10883,"Tom Burnett"
11154,"Rowlie Hutton"
11155,"Edward Walker"
11478,"Liz Bangerter"
11479,"Christy Clark"
11481,"Dan Kennedy"
11625,"Joanne Blyton"
11626,"Frederick Moore"
11835,"Alan Hale"
11953,"Mike Cuffe"
11960,"Ron Arthun"
11962,"Edward Buttrey"
12049,"Sterling Small"
12051,"Ellie Hill"
12085,"Carmine Mowbray"
12099,"Jean Price"
12172,"Kathleen Williams"
12208,"Mary McNally"
12215,"Max Yates"
12225,"Joe Read"
12245,"Virginia Court"
12353,"Dan Skattum"
