bill_id,sponsor_id
438414,7854
438415,7854
438416,7854
438417,7854
438418,7854
438419,10391
438420,10391
438421,10391
438422,10388
438423,7884
438424,10879
438425,7945
438426,10390
438427,7857
438428,7921
438429,12051
438430,12051
438431,7857
438432,10388
438433,10391
438434,10391
438435,14175
438436,10411
438437,7854
438438,10879
438439,7879
438440,7879
438441,11478
438442,7879
438443,7879
438444,7879
438445,10388
438446,7879
438447,7892
438448,7915
438449,7892
438450,7868
438451,7863
438452,7868
438453,14175
438454,7989
438455,10402
438456,10397
438457,10397
438458,10397
438459,7863
438460,7921
438461,7868
438462,7863
438463,7942
438464,10408
438465,14172
438466,7863
438467,7863
438468,10393
438469,7935
438470,7935
438471,7935
438472,14074
438473,7938
438474,14074
438475,10409
438476,7884
438477,7863
438478,7884
438479,7949
438480,10411
438481,7918
438482,7918
438483,7918
438484,7918
438485,7918
438486,10412
438487,7918
438488,7945
438489,7945
438490,7863
438491,10402
438492,7938
438493,10397
438494,7854
438495,7939
438496,7935
438497,7935
438498,7921
438499,7916
438500,14174
438501,7949
438502,14074
438503,7916
438504,14074
438505,14072
438506,7921
438507,14172
438508,7859
438509,7859
438510,7859
438511,7935
438512,7935
438513,10876
438514,10876
438515,10876
438516,14072
438517,10402
438518,14075
438519,10409
438520,14074
438521,7879
438522,7921
438523,7945
438524,7915
438525,12099
438526,12099
438527,11479
438528,11479
438529,14073
438530,14073
438531,14073
438532,7945
438533,7863
438534,7863
438535,10411
438536,10402
438537,7916
438538,7916
438539,7863
438540,7938
438541,7857
438542,10879
438543,10396
438544,14255
438545,10397
438546,7938
438547,10397
438548,7918
438549,7921
438550,14175
438551,14173
438552,10397
438553,7938
438554,7935
438555,11625
438556,7857
438557,7896
438558,10421
438559,10421
438560,7952
438561,7958
438562,11962
438563,11962
438564,7923
438565,7962
438566,7962
438567,7923
438568,7923
438569,7967
438570,7953
438571,7953
438572,7953
438573,7893
438574,10423
438575,7990
438576,7990
438577,7960
438578,11960
438579,11960
438580,14079
438581,14079
438582,14078
438583,14078
438584,7991
438585,14077
438586,11962
438587,11962
438588,7992
438589,10421
438590,7960
438591,7923
438592,7984
438593,7962
438594,7962
438595,7873
438596,7873
438597,11962
438598,11962
438599,7887
438600,10422
438601,7984
438602,7984
438603,10417
438604,7984
438605,14078
438606,7987
438607,7902
438608,7902
438609,7984
438610,7887
438611,10421
438612,7968
438613,7960
438614,7960
438615,7968
438616,14078
438617,10417
438618,7987
438619,7987
438620,7930
438621,10421
438622,10422
438623,11960
438624,7870
438625,7887
438626,11155
438627,11155
438628,7981
438629,7992
438630,7968
438631,10423
438632,10423
438633,7873
438634,7979
438635,7967
438636,7967
438637,7990
438638,7967
438639,7967
438640,7962
438641,7968
438642,7962
438643,11626
438644,11626
438645,7893
438646,14078
438647,10425
438648,7968
438649,10425
438650,10417
438651,10422
438652,7998
438653,7962
438654,7984
438655,10422
438656,10425
438657,10422
439609,10409
444071,10425
444134,10423
444200,10423
444265,7998
444331,7998
444397,7878
444462,14251
444528,10398
444593,10878
444658,10878
444723,14258
445254,10409
445341,10409
445425,7878
445511,10421
445597,10421
445604,7997
445661,14262
445719,14262
445778,10396
445839,10408
445898,10408
446059,10879
446086,14252
446114,14252
446142,14252
446170,10409
446198,14254
446226,10402
446254,7879
446284,7879
446312,10412
446340,10412
446368,14072
446396,14072
446424,14072
446451,10411
446478,14078
446503,10421
446660,14079
446704,7997
446751,14259
446799,14256
446845,14252
446986,7997
447068,14079
447149,7930
447221,7930
447229,11962
447252,11962
447279,14077
447307,7929
447332,11960
447360,7913
447387,7913
447413,14257
447440,7946
447469,12099
447496,14253
447522,14253
447549,7859
447577,14252
447602,14252
447630,7916
447657,7896
447798,7870
447949,10421
448102,14354
448268,7927
448328,14330
448394,14330
448456,14330
448522,14330
448582,14325
448643,14325
448745,10412
448780,10402
448814,14338
448848,10393
448885,14332
448919,14332
448953,10401
448988,7991
449021,10425
449568,14325
449618,7863
449666,7863
449716,14334
449761,7853
449812,11962
449859,11962
449909,7962
449955,7953
449964,10422
449981,10425
450001,7991
450024,10422
450042,7979
450062,14079
450084,14078
450104,14332
450126,14073
450146,10396
450163,7935
450186,10408
450206,10408
450503,11479
450584,11479
450669,10401
450745,10878
450824,10401
450901,10401
450980,7938
451057,10412
451136,7920
451411,7921
451601,11155
451792,10422
452317,10397
452409,10425
452499,7953
452884,10393
453260,10396
453634,14257
454005,7853
454012,11962
454036,11962
454062,11626
454091,7979
454118,7896
454147,7896
454174,7915
454203,7915
454232,7915
454261,7915
454290,12099
454319,7854
454347,7942
454378,14329
454406,10881
455349,7855
455380,10393
455413,7949
455448,7939
455479,7939
455514,7946
455548,14072
455582,14335
455790,14077
455955,7887
456122,7958
456285,10425
456320,10397
456351,10396
456381,12051
456413,12051
456445,12051
456478,12051
456509,7896
456540,7896
456572,7915
456603,14331
456634,12051
456667,10409
456700,14077
456732,14077
456762,7873
456794,7873
456823,7873
457737,14349
458313,7946
458591,7893
458596,10421
458657,7984
458722,7981
458787,7981
458851,7990
458918,14077
458982,10411
459049,10397
459114,14256
459179,10408
459244,10409
460969,14329
461434,11478
461483,7863
461530,7863
461579,7868
461625,10391
461674,10391
461721,7949
461766,14349
461806,14347
461847,7860
461887,7938
461926,7938
461969,12051
462007,7984
462046,7923
462085,7893
462120,14262
462157,14262
462189,7979
463268,14346
463269,10396
463270,7863
463271,7863
463276,10388
463588,14173
463610,10390
463631,14258
463653,7918
463672,7949
463694,7921
463715,10422
463717,11155
463767,10417
463816,10408
463863,10402
463912,10881
464370,14256
464529,7984
464684,7984
464780,7868
464869,7879
464962,7935
465050,7855
465144,7958
465232,7953
465315,7952
465323,7912
465426,7929
465531,7923
465635,7992
465740,7968
465848,7870
465954,7896
466059,7896
466164,12245
467096,14257
467380,14257
468034,7998
468390,7853
468739,7990
468816,10391
468888,7945
468960,14326
469034,10399
469104,14258
469183,14073
469254,10401
469327,14262
469399,14262
469471,14262
469543,7929
469613,7997
470429,7953
470676,10880
470929,7920
471439,14172
471679,14172
471932,14172
472180,7863
472422,7960
472666,7930
472678,7991
472712,7967
472748,14353
472780,14079
472818,7930
472855,7859
472888,14336
472929,7921
472967,10876
473002,14336
473042,7920
473080,7920
473115,7920
473153,14253
473190,10399
473227,7936
473264,7936
473301,7942
473824,10393
473905,14251
473989,14334
474072,7896
474159,14254
474310,14345
474479,7960
474521,7984
474567,7968
474612,7990
474659,7873
474703,14077
474751,14077
474795,10389
474842,10881
474888,10411
474932,7945
474975,7901
475019,7860
475066,14349
475184,11962
475189,11953
475523,11953
475864,7994
475939,7913
476024,7893
476110,7870
476196,7953
476280,7953
476360,10402
476444,7936
476629,10412
476729,7859
476830,7879
476926,10880
477025,10396
477121,11960
477908,12208
478187,14349
478519,12099
478572,14073
478624,14073
478677,10879
478730,14251
478780,7960
478836,7982
478891,11626
478940,7990
478989,7991
479264,7878
479313,7917
479369,14340
479425,14340
479479,14340
479535,14340
479592,7915
479647,10402
480123,7949
480503,7896
480557,10399
480607,10396
480658,14336
480708,7857
480757,14351
480806,10408
480860,11626
480912,7998
480963,7990
481013,7913
481063,7913
481109,7893
481409,7912
481513,7992
481618,7923
481721,7878
481824,7923
481945,11626
482067,10398
482193,11479
482319,11479
482451,10409
482579,7921
482710,10396
482845,7902
482910,7902
482980,7953
483047,7990
483115,7953
483184,11155
483253,10396
483323,7920
483680,14256
483710,7860
483741,7938
483773,7938
483801,14345
484385,14075
484408,14074
484432,10389
484453,7958
484476,7958
484499,11962
484519,10425
484547,7979
484572,7990
484910,11479
484911,11962
484912,7998
484913,7979
484914,7853
484915,14353
484916,7994
485095,10396
485147,14254
485197,10388
485248,11960
485301,7917
485354,7917
485403,7887
485455,7992
485501,7917
485513,7913
485547,14079
485582,10422
485615,7992
485649,14172
485683,7921
485715,14350
485753,14325
485785,14325
485821,10396
485856,7939
485889,7863
485934,14172
485938,14172
485942,11478
485946,14330
485951,10401
485955,10397
485959,10397
485963,10398
485967,11953
485970,7901
487250,7923
487255,7855
487344,11626
487430,14328
487521,10389
488114,7940
488181,14329
488249,8000
488320,10422
488328,14336
488482,14257
488637,14334
488797,7949
488959,14079
488988,7982
489024,7912
489062,7990
489093,7979
489130,7927
489163,14077
489198,7912
489235,12051
489270,7860
489301,14174
489336,14351
489367,14325
489402,14254
489434,14258
490003,10412
490064,14332
490125,10393
490189,10393
490251,7915
490312,14349
490409,7879
490499,10878
490590,10412
490680,10412
490770,7949
490854,14077
490880,14332
490896,7939
490916,10412
490931,10878
490951,10408
490967,10399
490984,11625
491002,11625
491023,14077
491044,11155
491062,11962
491079,14077
491098,7994
491114,8000
491133,7930
491149,11962
491170,11960
491657,7958
491726,7958
491798,7958
491869,7896
491972,7884
491995,7884
492018,14254
492042,7854
492068,14254
492091,14077
492113,7917
492137,7998
492160,7962
492181,14079
492189,7873
492204,7893
492217,7943
492230,7943
492245,7918
492258,14325
492271,10389
492287,7939
492301,7868
492314,14350
492327,7916
492341,14175
492356,10393
492369,14345
492382,7859
492698,14254
492700,7912
492701,7912
492702,10421
492703,7946
492704,14342
493008,10391
493228,14334
493286,7939
493346,14258
493405,7998
493464,7998
493521,7912
493582,7968
493640,14077
493697,7912
494084,14343
494130,10880
494178,10401
494223,14332
494265,14259
494304,10402
494316,7997
494373,12099
494436,7859
494503,11625
494566,7868
494629,14328
494689,10391
494815,7994
494878,11626
494941,11626
495005,7962
495070,7912
495435,7935
495466,7920
495494,14332
495525,14172
495555,14335
495588,10422
495618,14262
495645,10425
495766,7940
495886,11479
496004,11625
496125,11625
496238,7859
496358,14329
496472,7958
496590,10425
496701,14078
496816,10425
496929,7893
497046,7953
497154,7953
497196,10396
497233,10396
497272,14173
497315,7940
497355,7939
497389,14254
497427,12208
497465,7929
497501,7855
497531,14354
498027,14072
498081,14337
498132,11479
498189,10408
498242,7921
498295,14340
498347,7953
498436,7938
498520,14172
498607,14251
498773,10397
498863,7933
498948,7968
499034,14354
499125,7855
499209,7870
499294,7929
499372,7873
499404,14077
499434,14077
499467,14077
499498,14079
499524,7992
499556,10397
499573,10409
499590,14255
499609,7860
499624,14072
499644,10425
499662,7927
499681,10425
499697,7902
499714,7962
499728,7962
500309,14353
500317,10408
500329,10880
500342,7938
500356,14073
500371,12051
500382,12051
500395,14256
500410,7942
500419,12245
500427,14331
500437,12051
500446,12051
500460,10411
500590,14175
500702,7920
500814,14174
500924,10878
501038,10408
501140,10402
501248,7863
501360,7992
501472,7962
501576,7998
501584,7994
501595,7912
501608,7994
501620,14354
501634,7990
501647,7990
501659,7990
501672,7990
501685,7990
501698,11960
501714,14255
501727,11953
501740,10878
501753,10878
501766,12208
501780,7868
501792,7921
501805,7868
505291,7873
505422,10423
505558,7982
505696,14077
505832,7873
505970,7873
506105,7873
506243,7873
506381,7979
506519,7979
506654,10398
506793,14342
506953,7940
506960,14258
506968,14258
506974,11479
506981,10393
506988,12051
506999,12051
507006,12051
507013,10878
507020,12051
507028,14172
507034,7931
507039,11626
507046,10425
507100,7998
507158,7859
507214,7940
507271,12172
507327,10391
507385,10388
507445,11155
507539,14077
507763,10398
507775,14255
507789,10408
507804,10397
507820,14335
507832,14072
507845,14175
507865,7939
507879,7939
507895,10388
507906,14331
507922,7990
507935,7990
507947,7912
507957,10421
507972,14077
508000,7994
508033,7998
508067,14354
508101,14354
508134,11155
508170,10412
508206,14255
508238,14348
508274,14351
508364,14342
508418,14253
508472,14347
508526,7923
508579,7873
508629,7878
509038,12051
509101,11953
509160,12245
509218,14338
509222,14344
509541,11478
509857,7991
509914,7917
509975,7927
510039,11960
510103,7938
510168,10390
510231,10396
511029,10408
511200,10421
511204,7952
511322,7939
511441,14326
511563,14351
511684,14350
511806,14340
511958,14350
511989,14257
512017,14077
512043,14353
512681,10411
513015,14332
513193,10408
513366,14334
514432,14330
515371,7938
516322,7997
516437,14262
517074,7984
517702,7967
518081,7958
518351,14173
518614,10406
518886,7923
519116,14073
519532,14332
519812,7915
523219,10409
524109,7960
524111,10425
524222,10425
524337,7953
524908,7997
525015,10398
525123,14173
525228,7968
525342,7968
525439,7912
526077,7873
526177,7873
526280,10879
526384,7929
526525,7929
526666,7929
526805,7998
526948,7968
527231,10391
529039,7953
529042,10421
529175,11953
529308,7949
529444,10401
529642,14328
529804,10423
529914,7998
530026,11960
530138,11960
530250,11960
530359,11960
530367,7962
530548,7987
531366,10878
531741,14256
531807,14334
532227,7979
532355,7860
532486,7958
532542,7958
532597,7958
532655,7958
532713,7958
532773,10406
533109,10423
533141,14253
533184,14257
533232,7901
534067,10421
534069,7992
534308,14334
534326,10397
534349,7901
534372,7990
534390,7990
534563,14330
534861,11625
535013,7936
535018,14077
535031,7968
535046,11479
535064,14351
535079,14073
535095,14328
535145,10397
535146,7868
535147,14258
535148,7896
535154,7968
535234,7968
535347,11953
535463,10422
535487,7968
535514,7920
535541,10878
535799,10409
536208,7929
536232,7929
536259,7929
536287,7929
536313,7929
536335,7960
536423,7868
536478,14340
536537,7953
536658,7918
536718,7938
536777,12099
536820,14332
536862,14353
536901,7998
536940,7979
537395,7870
537505,10412
537514,7853
537526,7870
537540,7912
537552,14334
537910,7936
537969,7873
538019,7873
538030,10408
538042,11478
538050,14074
538058,7998
538119,12172
538123,10406
538127,11478
538130,10406
538134,7854
538138,14075
538141,10878
538142,14252
538143,10396
538144,7929
538145,14077
538146,7990
538147,12172
538397,14346
538451,10876
538502,14257
538506,14258
538565,14175
538626,10399
539408,11962
539412,10425
539423,14258
539437,10398
539451,10411
539466,14328
539832,7878
539926,10402
539928,7927
540006,7997
540160,7991
540186,14077
540213,7958
540243,10425
540269,7958
540302,7958
540328,7958
540356,7958
541891,10423
541936,7912
541977,10423
542048,11960
542075,11960
542101,11960
542125,11960
542278,7998
542282,10425
542287,7930
542294,14078
542303,10425
542311,10425
542320,11953
542503,7917
542506,7997
542555,7917
542877,7912
543042,7939
543176,7917
543218,7912
543263,7998
543309,10409
543615,14079
543862,7929
543908,7929
543960,7929
544624,7979
544664,7979
544707,7962
544803,7870
544862,10421
545046,7912
545172,12172
545194,7987
545214,14342
545232,10398
545252,7987
545268,14255
545838,14172
546225,7958
546263,7987
546299,14350
546335,7994
546369,7958
546442,7912
546510,7929
546737,7990
546787,7990
546833,7994
546880,7990
547188,10423
548422,10878
