bill_number,bill_id,title
HB1,663474,"Feed bill"
HB2,661700,"General Appropriations Act"
HB3,663204,"Supplemental Appropriations"
HB4,662932,"Appropriations by budget amendment"
HB5,663562,"Provide for infrastructure development"
HB6,704761,"Provide for renewable resource grants"
HB7,705135,"Provide for reclamation and development grants"
HB8,704983,"Provide for renewable resource bonds and loans"
HB9,663286,"Cultural and Aesthetic Grants"
HB10,661904,"Long-Range Information Technology Appropriations"
HB11,704685,"Revise treasure state endowment program laws"
HB12,663709,"Provide for a decree of dissolution without a hearing when uncontested"
HB13,663378,"State Employee Pay Plan"
HB14,663264,"Creating broadband development fund through bonding"
HB15,705278,"Provide for school facility grant program"
HB16,660517,"Repeal the Montana low-income telephone assistance program"
HB17,660488,"Require workers' compensation insurers to provide loss information"
HB18,660577,"Authorize student election judges"
HB19,660590,"Clarify that the governor may change parole board presiding officer"
HB20,660596,"Allow spouse to restore original name as part of dissolution filing"
HB21,660584,"Eliminate license exemption for certain private adolescent treatment programs"
HB22,660768,"Appropriate money for crisis and transition technicians"
HB23,660781,"Appropriate money for a forensic community corrections facility"
HB24,660760,"Appropriate money for state-run mental health group home"
HB25,660772,"Revise laws relating to housing for offenders"
HB26,660777,"Adjust debt limit allowed for summary dissolution"
HB27,660896,"Increase K-12 BASE aid, entitlements, and payments"
HB28,660891,"Require parole hearings to be video and audio recorded"
HB29,660906,"Revise regulation and duties regarding real estate appraisers"
HB30,660937,"Revise legislative compensation to include day care reimbursement"
HB31,660915,"Revise school finance laws"
HB32,660913,"Criminalize the misuse of official criminal justice information"
HB33,660914,"Appropriate money for new or expanded mental health crisis intervention"
HB34,660920,"Appropriate money for additional secure psychiatric detention beds"
HB35,660928,"Appropriate money for short-term voluntary mental health treatment"
HB36,660919,"Allow water permit volume change due to incomplete use"
HB37,661201,"Revising laws regarding domestic violence and child abuse evidence admissibility"
HB38,661422,"Generally revise gaming laws"
HB39,661427,"Allow electronic fund transfers for trust lands"
HB40,661899,"Revise board of adjustment laws for conservation districts"
HB41,661672,"Revise tax appeal laws"
HB42,661685,"Revise certain public service commission hearing and notice requirements"
HB43,661732,"Revise executive clemency laws"
HB44,661706,"Revise license terms for board of public accountants"
HB45,661742,"Prohibit genetic information discrimination in all insurance"
HB46,661745,"Revise rental payment calculation for commercial lease of state trust land"
HB47,661743,"Appropriate money for youth crisis diversion pilot projects"
