bill_id,date,action
446659,2013-01-09,Filed
446659,2013-01-09,"Passed 1st Reading"
446659,2013-01-09,"Placed on Today's Calendar"
446659,2013-01-09,"Passed 2nd Reading"
446659,2013-01-09,"Passed 3rd Reading"
446659,2013-01-09,"Rec From Senate"
446659,2013-01-09,"Cal Pursuant 32(a)"
446659,2013-01-09,"Added to Calendar"
446659,2013-01-09,"Passed 2nd Reading"
446659,2013-01-09,"Passed 3rd Reading"
446659,2013-01-09,"Ordered Enrolled"
446659,2013-01-09,Ratified
446659,2013-01-09,"Ch. Res 2013-1"
446774,2013-01-09,Filed
446774,2013-01-09,"Passed 1st Reading"
446774,2013-01-09,"Placed on Today's Calendar"
446774,2013-01-09,Adopted
447223,2013-01-09,Filed
447223,2013-01-09,"Added to Calendar"
447223,2013-01-09,"Passed 1st Reading"
447223,2013-01-09,Adopted
479707,2013-01-30,Filed
479707,2013-01-31,"Passed 1st Reading"
479707,2013-01-31,"Cal Pursuant 32(a)"
479707,2013-01-31,"Placed On Cal For 01/31/2013"
479707,2013-01-31,Adopted
479708,2013-01-30,Filed
479708,2013-01-31,"Passed 1st Reading"
479708,2013-01-31,"Cal Pursuant 32(a)"
479708,2013-01-31,"Placed On Cal For 01/31/2013"
479708,2013-01-31,Adopted
479709,2013-01-30,Filed
479709,2013-01-31,"Passed 1st Reading"
479709,2013-01-31,"Ref To Com On Finance"
479709,2013-01-31,"Reptd Fav Com Substitute"
479709,2013-01-31,"Cal Pursuant Rule 36(b)"
479709,2013-01-31,"Placed On Cal For 02/04/2013"
479709,2013-02-04,"Amend Failed A1"
479709,2013-02-04,"Amend Failed A2"
479709,2013-02-04,"Amend Failed A3"
479709,2013-02-04,"Amend Failed A4"
479709,2013-02-04,"Amend Failed A5"
479709,2013-02-04,"Amend Failed A6"
479709,2013-02-04,"Passed 2nd Reading"
479709,2013-02-05,"Amend Failed A7"
479709,2013-02-05,"Amend Failed A8"
479709,2013-02-05,"Passed 3rd Reading"
479709,2013-02-06,"Rec From House"
479709,2013-02-06,"Passed 1st Reading"
479709,2013-02-06,"Ref To Com On Finance"
479709,2013-02-06,"Reptd Fav"
479709,2013-02-06,"Placed On Cal For 02/12/2013"
479709,2013-02-12,"Amendment Withdrawn A1"
479709,2013-02-12,"Amend Failed A2"
479709,2013-02-12,"Amend Failed A3"
479709,2013-02-12,"Amend Failed A4"
479709,2013-02-12,"Amend Failed A5"
479709,2013-02-12,"Passed 2nd Reading"
479709,2013-02-13,"Passed 3rd Reading"
479709,2013-02-13,"Ordered Enrolled"
479709,2013-02-14,Ratified
479709,2013-02-14,"Pres. To Gov. 02/14/2013"
479709,2013-02-19,"Signed by Gov. 2/19/2013"
479709,2013-02-19,"Ch. SL 2013-2"
479710,2013-01-30,Filed
479710,2013-01-31,"Passed 1st Reading"
479710,2013-01-31,"Ref To Com On Appropriations"
479710,2013-01-31,"Reptd Fav"
479710,2013-01-31,"Cal Pursuant Rule 36(b)"
479710,2013-01-31,"Placed On Cal For 01/31/2013"
479710,2013-01-31,"Passed 2nd Reading"
479710,2013-01-31,"Passed 3rd Reading"
479710,2013-01-31,"Rec From House"
479710,2013-02-04,"Passed 1st Reading"
479710,2013-02-04,"Ref To Com On Appropriations/Base Budget"
479710,2013-02-20,"Reptd Fav Com Substitute"
479710,2013-02-20,"Com Substitute Adopted"
479710,2013-02-21,"Amend Adopted A1"
479710,2013-02-21,"Passed 2nd Reading"
479710,2013-02-21,"Passed 3rd Reading"
479710,2013-02-21,Engrossed
479710,2013-02-26,"Rec From Senate"
479710,2013-02-26,"Rec To Concur S Com Sub"
479710,2013-02-26,"Cal Pursuant 36(b)"
479710,2013-02-26,"Placed On Cal For 02/27/2013"
479710,2013-02-26,"Withdrawn From Cal"
479710,2013-02-26,"Placed On Cal For 02/26/2013"
479710,2013-02-26,"Concurred In S/Com Sub"
479710,2013-02-26,"Ordered Enrolled"
479710,2013-02-27,Ratified
479710,2013-02-28,"Pres. To Gov. 2/28/2013"
479710,2013-03-06,"Signed by Gov. 3/6/2013"
479710,2013-03-06,"Ch. SL 2013-4"
479711,2013-01-30,Filed
479711,2013-01-31,"Passed 1st Reading"
479711,2013-01-31,"Ref To Com On Rules, Calendar, and Operations of the House"
479712,2013-01-30,Filed
479712,2013-01-31,"Passed 1st Reading"
479712,2013-01-31,"Ref To Com On Appropriations"
479713,2013-01-30,Filed
479713,2013-01-31,"Passed 1st Reading"
479713,2013-01-31,"Ref To Com On Judiciary Subcommittee B"
479713,2013-02-06,"Reptd Fav Com Substitute"
479713,2013-02-06,"Cal Pursuant Rule 36(b)"
479713,2013-02-07,"Placed On Cal For 02/12/2013"
479713,2013-02-12,"Passed 2nd Reading"
479713,2013-02-12,"Passed 3rd Reading"
479713,2013-02-14,"Rec From House"
479713,2013-02-14,"Passed 1st Reading"
479713,2013-02-14,"Ref To Com On Rules and Operations of the Senate"
479713,2013-04-10,"Withdrawn From Com"
479713,2013-04-10,"Re-ref Com On Judiciary I"
479714,2013-01-30,Filed
479714,2013-01-31,"Passed 1st Reading"
479714,2013-01-31,"Ref To Com On Rules, Calendar, and Operations of the House"
479714,2013-05-07,"Reptd Fav"
479714,2013-05-07,"Cal Pursuant Rule 36(b)"
479714,2013-05-07,"Placed On Cal For 05/08/2013"
479714,2013-05-08,"Passed 2nd Reading"
479714,2013-05-08,"Passed 3rd Reading"
479714,2013-05-09,"Rec From House"
479714,2013-05-09,"Passed 1st Reading"
479714,2013-05-09,"Ref To Com On Rules and Operations of the Senate"
479715,2013-01-30,Filed
479715,2013-01-31,"Passed 1st Reading"
479715,2013-01-31,"Ref To Com On Transportation"
479715,2013-02-12,"Reptd Fav"
479715,2013-02-12,"Cal Pursuant Rule 36(b)"
479715,2013-02-12,"Placed On Cal For 02/13/2013"
479715,2013-02-13,"Passed 2nd Reading"
479715,2013-02-14,"Passed 3rd Reading"
479715,2013-02-18,"Rec From House"
479715,2013-02-18,"Passed 1st Reading"
479715,2013-02-18,"Ref To Com On Transportation"
479715,2013-03-06,"Reptd Fav Com Substitute"
479715,2013-03-06,"Com Substitute Adopted"
479715,2013-03-06,"Placed on Today's Calendar"
479715,2013-03-06,"Passed 2nd Reading"
479715,2013-03-07,"Amendment Withdrawn A1"
479715,2013-03-07,"Amend Adopted A2"
479715,2013-03-07,"Passed 3rd Reading"
479715,2013-03-07,Engrossed
479715,2013-03-11,"Rec To Concur S Com Sub"
479715,2013-03-12,"Ref To Com On Rules, Calendar, and Operations of the House"
479715,2013-04-17,"Withdrawn From Com"
479715,2013-04-17,"Added to Calendar"
479715,2013-04-17,"Failed Concur In S Com Sub"
479715,2013-05-22,"Conf Com Appointed"
479715,2013-05-22,"Conf Com Appointed"
479715,2013-05-29,"Conf Com Reported"
479715,2013-05-29,"Placed On Cal For 05/30/2013"
479715,2013-05-29,"Conf Com Reported"
479715,2013-05-29,"Placed On Cal For 05/30/2013"
479715,2013-05-29,"Postponed To 06/03/2013"
479715,2013-05-30,"Conf Report Adopted"
479715,2013-06-03,"Conf Report Adopted"
479715,2013-06-03,"Ordered Enrolled"
479715,2013-06-04,Ratified
479715,2013-06-05,"Pres. To Gov. 6/5/2013"
479715,2013-06-12,"Signed by Gov. 6/12/2013"
479715,2013-06-12,"Ch. SL 2013-94"
479716,2013-01-30,Filed
479716,2013-01-31,"Passed 1st Reading"
479716,2013-01-31,"Ref To Com On Elections"
479716,2013-03-28,"Reptd Fav Com Substitute"
479716,2013-03-28,"Cal Pursuant Rule 36(b)"
479716,2013-03-28,"Placed On Cal For 04/02/2013"
479716,2013-04-02,"Passed 2nd Reading"
479716,2013-04-03,"Passed 3rd Reading"
479716,2013-04-04,"Rec From House"
479716,2013-04-04,"Passed 1st Reading"
479716,2013-04-04,"Ref To Com On Rules and Operations of the Senate"
479717,2013-01-30,Filed
479717,2013-01-31,"Passed 1st Reading"
479717,2013-01-31,"Ref to the Com on Judiciary Subcommittee A , if favorable, Elections"
479718,2013-01-30,Filed
479718,2013-01-31,"Passed 1st Reading"
479718,2013-01-31,"Ref To Com On Finance"
479718,2013-02-13,"Reptd Fav"
479718,2013-02-13,"Cal Pursuant Rule 36(b)"
479718,2013-02-13,"Placed On Cal For 02/14/2013"
479718,2013-02-14,"Amend Adopted A1"
479718,2013-02-14,"Passed 2nd Reading"
479718,2013-02-19,"Amend Adopted A2"
479718,2013-02-19,"Passed 3rd Reading"
479718,2013-02-19,"Ordered Engrossed"
479718,2013-02-20,"Rec From House"
479718,2013-02-20,"Passed 1st Reading"
479718,2013-02-20,"Ref To Com On Program Evaluation"
479718,2013-04-30,"Reptd Fav Com Substitute"
479718,2013-04-30,"Com Substitute Adopted"
479718,2013-05-01,"Withdrawn From Cal"
479718,2013-05-01,"Placed On Cal For 05/07/2013"
479718,2013-05-07,"Withdrawn From Cal"
479718,2013-05-07,"Placed On Cal For 05/08/2013"
479718,2013-05-08,"Passed 2nd Reading"
479718,2013-05-09,"Withdrawn From Cal"
479718,2013-05-09,"Placed On Cal For 05/13/2013"
479718,2013-05-13,"Withdrawn From Cal"
479718,2013-05-13,"Placed On Cal For 05/14/2013"
479718,2013-05-14,"Withdrawn From Cal"
479718,2013-05-14,"Placed On Cal For 05/21/2013"
479718,2013-05-21,"Amend Adopted A1"
479718,2013-05-21,"Passed 3rd Reading"
479718,2013-05-21,Engrossed
479718,2013-05-23,"Rec From Senate"
479718,2013-05-23,"Rec To Concur S Com Sub"
479718,2013-05-24,"Cal Pursuant Rule 36(b)"
479718,2013-05-28,"Placed On Cal For 05/29/2013"
479718,2013-05-29,"Failed Concur In S Com Sub"
479718,2013-05-29,"Conf Com Appointed"
479718,2013-05-30,"Conf Com Appointed"
479718,2013-06-03,"Conferees Changed"
479718,2013-06-05,"Conferees Changed"
479719,2013-01-30,Filed
479719,2013-01-31,"Passed 1st Reading"
479719,2013-01-31,"Ref To Com On Finance"
479719,2013-06-27,"Reptd Fav Com Substitute"
479719,2013-06-27,"Cal Pursuant Rule 36(b)"
479719,2013-06-27,"Placed On Cal For 07/08/2013"
479719,2013-07-08,"Amend Adopted A1"
479719,2013-07-08,"Amend Adopted A2"
479719,2013-07-08,"Passed 2nd Reading"
479719,2013-07-09,"Passed 3rd Reading"
479719,2013-07-09,"Ordered Engrossed"
479719,2013-07-10,"Rec From House"
479719,2013-07-10,"Passed 1st Reading"
479719,2013-07-10,"Ref To Com On Finance"
479719,2013-07-16,"Reptd Fav Com Substitute"
479719,2013-07-16,"Com Substitute Adopted"
479719,2013-07-17,"Passed 2nd Reading"
479719,2013-07-18,"Amend Adopted A1"
