roll_call_id,sponsor_id,vote
523806,2024,1
523806,2028,1
523806,2030,1
523806,2031,1
523806,2034,1
523806,2035,1
523806,2038,1
523806,2042,1
523806,2044,4
523806,2045,1
523806,2049,1
523806,2052,1
523806,2055,1
523806,2056,4
523806,2059,1
523806,2060,4
523806,2061,1
523806,2065,1
523806,2075,1
523806,2077,1
523806,2083,1
523806,2085,1
523806,2086,1
523806,2088,1
523806,2089,1
523806,2091,1
523806,2096,1
523806,2097,1
523806,2099,1
523806,2100,4
523806,2102,1
523806,2105,1
523806,2108,1
523806,2111,1
523806,2115,1
523806,2122,1
523806,2124,1
523806,2127,1
523806,2140,1
523806,2146,1
523806,2187,4
523806,11845,1
523806,11846,1
523806,11848,1
523806,11849,1
523806,11850,1
523806,11851,1
523806,11852,1
523806,11854,1
523806,11855,1
523806,11857,4
523806,11861,1
523806,11863,3
523806,11866,1
523806,11979,1
523806,11980,1
523806,12005,1
523806,12006,1
523806,13324,1
523806,13957,1
523806,14602,1
523806,14603,1
523806,14604,1
523806,14606,1
523806,14608,1
523806,14609,1
523806,14610,1
523806,14611,1
523806,14612,1
523806,14613,1
523806,14614,1
523806,14615,1
523806,14618,1
523806,14619,1
523806,14620,1
523806,14621,1
523806,14622,1
523806,14623,4
523806,14624,1
523806,14625,1
523806,14627,1
523806,14628,1
523806,14629,1
523806,14632,1
523806,14633,1
523806,14634,1
523806,14635,1
523806,14636,1
523806,14637,1
523806,14638,1
523806,14639,4
523806,14640,1
523806,14641,1
523806,14642,4
523806,14644,1
523806,15698,1
523806,16034,1
523806,16251,1
523806,16252,1
523806,17041,1
523806,17147,4
523806,17148,3
523806,17149,1
523806,17150,1
523806,17151,1
523806,17152,1
523806,17153,1
523806,17155,4
523806,17156,1
523806,17157,1
523806,17158,1
523806,17159,1
523806,17160,1
523806,17509,1
523806,17678,1
523806,17714,1
523806,17875,1
523806,17876,1
523806,17928,1
524198,2033,3
524198,2041,4
524198,2116,1
524198,2150,1
524198,2154,1
524198,2155,1
524198,2159,1
524198,2160,1
524198,2165,3
524198,2175,1
524198,2183,3
524198,2190,4
524198,2197,1
524198,11847,1
524198,11862,1
524198,11934,4
524198,11935,1
524198,11936,1
524198,11937,1
524198,11938,1
524198,11940,1
524198,11941,1
524198,12007,1
524198,12009,1
524198,12031,1
524198,12032,3
524198,12033,1
524198,12067,1
524198,14597,3
524198,14598,4
524198,14601,3
524198,14616,3
524198,14643,1
524198,15494,1
524198,15495,1
524198,15498,1
524198,15699,1
524198,15705,1
524198,15758,1
524198,16249,3
524198,16253,3
524198,16254,1
524198,17161,3
524198,17162,4
524198,17163,4
524198,17437,1
524198,17457,3
524198,17504,1
524198,17549,1
524102,2033,2
524102,2041,4
524102,2116,1
524102,2150,1
524102,2154,1
524102,2155,1
524102,2159,1
524102,2160,1
524102,2165,2
524102,2175,1
524102,2183,2
524102,2190,4
524102,2197,1
524102,11847,1
524102,11862,1
524102,11934,4
524102,11935,1
524102,11936,1
524102,11937,1
524102,11938,1
524102,11940,1
524102,11941,1
524102,12007,1
524102,12009,1
524102,12031,1
524102,12032,2
524102,12033,1
524102,12067,1
524102,14597,2
524102,14598,4
524102,14601,2
