sponsor_id,name
7703,"Robert Skarphol"
7704,"Bette Grande"
7705,"Ed Gruchalla"
7706,"Tracy Boe"
7707,"Dan Ruby"
7708,"Duane DeKrey"
7710,"Randy Boehning"
7711,"David Drovdal"
7712,"Shirley Meyer"
7713,"Glen Froseth"
7717,"Mark Dosch"
7718,"Rae Kelsch"
7719,"Lois Delmore"
7723,"Phillip Mueller"
7724,"Curt Hofstad"
7729,"Donald Clark"
7730,"Blair Thoreson"
7731,"Bill Amerman"
7732,"Jeff Delzer"
7734,"Dave Weiler"
7735,"Alon Wieland"
7736,"Keith Kempenich"
7737,"Karen Karls"
7738,"Lisa Meier"
7739,"John Wall"
7740,"Gary Sukut"
7741,"Lawrence Klemin"
7742,"William Kretschmar"
7744,"Kenton Onstad"
7745,"Stacy Dahl"
7746,"Wesley Belter"
7747,"Bob Martinson"
7748,"Ralph Metcalf"
7749,"Robin Weisz"
7750,"Nancy Johnson"
7752,"Kathy Hawken"
7753,"Corey Mock"
7754,"Todd Porter"
7755,"Charles Damschen"
7756,"Lyle Hanson"
7758,"Craig Headland"
7759,"Bob Hunskor"
7760,"George Keiser"
7762,"Mike Schatz"
7764,"Donald Vigesaa"
7765,"Joyce Kingsbury"
7766,"Gerald Uglem"
7767,"Lee Kaldor"
7770,"Matthew Klein"
7771,"Gary Kreidt"
7772,"Robert Kilichowski"
7773,"Chet Pollert"
7776,"Mike Nathe"
7777,"Eliot Glassheim"
7778,"Robert Frantsvog"
7780,"Patrick Hatlestad"
7781,"David Rust"
7783,"Dennis Johnson"
7784,"Larry Bellew"
7785,"James Kasper"
7786,"Jerome Kelsh"
7787,"Dwight Wrangham"
7788,"Tom Conklin"
7789,"Vonnie Pietsch"
7791,"Scot Kelsh"
7793,"Steve Zaiser"
7795,"David Monson"
7796,"Brenda Heller"
7797,"Kim Koppelman"
7798,"Michael Brandenburg"
7800,"Joe Kroeber"
7801,"Clark Williams"
7802,"Al Carlson"
7803,"Richard Holman"
7804,"James Schmidt"
7806,"Judy Lee"
7807,"Stanley Lyson"
7808,"John Warner"
7809,Nelson
7810,"Joan Heckaman"
7812,"Jerry Klein"
7813,"Terry Wanzek"
7814,"Gary Lee"
7815,"Ray Holmberg"
7816,"Tony Grindberg"
7817,"Dave Oehlke"
7818,"Dave Nething"
7819,"Constance Triplett"
7821,"Dick Dever"
7822,"Larry Robinson"
7823,"Tim Flakoll"
7824,"John Andrist"
7826,"David Hogue"
7827,"Tom Fischer"
7828,"Bill Bowman"
7829,"Karen Krebsbach"
7830,"George Nodland"
7831,"Rich Wardner"
7833,"Curtis Olafson"
7834,"Jim Dotzenrod"
7835,"Joe Miller"
7837,"Mac Schneider"
7839,"Dwight Cook"
7840,"Richard Marcellais"
7841,"Randel Christmann"
7842,"Ralph Kilzer"
7843,"David O'Connell"
7844,"Tim Mathern"
7845,"Layton Freborg"
7846,"Ryan Taylor"
7848,"Robert Erbele"
7849,"Robert Stenehjem"
7852,"Lonny Winrich"
10426,"Mark Sanford"
10428,"Larry Luick"
10432,"Mark Owens"
10434,"Oley Larsen"
10435,"Andrew Maragos"
10436,"Thomas Beadle"
10884,"William Devlin"
10885,"Jon Nelson"
10886,"Joe Heilman"
10887,"Ronald Sorvaag"
10888,"Margaret Sitte"
10889,"Scott Louser"
10890,"Ron Guggisberg"
10891,"Lonnie Laffen"
10892,"Roger Brabandt"
10893,"Donald Schaible"
10894,"Vicky Steiner"
10895,"Karen Rohr"
10896,"Curtiss Kreun"
10897,"Spencer Berry"
10898,"Marvin Nelson"
10899,"Roscoe Streyle"
10900,"Randall Burckhard"
10901,"Gary Paur"
10902,"Dick Anderson"
10903,"Philip Murphy"
10904,"Wayne Trottier"
10905,"Kathy Hogan"
