bill_number,bill_id,title
LB683,150218,"Revisor bill to repeal section stating legislative intent for fiscal year 2006-07"
LB684,150219,"Revisor bill to repeal sections that terminated in 2000 governing the Contribution Distributive Fund and the Social Security Cash Fund"
LB685,150220,"Change membership provisions relating to the Executive Board of the Legislative Council"
LB686,150221,"Change fees received by clerks and registers of deeds"
LB687,150222,"Change amounts of homestead allowance, exempt property, and family allowance for decedents' estates"
LB688,150223,"Change and provide provisions for abandoned vehicles"
LB689,150224,"Change Water Resources Cash Fund, Ethanol Production Incentive Cash Fund, and ethanol excise tax provisions"
LB690,150225,"Change deadline provisions relating to trade name publication filings"
LB691,150226,"Provide for issuance of cease and desist orders under the Nebraska Real Estate License Act"
LB692,150227,"Change a duty of county assessors relating to real property valuation"
LB693,150228,"Provide authorization for foreign insurers to offer health insurance in Nebraska"
LB694,150229,"Provide restrictions for sexual predators and penalties"
LB695,150230,"Change the jurisdictional amount of the Small Claims Court"
LB696,150231,"Change provisions relating to disposal fees under the Integrated Solid Waste Management Act"
LB697,150232,"Prohibit use of wireless devices by school bus drivers"
LB698,150233,"Eliminate certain insurance premium tax provisions"
LB699,150234,"Require information obtained pursuant to certain arrests be forwarded to federal immigration authorities"
LB700,150235,"Require certain construction and remodeling work to be supervised as prescribed in order to obtain a building permit"
LB701,150236,"Change distribution of ICF/MR Reimbursement Protection Fund"
LB702,150237,"Change provisions relating to a patient's access to medical records"
LB703,150238,"Change provisions relating to powers of attorney"
LB704,150239,"Change a renewable energy tax credit"
LB705,150240,"Remove a limitation on issuance of Pearl Harbor, prisoner-of-war, and disabled veteran license plates"
LB706,150241,"Provide fees for competency assessments of hearing interpreters"
LB707,150242,"Change provisions and penalties relating to unlawful intrusion"
LB708,150243,"Change certain date provisions relating to property tax exemptions"
LB709,150244,"Adopt the Small Business Regulatory Flexibility Act"
LB710,150245,"Prohibit performance of chiropractic adjustments as prescribed"
LB711,150246,"Change provisions relating to unified school systems and certification dates for state aid"
LB712,150247,"Change provisions relating to legal process"
LB713,150248,"Change provisions relating to school health inspections and authorize health data sharing"
LB714,150249,"Change requirements for disclaimers on political material"
