bill_id,sponsor_id
149940,6907
149941,6908
149942,6909
149943,6910
149944,6910
149945,6911
149946,6912
149947,6913
149948,6914
149949,6915
149950,6916
149951,6916
149952,6917
149953,6918
149954,6919
149955,6920
149956,6921
149957,6922
149958,6907
149959,6923
149960,6924
149961,6924
149962,6924
149963,6925
149964,6926
149965,6925
149966,6913
149967,6913
149968,6927
149969,6928
149970,6908
149971,6929
149972,6913
149973,6928
149974,6930
149975,6930
149976,6912
149977,6928
149978,6922
149979,6931
149980,6927
149981,6928
149982,6932
149983,6907
149984,6912
149985,6933
149986,6916
149987,6918
149988,6918
149989,6918
149990,6918
149991,6918
149992,6914
149993,6934
149994,6907
149995,6931
149996,6918
149997,6918
149998,6918
149999,6918
150000,6919
150001,6917
150002,6909
150003,6909
150004,6935
150005,6935
150006,6910
150007,6931
150008,6922
150009,6922
150010,6936
150011,6931
150012,6929
150013,6929
150014,6933
150015,6936
150016,6910
150017,6908
150018,6912
150019,6912
150020,6912
150021,6912
150022,6915
150023,6915
150024,6937
150025,6927
150026,6910
150027,6934
150028,6933
150029,6931
150030,6938
150031,6915
150032,6932
150033,6912
150034,6919
150035,6939
150036,6928
150037,6940
150038,6940
150039,6941
150040,6919
150041,6909
150042,6927
150043,6927
150044,6927
150045,6927
150046,6927
150047,6927
150048,6927
150049,6927
150050,6927
150051,6927
150052,6942
150053,6914
150054,6943
150055,6943
150056,6943
150057,6943
150058,6944
150059,6908
150060,6924
150061,6934
150062,6938
150063,6938
150064,6909
150065,6942
150066,6945
150067,6937
150068,6915
150069,6912
150070,6911
150071,6927
150072,6927
150073,6944
150074,6946
150075,6947
150076,6947
150077,6948
150078,6931
150079,6927
150080,6933
150081,6929
150082,6929
150083,6943
150084,6949
150085,6949
150086,6949
150087,6914
150088,6927
150089,6946
150090,6944
150091,6948
150092,6948
150093,6909
150094,6931
150095,6921
150096,6921
150097,6950
150098,6950
150099,6950
150100,6950
150101,6950
150102,6907
150103,6907
150104,6907
150105,6907
150106,6942
150107,6916
150108,6916
150109,6916
150110,6916
150111,6914
150112,6914
150113,6938
150114,6922
150115,6907
150116,6909
150117,6951
150118,6911
150119,6946
150120,6907
150121,6907
150122,6915
150123,6915
150124,6915
150125,6950
150126,6950
150127,6927
150128,6935
150129,6947
150130,6943
150131,6928
150132,6937
150133,6927
150134,6948
150135,6948
150136,6921
150137,6910
150138,6925
150139,6907
150140,6940
150141,6920
150142,6920
150143,6920
150144,6920
150145,6925
150146,6909
150147,6909
150148,6934
150149,6934
150150,6934
150151,6934
150152,6934
150153,6911
150154,6939
150155,6952
150156,6934
150157,6934
150158,6934
150159,6953
150160,6953
150161,6910
150162,6912
150163,6912
150164,6925
150165,6946
150166,6918
150167,6951
150168,6921
150169,6911
150170,6911
150171,6912
150172,6935
150173,6935
150174,6935
150175,6949
150176,6949
150177,6949
150178,6915
150179,6913
150180,6913
150181,6912
150182,6907
150183,6946
150184,6941
150185,6954
150186,6952
150187,6952
150188,6945
150189,6942
150190,6912
150191,6924
150192,6935
150193,6908
150194,6955
150195,6952
150196,6918
150197,6918
150198,6918
150199,6914
150200,6942
150201,6921
150202,6944
150203,6955
150204,6941
150205,6915
150206,6924
150207,6946
150208,6946
150209,6946
150210,6910
150211,6910
150212,6923
