bill_id,sponsor_id
214486,6937
214487,6958
214488,6918
214489,6958
214490,6958
214491,6921
214492,6958
214493,6923
214494,6958
214495,6941
214496,6958
214497,6913
214498,6958
214499,6913
214500,6958
214501,6907
214502,6958
214503,6920
214504,6958
214505,6933
214506,6958
214507,6933
214508,6940
214509,6940
214510,6940
214511,6940
214512,6940
214513,6940
214514,6936
214515,6923
214516,6923
214517,6923
214518,6923
214519,6937
214520,6937
214521,6937
214522,6937
214523,6937
214524,6937
214525,6937
214526,6937
214527,6937
214528,6937
214529,6932
214530,6932
214531,6918
214532,6918
214533,6918
214534,6949
214535,6949
214536,6917
214537,6917
214538,6917
214539,6923
214540,6923
214541,6924
214542,6924
214543,6921
214544,6935
214545,6941
214546,6941
214547,6941
214548,6941
214549,6941
214550,6907
214551,6907
214552,6907
214553,6907
214554,6936
214555,6936
214556,6941
214557,6955
214558,6955
214559,6934
214560,6934
214561,6934
214562,6934
214563,6921
214564,6924
214565,6948
214566,6948
214567,6948
214568,6948
214569,6948
214570,6948
214571,6948
214572,6948
214573,6948
214574,6925
214575,6925
214576,6934
214577,6922
214578,6922
214579,6921
214580,6913
214581,6943
214582,6943
214583,6943
214584,6943
214585,10445
214586,6929
214587,6910
214588,6910
214589,6910
214590,6910
214591,6956
214592,6913
214593,6921
214594,6922
214595,6922
214596,6920
214597,6920
214598,6920
214599,6920
214600,6920
214601,6920
214602,6950
214603,6950
214604,6950
214605,6950
214606,6933
214607,6922
214608,6927
214609,6927
214610,6942
214611,6915
214612,6915
214613,6915
214614,6915
214615,6915
214616,6915
214617,6918
214618,6955
214619,6915
214620,6915
214621,6915
214622,6915
214623,6915
214624,6915
214625,6955
214626,6955
214627,6927
214628,6928
214629,6934
214630,10446
225536,6912
225537,6933
225538,6948
225539,6944
225540,6944
225541,6944
225542,6944
225543,6915
225544,6927
225545,6935
225546,6924
225547,10446
225548,6919
225549,6919
225550,6919
225551,10906
225552,6924
225553,6953
225554,6953
225555,6953
225556,6953
225557,6953
225558,6953
225559,6953
225560,6949
225561,6949
225562,6949
225563,6925
225564,6917
225565,6915
225566,6915
225567,6930
225568,6930
225569,6930
225570,6930
225571,6935
225572,6919
225573,6919
225574,6922
225575,6921
225576,6954
225577,6911
225578,6913
225579,6911
225580,6921
225581,6932
225582,6921
225583,6922
225584,6921
225585,6915
225586,6915
225587,6921
225588,6915
225589,6915
225590,6915
225591,6915
225592,6915
225593,6915
225594,6911
225595,6961
225596,6941
225597,6921
225598,6960
225599,6960
225600,6940
225601,10446
225602,6924
225603,6962
225604,6942
225605,6942
225606,6942
225607,6942
225608,6942
225609,6942
225610,6910
225611,6910
225612,6962
225613,6930
225614,6927
225615,6907
225616,6927
225617,6942
225618,6942
225619,6942
225620,6942
225621,6942
225622,6907
225623,6940
225624,6962
225625,6937
225626,6934
225627,6934
225628,6934
225629,6961
225630,6944
225631,6944
225632,6921
225633,6922
225634,6921
225635,6913
225636,6923
225637,6921
225638,6935
225639,6933
225640,6913
225641,6915
225642,6911
225643,6933
225644,6907
225645,6907
225646,6921
225647,6962
225648,6943
225649,6943
225650,6941
225651,6921
225652,6936
225653,6936
225654,6910
225655,6952
225656,6935
225657,6914
225658,6917
225659,6917
225660,6950
225661,6950
225662,6950
225663,6913
225664,6948
225665,6927
225666,6913
225667,6961
225668,6942
225669,6934
225670,10906
225671,6911
225672,6961
225673,6913
225674,6921
225675,6941
225676,6921
225677,6930
225678,6930
225679,6930
225680,6930
225681,6955
225682,6922
225683,6962
225684,6910
225685,6910
225686,6952
225687,10907
225688,10907
225689,6924
225690,6927
225691,6933
225692,6924
225693,6942
225694,6922
225695,6922
225696,6913
225697,6930
225698,6913
225699,6932
225700,6949
225701,6941
225702,6941
225703,6941
225704,6936
225705,6907
225706,6907
225707,6944
225708,6908
225709,6915
225710,6915
225711,6913
225712,6930
225713,6922
225714,6927
225715,6943
225716,6913
225717,6928
225718,6928
225719,6928
225720,6923
225721,6925
225722,10906
225723,10906
225724,6913
225725,6954
225726,6954
225727,6925
225728,6913
225729,6922
225730,6914
225731,6913
225732,6937
225733,6955
225734,6952
225735,6934
225736,6934
225737,6934
225738,6934
225739,6934
225740,6934
225741,6910
225742,6910
225743,6935
225744,6911
225745,6921
225746,6938
225747,6938
225748,10908
225749,10908
225750,10908
225751,10908
225752,6925
225753,6913
225754,6924
225755,6910
225756,6928
225757,6927
225758,10446
225759,10909
225760,10909
225761,6928
225762,6952
225763,6952
225764,6923
225765,6953
225766,6953
225767,6953
225768,6953
225769,6953
225770,6953
225771,6950
225772,6950
225773,6950
225774,6928
225775,6949
225776,6949
225777,6934
225778,6934
225779,6934
225780,6934
225781,6921
225782,6962
225783,6923
225784,6923
225785,10909
225786,6910
225787,6940
225788,10910
225789,6936
225790,6931
225791,6931
225792,6931
225793,6931
225794,6931
225795,6931
225796,6931
225797,6931
225798,6931
225799,6914
225800,6934
225801,6934
225802,6919
225803,6955
225804,6917
225805,6940
225806,6934
225807,6928
225808,6920
225809,6920
225810,6920
225811,6920
225812,6920
225813,6948
225814,6930
225815,6930
225816,6915
225817,6935
225818,6910
225819,6910
225820,6942
225821,6912
225822,6934
225823,6938
225824,6913
225825,6924
225826,6919
225827,6919
225828,6913
225829,6913
225830,6952
225831,6952
225832,6939
225833,6939
225834,6939
225835,6908
225836,6908
227958,6908
227959,6927
227960,6944
227961,6914
227962,6941
227963,6953
227964,6953
227965,6934
227966,6934
227967,6934
227968,6934
227969,6934
227970,6917
227971,6917
227972,6911
227973,6948
227974,6948
227975,6933
227976,6954
227977,6910
227978,6955
227979,6955
227980,6955
227981,6915
227982,6915
227983,6915
227984,6936
227985,6936
227986,6924
227987,6948
227988,6908
227989,6928
227990,6928
227991,6928
227992,6948
227993,6948
227994,6948
227995,10980
227996,6911
227997,6920
227998,6920
227999,6928
228000,6912
228001,6928
228002,6911
228003,6911
228004,6933
228005,6911
228006,6913
228007,6913
228008,6913
228009,6913
228010,6932
228563,6911
228564,6915
228565,6948
228566,6948
228567,6910
228568,6955
228569,6910
228570,10980
228571,6912
228572,6911
230546,6942
230547,6953
230548,6953
230549,6921
230550,6923
230551,6930
230552,6941
230553,6941
230554,6919
230555,6917
230556,6917
230557,6913
230558,6932
230559,6913
230560,6914
230561,6934
230562,6913
230563,6948
230564,6914
230565,6944
230566,6910
230567,6938
230568,6938
230569,6938
230570,6912
230571,6911
230572,6913
230573,6939
230574,6918
230575,11282
230576,6947
230577,6947
230578,6943
230579,6943
230580,6943
230581,6943
230582,6943
230583,6943
230584,6943
230585,6912
230586,6924
230587,6948
230588,6925
230589,6930
230590,6950
230591,6950
230592,6950
230593,6950
230594,6942
230595,6924
230596,6913
230597,10446
230598,6913
230599,6913
230600,10980
230601,10980
230602,6938
233354,6942
233355,6912
233356,6914
233357,6919
233358,6919
233359,6912
233360,6912
233361,6912
233362,6930
233363,6931
233364,6931
233365,6918
233366,6955
233367,6907
233368,6907
233369,6915
233370,6932
233371,6943
233372,6910
233373,6949
233374,6921
233375,6919
233376,6940
233377,10980
233378,6910
233379,6948
233380,6948
233381,6933
233382,6938
233383,6923
233384,6942
233385,6940
233386,6920
233387,6914
233388,6925
233389,6918
233390,6918
233391,6927
233392,6927
233393,6914
233394,6934
233395,6934
233396,6934
233397,6934
233398,6919
233399,6924
233400,6928
233401,10910
233402,10910
233403,10910
233404,6922
233405,6922
233406,6929
233407,6929
233408,6929
233409,6929
233410,6929
233411,6940
233412,6940
233413,6949
233414,6949
233415,6949
233416,6949
233417,6949
233418,6949
233419,6924
233420,6965
233421,6965
233422,6914
233423,6914
233424,10446
233425,6933
233426,6933
233427,6950
233428,6950
233429,6950
233430,6950
233431,6950
233432,6948
233433,6924
233434,6911
233435,6911
233436,6911
233437,6911
233438,6952
233439,6952
233440,6952
233441,6915
233442,6915
233443,6912
233444,6912
233445,6912
233446,6912
233447,6912
233448,6912
233449,6912
233450,6941
233451,6907
233452,6907
233453,10445
233454,10906
233455,10906
233456,6955
233457,6953
233458,6953
233459,6953
233460,6924
233461,6907
233462,6907
233463,6938
233464,6962
233465,6925
233466,6938
233467,6915
233468,6936
233469,6936
233470,6936
233471,6936
233472,6936
233473,6913
233474,10910
233475,6934
233476,6934
233477,6934
233478,6953
233479,6953
233480,6943
233481,6943
233482,6943
233483,6943
233484,6943
233485,6943
233486,6943
233487,6943
233488,6943
233489,6943
233490,6943
233491,6935
233492,6935
233493,6913
233494,6913
233495,6913
233496,6913
233497,6938
233498,6914
233499,6908
233500,6912
233501,6912
233502,6931
233503,6931
233504,6931
233505,6931
233506,6931
233507,6931
233508,10445
233509,6912
233510,6930
233511,6930
233512,6930
233513,6955
233514,6955
233515,6913
233516,6907
233517,6907
233518,6920
233519,6920
233520,6920
233521,6920
233522,10446
233523,6943
233524,10909
233525,10909
233526,6920
233527,6950
233528,6952
233529,6912
233530,6914
233531,6922
233532,6943
235841,6931
236856,10910
236857,10910
236858,6920
237734,6929
237735,6929
241204,6925
241205,6935
241206,6935
241207,6922
242729,6919
246392,6940
246393,10906
247865,10446
247870,6931
250020,6918
251102,6921
253604,6917
254880,6917
259779,6940
260352,6940
263102,6921
263263,6917
263814,6919
264191,10906
266392,6929
268041,6931
269547,10906
270771,10906
272635,10909
276632,6933
285454,6941
285916,6960
286483,6917
287893,6919
288758,6918
288768,6918
288852,6918
289264,6911
289639,6948
290627,6932
290633,6947
290640,6929
290658,6950
290755,6919
291503,6924
291634,6911
291694,6934
291721,6931
291882,6915
292233,6915
292468,6931
292476,6918
292571,6940
292576,6932
292605,6918
294665,6914
294882,10445
294969,10445
295342,10445
295515,6933
295556,6948
295562,12577
296344,6936
296467,6934
296567,6910
296584,6910
296613,11282
296680,6910
296976,10906
296993,6910
297043,6910
297153,6919
297224,6907
297679,6929
297738,6942
297753,6934
298204,10446
299030,6917
300714,6931
301389,6928
301439,6924
301720,6918
301893,6928
302065,6944
303167,6935
303177,6938
303186,6918
304141,6930
304459,11282
304560,6929
305580,10906
305712,6911
306229,6929
307027,6944
307308,6942
307684,6921
307943,6938
308129,6911
309360,11282
309538,6910
310197,10445
310242,10446
310688,6914
311044,6907
311335,6948
311519,6920
311767,6955
311947,6936
311998,6922
