bill_id,roll_call_id,date,description,yea,nay,nv
670188,486617,2015-03-06,"Passed on Final Reading 45-0-4",45,0,2
670189,486573,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670190,485398,2015-05-21,"Failed on Final Reading with Emergency Clause 32-12-5",32,12,1
670190,485399,2015-05-21,"Passed on Final Reading with Emergency Clause stricken 30-11-8",30,11,4
670190,485400,2015-05-21,"Passed on Final Reading with Emergency Clause 35-11-3",35,11,2
670191,485382,2015-05-07,"Passed on Final Reading 44-0-5",44,0,5
670193,486533,2015-02-20,"Passed on Final Reading with Emergency Clause 49-0-0",49,0,0
670194,486093,2015-05-20,"Passed on Final Reading 46-0-3",46,0,2
670195,486598,2015-04-23,"Passed on Final Reading with Emergency Clause 47-0-2",47,0,0
670196,485377,2015-02-27,"Passed on Final Reading 46-0-3",46,0,1
670200,486566,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670201,486518,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670202,486500,2015-02-20,"Passed on Final Reading 49-0-0",49,0,0
670205,485383,2015-05-21,"Passed on Final Reading 44-2-3",44,2,2
670207,486429,2015-05-07,"Passed on Final Reading 40-8-1",40,8,1
670212,486580,2015-02-12,"Passed on Final Reading 43-0-6",43,0,1
670217,486345,2015-02-20,"Passed on Final Reading with Emergency Clause 49-0-0",49,0,0
670218,524586,2016-03-24,"Passed on Final Reading 32-11-6",32,11,5
670223,486555,2015-02-12,"Passed on Final Reading 43-0-6",43,0,1
670224,486423,2015-02-20,"Passed on Final Reading 49-0-0",49,0,0
670225,486564,2015-02-27,"Passed on Final Reading 46-0-3",46,0,0
670229,486349,2015-03-12,"Passed on Final Reading 43-0-6",43,0,0
670232,486365,2015-02-20,"Passed on Final Reading 48-0-1",48,0,1
670233,486624,2015-02-27,"Passed on Final Reading 46-0-3",46,0,0
670234,486577,2015-02-27,"Passed on Final Reading 47-0-2",47,0,0
670237,486476,2015-02-20,"Passed on Final Reading 49-0-0",49,0,0
670238,486322,2015-05-21,"Passed on Final Reading 47-0-2",47,0,1
670240,486453,2015-04-07,"Passed on Final Reading 44-0-5",44,0,0
670246,486270,2015-05-07,"Passed on Final Reading 47-0-2",47,0,2
670249,486545,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670253,512128,2016-02-29,"Passed on Final Reading 44-0-5",44,0,3
670260,485366,2015-03-12,"Passed on Final Reading 44-0-5",44,0,0
670263,486614,2015-02-27,"Passed on Final Reading 47-0-2",47,0,0
670265,510071,2016-02-29,"Passed on Final Reading 41-0-8",41,0,4
670271,486357,2015-02-20,"Passed on Final Reading 48-0-1",48,0,1
670273,486554,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670274,486583,2015-03-06,"Passed on Final Reading 42-4-3",42,4,1
670275,486525,2015-02-20,"Passed on Final Reading 48-0-1",48,0,1
670277,486524,2015-02-20,"Passed on Final Reading 49-0-0",49,0,0
670278,486479,2015-02-20,"Passed on Final Reading 49-0-0",49,0,0
670279,486636,2015-05-20,"Passed on Final Reading 46-0-3",46,0,2
670281,485362,2015-03-12,"Passed on Final Reading 39-2-8",39,2,2
670282,486296,2015-03-12,"Passed on Final Reading 44-0-5",44,0,0
670283,486575,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670285,486576,2015-02-12,"Passed on Final Reading 44-0-5",44,0,0
670288,486433,2015-02-20,"Passed on Final Reading with Emergency Clause 49-0-0",49,0,0
670291,492164,2016-02-05,"Passed on Final Reading 48-0-1",48,0,0
670292,486589,2015-04-23,"Passed on Final Reading with Emergency Clause 47-0-2",47,0,0
670293,486234,2015-03-12,"Passed on Final Reading 43-0-6",43,0,1
670296,485451,2015-04-23,"Failed on Final Reading with Emergency Clause 31-16-2",31,16,0
670296,485452,2015-04-23,"Passed on Final Reading with Emergency Clause stricken 30-15-4",31,16,0
