bill_id,sponsor_id
670186,6923
670187,14760
670188,6922
670189,10907
670190,10910
670191,15142
670192,10906
670193,10910
670194,14760
670195,14760
670196,14758
670197,14760
670198,6907
670199,6923
670200,10907
670201,10907
670202,6914
670203,14760
670204,6914
670205,14563
670206,15144
670207,10910
670208,10910
670209,10910
670210,10910
670211,10906
670212,10907
670213,6941
670214,6922
670215,6941
670216,14759
670217,14758
670218,6938
670219,10910
670220,6938
670221,6933
670222,14760
670223,10907
670224,6962
670225,10446
670226,14760
670227,10910
670228,6941
670229,6941
670230,10906
670231,14760
670232,6914
670233,14760
670234,6911
670235,6941
670236,6941
670237,15143
670238,6938
670239,10446
670240,6907
670241,14756
670242,10910
670243,6941
670244,14759
670245,14756
670246,6933
670247,10446
670248,10910
670249,10907
670250,15142
670251,10910
670252,15142
670253,14760
670254,6941
670255,14756
670256,6941
670257,10910
670258,6941
670259,6941
670260,14563
670261,14760
670262,6941
670263,6911
670264,6923
670265,6941
670266,6941
670267,10910
670268,6933
670269,10910
670270,6962
670271,15143
670272,15144
670273,10907
670274,6911
670275,6922
670276,6941
670277,6914
670278,15143
670279,6941
670280,14758
670281,6910
670282,6910
670283,10907
670284,6962
670285,10907
670286,10910
670287,10906
670288,6962
670289,14563
670290,6941
670291,14563
670292,6941
670293,6941
670294,6941
670295,11282
670296,6911
670297,10446
670298,14760
670387,15142
670475,15142
670561,15142
670646,14563
670734,15142
670818,15142
671425,14563
671428,6920
671432,10910
671435,14758
671439,14758
671443,6923
671448,14760
671451,15143
671456,16742
671459,15143
671463,6954
671465,16610
671469,6914
671473,6949
671477,10910
671482,15143
671486,15143
671493,6954
671498,10910
671501,14758
671507,15143
671511,6954
671514,6914
671518,6920
671522,16612
671527,15142
671531,14757
671535,15142
671540,15143
671544,14757
671548,6914
671552,6954
671554,10910
671558,10445
671562,10910
671566,14563
671569,6920
671574,10910
671578,15143
671584,16610
671587,10906
671591,16611
671592,6949
671708,6933
671818,16609
671928,6917
672780,6933
672793,16686
672806,16685
672823,6917
672836,6907
672850,14758
672867,16687
672882,6949
672897,14757
672913,10446
672943,14760
672956,10910
672975,10906
672989,14757
673006,6920
673019,14758
673035,16687
673050,6920
673064,6907
673077,6933
673094,10910
673106,6920
673123,6907
673135,10909
673161,10906
673186,10906
673211,15143
673237,16610
673265,10909
673292,6949
673316,10909
673345,10906
673371,14759
673399,14563
673426,10906
673451,15142
673476,11282
673511,10909
673537,10906
673564,6923
673589,10909
673618,15142
673644,14756
673671,10910
673698,14756
673726,11282
673752,14563
673777,10909
674625,13864
674632,16609
674641,10446
674651,15142
674661,16610
674674,14563
674684,10445
674694,6910
674703,13864
674714,6920
674725,6917
674735,6911
674744,15142
674759,10910
674769,14760
674779,16741
674788,10910
674800,16743
674811,15144
674822,14758
674833,6920
674845,6920
674853,14563
674863,10445
674872,10445
674887,6960
674897,16742
674907,15142
674917,6920
674929,14757
674939,10445
674949,6922
674959,6914
674972,6917
674981,6920
674992,6920
675001,6917
675146,17047
675268,6910
675390,6941
675509,10446
675631,6933
675752,6910
675871,6907
678282,14756
678297,6960
678316,6922
678333,14757
678353,6933
678372,16612
678394,15143
678415,6962
678435,6933
678452,6962
678471,16611
678491,6914
678511,6962
678531,15143
678547,16829
678563,16830
678581,11282
678601,14758
678619,6922
678638,16831
678659,6960
678678,14758
678695,16610
678717,10910
678736,16611
678752,16830
678771,16611
678791,16610
678811,6914
678829,6949
678848,6911
678865,16611
678881,6933
678899,6962
678919,10906
678935,6914
678952,6962
678969,16612
678986,14758
679032,6922
679087,10445
679143,16685
679200,10445
679257,10910
679313,15142
679370,10445
679426,14562
679483,16896
680772,10906
680780,15144
680793,10910
680801,6922
680812,6960
680823,15144
680834,6960
680848,16743
680860,10910
680871,17048
680880,6920
680889,6922
680901,6914
680913,15142
680926,16742
680936,14759
680947,11282
680958,15142
680968,14757
680980,14760
680986,14756
681002,16610
681014,15144
681026,16896
681037,16609
681050,16743
681058,17029
681068,13864
681080,10910
681096,15142
681106,15142
681114,17029
681128,6961
681136,6949
681146,14756
681158,14756
681168,16742
681182,6910
681194,17048
681203,6922
681211,6961
681222,16687
681234,6920
681248,6911
681261,16610
681272,6961
681281,14760
681294,17047
681302,16896
681315,10446
681322,14759
681328,6914
681366,6941
681388,10909
681414,10445
681436,6911
681459,6941
681482,16611
681506,16830
681527,15143
681553,6914
681577,10445
681599,6907
681622,10445
681645,15144
681670,6962
681694,6941
681718,16687
681740,6941
681762,16163
681785,10445
681815,16831
681836,6910
681860,10446
681883,17029
681906,10906
681929,15143
681952,6941
681977,10909
682000,6933
682023,6910
682047,15144
682068,16896
682094,15144
682115,10909
682139,16896
682162,10909
682185,16831
682207,14760
682232,6910
682254,14563
682274,6907
682469,16741
682602,6949
682735,16609
682867,16609
682996,16610
683546,6960
683547,16686
683548,14758
683549,16163
683550,14563
683551,17047
683552,6920
683553,15142
683554,6920
683555,14758
683556,16831
683557,10445
683558,16896
683559,17048
683560,14758
683561,16896
683562,16686
683563,16611
683564,6938
683565,10446
683566,6962
683567,6907
683568,15142
683569,14756
683570,14759
683571,17047
683572,6960
683573,15142
683574,6920
683575,17047
683576,17029
683577,10446
683578,15142
683579,10446
683580,6907
683581,16687
683582,16831
683583,16896
683584,6914
683585,6910
683586,6914
683587,16743
683588,16830
683589,16830
683590,10445
683591,6907
683592,16611
683593,14758
683594,6949
683595,6938
683596,6960
683597,10445
683598,6920
683599,6938
683600,6907
685613,15142
685623,16611
685633,16830
685644,6914
685657,16685
685667,14563
685678,17047
685689,6933
685698,6941
685711,10445
685723,16611
685734,16611
685743,10445
685755,6907
685767,6920
685778,6911
685788,6938
685798,16685
685812,16611
685823,6914
685835,6938
685846,17029
685857,6941
685867,16830
685878,16831
685889,6910
685898,14757
685910,6914
685920,6941
685931,15142
685941,10445
685953,17029
685964,14758
685974,6914
685985,6933
685995,6938
686012,16741
686022,6960
686034,14760
686044,6962
686057,10446
686069,11282
686079,6914
686091,6960
686101,16612
686112,6914
686124,17029
686136,16685
686147,6907
686157,6914
686168,14756
686179,16741
686192,10445
686203,17029
686218,16610
686228,6941
686239,16163
686249,10445
686261,13864
686273,14756
686284,17047
686294,6933
686307,14756
686320,11282
686329,15142
686340,16611
686351,6920
686361,17048
686374,14759
686384,16831
686395,16830
686405,14757
686413,6907
687720,6962
687722,6933
687727,6941
687734,15144
687738,15144
687743,6962
687751,16609
687755,15144
687765,13761
687772,14563
687778,10445
687782,6949
687790,6914
687796,16612
687802,16896
687809,16611
687818,6962
687821,6914
687831,6938
687835,16609
687840,6911
687848,16896
687853,6941
687860,6962
687869,6941
687875,6938
687881,6962
687887,16831
687894,10445
687900,6938
687906,10445
687910,17047
687920,6911
687926,6962
687930,14563
687939,6941
687945,6962
687951,10445
687956,14758
687965,6962
687972,16609
687977,6941
687984,6911
687990,6917
687994,16612
688001,6910
688006,10446
688015,6941
688021,6962
688028,10445
688033,14756
688041,10445
688045,6938
688051,16741
688057,6917
688066,6941
688071,6962
688079,6965
688083,6938
688088,6962
688095,14758
688100,6962
688129,15142
688138,14562
688148,10909
688159,6914
688167,14756
688179,10906
688187,16687
688198,16163
688207,15142
688216,16611
688230,14759
688241,6914
688250,6914
688258,14760
688271,10909
688280,6922
688289,10906
688299,16163
688309,10446
688321,11282
688331,16610
688344,16830
688354,14759
688365,14562
688374,6907
688384,16163
688393,14759
688406,16742
688415,14562
688426,14759
688436,6920
688446,10906
688463,6941
688471,16163
688480,15142
688491,16830
688501,14562
688510,16163
688522,10906
688535,14759
688544,10906
688553,15142
688563,16163
688578,10906
688589,6914
688596,6907
688605,16685
688617,10906
688632,16612
688640,6907
688651,16687
688660,16610
688669,6941
688678,16610
688693,15142
688702,6914
688712,10446
688720,16163
688733,6911
688745,16163
688755,13864
688764,10910
688774,6907
688783,6914
688792,6947
688808,16611
688817,16686
688827,15142
688838,10909
688844,6920
688857,14760
688867,6920
688877,14759
688887,14756
688897,15143
688906,15142
688920,16612
688929,15143
688940,15144
688950,14562
688960,6914
688970,11282
688979,16163
688991,14562
689000,17048
689009,10910
689019,6914
689034,11282
689042,10906
689052,6907
689062,14759
689071,6961
689083,6910
689093,6907
689102,11282
689112,10909
689121,16163
689128,6920
691185,6917
691292,16609
691400,6917
691504,6917
691611,6917
691719,6917
691827,6917
691937,6917
692045,6917
696134,13864
698023,13864
698190,13864
698194,6911
698418,16685
698643,6922
700512,16609
701755,17047
701993,16609
704268,6922
706375,6922
706872,10446
707549,6920
707891,6941
710245,14759
711463,6938
711629,6938
711799,15143
717053,6911
720056,17029
722149,16610
722503,10909
727070,6941
727212,6941
727213,15143
727393,6941
728398,15143
729609,16741
729699,6917
729789,14759
731349,6938
731670,6938
731992,16685
732807,13864
732848,6941
732892,6914
732933,16611
734067,6941
734148,6941
734225,16610
734306,16830
734384,16610
734464,16610
734547,16610
734865,16830
735103,16610
735566,16163
735988,17047
736065,15143
736141,17047
736219,15143
736296,15143
736377,15143
736453,15143
736531,15143
737749,10906
737872,10906
737995,10906
738119,10906
739834,13864
740410,15143
740520,15144
740631,15144
741766,14756
741847,13864
742874,10906
742920,10906
742968,10906
743011,14757
743058,10906
743101,10906
743106,6920
743312,6920
744128,16612
744208,16612
744287,16612
744362,15142
744554,6911
744741,15142
745304,16829
746451,10446
747075,14756
747264,14760
748653,6933
751534,16687
751680,14563
751826,16685
754691,14756
757758,14563
757827,16609
757900,16742
758015,10446
758378,15143
758428,10909
758480,10445
758535,16741
759200,16610
759223,10445
759249,16829
759274,10909
759300,6938
759326,16829
759352,10909
759433,6911
759482,15143
759529,6923
759575,11282
759905,16609
760015,16609
760177,10909
760224,10909
760271,16743
760320,6922
760363,14563
760579,16612
760601,16612
760626,16612
760647,16612
760671,6962
760693,17047
760794,14756
760866,6962
760938,13864
761139,6922
761326,6923
761785,14756
761863,17047
761866,10909
761909,6938
761953,10910
761996,16612
762040,16609
762329,15142
762346,15142
762363,6922
762381,15142
762400,14758
762416,6920
762433,15142
762450,15142
762466,15142
762483,16610
762485,6954
762601,6954
762752,16612
763259,6911
763376,6911
764437,16610
764513,6907
764593,6910
764741,6914
764775,14758
765049,6949
765079,10909
765109,10909
765140,14756
765169,17047
765583,16163
765615,10906
765647,10906
765679,10906
765711,6941
765744,16609
767295,14563
767343,6938
767609,6922
767633,6907
767653,6917
767675,6960
767687,14758
767843,6960
767909,16742
767978,15144
768012,16830
768133,15142
768172,6910
768175,17048
768213,6941
768339,16163
768807,10445
768840,17047
768873,10445
768904,17047
769434,14758
769479,10910
769525,16611
769571,16741
769702,16741
769786,16741
769790,15142
772718,16611
772728,16163
772737,16609
772747,6911
772756,16609
772768,10909
772799,6960
772832,6941
773022,10446
773189,6962
773212,6907
773232,15142
773255,6911
773279,6962
773355,14760
773530,6907
773877,14759
773925,16609
773969,16609
774012,10906
774788,6922
774826,17047
774863,6914
774901,17047
774904,16163
775329,15142
775331,15143
775340,15143
775350,15143
775361,15143
775370,15143
775382,15143
775392,15143
775403,6923
775413,15143
775670,15142
775745,17048
775806,14758
775823,14758
775837,14758
775857,14758
775860,14758
776270,10445
776288,10909
776304,10445
776322,10445
776505,6910
776531,15142
776559,15144
776586,6910
776613,15144
776639,6910
776688,6923
776706,6907
776726,6933
776746,6923
776767,6954
776783,6923
776911,6922
776977,15142
776978,6947
777108,6911
777120,10445
777134,6949
777148,10445
777162,10445
777259,14757
777277,6922
777278,6911
778138,6907
778167,10910
778197,14760
778225,14757
778253,6957
778267,6962
778296,6907
778327,6962
778357,17047
778387,6922
778425,6907
778429,15143
778433,17048
778454,6907
778471,6907
778488,14756
778504,16829
778521,15142
778538,6907
778552,10445
778804,10906
778814,10906
778823,10906
778833,6920
778868,6949
778893,6920
778916,14759
778920,6911
778923,6962
778928,6914
778933,15142
778939,15142
778944,14758
778949,6907
778954,6911
778959,13864
778964,6962
778970,16830
778976,16163
778981,6907
778985,16687
778991,16830
778996,14758
779001,6907
779007,10906
779012,6910
779017,16830
779114,10906
779143,10906
779158,6911
779176,10906
779190,10906
779206,15144
779221,6911
779236,16163
779253,16611
779288,15144
779300,6911
779311,6941
779323,14562
779336,14756
779352,6947
779362,10910
779378,6914
779390,14563
779404,6907
779418,14756
779430,6911
779440,6907
779458,6960
779464,6933
779470,10445
779475,6933
779483,16611
779489,6960
779495,14562
779501,14563
779509,10446
779517,14760
779523,15142
779529,10445
779535,15144
779542,10445
779549,10446
779555,16896
779562,17047
779569,10445
779576,15142
779583,10906
779589,16163
779596,16611
779603,15144
779611,15142
779617,6933
779622,10445
779629,6933
779637,15142
779643,10446
779649,15142
779655,16687
779663,6920
779669,16831
779675,16686
779794,6914
780186,10910
780201,6923
780216,6923
780231,6923
780232,10908
780276,16610
780352,16742
780443,10910
780510,16610
780758,6910
780762,6922
780938,6907
780980,6907
781045,15142
781067,6911
781086,15142
781252,15144
781277,15144
781301,15144
781323,11282
781908,17048
781947,6923
782165,6914
782264,6923
782389,15143
782405,16163
782418,17048
782433,6907
782447,15143
782501,6914
782539,14759
782549,17047
782586,6907
782629,16685
782646,10445
782664,15142
782682,14563
782700,16685
808325,6954
808326,10907
808327,14563
808329,6960
808330,17029
808332,16687
808336,16831
808338,16609
808339,6960
808342,10910
808343,11282
808345,10907
808348,16609
808349,16685
808352,6954
808355,15143
808356,6922
808357,15144
808360,6941
808362,16609
808363,10446
808369,17048
808370,16829
808373,16612
808376,6960
808377,6907
808378,16685
808380,16611
808383,6910
808384,14756
808387,16611
808389,6941
808393,16831
808394,6907
808395,6941
808396,6910
808400,16610
808401,16611
808404,15143
808406,16612
808407,6941
808408,6954
808415,6941
808418,6910
808419,6920
808420,14756
808422,17029
808425,10910
808427,6960
808430,6907
808431,6941
808432,6911
808434,14758
808437,16611
808440,17047
808444,16743
808445,16685
808446,16831
808448,10907
808450,11282
808453,14563
808455,6941
808460,16612
808462,11282
808464,14758
808466,14563
808468,16609
808469,6954
808470,6922
808475,16686
808476,6907
808478,15143
808480,16829
808483,16829
808485,6941
808486,6941
808490,16896
808493,10910
808494,16609
808495,15143
808497,14756
808498,14757
808504,14563
808511,10909
808513,6962
808519,16163
808523,16163
808527,14759
808533,6933
808539,11282
