bill_id,roll_call_id,date,description,yea,nay,nv
347439,201252,2011-03-16,"OTP/AM 0699H(NT)",234,118,14
347439,201253,2011-03-30,"SUSPEND RULES TO TAKE UP FURTHER ACTION ON CACR6 (REP BETTENCOURT)",258,114,7
347439,201254,2011-03-30,ITL,119,251,9
347439,201255,2011-03-30,"SHALL RULE OF THE CHAIR BE UPHELD (REP NORELLI)",270,101,8
347439,201256,2011-03-30,"FLAM 1169H(NT) (REP O'BRIEN ET AL)",265,107,7
347439,201257,2011-03-30,"OTPA 1169H(NT)",256,117,6
347439,201258,2012-06-06,"C OF C #2458C",220,132,17
347439,201259,2012-02-15,"Sen. Bragdon Floor Amendment 0846s",18,6,0
347439,201260,2012-02-15,"Sen. Forsythe Floor Amendment 0847s",18,6,0
347439,201261,2012-02-15,"Ought to Pass with Amendment",17,7,0
347439,201262,2012-06-06,"Committee of Conference Report 2458",14,9,0
347442,139342,2012-01-05,"SPECIAL ORDER TO NEXT ORDER OF BUSINESS (REP G.RICHARDSON)",328,19,18
347442,139343,2012-01-05,OTP,219,127,19
347442,180738,2012-03-28,OTP,222,133,10
347442,201625,2012-06-06,"RECONSIDER RULES SUSPENSION TO ALLOW CONSIDER (REP C.CHRISTENSEN)",156,163,27
347444,139344,2012-01-05,ITL,151,160,55
347444,139345,2012-01-05,"RECOMMIT TO JUDICIARY (REP GIUDA)",207,102,57
347444,173310,2012-03-07,"OTP/AM 0951H(NT)",218,120,21
347445,173352,2012-03-14,"CONCUR (REP L.OBER)",54,287,16
347445,173353,2012-03-14,"NON-CONCUR REQ C OF C (REP L.OBER)",295,48,14
347445,173354,2012-02-15,"Ought to Pass with Amendment",17,7,0
347445,176780,2011-03-16,"OTP/AM 0613H(NT)",252,113,8
347445,201729,2012-06-06,"C OF C #2465C",224,144,9
347445,201730,2012-06-06,"C OF C #2465C",224,141,12
347445,201731,2012-06-06,"Committee of Conference Report 2465",17,6,0
347447,139981,2012-01-11,"SPECIAL ORDER TO JAN 18 CALENDAR (REP BETTENCOURT)",231,116,19
347447,143493,2012-01-18,"OTP/AM 0256H",257,101,8
347447,196422,2012-05-16,"Ought to Pass with Amendment",20,4,0
347447,201697,2012-06-06,"C OF C #2450C",256,110,11
347447,201698,2012-06-06,"Committee of Conference Report 2450",19,4,0
347456,175159,2012-02-01,ITL,251,47,26
347457,177434,2012-03-21,OTP,237,115,18
347457,177435,2012-03-21,"RECONSIDERATION (REP HESS)",242,111,12
