bill_id,sponsor_id
347438,4744
347438,4766
347438,4886
347439,4747
347439,4753
347441,4846
347441,4992
347442,4744
347442,4748
347442,4764
347442,4769
347442,10448
347442,10926
347444,10487
347444,10488
347444,11570
347444,11753
347445,4761
347445,4848
347445,4860
347445,4883
347445,4927
347445,5006
347447,4760
347447,4761
347447,4765
347447,4926
347447,5099
347447,10448
347447,10471
347447,11561
347448,11585
347450,4753
347450,4765
347450,4768
347450,5008
347450,5032
347451,4744
347451,4764
347451,10448
347451,10481
347453,10452
347454,11751
347456,10914
347456,11574
347456,11729
347457,4748
347457,4764
347457,5099
347457,10448
347457,10485
347457,10926
347457,11574
347457,11957
347457,12891
347459,5029
347460,4764
347460,10448
347460,10914
347460,10918
347460,10926
347462,5065
347462,10914
347462,10928
347462,11576
347463,10481
347463,10914
347463,11574
347465,4744
347465,4764
347465,5008
347465,10448
347465,10912
347465,10914
347465,11582
347466,4744
347466,5065
347466,11732
347468,4776
347468,4777
347468,4825
347468,4926
347468,10472
347468,10473
347468,10491
347468,10495
347468,10496
347468,11560
347468,11569
347468,11579
347469,4758
347469,4798
347469,10457
347469,10458
347469,10459
347471,4817
347471,4931
347471,4959
347471,5082
347471,10459
347472,4756
347472,4760
347472,4775
347472,4817
347472,4821
347472,4846
347472,4947
347472,5099
347474,4896
347475,4775
347475,4985
347475,10483
347475,10486
347477,4821
347477,4947
347477,10489
347478,4746
347478,4802
347478,4962
347480,4927
347481,4961
347483,4744
347483,4748
347483,10912
347483,10913
347484,4744
347484,4748
347484,4764
347484,10914
347486,4744
347486,4757
347486,4766
347486,4886
347486,5000
347487,4754
347487,4870
347489,4795
347489,4802
347489,4803
347489,4812
347489,4818
347489,10486
347490,4744
347490,4757
347490,4766
347490,4886
347490,5000
347492,5000
347493,4744
347493,4747
347493,4805
347493,4982
347495,4744
347495,4748
347495,4814
347495,10921
347495,10922
347496,4744
347496,4748
347496,4814
347496,10921
347496,10922
347498,4753
347498,4848
347499,10452
347501,4775
347501,4777
347501,4985
347501,5021
347501,5099
347501,10483
347501,10486
347502,4939
347502,5006
347504,10927
347505,4748
347505,4750
347505,4768
347505,4926
347505,10918
347507,4870
347507,4873
347508,4744
347508,10912
347508,11283
347510,4744
347510,4992
347511,4760
347511,10912
347511,11482
347511,11567
347511,11568
347513,4748
347513,4765
347515,4769
347515,4825
347515,4893
347515,5085
347515,10450
347515,10451
347515,10473
347515,11569
347515,11571
347515,11572
347516,10447
347516,10485
347516,10928
347518,4836
347518,4868
347518,4970
347518,4999
347519,11574
347519,11575
347521,4760
347521,4766
347521,4769
347521,4886
347521,10917
347521,10920
347521,11283
347521,11571
347521,11576
347521,11577
347521,11578
347521,11579
347522,4760
347522,4848
347522,4870
347522,4871
347522,4926
347522,10473
347524,4768
347524,4888
347524,4893
347524,4984
347524,5023
347524,10917
347525,5070
347527,5032
347527,10926
347528,4874
347528,5059
347530,4879
347531,4744
347531,4817
347531,10459
347531,10473
347531,10918
347531,11562
347533,4773
347533,4888
347533,5008
347533,5032
347533,10495
347533,11701
347533,11702
347534,4848
347534,11575
347536,4781
347536,4796
347537,10448
347539,10926
347540,10448
347542,4744
347542,4754
347543,4848
347545,4760
347545,4791
347545,4848
347545,4870
347545,4871
347545,4873
347545,10473
347546,4858
347546,4883
347546,10473
347548,10448
347548,10459
347548,10473
347548,11579
347549,4803
347549,4829
347549,4876
347549,10480
347551,4754
347551,10449
347551,10917
347551,10918
347551,11576
347551,11578
347551,11725
347552,4848
347552,4902
347554,5055
347554,10922
347555,4822
347557,4775
347557,10447
347557,10448
347557,10473
347557,11572
347558,4896
347560,4856
347560,11574
347560,11582
347560,11727
347560,11728
347560,11729
347561,4795
347561,4939
347561,5043
347563,10449
347564,10919
347566,10448
347566,10931
347566,11572
347566,11574
347566,11579
347566,11581
347566,11586
347567,4764
347569,4800
347570,4747
347570,4886
347570,4893
347570,5012
347570,10916
347572,4748
347572,4893
347572,5023
347572,5031
347572,10916
347573,4748
347573,4760
347573,4766
347573,4775
347573,4803
347573,4886
347573,4926
347573,4984
347573,5014
347573,10498
347573,10931
347573,11283
347573,11700
347575,4790
347575,4873
347575,4874
347575,4876
347575,4924
347575,4937
347575,5010
347575,10492
347576,4766
347576,4777
347576,4830
347576,4926
347576,10457
347576,10462
347576,10912
347578,4757
347579,4744
347579,4805
347579,10448
347581,4848
347581,4944
347582,4888
347582,4916
347582,4949
347582,4980
347584,4760
347584,4768
347584,4769
347584,4868
347584,10496
347585,4757
347585,4770
347585,4803
347585,4825
347587,4833
347587,5008
347587,5032
347587,10464
347587,10470
347589,4814
347589,11703
347590,4896
347592,4803
347592,4842
347592,4902
347592,4966
347592,10455
347592,11836
347593,11578
347593,11725
347595,4848
347596,4844
347596,4977
347596,5027
347598,4844
347598,4977
347598,5027
347599,4873
347599,4912
347599,4924
347599,10491
347599,11880
347601,4796
347602,4854
347602,4860
347602,11750
347604,4764
347605,4856
347605,11574
347605,11582
347605,11727
347605,11728
347605,11729
347607,4879
347608,4777
347608,4982
347608,4985
347608,5000
347608,5099
347608,10483
347610,4745
347610,4747
347610,4768
347610,4888
347610,4893
347610,4948
347610,4963
347610,10473
347610,10498
347610,10926
347610,11956
347610,11957
347611,4833
347611,4858
347611,5016
347613,5018
347613,11838
347614,4744
347614,4766
347614,4825
347614,4926
347614,10451
347614,10472
347616,4848
347616,11575
347617,4848
347617,4856
347617,10459
347617,11574
347617,11582
347619,4847
347619,5099
347619,10914
347620,4746
347620,4790
347620,4962
347620,4971
347620,4974
347622,4847
347622,5099
347623,4750
347623,4814
347623,4873
347623,4875
347623,4954
347623,5010
347623,5097
347623,11703
347625,4775
347625,4777
347625,4963
347625,4964
347625,4974
347625,4980
347625,5099
347626,4765
347626,4773
347626,4888
347626,10448
347626,10925
347628,4760
347628,4848
347628,4870
347628,4871
347628,4926
347628,10473
347629,4791
347629,4848
347629,4870
347629,4871
347629,4873
347631,4760
347631,4848
347631,4870
347631,4871
347631,10473
347632,5018
347634,4753
347634,4758
347634,5070
347634,10922
347634,11705
347635,4775
347635,4777
347635,5065
347635,5099
347635,10483
347635,10486
347635,11958
347637,4775
347637,4795
347637,5099
347638,4781
347638,4873
347638,4874
347638,10492
347640,4874
347640,5059
347641,4912
347641,5015
347641,5054
347641,10473
347641,10480
347643,4874
347644,4879
347646,4764
347646,10448
347647,4744
347647,4773
347647,4824
347647,4888
347647,10925
347649,4769
347649,5099
347650,4833
347650,4927
347650,10469
347652,4896
347653,5012
347655,4824
347655,4848
347655,11566
347656,11583
347658,4783
347658,4927
347658,4962
347658,4972
347658,5055
347659,4927
347659,4962
347659,4972
347659,5055
347661,4744
347661,4760
347661,10457
347661,10472
347661,10473
347661,10491
347661,10496
347661,10497
347661,10912
347661,11732
347663,4760
347663,4777
347663,4795
347663,4939
347663,4994
347663,5003
347663,5096
347664,4764
347664,4768
347664,4775
347664,4972
347664,5012
347664,10496
347664,10498
347664,10917
347666,4747
347667,4848
347669,4761
347669,4775
347669,4848
347669,4886
347669,4926
347669,4927
347669,10925
347670,4798
347670,4970
347672,4775
347672,10497
347672,10915
347672,10920
347672,11577
347672,11899
347672,11954
347673,4753
347673,4768
347673,4971
347673,5012
347673,11567
347673,11955
347675,4775
347675,4985
347675,5099
347675,10483
347675,10486
347675,11958
347676,4748
347676,10919
347676,11732
347678,4748
347678,4764
347678,4984
347678,5065
347679,4748
347679,4814
347681,4747
347681,4766
347681,4847
347681,10481
347682,4831
347682,4879
347682,5008
347682,10448
347684,4777
347684,4783
347684,4821
347684,4962
347684,4963
347684,5099
347685,4745
347685,4766
347685,5011
347685,10473
347685,10495
347685,10496
347685,10914
347685,11575
347685,11579
347685,11582
347685,11754
347685,11961
347687,4775
347687,4824
347687,4851
347687,10915
347687,11577
347688,4744
347688,4764
347688,10448
347688,10449
347690,5051
347691,4821
347691,4927
347691,4962
347691,4972
347693,4760
347693,4761
347693,4830
347693,4848
347693,4860
347693,5025
347693,10497
347693,10925
347694,4760
347694,4848
347694,4853
347694,4888
