sponsor_id,name
4741,"Charles Weed"
4744,"Daniel Itse"
4746,"Susan Emerson"
4747,"Jordan Ulery"
4748,"Timothy Comerford"
4749,"Joel Winters"
4750,"Timothy Horrigan"
4751,"Timothy Robertson"
4752,"Delmar Burridge"
4753,"Andrew Renzullo"
4754,"Carol McGuire"
4757,"John Hikel"
4760,"Jeb Bradley"
4765,"William O'Brien"
4766,"Alfred Baldasaro"
4767,"Dudley Dumaine"
4772,"Mary Griffin"
4775,"Sharon Carson"
4776,"Peter Bragdon"
4783,"Lou Dallesandro"
4785,"Edward Butler"
4787,"Molly Kelly"
4788,"Beth Arsenault"
4789,"Martha Clark"
4790,"Sylvia Larsen"
4791,"Candace Bouchard"
4792,"Bette Lasky"
4794,"Peggy Gilmour"
4796,"Andrew White"
4798,"Bob Odell"
4800,"Tara Sad"
4801,"Robert Haefner"
4802,"Stephen Shurtleff"
4805,"Robert Rowe"
4809,"Patrick Long"
4810,"Thomas Buco"
4812,"Laura Pantelakos"
4814,"David Pierce"
4817,"Lynne Ober"
4818,"Gene Charron"
4820,"David Bickford"
4821,"Nancy Stiles"
4822,"Barbara Shaw"
4823,"Lucy Weber"
4827,"Suzanne Gottling"
4828,"William Hatch"
4829,"Susan Almy"
4830,"Gene Chandler"
4831,"Karen Umberger"
4834,"Melanie Levesque"
4836,"Judith Spang"
4837,"Leigh Webb"
4840,"Pamela Hubbard"
4842,"Dennis Fields"
4844,"Beatriz Pastor-Bodmer"
4845,"Marjorie Smith"
4846,"David Campbell"
4847,"Frank Sapareto"
4848,"Neal Kurk"
4849,"Rick Watrous"
4851,"Mary Gile"
4852,"Mary Allen"
4853,"Norman Major"
4854,"John Sedensky"
4856,"Calvin Pratt"
4860,"David Hess"
4861,"Mary Cooney"
4865,"Thomas Donovan"
4867,"Raymond Gagnon"
4871,"John Reagan"
4873,"Laurie Harding"
4876,"William Butynski"
4879,"William Infantine"
4880,"Frank Davis"
4883,"John Graham"
4884,"Alfred Lerandeau"
4885,"Daniel Eaton"
4888,"John Cebrowski"
4889,"Peter Leishman"
4893,"Lawrence Kappler"
4896,"John Hunt"
4899,"Robert Theberge"
4904,"Yvonne Thomas"
4906,"Angeline Kopka"
4908,"Michael O'Brien"
4910,"Timothy Soucy"
4912,"Brian Rhodes"
4913,"Janet Shaffer Hammond"
4914,"John Kelley"
4924,"Cindy Rosenwald"
4926,"David Boutin"
4927,"Shawn Jasper"
4930,"Barbara French"
4936,"Joy Tilton"
4937,"Carolyn Gargasz"
4938,"Gilman Shattuck"
4948,"Todd Smith"
4949,"Frank Kotowski"
4953,"Gary Daniels"
4954,"Donna Schlachman"
4955,"Dianne Schuett"
4956,"Russell Ober"
4957,"Shannon Chandley"
4958,"David Watters"
4959,"Elisabeth Sanders"
4960,"Rose Rogers"
4962,"Roderick Ladd"
4963,"Edmond Gionet"
4968,"Christopher Ahlgren"
4971,"Jane Johnson"
4972,"Ralph Boehm"
4974,"Dennis Reed"
4975,"Harold Rice"
4977,"Charles Townsend"
4978,"David Kidder"
4979,"Maureen Mann"
4982,"Mary Gorman"
4984,"Warren Groen"
4986,"Betsy McKinney"
4989,"Susan Ford"
4991,"Moe Villeneuve"
4992,"Gary Richardson"
4993,"Robert Perry"
4994,"Laurence Rappaport"
4996,"Kenneth Gidge"
4997,"David Borden"
4998,"Donald Flanders"
5000,"Lars Christiansen"
5001,"Robert Elliott"
5002,"Peter Schmidt"
5003,"Naida Kaen"
5004,"Carol Williams"
5006,"Sherman Packard"
5008,"Pamela Tucker"
5009,"Robert Walsh"
