bill_id,date,action
574082,2013-12-13,"Introduced 1/8/2014 and Referred to Judiciary "
574082,2014-01-21,"Public Hearing: 1/30/2014 2:30 PM Legislative Office Building 208 "
574082,2014-02-14,"Executive Session: 2/18/2014 10:00 Amendment Legislative Office Building 208 "
574082,2014-02-25,"Majority Committee Report: Ought to Pass (Vote 13-6; Regular Calendar); House Calendar 14 "
574082,2014-02-25,"Minority Committee Report: Inexpedient to Legislate "
574082,2014-03-13,"Ought to Pass: Motion Adopted Voice Vote "
574082,2014-03-13,"Introduced and Referred to Judiciary "
574082,2014-04-09,"Hearing: 4/22/14, Room 100, State House, 9:00 a.m.; Senate Calendar 15 "
574082,2014-04-23,"Committee Report: Referred to Interim Study, 5/1/14; Vote 5-0; Consent Calendar; Senate Calendar 16 "
574082,2014-05-01,"Refer to Interim Study, Motion Adopted, Voice Vote; Senate Journal 11 "
574083,2013-12-13,"Introduced 1/8/2014 and Referred to Commerce and Consumer Affairs "
574083,2014-01-15,"Public Hearing: 1/23/2014 1:15 PM Legislative Office Building 302 "
574083,2014-01-24,"Subcommittee Work Session: 1/30/2014 9:00 Amendment Legislative Office Building 302 "
574083,2014-01-31,"=CANCELLED= Executive Session: 2/11/2014 1:30 PM Legislative Office Building 302 "
574083,2014-02-04,"Subcommittee Work Session: 2/13/2014 9:00 Amendment Legislative Office Building 302 "
574083,2014-02-12,"===CANCELLED=== Work Session: 2/13/2014 9:00 Amendment Legislative Office Building 302 "
574083,2014-02-12,"Subcommittee Work Session: 2/20/2014 9:00 Amendment Legislative Office Building 302 "
574083,2014-02-20,"Executive Session: 3/04/2014 1:15 PM Legislative Office Building 302 "
574083,2014-03-07,"Committee Report: Refer to Interim Study (Vote 18-0; Consent Calendar); House Calendar 14 "
574083,2014-03-12,"Refer to Interim Study Motion Adopted Voice Vote "
574083,2014-10-09,"Interim Study - Full Committee Work Session: 10/21/2014 9:00 Amendment Legislative Office Building 302 "
574083,2014-10-09,"Executive Session: 10/23/2014 10:30 Amendment Legislative Office Building 302 "
574083,2014-10-30,"Interim Study Report: Not Recommended For Future Legislation (Vote 13-1) "
574084,2013-12-16,"Introduced 1/8/2014 and Referred to Labor, Industrial and Rehabilitative Services "
574084,2014-01-15,"Public Hearing: 1/28/2014 1:45 PM Legislative Office Building 307 "
574084,2014-02-11,"Executive Session: 2/11/2014 2:45 PM Legislative Office Building 307 "
574084,2014-02-14,"Committee Report: Ought to Pass for Feb 19 (Vote 17-1; Consent Calendar); House Calendar 11 "
574084,2014-02-19,"Ought to Pass: Motion Adopted Voice Vote "
574084,2014-03-13,"Introduced and Referred to Commerce "
574084,2014-03-19,"Hearing: 3/25/14, Room 101, Legislative Office Building, 1:55 p.m.; Senate Calendar 11 "
574084,2014-05-07,"Committee Report: Ought to Pass with Amendment #2014-1745s, 5/15/14; Senate Calendar 18 "
574084,2014-05-15,"Committee Amendment 1745s, Amendment Adopted, Voice Vote "
574084,2014-05-15,"Ought to Pass with Amendment 1745s, Motion Adopted, Voice Vote; OT3rdg; Senate Journal 13 "
574084,2014-05-21,"Rep. Chandler moved to Non-Concur with Senate Amendment and request C of C; Motion Adopted Voice Vote (In recess of 5/15/2014) "
574084,2014-05-21,"Speaker Appoints: Reps. Shurtleff, Wallner, Chandler, Nordgren "
574084,2014-05-22,"Sen. Sanborn Accedes to House Request for Committee of Conference, Motion Adopted, Voice Vote; Senate Journal 14 "
574084,2014-05-22,"President Appoints: Senators Reagan, Boutin, and Soucy; Senate Journal 14 "
574084,2014-05-22,"Committee of Conference Meeting: 5/23/2014 2:30 PM Legislative Office Building 204 "
574084,2014-05-28,"Conference Committee Report #2014-1916c; Senate Amendment, Filed "
574084,2014-06-04,"Conference Committee Report 1916c; Adopted, Voice Vote; Senate Journal 15 "
574084,2014-06-04,"Conference Committee Report #1916c; Adopted, Voice Vote "
574084,2014-06-04,"Enrolled Bill Amendment #2014e Adopted "
574084,2014-06-17,"Enrolled Bill Amendment #2014-2014eba, Adopted, Voice Vote (In recess of 6/4/2014) "
574084,2014-06-25,"Enrolled (6/4/14) "
574084,2014-06-25,"Enrolled (In recess of 6/4/2014) "
574084,2014-08-04,"Signed by the Governor on 8/1/2014; Chapter 0305; Effective Date 9/30/2014. "
574085,2013-12-11,"Introduced 1/8/2014 and Referred to Public and Municipal Affairs "
574085,2014-01-09,"Hearing: 1/15/14, Room 102, Legislative Office Building, 10:30 a.m.; Senate Calendar 2 "
574085,2014-01-22,"Committee Report: Ought to Pass with Amendment #2014-0107s, 1/30/14; Vote 5-0; Consent Calendar; Senate Calendar 4 "
574085,2014-01-30,"Committee Amendment 0107s, Amendment Adopted, Voice Vote "
574085,2014-01-30,"Ought to Pass with Amendment 0107s, Motion Adopted, Voice Vote; OT3rdg "
574085,2014-03-13,"Introduced and Referred to Municipal and County Government "
574085,2014-03-18,"Public Hearing: 4/1/2014 11:30 Amendment Legislative Office Building 301 "
574085,2014-03-19,"==RESCHEDULED== Public Hearing: 4/1/2014 1:30 PM Legislative Office Building 301 "
574085,2014-04-02,"Executive Session: 4/15/14 10:00 Amendment Legislative Office Building 301 "
574085,2014-04-15,"Committee Report: Ought to Pass (Vote 20-0; Consent Calendar); House Calendar 28 "
574085,2014-04-23,"Ought to Pass: Motion Adopted Voice Vote "
574085,2014-05-05,"Enrolled (In recess of 4/30/14) "
574085,2014-05-05,"Enrolled 05/01/2014 "
574085,2014-05-28,"Signed by the Governor on 05/27/2014; Chapter 0071; Effective 05/27/2014 "
574086,2013-12-11,"Introduced 1/8/2014 and Referred to Transportation "
