bill_number,bill_id,title
HB1,736193,"Making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2016 and June 30, 2017."
HB2,736403,"Relative to state fees, funds, revenues, and expenditures."
HB25,736604,"Making appropriations for capital improvements."
HB101,666276,"Relative to prescription refills."
HB102,666258,"Relative to consideration of warrant articles."
HB103,666239,"Limiting the capabilities of wireless communication devices in motor vehicles."
HB104,666268,"Prohibiting placement at the Sununu Youth Services Center under the child protection act."
HB105,666265,"Relative to special number plates for members of the Civil Air Patrol."
HB106,666282,"Relative to marital assets in divorce proceedings."
HB107,666281,"Relative to the retention of municipal trust fund bank statements."
HB108,666279,"Relative to sealing nonpublic session minutes."
HB109,666238,"Relative to the testing of backflow devices."
HB110,666264,"Relative to placement of political advertising."
HB111,666270,"Relative to land retained by the state."
HB112,666246,"Relative to domicile for voting purposes."
HB113,666245,"Designating the mastodon as the official state fossil."
HB114,666250,"Relative to grocery sales by stores licensed to sell alcoholic beverages."
HB115,666280,"Relative to reports on gross appropriations from the highway fund in the tentative state budget and defining autocycle and making provisions for the operation and inspection of autocycles."
HB116,666277,"Relative to the renomination of teachers."
HB117,666254,"Relative to providers prescribing cannabis for therapeutic purposes."
HB118,666252,"Relative to vehicular assault."
HB119,666242,"Establishing the John G. Winant Memorial Commission."
HB120,666255,"Relative to complaint procedures before the state commission for human rights."
HB121,666283,"Making a technical correction to the negligent driving statute."
HB122,666259,"Relative to advertising of liquor or beverages."
HB123,666266,"Relative to walking disability placards."
HB124,666244,"Relative to the implementation of new college and career readiness standards."
HB125,666262,"Relative to county audits and competitive bidding for county services."
HB126,666236,"Establishing a commission to study issues related to students receiving special education services while attending a chartered public school."
HB127,666237,"Relative to identification of voters."
HB128,666235,"Authorizing individuals and certain businesses to purchase health insurance from out-of-state companies."
HB129,666257,"Relative to unused prescription drugs."
HB130,673060,"Relative to the use of blue lights on emergency vehicles."
HB131,666272,"Relative to renewal of health club memberships."
HB132,666285,"Relative to time-based rates for electric service."
HB133,666260,"Relative to recounts on questions."
HB134,666251,"Establishing a committee to study the use of motorized scooter chairs on roadways and sidewalks."
HB135,666247,"Relative to qualifications of assistant election officials."
HB136,666269,"Prohibiting tanning facilities from tanning persons under 18 years of age."
HB137,666274,"Relative to homeowner's insurance."
HB138,666275,"Relative to inspection of governmental records under the right-to-know law."
HB139,666261,"Relative to an emergency exception under the New Hampshire retirement system for certain part-time employment."
HB140,671226,"Relative to appointment of inspectors of election."
HB141,671155,"Relative to rulemaking authority concerning practice standards and safe and secure operation of pharmacies."
HB142,671421,"Relative to student social media policies by educational institutions and nonpublic sessions under the right-to-know law."
HB143,671370,"Relative to electric renewable energy classes."
HB144,670885,"Establishing a commission to study the long-term viability of the New Hampshire state port authority."
HB145,671357,"Allowing municipalities to dedicate a percentage of timber yield taxes to the conservation fund."
HB146,671166,"Relative to the board of dental examiners."
HB147,671182,"Relative to the homestead exemption amount."
HB148,671506,"Limiting the authority of delegates to Article V conventions."
HB149,671025,"Relative to qualifications for the office of county commissioner."
HB150,671095,"Establishing a commission to study the legalization, regulation, and taxation of marijuana."
HB151,671083,"Establishing a committee to study end-of-life decisions."
HB152,671015,"Establishing a state poem."
HB153,671143,"Relative to the telecommunications planning and development advisory committee."
HB154,671205,"Relative to the power of towns to adopt bylaws and ordinances."
HB155,671108,"Relative to municipal contracts for police chief."
HB156,671241,"Relative to the 70 mile per hour speed limit on a portion of I-93."
HB157,671050,"Relative to enforcement of condominium liens for assessments."
HB158,671364,"Requiring the managing agent to return the records of a condominium association upon the request of the association."
HB159,671303,"Repealing the committee to study the laws relating to condominium and homeowners' associations."
HB160,671194,"Relative to qualifications of condominium association board members."
HB161,671342,"Relative to the termination of a management contract by a condominium association."
HB162,671312,"Transferring authority for explosives and fireworks rules from the director of state police to the commissioner of safety."
HB163,671322,"Establishing a state minimum hourly rate."
HB164,671003,"Relative to processing applications for the therapeutic use of cannabis."
HB165,670963,"Relative to the definition of ""qualifying medical condition"" for the therapeutic use of cannabis."
HB166,670893,"Relative to records storage by municipalities."
HB167,671349,"Directing the commissioners of the department of resources and economic development and the department of environmental services to develop a business development plan to attract certain businesses to New Hampshire."
HB168,671130,"Relative to grounds for divorce for persons with minor children."
HB169,670857,"Relative to table stakes poker."
HB170,671074,"Relative to the advisory committee on international trade."
HB171,671336,"Relative to rebating."
HB172,671041,"Establishing a commission to study the operations of small claims court."
HB173,671295,"Relative to instruction on ballots."
HB174,670903,"Establishing a committee to study the name and structure of the department of resources and economic development."
HB175,670846,"Establishing a committee to study improving the efficiency of the financial approval process for housing subdivisions used by the department of justice."
