bill_number,bill_id,title
A1,357856,"Enacts the ""Marriage Equality and Religious Exemption Act."""
A60,491945,"Authorizes deployment of integrity oversight monitors in implementation of certain recovery and rebuilding projects.*"
A61,492146,"Imposes oversight upon Hurricane Sandy recovery funds."
A101,355954,"Creates a civil ""rape shield"" law."
A102,355953,"Prohibits loans as political contributions by certain persons; prohibits certain inducements for political contributions; reduces permitted amount of outstanding loans in certain cases."
A103,355952,"Prohibits campaign contributions by certain individuals, businesses or other organizations performing public contracts."
A104,355951,"Prohibits awarding of municipal professional services contracts to members of Legislature."
A105,355950,"Establishes new standard and procedure for forfeiture of elective public office for accepting illegal contributions; removes illegal contribution threshold for such forfeiture."
A106,355949,"Limits contributions to certain candidates and elected officials by certain public contractors; limits contributions by certain political party committees; repeals certain campaign contribution prohibitions."
A107,355948,"Prohibits member of Legislature from performing certain no-bid contracts."
A108,355946,"Requires issue advocacy organization using certain candidate information in advertisements to register with ELEC as political committee or continuing political committee."
A109,355945,"Prohibits simultaneous holding of certain State, county and municipal elective offices; provides for transition period between offices."
A110,355944,"Bans campaign contributions and certain political communication by corporations and labor organizations."
A111,355943,"Prohibits campaign contributions by certain individuals, businesses or other organizations that purchase or acquire property involved in eminent domain proceedings."
A112,355942,"Establishes a ""Local Authorities Review Commission."""
A113,355941,"Clarifies penalties court may impose in sentencing certain adults and juveniles guilty of making false public alarms."
A114,355939,"Requires electronic bulletin board on DCA website for local units to advertise shared services opportunities; requires development of computerized survey to match local units together to implement shared services."
A115,355937,"Requires suspension of local elected and appointed officers and employees indicted for certain offenses that, upon conviction, require forfeiture of office or position."
A116,355936,"Eliminates PERS membership for current and future part-time elected and appointed officials."
A117,355935,"Concerns criminal background checks for certain school employees."
A118,355934,"Prohibits sex offenders from entering school property."
A119,355933,"Requires ELEC to provide ethics training for governmental affairs agents."
A120,355931,"Requires all elected or appointed local government officers to receive ethics training."
A121,355930,"Requires public officers or employees convicted of certain crimes or found at fault in certain civil actions to reimburse public entities for legal expenses."
A122,355929,"Establishes certain minimum standards for State contracts paid on hourly basis."
