sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
2948,"John DiMaio",John,,DiMaio,,,2,R,1,Rep,HD-023
2949,"Alison McHose",Alison,Littell,McHose,,,2,R,1,Rep,HD-024
3062,"Upendra Chivukula",Upendra,J.,Chivukula,,,1,D,1,Rep,HD-017
3064,"Gary Schaer",Gary,S.,Schaer,,,1,D,1,Rep,HD-036
3066,"Amy Handlin",Amy,H.,Handlin,,,2,R,1,Rep,HD-013
3067,"Pamela Lampitt",Pamela,Rosen,Lampitt,,,1,D,1,Rep,HD-006
3068,"Vincent Prieto",Vincent,,Prieto,,,1,D,1,Rep,HD-032
3069,"Patrick Diegnan",Patrick,J.,Diegnan,Jr.,,1,D,1,Rep,HD-018
3070,"Angel Fuentes",Angel,,Fuentes,,,1,D,1,Rep,HD-005
3071,"Reed Gusciora",Reed,,Gusciora,,,1,D,1,Rep,HD-015
3072,"John McKeon",John,F.,McKeon,,,1,D,1,Rep,HD-027
3073,"John Wisniewski",John,S.,Wisniewski,,,1,D,1,Rep,HD-019
3074,"Jon Bramnick",Jon,M.,Bramnick,,,2,R,1,Rep,HD-021
3075,"Nancy Munoz",Nancy,F.,Munoz,,,2,R,1,Rep,HD-021
3076,"Linda Stender",Linda,A.,Stender,,,1,D,1,Rep,HD-022
3077,"James Holzapfel",James,W.,Holzapfel,,,2,R,2,Sen,SD-010
3078,"David Wolfe",David,W.,Wolfe,,,2,R,1,Rep,HD-010
3079,"Linda Greenstein",Linda,R.,Greenstein,,,1,D,2,Sen,SD-014
3081,"Ronald Dancer",Ronald,S.,Dancer,,,2,R,1,Rep,HD-012
3083,"Thomas Giblin",Thomas,P.,Giblin,,Tom,1,D,1,Rep,HD-034
3085,"Bonnie Coleman",Bonnie,Watson,Coleman,,,1,D,1,Rep,HD-015
3086,"Jay Webber",Jay,,Webber,,,2,R,1,Rep,HD-026
3087,"Dawn Addiego",Dawn,Marie,Addiego,,,2,R,2,Sen,SD-008
3090,"Brian Rumpf",Brian,E.,Rumpf,,,2,R,1,Rep,HD-009
3091,"Anthony M. Bucco",Anthony,M.,Bucco,,,2,R,1,Rep,HD-025
3092,"Scott Rumana",Scott,T.,Rumana,,,2,R,1,Rep,HD-040
3093,"Declan O'Scanlon",Declan,J.,O'Scanlon,Jr.,,2,R,1,Rep,HD-013
3095,"David Rible",David,P.,Rible,,,2,R,1,Rep,HD-030
3096,"David Russo",David,C.,Russo,,,2,R,1,Rep,HD-040
3097,"Samuel Thompson",Samuel,D.,Thompson,,,2,R,2,Sen,SD-012
3099,"Mary Angelini",Mary,Pat,Angelini,,,2,R,1,Rep,HD-011
3100,"Caroline Casagrande",Caroline,,Casagrande,,,2,R,1,Rep,HD-011
3105,"Erik Peterson",Erik,,Peterson,,,2,R,1,Rep,HD-023
3106,"Valerie Huttle",Valerie,Vainieri,Huttle,,,1,D,1,Rep,HD-037
