bill_id,date,action
815046,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815047,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815048,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815048,2016-09-08,"Reported from Senate Committee with Amendments, 2nd Reading"
815048,2016-09-15,"Passed by the Senate (28-2)"
815048,2016-09-15,"Received in the Assembly, Referred to Assembly Environment and Solid Waste Committee"
815048,2016-10-13,"Reported out of Asm. Comm. with Amendments, and Referred to Assembly Appropriations Committee"
815049,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815049,2016-02-04,"Withdrawn from Consideration"
815050,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815051,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815052,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815053,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815054,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815055,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815055,2016-09-26,"Reported from Senate Committee with Amendments, 2nd Reading"
815055,2016-10-20,"Passed by the Senate (38-0)"
815055,2016-10-20,"Received in the Assembly, Referred to Assembly Consumer Affairs Committee"
815056,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815057,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815058,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815059,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815060,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815061,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815062,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815063,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815063,2016-02-29,"Reported from Senate Committee with Amendments, 2nd Reading"
815063,2016-03-14,"Passed by the Senate (40-0)"
815063,2016-03-14,"Received in the Assembly, Referred to Assembly Appropriations Committee"
815063,2016-04-04,"Reported out of Assembly Committee, 2nd Reading"
815063,2016-04-07,"Substituted for A1120 (1R)"
815063,2016-04-07,"Passed Assembly (Passed Both Houses) (71-0-0)"
815063,2016-05-23,"Approved P.L.2016, c.3."
815064,2016-01-12,"Introduced in the Senate, Referred to Senate Military and Veterans' Affairs Committee"
815064,2016-06-09,"Reported from Senate Committee, 2nd Reading"
815064,2016-06-09,"Referred to Senate Budget and Appropriations Committee"
815065,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815066,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815067,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815067,2016-03-07,"Reported from Senate Committee, 2nd Reading"
815067,2016-05-09,"Passed by the Senate (38-0)"
815067,2016-05-12,"Received in the Assembly without Reference, 2nd Reading"
815068,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815069,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
