bill_number,bill_id,title
HB1,454008,"Feed bill"
HB2,457651,"General appropriation act of 2013"
HB3,457645,"Education appropriation act"
HB4,457640,"Dept. of transportation appropriation act"
HB5,458044,"Dept. of game & fish appropriation act"
HB6,457634,"State fair commission appropriation act"
HB7,457629,"Development training"
HB8,457623,"License for vehicle salvage sales"
HB9,463956,"Acequia & community ditch fund"
HB10,493238,"Lifetime firearm ban for felons"
HB11,457617,"General appropriation act of 2013"
HB12,450326,"Nm works assistance spending restrictions"
HB13,450327,"Criminal acts as public corruption offenses"
HB14,450328,"Misleading extensions of credit"
HB15,450329,"Armed forces retainer pay tax credit"
HB16,450330,"Raise awareness of uss new mexico submarine"
HB17,450331,"Dental therapist licensure & practice"
HB18,450332,"Drinking water system financing"
HB19,450333,"Status of water rights under lease"
HB20,450334,"Equity investments for college endowments"
HB21,450335,"Public meeting agendas 72 hours in advance"
HB22,450336,"Autism coverage in group health coverage"
HB23,450337,"Higher ed faculty tenure conditions"
HB24,450338,"College endowment contribution gross receipts"
HB25,450339,"Enmu robot workshops"
HB26,450340,"Unm land grant studies program"
HB27,450341,"Expand lottery scholarship eligibility"
HB28,450342,"Lottery scholarships at tribal colleges"
HB29,450343,"Aircraft repair station sales gross receipts"
HB30,450344,"Regional transit gross receipts distribution"
HB31,450345,"Dwi convictions for sentencing"
HB32,450346,"Increase dwi penalties"
HB33,450347,"Community health needs assessments"
HB34,450348,"Tecolote land grant management"
HB35,450349,"Use of funds by land grant council"
HB36,450350,"Veterans' ptsd treatment pilot project"
HB37,450351,"Annual delinquent property tax sales"
HB38,450352,"Remove rights from certain rape convictions"
HB39,450353,"Consent requirements for certain adoptions"
HB40,450354,"Designation of benefit corporations"
HB41,450355,"Perpetuities for certain trust properties"
HB42,450356,"City ordinance violation appeals"
HB43,450357,"Prohibit messaging while driving"
HB44,450358,"Prohibit double per diem payments"
HB45,450359,"Transfer insurance regulation from prc"
HB46,450360,"Transfer corporations from prc to sos"
HB47,450361,"Prc qualifications"
HB48,450362,"No sex offender use of certain media"
HB49,450363,"Space flight informed consent liability"
HB50,450364,"No funds for certain school of ed. programs"
HB51,450365,"Summer school elective civics classes"
HB52,450366,"First-time dwi follow-up program"
HB53,450367,"Teacher loan repayment act"
HB54,450368,"School board cyberbullying prevention"
HB55,450369,"Hunting & fishing infraction penalties"
HB56,450370,"Statewide cohesive food infrastructure"
HB57,450371,"Penalties for larceny of cable hardware"
HB58,450372,"Rural telecomm carrier regulation"
HB59,450373,"School meal program commodities deliveries"
HB60,450374,"Specify health care facility drug testing"
HB61,450375,"Game & fish special event permits"
HB62,450376,"Electronic professional license renewal"
HB63,450377,"No breed-specific local gov't dog regulations"
HB64,457612,"Educational retirement changes"
HB65,457606,"Local gov't refunds of fees"
HB66,457601,"Health care coverage i.d. cards"
HB67,457594,"Academic content & performance standards"
HB68,457588,"Limit campaign season"
HB69,457584,"Unm health center college of public health"
HB70,457578,"Nmfa public project revolving fund projects"
HB71,457573,"Unm-gallup as community college"
HB72,457567,"Commercial car lease adjustment clauses"
