bill_id,date,action
450326,2013-01-15,"[LD 1] House Pre-file"
450326,2013-01-16,"[LD 2] Referred to House Judiciary"
450326,2013-02-01,"[LD 14] Do not pass committee report adopted"
450326,2013-02-01,"[LD 14] Committee substitute and then to Do pass committee report adopted"
450326,2013-02-05,"[LD 16] Passed House (63-0)"
450326,2013-01-25,"[LD 9] Assigned to Senate Public Affairs and then to Senate Judiciary"
450326,2013-01-25,"[LD 9] Referred to Senate Public Affairs"
450326,2013-03-07,"[LD 38] Do pass committee report adopted"
450326,2013-03-07,"[LD 38] Referred to Senate Judiciary"
450326,2013-03-11,"[LD 40] Do pass committee report adopted"
450326,2013-03-11,"[LD 40] Action postponed indefinitely"
450327,2013-01-15,"[LD 1] House Pre-file"
450327,2013-01-16,"[LD 2] Assigned to House Labor & Human Resources and then to House Judiciary"
450327,2013-01-16,"[LD 2] Referred to House Labor & Human Resources"
450327,2013-01-16,"[LD 2] Action postponed indefinitely"
450328,2013-01-15,"[LD 1] House Pre-file"
450328,2013-01-16,"[LD 2] Referred to House Judiciary"
450328,2013-01-25,"[LD 9] Do pass, as amended, committee report adopted"
450328,2013-01-29,"[LD 11] Passed House (58-0)"
450328,2013-01-18,"[LD 4] Assigned to Senate Corporations & Transportation and then to Senate Judiciary"
450328,2013-01-18,"[LD 4] Referred to Senate Corporations & Transportation"
450328,2013-02-27,"[LD 32] Do pass committee report adopted"
450328,2013-02-27,"[LD 32] Referred to Senate Judiciary"
450328,2013-02-27,"[LD 32] Action postponed indefinitely"
450329,2013-01-15,"[LD 1] House Pre-file"
450329,2013-01-16,"[LD 2] Assigned to House Taxation & Revenue and then to House Appropriations & Finance"
450329,2013-01-16,"[LD 2] Referred to House Taxation & Revenue"
450329,2013-01-16,"[LD 2] Action postponed indefinitely"
450330,2013-01-15,"[LD 1] House Pre-file"
450330,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Appropriations & Finance"
450330,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450330,2013-01-22,"[LD 6] Do pass committee report adopted"
450330,2013-01-22,"[LD 6] Referred to House Appropriations & Finance"
450330,2013-01-22,"[LD 6] Action postponed indefinitely"
450331,2013-01-15,"[LD 1] House Pre-file"
450331,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Business & Industry and then to House Judiciary"
450331,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450331,2013-02-15,"[LD 24] Do not pass committee report adopted"
450331,2013-02-15,"[LD 24] Committee substitute and then to Do pass committee report adopted"
450331,2013-02-15,"[LD 24] Referred to House Business & Industry"
450331,2013-02-15,"[LD 24] Action postponed indefinitely"
450332,2013-01-15,"[LD 1] House Pre-file"
450332,2013-01-16,"[LD 2] Assigned to House Transportation & Public Works and then to House Appropriations & Finance"
450332,2013-01-16,"[LD 2] Referred to House Transportation & Public Works"
450332,2013-01-28,"[LD 10] Do pass committee report adopted"
450332,2013-01-28,"[LD 10] Referred to House Appropriations & Finance"
450332,2013-02-21,"[LD 28] Do pass committee report adopted"
450332,2013-02-25,"[LD 30] Passed House (67-0)"
450332,2013-02-12,"[LD 21] Assigned to Senate Conservation and then to Senate Finance"
450332,2013-02-12,"[LD 21] Referred to Senate Conservation"
450332,2013-02-27,"[LD 32] Do pass committee report adopted"
450332,2013-02-27,"[LD 32] Referred to Senate Finance"
450332,2013-03-15,"[LD 44] Do pass committee report adopted"
450332,2013-03-16,"[LD 47] Passed Senate (41-0) Signed by one or both houses (Apr.1) Ch. 82."
450333,2013-01-15,"[LD 1] House Pre-file"
450333,2013-01-16,"[LD 2] Assigned to House Agriculture & Water Resources and then to House Judiciary"
450333,2013-01-16,"[LD 2] Referred to House Agriculture & Water Resources"
450333,2013-01-29,"[LD 11] Do pass committee report adopted"
450333,2013-01-29,"[LD 11] Referred to House Judiciary"
450333,2013-01-29,"[LD 11] Action postponed indefinitely"
450334,2013-01-15,"[LD 1] House Pre-file"
450334,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450334,2013-01-16,"[LD 2] Referred to House Education"
450334,2013-02-13,"[LD 22] Do pass, as amended, committee report adopted"
450334,2013-02-13,"[LD 22] Referred to House Appropriations & Finance"
450334,2013-02-27,"[LD 32] Do pass committee report adopted"
450334,2013-03-01,"[LD 34] Passed House (62-0)"
450334,2013-02-14,"[LD 23] Assigned to Senate Education and then to Senate Finance"
450334,2013-02-14,"[LD 23] Referred to Senate Education"
450334,2013-03-15,"[LD 44] Do pass committee report adopted"
450334,2013-03-15,"[LD 44] Referred to Senate Finance"
450334,2013-03-15,"[LD 44] Action postponed indefinitely"
450335,2013-01-15,"[LD 1] House Pre-file"
450335,2013-01-16,"[LD 2] Assigned to House Voters & Elections and then to House Judiciary"
450335,2013-01-16,"[LD 2] Referred to House Voters & Elections"
450335,2013-01-28,"[LD 10] Do pass committee report adopted"
450335,2013-01-28,"[LD 10] Referred to House Judiciary"
450335,2013-02-11,"[LD 20] Do pass, as amended, committee report adopted"
450335,2013-02-13,"[LD 22] Passed House (59-0)"
450335,2013-02-01,"[LD 14] Assigned to Senate Rules and then to Senate Judiciary"
450335,2013-02-01,"[LD 14] Referred to Senate Rules"
450335,2013-02-27,"[LD 32] Do pass committee report adopted"
450335,2013-02-27,"[LD 32] Referred to Senate Judiciary"
450335,2013-03-15,"[LD 44] Do pass committee report adopted"
450335,2013-03-16,"[LD 47] Passed Senate (31-0) Signed by one or both houses (Mar.27) Ch. 42."
450336,2013-01-15,"[LD 1] House Pre-file"
450336,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Appropriations & Finance"
450336,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450336,2013-01-22,"[LD 6] Do pass, as amended, committee report adopted"
450336,2013-01-22,"[LD 6] Referred to House Appropriations & Finance"
450336,2013-01-29,"[LD 11] Withdrawn from committee or daily calendar for subsequent action"
450336,2013-01-30,"[LD 12] Passed House (62-0)"
450336,2013-01-18,"[LD 4] Assigned to Senate Public Affairs and then to Senate Corporations & Transportation"
450336,2013-01-18,"[LD 4] Referred to Senate Public Affairs"
450336,2013-02-27,"[LD 32] Do pass committee report adopted"
450336,2013-02-27,"[LD 32] Referred to Senate Corporations & Transportation"
450336,2013-03-15,"[LD 44] Do pass, as amended, committee report adopted"
450336,2013-03-15,"[LD 44] Passed Senate (34-0)"
450336,2013-03-16,"[LD 53] h and then to cncrd Signed by one or both houses (Apr.5) Ch.185."
450337,2013-01-15,"[LD 1] House Pre-file"
450337,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450337,2013-01-16,"[LD 2] Referred to House Education"
450337,2013-02-13,"[LD 22] Do not pass committee report adopted"
450337,2013-02-13,"[LD 22] Committee substitute and then to Do pass committee report adopted"
450337,2013-02-13,"[LD 22] Referred to House Appropriations & Finance"
450337,2013-02-13,"[LD 22] Action postponed indefinitely"
450338,2013-01-15,"[LD 1] House Pre-file"
450338,2013-01-16,"[LD 2] Assigned to House Education and then to House Taxation & Revenue and then to House Appropriations & Finance"
450338,2013-01-16,"[LD 2] Referred to House Education"
450338,2013-02-13,"[LD 22] Do not pass committee report adopted"
450338,2013-02-13,"[LD 22] Committee substitute and then to Do pass committee report adopted"
450338,2013-02-13,"[LD 22] Referred to House Taxation & Revenue"
450338,2013-02-13,"[LD 22] Action postponed indefinitely"
450339,2013-01-15,"[LD 1] House Pre-file"
450339,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450339,2013-01-16,"[LD 2] Referred to House Education"
450339,2013-02-07,"[LD 18] Do pass committee report adopted"
450339,2013-02-07,"[LD 18] Referred to House Appropriations & Finance"
450339,2013-02-07,"[LD 18] Action postponed indefinitely"
450340,2013-01-15,"[LD 1] House Pre-file"
450340,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450340,2013-01-16,"[LD 2] Referred to House Education"
450340,2013-02-01,"[LD 14] Do pass committee report adopted"
450340,2013-02-01,"[LD 14] Referred to House Appropriations & Finance"
450340,2013-02-01,"[LD 14] Action postponed indefinitely"
450341,2013-01-15,"[LD 1] House Pre-file"
450341,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450341,2013-01-16,"[LD 2] Referred to House Education"
450341,2013-02-18,"[LD 25] Do not pass committee report adopted"
450341,2013-02-18,"[LD 25] Committee substitute and then to Do pass committee report adopted"
450341,2013-02-18,"[LD 25] Referred to House Appropriations & Finance"
450341,2013-03-05,"[LD 36] Do pass committee report adopted"
450341,2013-03-05,"[LD 36] Passed House (49-13)"
450341,2013-02-15,"[LD 24] Assigned to Senate Education and then to Senate Finance"
450341,2013-02-15,"[LD 24] Referred to Senate Education"
450341,2013-02-15,"[LD 24] Action postponed indefinitely"
450342,2013-01-15,"[LD 1] House Pre-file"
450342,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Education and then to House Appropriations & Finance"
450342,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450342,2013-01-28,"[LD 10] Do pass committee report adopted"
450342,2013-01-28,"[LD 10] Referred to House Education"
450342,2013-03-05,"[LD 36] Do pass committee report adopted"
450342,2013-03-05,"[LD 36] Referred to House Appropriations & Finance"
450342,2013-03-08,"[LD 39] Do pass committee report adopted"
450342,2013-03-08,"[LD 39] Passed House (67-0)"
450342,2013-03-11,"[LD 40] Assigned to Senate Education and then to Senate Finance"
450342,2013-03-11,"[LD 40] Referred to Senate Education"
450342,2013-03-11,"[LD 40] Action postponed indefinitely"
450343,2013-01-15,"[LD 1] House Pre-file"
450343,2013-01-16,"[LD 2] Assigned to House Business & Industry and then to House Taxation & Revenue and then to House Appropriations & Finance"
450343,2013-01-16,"[LD 2] Referred to House Business & Industry"
450343,2013-01-29,"[LD 11] Do pass committee report adopted"
450343,2013-01-29,"[LD 11] Referred to House Taxation & Revenue"
450343,2013-03-08,"[LD 39] Do pass committee report adopted"
450343,2013-03-08,"[LD 39] Referred to House Appropriations & Finance"
450343,2013-03-08,"[LD 39] Do pass committee report adopted"
450343,2013-03-15,"[LD 44] Referred to Senate Finance"
450343,2013-03-15,"[LD 44] Do pass committee report adopted"
450343,2013-03-15,"[LD 44] Action postponed indefinitely"
450344,2013-01-15,"[LD 1] House Pre-file"
450344,2013-01-16,"[LD 2] Assigned to House Transportation & Public Works and then to House Taxation & Revenue and then to House Appropriations & Finance"
450344,2013-01-16,"[LD 2] Referred to House Transportation & Public Works"
450344,2013-01-16,"[LD 2] Action postponed indefinitely"
450345,2013-01-15,"[LD 1] House Pre-file"
450345,2013-01-16,"[LD 2] Assigned to House Consumer & Public Affairs and then to House Judiciary"
450345,2013-01-16,"[LD 2] Referred to House Consumer & Public Affairs"
450345,2013-02-22,"[LD 29] WITHOUT RECOMMENDATION committee report adopted"
450345,2013-02-22,"[LD 29] Referred to House Judiciary"
450345,2013-02-27,"[LD 32] (Succeeding entries: H 349)."
450346,2013-01-15,"[LD 1] House Pre-file"
450346,2013-01-16,"[LD 2] Assigned to House Consumer & Public Affairs and then to House Judiciary"
450346,2013-01-16,"[LD 2] Referred to House Consumer & Public Affairs"
450346,2013-02-19,"[LD 26] Withdrawn from committee or daily calendar for subsequent action"
450346,2013-02-19,"[LD 26] Referred to House Judiciary"
450346,2013-02-19,"[LD 26] Action postponed indefinitely"
450347,2013-01-15,"[LD 1] House Pre-file"
450347,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Appropriations & Finance"
450347,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450347,2013-01-28,"[LD 10] Do pass, as amended, committee report adopted"
450347,2013-01-28,"[LD 10] Referred to House Appropriations & Finance"
450347,2013-01-28,"[LD 10] Action postponed indefinitely"
450348,2013-01-15,"[LD 1] House Pre-file"
450348,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Judiciary"
450348,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450348,2013-01-28,"[LD 10] Do pass committee report adopted"
450348,2013-01-28,"[LD 10] Referred to House Judiciary"
450348,2013-02-11,"[LD 20] Do pass committee report adopted"
450348,2013-02-13,"[LD 22] Passed House (55-0)"
450348,2013-02-01,"[LD 14] Assigned to Senate Conservation and then to Senate Judiciary"
450348,2013-02-01,"[LD 14] Referred to Senate Conservation"
450348,2013-02-27,"[LD 32] Do pass committee report adopted"
450348,2013-02-27,"[LD 32] Referred to Senate Judiciary"
450348,2013-03-11,"[LD 40] Do pass committee report adopted"
450348,2013-03-16,"[LD 47] Passed Senate (38-0) Signed by one or both houses (Apr.1) Ch. 83."
450349,2013-01-15,"[LD 1] House Pre-file"
450349,2013-01-16,"[LD 2] Assigned to House Health, Government & Indian Affairs and then to House Judiciary and then to House Appropriations & Finance"
450349,2013-01-16,"[LD 2] Referred to House Health, Government & Indian Affairs"
450349,2013-01-28,"[LD 10] Do pass committee report adopted"
450349,2013-01-28,"[LD 10] Referred to House Judiciary"
450349,2013-02-11,"[LD 20] Do pass committee report adopted"
450349,2013-02-11,"[LD 20] Referred to House Appropriations & Finance"
450349,2013-02-11,"[LD 20] Withdrawn from committee or daily calendar for subsequent action"
450349,2013-02-13,"[LD 22] Passed House (58-0)"
450349,2013-02-01,"[LD 14] Assigned to Senate Conservation and then to Senate Judiciary"
450349,2013-02-01,"[LD 14] Referred to Senate Conservation"
450349,2013-02-27,"[LD 32] Do pass committee report adopted"
450349,2013-02-27,"[LD 32] Referred to Senate Judiciary"
450349,2013-03-11,"[LD 40] Do pass committee report adopted"
450349,2013-03-16,"[LD 47] Passed Senate (38-0) Pocket veto by the Governor."
450350,2013-01-15,"[LD 1] House Pre-file"
450350,2013-01-16,"[LD 2] Assigned to House Education and then to House Appropriations & Finance"
450350,2013-01-16,"[LD 2] Referred to House Education"
450350,2013-02-11,"[LD 20] Do pass committee report adopted"
450350,2013-02-11,"[LD 20] Referred to House Appropriations & Finance"
450350,2013-03-05,"[LD 36] Do pass, as amended, committee report adopted"
450350,2013-03-08,"[LD 39] Passed House (70-0)"
450350,2013-02-27,"[LD 32] Referred to Senate Education"
450350,2013-03-15,"[LD 44] Do pass committee report adopted"
450350,2013-03-15,"[LD 44] Action postponed indefinitely"
450351,2013-01-15,"[LD 1] House Pre-file"
450351,2013-01-16,"[LD 2] Assigned to House Judiciary and then to House Taxation & Revenue and then to House Appropriations & Finance"
450351,2013-01-16,"[LD 2] Referred to House Judiciary"
450351,2013-01-22,"[LD 6] Do pass, as amended, committee report adopted"
450351,2013-01-22,"[LD 6] Referred to House Taxation & Revenue"
450351,2013-02-06,"[LD 17] Do pass, as amended, committee report adopted"
450351,2013-02-06,"[LD 17] Referred to House Appropriations & Finance"
450351,2013-02-12,"[LD 21] Withdrawn from committee or daily calendar for subsequent action"
450351,2013-02-15,"[LD 24] Passed House (54-0)"
450351,2013-02-01,"[LD 14] Assigned to Senate Corporations & Transportation and then to Senate Judiciary"
450351,2013-02-01,"[LD 14] Referred to Senate Corporations & Transportation"
450351,2013-02-15,"[LD 24] Do pass committee report adopted"
450351,2013-02-15,"[LD 24] Referred to Senate Judiciary"
450351,2013-03-11,"[LD 40] Do pass committee report adopted"
450351,2013-03-15,"[LD 44] Passed Senate (37-0) Signed by one or both houses (Apr.3) Ch.155."
450352,2013-01-15,"[LD 1] House Pre-file"
450352,2013-01-16,"[LD 2] Assigned to House Consumer & Public Affairs and then to House Judiciary"
450352,2013-01-16,"[LD 2] Referred to House Consumer & Public Affairs"
450352,2013-01-29,"[LD 11] Do pass committee report adopted"
450352,2013-01-29,"[LD 11] Referred to House Judiciary"
450352,2013-03-05,"[LD 36] Do not pass committee report adopted"
450352,2013-03-05,"[LD 36] Committee substitute and then to Do pass committee report adopted"
450352,2013-03-05,"[LD 36] Passed House (68-0)"
450352,2013-02-15,"[LD 24] Assigned to Senate Public Affairs and then to Senate Judiciary"
450352,2013-02-15,"[LD 24] Referred to Senate Public Affairs"
450352,2013-03-07,"[LD 38] WITHOUT RECOMMENDATION committee report adopted and then to a"
450352,2013-03-07,"[LD 38] Referred to Senate Judiciary"
450352,2013-03-07,"[LD 38] Action postponed indefinitely"
450353,2013-01-15,"[LD 1] House Pre-file"
450353,2013-01-16,"[LD 2] Assigned to House Consumer & Public Affairs and then to House Judiciary"
450353,2013-01-16,"[LD 2] Referred to House Consumer & Public Affairs"
450353,2013-01-29,"[LD 11] Do pass, as amended, committee report adopted"
450353,2013-01-29,"[LD 11] Referred to House Judiciary"
450353,2013-03-01,"[LD 34] Do pass committee report adopted"
450353,2013-03-05,"[LD 36] Withdrawn from committee or daily calendar for subsequent action h and then to calendar re"
450353,2013-03-05,"[LD 36] Assigned to House Judiciary"
450353,2013-03-05,"[LD 36] Referred to House Judiciary"
450353,2013-03-05,"[LD 36] Action postponed indefinitely"
450354,2013-01-15,"[LD 1] House Pre-file"
450354,2013-01-16,"[LD 2] Assigned to House Business & Industry and then to House Judiciary"
450354,2013-01-16,"[LD 2] Referred to House Business & Industry"
450354,2013-01-29,"[LD 11] Do pass committee report adopted"
450354,2013-01-29,"[LD 11] Referred to House Judiciary"
450354,2013-02-15,"[LD 24] Do pass committee report adopted"
450354,2013-02-19,"[LD 26] Passed House (62-3)"
450354,2013-02-07,"[LD 18] Assigned to Senate Corporations & Transportation and then to Senate Judiciary"
450354,2013-02-07,"[LD 18] Referred to Senate Corporations & Transportation"
450354,2013-02-27,"[LD 32] Do pass committee report adopted"
450354,2013-02-27,"[LD 32] Referred to Senate Judiciary"
450354,2013-03-11,"[LD 40] Do pass committee report adopted"
