sponsor_id,name
6097,"Walter Martinez"
6098,"Henry Saavedra"
6099,"Rick Miera"
6100,"Roberto Gonzales"
6101,"Mimi Stewart"
6102,"Luciano Varela"
6104,"Edward Sandoval"
6109,"Anna Crook"
6110,"Jim Trujillo"
6111,"Nathan Cote"
6112,"Mary Garcia"
6114,"Brian Egolf"
6115,"Miguel Garcia"
6116,"Rodolpho Martinez"
6117,"Patricia Lundstrom"
6118,"William Rehm"
6121,"Thomas Taylor"
6124,"Paul Bandy"
6125,"Sheryl Stapleton"
6127,"James Madalena"
6128,"Don Tripp"
6129,"Dennis Roch"
6131,"Dianne Hamilton"
6133,"Antonio Maestas"
6134,"Nick Salazar"
6135,"Eliseo Alcon"
6139,"Nora Espinoza"
6140,"Thomas Anderson"
6141,"Jeff Steinborn"
6142,"William O'Neill"
6143,"Gail Chasey"
6144,"Joseph Cervantes"
6150,"Candy Ezzell"
6151,"Jimmie Hall"
6152,"Sandra Jeff"
6153,"Debbie Rodella"
6154,"Lorenzo Larranaga"
6156,"Michael Sanchez"
6157,"Peter Wirth"
6158,"William Sharer"
6159,"Mary Papen"
6161,"Phil Griego"
6162,"Timothy Keller"
6163,"Carlos Cisneros"
6164,"Gerald Ortiz Y Pino"
6167,"George Munoz"
6168,"Sander Rue"
6169,"Linda Lopez"
6173,"John Sapien"
6174,"Carroll Leavell"
6176,"Howie Morales"
6177,"Pete Campos"
6179,"Steven Neville"
6180,"Cisco McSorley"
6181,"Gay Kernan"
6182,"Sue Beffort"
6183,"John Smith"
6184,"Richard Martinez"
6189,"John Ryan"
6191,"William Payne"
6193,"Nancy Rodriguez"
6196,"John Pinto"
6197,"Stuart Ingle"
9511,"Dona Irwin"
11278,"James White"
11483,"Yvette Herrell"
11739,"Nathaniel Gentry"
11740,"Zachary Cook"
11839,"James Strickler"
11840,"Jane Powdrell-Culbert"
11918,"Alonzo Baldonado"
11996,"Terry McMillan"
12045,"James Smith"
12046,"George Dodge"
12048,"Tim Lewis"
12054,"Cathrynn Brown"
12214,"Donald Bratton"
12356,"Bob Wooley"
12357,"William Burt"
14664,"William Gray"
14665,"Ernesto Chavez"
15014,"Bill McCamley"
15015,"Carl Trujillo"
15016,"Christine Trujillo"
15017,"David Gallegos"
15018,"Doreen Gallegos"
15019,"Elizabeth Thomson"
15020,"Emily Kane"
15021,"Georgene Louis"
15023,"Jason Harper"
15024,"Kelly Fajardo"
15026,"Monica Youngblood"
15027,"Patricia Roybal Cabellero"
15028,"Paul Pacheco"
15030,"Phillip Archuleta"
15031,"Sharon Clahchischilliage"
15032,"Stephanie Richard"
15033,"Stephen Easley"
15034,"Tomas Salazar"
15036,"Craig Brandt"
15037,"Jacob Candelaria"
15038,"Mark Moores"
15039,"Michael Padilla"
15107,"Lee Cotter"
15109,"Ron Griggs"
15110,"Daniel Ivey-Soto"
15111,"Cliff Pirtle"
15112,"Clemente Sanchez"
15113,"Benny Shendo"
15114,"William Soules"
15115,"Lisa Torraco"
15116,"John Woods"
