bill_id,roll_call_id,date,description,yea,nay,nv
257146,68655,2011-04-18,"Assembly Final Passage",42,0,0
257146,75563,2011-05-02,"Senate Final Passage",21,0,0
257147,45319,2011-03-07,"Senate Final Passage",21,0,0
257147,86166,0000-00-00,"Assembly Final Passage",37,5,0
257150,67308,2011-04-14,"Senate Final Passage",19,2,0
257152,72643,2011-04-25,"Assembly Final Passage",42,0,0
257152,80090,0000-00-00,"Senate Final Passage",21,0,0
257153,72326,2011-04-22,"Senate Final Passage",21,0,0
257155,54426,2011-03-17,"Senate Final Passage",21,0,0
257155,82724,0000-00-00,"Assembly Final Passage",42,0,0
257156,72377,2011-04-22,"Senate Final Passage",21,0,0
257156,85972,0000-00-00,"Assembly Final Passage",41,0,0
257157,68611,2011-04-18,"Assembly Final Passage",39,3,0
257157,83964,0000-00-00,"Senate Final Passage",21,0,0
257158,68649,2011-04-18,"Assembly Final Passage",42,0,0
257158,75653,2011-05-02,"Senate Final Passage",21,0,0
257161,64781,2011-04-07,"Senate Final Passage",21,0,0
257161,84830,0000-00-00,"Assembly Final Passage",42,0,0
257164,81094,0000-00-00,"Assembly Final Passage",40,1,0
257164,85554,0000-00-00,"Senate Final Passage",21,0,0
257167,75315,2011-04-26,"Assembly Final Passage",42,0,0
257167,80195,0000-00-00,"Senate Final Passage",21,0,0
257169,72405,2011-04-22,"Senate Final Passage",21,0,0
257169,85698,0000-00-00,"Assembly Final Passage",42,0,0
257170,72399,2011-04-22,"Senate Final Passage",21,0,0
257172,68634,2011-04-18,"Assembly Final Passage",42,0,0
257172,76294,2011-05-04,"Senate Final Passage",21,0,0
257173,64734,2011-04-07,"Senate Final Passage",21,0,0
257173,82839,0000-00-00,"Assembly Final Passage",42,0,0
257175,64740,2011-04-07,"Senate Final Passage",21,0,0
257176,72766,2011-04-25,"Assembly Final Passage",42,0,0
257176,80169,0000-00-00,"Senate Final Passage",21,0,0
257177,49285,2011-03-14,"Senate Final Passage",21,0,0
257177,80096,0000-00-00,"Assembly Final Passage",38,2,0
257178,80763,0000-00-00,"Senate Final Passage",20,0,1
257178,86862,0000-00-00,"Assembly Final Passage",38,4,0
257179,67380,2011-04-14,"Senate Final Passage",21,0,0
257179,84662,0000-00-00,"Assembly Final Passage",42,0,0
257180,72791,2011-04-25,"Assembly Final Passage",42,0,0
257180,78344,2011-05-10,"Senate Final Passage",21,0,0
257183,44696,2011-03-10,"Senate Final Passage",21,0,0
257183,86019,0000-00-00,"Assembly Final Passage",40,2,0
257184,54439,2011-03-16,"Assembly Final Passage",41,0,0
257184,75709,2011-05-02,"Senate Final Passage",21,0,0
257185,81206,0000-00-00,"Senate Final Passage",21,0,0
257185,85450,0000-00-00,"Assembly Final Passage",42,0,0
257186,81210,0000-00-00,"Assembly Final Passage",41,0,0
257186,88890,0000-00-00,"Senate Final Passage",21,0,0
257188,72283,2011-04-22,"Senate Final Passage",21,0,0
257188,86077,0000-00-00,"Assembly Final Passage",42,0,0
257189,75338,2011-04-25,"Assembly Final Passage",42,0,0
257189,80031,0000-00-00,"Senate Final Passage",21,0,0
257190,75344,2011-04-25,"Assembly Final Passage",32,10,0
257190,84922,0000-00-00,"Senate Final Passage",21,0,0
257193,46343,2011-02-21,"Senate Final Passage",21,0,0
257194,72629,2011-04-25,"Assembly Final Passage",42,0,0
257194,82191,0000-00-00,"Senate Final Passage",21,0,0
257195,72625,2011-04-25,"Assembly Final Passage",42,0,0
257195,80041,0000-00-00,"Senate Final Passage",21,0,0
257197,75382,2011-04-26,"Senate Final Passage",21,0,0
257197,85939,0000-00-00,"Assembly Final Passage",41,0,0
257199,54469,2011-03-17,"Senate Final Passage",21,0,0
257199,81861,0000-00-00,"Assembly Final Passage",41,0,0
257200,68551,2011-04-18,"Assembly Final Passage",42,0,0
257200,77950,2011-05-09,"Senate Final Passage",21,0,0
257201,75279,2011-04-26,"Assembly Final Passage",41,1,0
257201,85220,0000-00-00,"Senate Final Passage",21,0,0
257202,44635,2011-03-07,"Senate Final Passage",21,0,0
257202,82797,0000-00-00,"Assembly Final Passage",42,0,0
257203,72652,2011-04-25,"Assembly Final Passage",42,0,0
257206,73024,2011-04-26,"Assembly Final Passage",42,0,0
257206,80197,0000-00-00,"Senate Final Passage",21,0,0
257208,48671,2011-02-22,"Senate Final Passage",21,0,0
257208,86299,0000-00-00,"Assembly Final Passage",38,4,0
257209,73027,2011-04-26,"Senate Final Passage",21,0,0
257209,85830,0000-00-00,"Assembly Final Passage",39,3,0
257210,68523,2011-04-18,"Assembly Final Passage",42,0,0
257210,77763,2011-05-07,"Senate Final Passage",21,0,0
257211,72701,2011-04-25,"Assembly Final Passage",42,0,0
257211,82057,0000-00-00,"Senate Final Passage",21,0,0
257212,72282,2011-04-22,"Senate Final Passage",21,0,0
257212,82789,0000-00-00,"Assembly Final Passage",41,1,0
257213,55368,2011-03-23,"Senate Final Passage",21,0,0
257213,84012,0000-00-00,"Assembly Final Passage",42,0,0
257214,49305,2011-02-10,"Senate Final Passage",21,0,0
257214,54534,2011-03-21,"Assembly Final Passage",42,0,0
257215,60910,2011-04-01,"Assembly Final Passage",40,1,0
257215,82421,0000-00-00,"Senate Final Passage",21,0,0
257220,85559,0000-00-00,"Assembly Final Passage",42,0,0
257220,89545,0000-00-00,"Senate Final Passage",21,0,0
257221,45606,2011-03-02,"Senate Final Passage",20,0,0
257221,86139,0000-00-00,"Assembly Final Passage",42,0,0
257223,65021,2011-04-11,"Assembly Final Passage",42,0,0
257223,75514,2011-05-02,"Senate Final Passage",21,0,0
257225,44881,2011-03-10,"Assembly Final Passage",42,0,0
257225,79997,0000-00-00,"Senate Final Passage",21,0,0
257226,45351,2011-02-22,"Assembly Final Passage",39,0,0
257226,45352,2011-03-10,"Senate Final Passage",21,0,0
257228,45620,2011-02-21,"Assembly Final Passage",40,0,0
257228,55319,2011-03-23,"Senate Final Passage",21,0,0
257229,85964,0000-00-00,"Senate Final Passage",21,0,0
257229,86827,0000-00-00,"Assembly Final Passage",42,0,0
257230,72916,2011-04-25,"Assembly Final Passage",42,0,0
257230,80026,0000-00-00,"Senate Final Passage",21,0,0
257231,44872,2011-02-22,"Assembly Final Passage",39,0,0
257231,44873,2011-03-10,"Senate Final Passage",21,0,0
257233,75293,2011-04-26,"Assembly Final Passage",42,0,0
257233,86634,0000-00-00,"Senate Final Passage",21,0,0
257235,48879,2011-02-16,"Assembly Final Passage",41,0,0
257235,59197,2011-03-31,"Senate Final Passage",21,0,0
257236,72210,2011-04-22,"Senate Final Passage",21,0,0
257236,82966,0000-00-00,"Assembly Final Passage",42,0,0
257237,73297,2011-04-26,"Assembly Final Passage",24,18,0
257237,84039,0000-00-00,"Senate Final Passage",9,12,0
257237,86138,0000-00-00,"Senate Final Passage",11,10,0
257241,68555,2011-04-18,"Assembly Final Passage",42,0,0
257241,82573,0000-00-00,"Senate Final Passage",21,0,0
257242,72627,2011-04-25,"Assembly Final Passage",41,1,0
257242,82094,0000-00-00,"Senate Final Passage",11,10,0
257243,72586,2011-04-22,"Senate Final Passage",21,0,0
257243,86174,0000-00-00,"Assembly Final Passage",42,0,0
257244,54003,2011-03-18,"Senate Final Passage",21,0,0
257244,75297,2011-04-26,"Assembly Final Passage",41,1,0
257245,55295,2011-03-23,"Senate Final Passage",21,0,0
257245,86699,0000-00-00,"Assembly Final Passage",42,0,0
257246,67277,2011-04-14,"Senate Final Passage",21,0,0
257246,86128,0000-00-00,"Assembly Final Passage",42,0,0
257247,64290,2011-04-07,"Senate Final Passage",21,0,0
257247,84836,0000-00-00,"Assembly Final Passage",42,0,0
257249,68629,2011-04-18,"Assembly Final Passage",42,0,0
257249,77973,2011-05-09,"Senate Final Passage",21,0,0
257250,72640,2011-04-25,"Assembly Final Passage",41,1,0
257250,78292,2011-05-10,"Senate Final Passage",21,0,0
257252,45007,2011-02-16,"Assembly Final Passage",41,0,0
257252,49421,2011-03-14,"Senate Final Passage",21,0,0
257253,90268,0000-00-00,"Assembly Final Passage",41,1,0
257253,90269,0000-00-00,"Senate Final Passage",21,0,0
257255,64319,2011-04-07,"Senate Final Passage",21,0,0
257255,84675,0000-00-00,"Assembly Final Passage",42,0,0
257257,45817,2011-02-24,"Assembly Final Passage",39,0,0
257257,82476,0000-00-00,"Senate Final Passage",21,0,0
257258,72404,2011-04-22,"Senate Final Passage",20,1,0
257258,82733,0000-00-00,"Assembly Final Passage",42,0,0
257260,75026,2011-04-26,"Assembly Final Passage",32,10,0
257260,86322,0000-00-00,"Senate Final Passage",11,10,0
