bill_id,date,action
560550,2013-06-04,"Resolution read and adopted. To printer."
560550,2013-06-04,"From printer."
560550,2013-06-05,"To enrollment."
560550,2013-06-11,"Enrolled and delivered to Secretary of State."
560550,2013-06-11,"File No. 2."
560564,2013-06-04,"Resolution read and adopted. To printer."
560564,2013-06-04,"From printer."
560564,2013-06-05,"To enrollment."
560564,2013-06-11,"Enrolled and delivered to Secretary of State."
560564,2013-06-11,"File No. 3."
560579,2013-06-04,"Read first time."
560579,2013-06-04,"Referred to Committee of the Whole."
560579,2013-06-04,"Dispensed with reprinting."
560579,2013-06-04,"To committee."
560579,2013-06-04,"From committee: Do pass."
560579,2013-06-04,"Declared an emergency measure under the Constitution."
560579,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 39, Nays: None, Excused: 3.)"
560579,2013-06-04,"To printer. From printer."
560579,2013-06-04,"To Senate."
560579,2013-06-04,"In Senate."
560579,2013-06-04,"Read first time."
560579,2013-06-04,"Declared an emergency measure under the Constitution."
560579,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 20, Nays: None, Excused: 1.)  To Assembly."
560579,2013-06-04,"In Assembly."
560579,2013-06-05,"To enrollment."
560579,2013-06-11,"Enrolled and delivered to Governor."
560579,2013-06-13,"Approved by the Governor. Chapter 4."
560593,2013-06-04,"Read first time."
560593,2013-06-04,"Declared an emergency measure under the Constitution."
560593,2013-06-04,"Placed on General File."
560593,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 17, Nays: 3, Excused: 1.)  To Assembly."
560593,2013-06-04,"In Assembly."
560593,2013-06-04,"Read first time."
560593,2013-06-04,"Referred to Committee of the Whole."
560593,2013-06-04,"To committee."
560593,2013-06-04,"From committee: Do pass."
560593,2013-06-04,"Declared an emergency measure under the Constitution."
560593,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 34, Nays: 6, Excused: 2.)  To Senate."
560593,2013-06-04,"In Senate."
560593,2013-06-05,"To enrollment."
560593,2013-06-11,"Enrolled and delivered to Governor."
560593,2013-06-13,"Approved by the Governor. Chapter 1."
560608,2013-06-04,"Read first time."
560608,2013-06-04,"Declared an emergency measure under the Constitution."
560608,2013-06-04,"Placed on General File."
560608,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 15, Nays: 5, Excused: 1.)  To Assembly."
560608,2013-06-04,"In Assembly."
560608,2013-06-04,"Read first time."
560608,2013-06-04,"Referred to Committee of the Whole."
560608,2013-06-04,"To committee."
560608,2013-06-04,"From committee: Do pass."
560608,2013-06-04,"Declared an emergency measure under the Constitution."
560608,2013-06-04,"Read third time. Passed. Title approved.  (Yeas: 39, Nays: 1, Excused: 2.)  To Senate."
560608,2013-06-04,"In Senate."
560608,2013-06-05,"To enrollment."
