bill_number,bill_id,title
AB1,666318,"Revises provisions relating to constructional defects. (BDR 3-584)"
AB2,666416,"Authorizes possession of a weapon in a vehicle that is on the property of certain educational entities or child care facilities in certain circumstances. (BDR 15-75)"
AB3,666386,"Revises provisions governing the Public Employees' Retirement Board. (BDR 23-185)"
AB4,666379,"Revises provisions relating to the operation of a winery in this State. (BDR 52-228)"
AB5,666347,"Revises provisions relating to services for persons with intellectual disabilities and persons with related conditions. (BDR 39-416)"
AB6,666356,"Revises provisions relating to autism spectrum disorders. (BDR 54-67)"
AB7,666453,"Limits the recovery of damages arising from a civil action relating to a motor vehicle accident under certain circumstances. (BDR 3-227)"
AB8,666484,"Revises provisions relating to children. (BDR 11-191)"
AB9,666442,"Amends provisions concerning estates under guardianship. (BDR 13-504)"
AB10,666345,"Revises provisions governing the payment of costs associated with legal representation of indigent criminal defendants charged with capital crimes. (BDR 14-467)"
AB11,666472,"Revises provisions governing reports of presentence investigations. (BDR 14-356)"
AB12,666340,"Provides for the continuation of the diversion program that allows certain probation violators to receive treatment for alcohol or drug abuse or mental illness in lieu of revocation of probation. (BDR 14-341)"
AB13,666323,"Revises provisions governing support enforcement to ensure compliance with federal law. (BDR 11-373)"
AB14,666337,"Makes requirements for management of bad debts consistent among agencies of the Executive Branch of the State Government. (BDR 18-457)"
AB15,666491,"Creates the Account for the Protection and Rehabilitation of the Stewart Indian School. (BDR 18-360)"
AB16,666367,"Revises provisions concerning sexual conduct between certain prisoners in lawful custody or confinement and other persons. (BDR 16-343)"
AB17,666327,"Revises provisions relating to economic development. (BDR 18-292)"
AB18,666320,"Establishes the procedure for pursuing the redemption of unclaimed United States savings bonds by the State Treasurer. (BDR 10-460)"
AB19,666474,"Revises provisions governing the timing of the adoption of tentative budgets by certain local governments. (BDR 31-456)"
AB20,666494,"Revises provisions relating to the budget of the Executive Department of State Government. (BDR 31-287)"
AB21,666412,"Extends the maximum period of maturity for certain special obligation bonds issued to provide funding for highway construction projects. (BDR 35-375)"
AB22,666328,"Revises provisions relating to annual audits of the count of pupils for apportionment purposes. (BDR 34-317)"
AB23,666326,"Makes various changes to provisions governing elections. (BDR 24-446)"
AB24,666324,"Authorizes payroll offsets to recover money related to delinquent balances on state-issued travel charge cards. (BDR 23-458)"
AB25,666336,"Revises provisions governing the residential construction tax. (BDR 22-454)"
AB26,666464,"Revises provisions governing surveys, analyses and evaluations to be administered to pupils in public schools. (BDR 34-332)"
AB27,666489,"Makes various changes regarding the licensure of educational personnel. (BDR 34-315)"
AB28,666458,"Revises the duties of the State Long-Term Care Ombudsman. (BDR 38-415)"
AB29,666372,"Revises provisions governing the care and treatment of persons with intellectual disabilities and related conditions. (BDR 39-324)"
AB30,666364,"Revises provisions relating to plans to improve the achievement of pupils enrolled in public schools in this State. (BDR 34-312)"
AB31,666317,"Removes the requirement that certain administrative regulations of the Department of Corrections be adopted in accordance with the Nevada Administrative Procedure Act. (BDR 16-340)"
AB32,666479,"Revises provisions relating to special fuels. (BDR 32-382)"
AB33,666377,"Changes the name of the Division of State Library and Archives of the Department of Administration. (BDR 33-318)"
AB34,666439,"Makes various changes to provisions governing certain fire protection districts and fire safety. (BDR 42-369)"
AB35,666368,"Makes various changes relating to vessels. (BDR 43-363)"
AB36,666398,"Revises provisions governing emergency services and care provided by hospitals in certain larger counties. (BDR 40-474)"
AB37,666369,"Revises provisions governing consignment auctions of motor vehicles. (BDR 40-379)"
AB38,666459,"Revises provisions governing the admission of persons with certain mental conditions to and the release of such persons from certain facilities. (BDR 39-335)"
AB39,666505,"Increases the cap on the application fee for the Physician Visa Waiver Program. (BDR 40-328)"
AB40,666359,"Revises provisions relating to the State Gaming Control Board. (BDR 41-352)"
AB41,666399,"Revises provisions relating to funding for indigent care. (BDR 38-327)"
AB42,666309,"Revises provisions relating to mammography and the reporting of information on cancer. (BDR 40-331)"
AB43,666454,"Clarifies confidentiality provisions governing certain documents. (BDR 35-377)"
AB44,666409,"Revises provisions governing judgments by confession. (BDR 6-491)"
AB45,666371,"Revises provisions governing the assessment by the Department of Corrections of prisoners convicted of sexual offenses. (BDR 16-152)"
AB46,666344,"Revises provisions relating to the enforcement of certain civil judgments entered by a juvenile court for unpaid fines, administrative assessments, fees or restitution. (BDR 5-489)"
AB47,666441,"Provides for the establishment within the Central Repository for Nevada Records of Criminal History of a service to conduct a name-based search of records of criminal history. (BDR 14-294)"
