bill_id,date,action
663773,2015-01-07,"REFERRED TO TRANSPORTATION"
663773,2015-02-26,"1ST REPORT CAL.150"
663773,2015-03-02,"2ND REPORT CAL."
663773,2015-03-03,"ADVANCED TO THIRD READING"
663773,2015-04-27,"PASSED SENATE"
663773,2015-04-27,"DELIVERED TO ASSEMBLY"
663773,2015-04-27,"referred to transportation"
663773,2016-01-06,"died in assembly"
663773,2016-01-06,"returned to senate"
663773,2016-01-06,"REFERRED TO TRANSPORTATION"
663773,2016-01-07,"AMEND AND RECOMMIT TO TRANSPORTATION"
663773,2016-01-07,"PRINT NUMBER 70A"
663773,2016-01-29,"AMEND AND RECOMMIT TO TRANSPORTATION"
663773,2016-01-29,"PRINT NUMBER 70B"
663773,2016-05-04,"1ST REPORT CAL.642"
663773,2016-05-05,"2ND REPORT CAL."
663773,2016-05-09,"ADVANCED TO THIRD READING"
663773,2016-05-10,"PASSED SENATE"
663773,2016-05-10,"DELIVERED TO ASSEMBLY"
663773,2016-05-10,"referred to transportation"
663779,2015-01-07,"REFERRED TO ENVIRONMENTAL CONSERVATION"
663779,2016-01-06,"REFERRED TO ENVIRONMENTAL CONSERVATION"
663785,2015-01-07,"REFERRED TO CRIME VICTIMS, CRIME AND CORRECTION"
663785,2016-01-06,"REFERRED TO CRIME VICTIMS, CRIME AND CORRECTION"
663785,2016-01-12,"AMEND AND RECOMMIT TO CRIME VICTIMS, CRIME AND CORRECTION"
663785,2016-01-12,"PRINT NUMBER 74A"
663791,2015-01-07,"REFERRED TO ELECTIONS"
663791,2016-01-06,"REFERRED TO ELECTIONS"
663797,2015-01-07,"REFERRED TO CHILDREN AND FAMILIES"
663797,2016-01-06,"REFERRED TO CHILDREN AND FAMILIES"
663803,2015-01-07,"REFERRED TO LOCAL GOVERNMENT"
663803,2015-06-02,"REPORTED AND COMMITTED TO FINANCE"
663803,2016-01-06,"REFERRED TO LOCAL GOVERNMENT"
663809,2015-01-07,"REFERRED TO CODES"
663809,2015-04-22,"NOTICE OF COMMITTEE CONSIDERATION - REQUESTED"
663809,2015-06-15,"AMEND (T) AND RECOMMIT TO CODES"
663809,2015-06-15,"PRINT NUMBER 63A"
663809,2016-01-06,"REFERRED TO CODES"
663809,2016-03-04,"NOTICE OF COMMITTEE CONSIDERATION - REQUESTED"
663815,2015-01-07,"REFERRED TO COMMERCE, ECONOMIC DEVELOPMENT AND SMALL BUSINESS"
663815,2015-05-27,"REPORTED AND COMMITTED TO FINANCE"
663815,2015-06-10,"COMMITTEE DISCHARGED AND COMMITTED TO RULES"
663815,2015-06-10,"ORDERED TO THIRD READING CAL.1429"
663815,2015-06-11,"PASSED SENATE"
663815,2015-06-11,"DELIVERED TO ASSEMBLY"
663815,2015-06-11,"referred to economic development"
663815,2016-01-06,"died in assembly"
663815,2016-01-06,"returned to senate"
663815,2016-01-06,"REFERRED TO COMMERCE, ECONOMIC DEVELOPMENT AND SMALL BUSINESS"
663815,2016-01-11,"AMEND AND RECOMMIT TO COMMERCE, ECONOMIC DEVELOPMENT AND SMALL BUSINESS"
663815,2016-01-11,"PRINT NUMBER 73A"
663815,2016-05-04,"REPORTED AND COMMITTED TO FINANCE"
663821,2015-01-07,"REFERRED TO ELECTIONS"
663821,2015-03-04,"NOTICE OF COMMITTEE CONSIDERATION - REQUESTED"
663821,2015-04-27,"REPORTED AND COMMITTED TO CORPORATIONS, AUTHORITIES AND COMMISSIONS"
663821,2015-06-01,"AMEND AND RECOMMIT TO CORPORATIONS, AUTHORITIES AND COMMISSIONS"
663821,2015-06-01,"PRINT NUMBER 60A"
663821,2016-01-06,"REFERRED TO ELECTIONS"
663821,2016-01-22,"AMEND AND RECOMMIT TO ELECTIONS"
663821,2016-01-22,"PRINT NUMBER 60B"
663821,2016-03-07,"NOTICE OF COMMITTEE CONSIDERATION - REQUESTED"
663821,2016-05-09,"REPORTED AND COMMITTED TO CODES"
663827,2015-01-07,"REFERRED TO EDUCATION"
663827,2015-06-08,"COMMITTEE DISCHARGED AND COMMITTED TO RULES"
663827,2015-06-08,"ORDERED TO THIRD READING CAL.1338"
663827,2015-06-09,"PASSED SENATE"
663827,2015-06-09,"DELIVERED TO ASSEMBLY"
663827,2015-06-09,"referred to education"
663827,2016-01-06,"died in assembly"
663827,2016-01-06,"returned to senate"
663827,2016-01-06,"REFERRED TO EDUCATION"
663827,2016-02-01,"AMEND AND RECOMMIT TO EDUCATION"
663827,2016-02-01,"PRINT NUMBER 33A"
663827,2016-05-23,"1ST REPORT CAL.1030"
663827,2016-05-24,"2ND REPORT CAL."
663827,2016-05-25,"ADVANCED TO THIRD READING"
663827,2016-06-07,"PASSED SENATE"
663827,2016-06-07,"DELIVERED TO ASSEMBLY"
663827,2016-06-07,"referred to education"
663834,2015-01-07,"REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS"
663834,2016-01-06,"REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS"
663840,2015-01-07,"REFERRED TO AGRICULTURE"
663840,2016-01-06,"REFERRED TO AGRICULTURE"
663846,2015-01-07,"REFERRED TO EDUCATION"
663846,2016-01-06,"REFERRED TO EDUCATION"
663852,2015-01-07,"REFERRED TO CORPORATIONS, AUTHORITIES AND COMMISSIONS"
663852,2016-01-06,"REFERRED TO CORPORATIONS, AUTHORITIES AND COMMISSIONS"
