bill_number,bill_id,title
HB1,703711,"Workforce Grant Program/grant recipient income tax credit"
HB2,703774,"Community school sponsorship and management"
HB3,703648,"Secretary of State fees/OhioMeansJobs website access"
HB4,703581,"Naloxone-furnish or dispense with regard to person at risk of opioid overdose"
HB5,703484,"Auditor of State-business case studies of public offices/shared equipment service agreement program"
HB6,703462,"Statute of limitations for rape/sexual battery-extend-offender implicated by DNA evidence"
HB7,703793,"Achievement tests-immaterial to promotion/high school end-of-course exams-administration"
HB8,703670,"Oil and gas-unit operation/valuing reserves-method"
HB9,703510,"Tax deductions and credits - periodically review"
HB10,703549,"State and private attorney contracts-transparency"
HB11,703602,"Delaware County Court of Common Pleas - create domestic relations division"
HB12,703731,"Tax increment financing-property owners-notice/exclude parcels"
HB13,703441,"Tax increment financing incentive district - reimburse forgone police and fire levy"
HB14,703531,"Powdered/crystalline alcohol-prohibit sale for human consumption"
HB15,703373,"State Board of Education-membership /presidency"
HB16,703291,"Imitation firearms-regulate/prohibit disguising real firearm as imitation"
HB17,703329,"Architects/contractors/engineers/surveyors/tradespersons-immunity for volunteer services during emergency"
HB18,703750,"Land use controls-not restrict display of service flags/star banners/U.S. flag"
HB19,703396,"Incorporate Internal Revenue Code changes into Ohio law"
HB20,703694,"Concealed handgun-carry in school safety zone-expand/clarify authority"
HB21,703308,"USMC LCpl Stacy (Annie) Dryden Memorial Highway - part of Rt. 62 - Canton"
HB22,703354,"Memorial bridge - George V. Voinovich"
HB23,703416,"Income tax reductions"
HB24,704323,"Adult protective services - revise law"
HB25,704438,"School fundraisers-food and beverage sales during school-State Board adopt rules"
HB26,710631,"Sales & use tax-exempt investment metal bullion & coins"
HB27,710001,"Finish Fund & Finish Reserve Fund-grants to students nearing degree completion who show financial need or hardship"
HB28,710506,"State higher education institutions - suicide prevention programs"
HB29,710036,"Alpha-1 Antitrypsin Deficiency Awareness Month - November"
HB30,710206,"Failure to secure child in car safety restraint-enforce as primary offense if child under eight/admissible in evidence except in negligent vehicular homicide cases"
HB31,710135,"Hang on Sloopy - official state rock song"
HB32,710570,"Aircraft fuel-taxation of"
HB33,710376,"Seizure disorders-authorize use of cannabidiol and other cannabis-derived drugs and substances"
HB34,710172,"Health Care Compact-enter into"
HB35,710068,"Firearms - prohibit seizure / registry"
HB36,710103,"Corpse disposal by alkaline hydrolysis-authorize and regulate"
HB37,710309,"Beer/intoxicating liquor in open container-on premises of a market-authorize if bought from D permit holder located in market"
HB38,710439,"Disabled or elderly victim-additional imprisonment"
HB39,711344,"Asthmatic inhaler licensure exemption for schools and camps"
HB40,711222,"State Medical Board-impose fines for certain violations/conditions for restoration of certain certificates to practice"
HB41,711118,"On-line voter registration system-create"
HB42,717408,"Local Government Fund-receive same part of revenue as received in FY 2005"
HB43,717964,"Classroom facilities assistance/restore tax rollbacks to school tax levies"
HB44,717145,"Lottery profits-distribute annually to public/chartered nonpublic schools"
HB45,717499,"Humane society agents-complete training/suspension/revocation of appointment"
HB46,717322,"Ohio State Government Expenditure Database-establish"
HB47,717585,"Outdoor refreshment areas-open container exemption"
HB48,717763,"Concealed carry-affirmative defenses-carrying firearm in certain vulnerable areas"
HB49,717848,"Commercial Airline and Air Freight Commission-create"
HB50,717231,"Ward's bill of rights/Guardianship Guide/foster care-extend eligibility"
HB51,718125,"Industrial Commission Budget FY2016 and FY 2017"
HB52,717863,"Workers Compensation Budget FY2016 and FY2017"
HB53,718503,"Transportation and Public Safety Budget FY2016 and FY2017"
HB54,718719,"Joint vocational school district boards-revise terms of office"
HB55,718773,"Third Grade Reading Guarantee-deadlines for reading skills assessments"
HB56,718611,"Public employment-limit use of criminal records in hiring/employment"
HB57,721102,"Aggravated murder-change sentencing"
HB58,720494,"Motor vehicle operator-safe approach-stationary waste collection vehicle"
HB59,720757,"Felony committed with firearm-increase mandatory prison term"
HB60,720237,"Companion animals-revise law/identify owners who use to obtain opoids"
HB61,720411,"Lake Erie water quality"
HB62,720711,"Krabbe Disease Awareness Week - second week of September"
HB63,720800,"Child placed with attorney-in-fact-notifiers of child abuse or neglect-file complaint if placement unsafe"
HB64,720104,"Main Operating Budget FY2016-FY2017"
HB65,722854,"Tax expenditures-periodically appraise effectiveness"
HB66,727068,"Veteran and Disabled Ohioan Technology Council"
HB67,727210,"Medical research grants-terminal, chronic, incurable diseases"
HB68,727142,"Beer-increased alcohol percentage/no added stimulants"
HB69,727000,"Abortion-detectable heartbeat-prohibit"
HB70,728686,"School restructuring-community learning center process"
HB71,728645,"Motor vehicle carrier transportation contracts-prohibit indemnity agreements"
HB72,728891,"Energy special improvement districts-port authorities create"
HB73,728564,"State institutional facilities-closing, sale, privatization"
HB74,729878,"Primary and secondary education assessments-administration"
HB75,729701,"Firearms-residential storage-prevent access by minors"
HB76,729792,"Private nonprofit or campus police-records public"
HB77,729985,"Home improvement contractors-statewide registration"
HB78,730090,"Firearms-regulate transfers"
HB79,729885,"Hunting licenses-issuance to felons"
HB80,736268,Agritourism
HB81,736551,"Special elections-none in February/locals prepay 65% of estimated cost"
HB82,736101,"Counties and municipalities-contract-private operation of jails for felons"
HB83,736440,"Oil or gas well owner-royalty statement to holder of royalty interest"
HB84,736602,"Lawsuit over municipal income tax-bring against municipality"
HB85,736213,"Child sexual abuse and its prevention-student instruction/in-service staff training"
HB86,736157,"Distracted driving-a secondary crime"
HB87,736045,"Moses Fleetwood Walker Day-October 7"
HB88,736385,"Electronic wireless communications devices-restrict usage"
HB89,736496,"Medicaid School Program"
HB90,736329,"Transportation network companies and drivers-regulate insurance requirements"
HB91,741830,"Cemeteries-property tax for operation-lengthen term"
HB92,741798,"Schools/higher ed-employees not having authority-no sexual conduct with minor students"
HB93,741895,"Breast Cancer Awareness license plates-issue for motorcycles"
HB94,741923,"Tether animal outdoors-prohibit under specified circumstances"
HB95,742610,"Dental health insurers-no fee schedule for services not covered"
HB96,742462,"Nurse having certificate to prescribe-delegate authority"
HB97,743264,"State highway signs indicating national park area-bear arrowhead symbol"
HB98,743159,"Childhood Apraxia of Speech Awareness Day-May 14"
HB99,744140,"Income tax collections-equal amount to schools"
HB100,744180,"Vehicle over 10,000 lb.-drive in two right-hand lanes of three-lane freeway"
HB101,744315,"Harmful algae-training; early warning; emergency plans; Lake Erie-species impact-study"
HB102,744428,"State bid preference-veteran-owned business; tax credit-hire veteran"
HB103,744557,"Womens' Week for Policy and Entrepreneurship: observe; committee; forum/competition"
HB104,745309,"License plates-failure to display on front-secondary offense"
HB105,745391,"Quit work to accompany spouse on military transfer-eligible for unemployment benefits"
HB106,745564,"Public indecency-viewable by minor-register as sex offender"
HB107,745475,"Person or neighborhood association-request reduced speed limit/stop sign"
HB108,748816,"House committee meetings-live broadcast of"
HB109,748761,"Ohio Health Benefit Exchange-create"
HB110,748924,"Failure to stop after accident-increase penalty"
HB111,748871,"Restaurants-donate food to those in need-entitled to rebate"
HB112,748977,"Motor vehicle dealer licensing-certain old convictions not disqualifying"
HB113,748708,"High school graduation-require cardiopulmonary resuscitation training"
HB114,748656,"School doors-barricade devices-permit use-regulate"
HB115,751538,"Motorcycle Road Guard Certification Program"
HB116,751728,"Partial prescription refills-to synchronize multiple prescriptions for patient"
HB117,751631,"Prohibit abortion-gestational age 20 weeks or more"
HB118,755450,"State universities-tuition overload fees"
HB119,755623,"Imitation firearms-regulate/prohibit disguising real firearm as imitation"
HB120,755366,"Ohio Higher Education Innovation Grant Program"
HB121,755536,"Service Dog Awareness Week-last week of July"
HB122,758143,"Public Utilities Commission membership-political party representation"
HB123,758932,"Alibi defense-notice/community control sanctions-no presentence report"
HB124,759332,"Patient with certain venereal diseases-prescribe for sexual partner"
HB125,759240,"Veterans Fee Waiver Program-establish"
HB126,759287,"Real property-offense of violence on-a nuisance"
HB127,759204,"Pharmacy benefit managers-regulate"
HB128,760127,"Tax credit-donation to community foundation endowment fund"
HB129,761928,"Hope for a Smile Program-establish"
HB130,762037,"Public information-accessibility/public office uniform accounting"
HB131,761959,"Animal diseases/weights and measures/livestock sales/pesticides"
HB132,761912,"Birth control drugs/sexual assault pregnancy prevention/sex education"
HB133,761942,"Tax credit-nonprofit management degree/sales tax exemption-relocate jobs"
HB134,762686,"Mortgage foreclosures-vacant/blighted land-expedite"
HB135,762771,"Unborn child having Down Syndrome-prohibit abortion"
HB136,762862,"Lake County ESC Pilot-support STEM initiatives-middle school students"
