bill_id,date,action
436174,2013-02-04,"First Reading"
436174,2013-02-04,"Authored by Senator Branan"
436174,2013-02-05,"Second Reading referred to Public Safety"
436174,2013-02-05,"coauthored by Jackson (principal House author)"
436174,2013-02-14,"Reported Do Pass Public Safety committee; CR filed"
436174,2013-03-05,"General Order, Considered"
436174,2013-03-05,"Measure passed: Ayes: 45 Nays: 0"
436174,2013-03-05,"Referred for engrossment"
436174,2013-03-06,"Engrossed to House"
436174,2013-03-06,"First Reading"
436174,2013-03-18,"Second Reading referred to Judiciary"
436174,2013-04-10,"CR; Do Pass, amended by committee substitute Judiciary Committee"
436174,2013-04-10,"Coauthored by Senator(s) Bass"
436174,2013-04-25,"General Order"
436174,2013-04-25,"Coauthored by Representative(s) Pittman, Turner, Nelson, Fisher"
436174,2013-04-25,"Third Reading, Measure passed: Ayes: 85 Nays: 5"
436174,2013-04-25,"Referred for engrossment"
436174,2013-04-29,"Engrossed, signed, to Senate"
436174,2013-04-29,"HAs read"
436174,2013-04-30,"HAs adopted"
436174,2013-04-30,"Measure passed: Ayes: 46 Nays: 0"
436174,2013-04-30,"Referred for enrollment"
436174,2013-05-01,"Enrolled, to House"
436174,2013-05-01,"Signed, returned to Senate"
436174,2013-05-01,"Sent to Governor"
436174,2013-05-07,"Approved by Governor 05/07/2013"
436258,2013-02-04,"First Reading"
436258,2013-02-04,"Authored by Senator Fields"
436258,2013-02-05,"Second Reading referred to Energy"
436341,2013-02-04,"First Reading"
436341,2013-02-04,"Authored by Senator Fields"
436341,2013-02-05,"Second Reading referred to Energy"
436423,2013-02-04,"First Reading"
436423,2013-02-04,"Authored by Senator Fields"
436423,2013-02-05,"Second Reading referred to Finance"
436423,2013-02-05,"coauthored by Wright (principal House author)"
438828,2013-02-04,"First Reading"
438828,2013-02-04,"Authored by Senator Brecheen"
438828,2013-02-05,"Second Reading referred to Energy Committee then to Appropriations Committee"
438828,2013-02-05,"coauthored by Murphey (principal House author)"
438839,2013-02-04,"First Reading"
438839,2013-02-04,"Authored by Senator Fields"
438839,2013-02-05,"Second Reading referred to Rules"
438839,2013-02-05,"coauthored by Roberts (Sean) (principal House author)"
438851,2013-02-04,"First Reading"
438851,2013-02-04,"Authored by Senator Ellis"
438851,2013-02-05,"coauthored by Pruett (principal House author)"
438851,2013-02-06,"Second Reading referred to Rules"
438851,2013-03-13,"Withdrawn from Rules committee"
438851,2013-03-13,"Direct to Calendar"
438851,2013-03-13,Considered
438851,2013-03-13,"Adopted, referred for engrossment"
