sponsor_id,name
3646,"Don Armes"
3649,"Gary Banz"
3651,"Lisa Billy"
3652,"Gus Blackwell"
3654,"Mike Brown"
3656,"Ed Cannaday"
3658,"Mike Christian"
3660,"Ann Coody"
3661,"Marian Cooksey"
3662,"Doug Cox"
3663,"David Dank"
3664,"Dale DeWitt"
3665,"Lee Denney"
3666,"David Derby"
3667,"Joe Dorman"
3669,"John Enns"
3671,"Eddie Fields"
3672,"Larry Glenn"
3673,"Rebecca Hamilton"
3675,"Jeffrey Hickman"
3678,"Chuck Hoskin"
3679,"Scott Inman"
3680,"Michael Jackson"
3682,"Rob Johnson"
3684,"Fred Jordan"
3685,"Charles Joyner"
3686,"Sally Kern"
3689,"Dan Kirby"
3690,"Steve Kouplen"
3694,"Scott Martin"
3695,"Steve Martin"
3696,"Al McAffrey"
3697,"Mark McCullough"
3698,"Jeannie McDaniel"
3699,"Randy McDaniel"
3701,"Skye McNiel"
3702,"Jerry McPeak"
3704,"Lewis Moore"
3706,"Richard Morrissette"
3707,"Jason Murphey"
3709,"Jason Nelson"
3710,"Charles Ortega"
3711,"Leslie Osborn"
3712,"Pat Ownbey"
3714,"Pam Peterson"
3715,"Anastasia Pittman"
3716,"Eric Proctor"
3717,"Raymond Pruett"
3718,"Brian Renegar"
3719,"Mike Reynolds"
3721,"Mike Ritze"
3723,"Wade Rousselot"
3724,"Todd Russ"
3725,"Mike Sanders"
3726,"Michael Schwartz"
3727,"Seneca Scott"
3728,"Earl Sears"
3729,"Tahrohon Shannon"
3730,"Mike Shelton"
3731,"Ben Sherrer"
3732,"Jerry Shoemake"
3733,"Jabar Shumate"
3739,"Todd Thomsen"
3741,"John Trebilcock"
3742,"Purcy Walker"
3743,"Weldon Watson"
3744,"Paul Wesselhoft"
3745,"Cory Williams"
3746,"Harold Wright"
3749,"Clifford Aldridge"
3750,"Patrick Anderson"
3751,"Roger Ballenger"
3752,"Don Barrington"
3753,"Randy Bass"
3754,"Brian Bingman"
3755,"Cliff Branan"
3757,"Bill Brown"
3758,"Michael Burrage"
3759,"Harry Coates"
3762,"Brian Crain"
3766,"Jerry Ellis"
3767,"John Ford"
3768,"Earl Garrison"
3770,"Jim Halligan"
3771,"Tom Ivester"
3772,"Constance Johnson"
3774,"Clark Jolley"
3775,"Ron Justice"
3780,"Bryce Marlatt"
3781,"Michael Mazzei"
3783,"Dan Newberry"
3785,"Susan Paddack"
3786,"Jim Reynolds"
3789,"Mike Schulz"
3790,"John Sparks"
3791,"Gary Stanislawski"
3793,"Anthony Sykes"
3795,"Charles Wyrick"
12124,"Ralph Shortey"
12125,"Kim David"
12126,"Josh Brecheen"
12127,"Marty Quinn"
12128,"Dennis Casey"
12129,"David Holt"
12130,"David Brumbaugh"
12131,"William Fourkiller"
12132,"Tom Newell"
12133,"John Bennett"
12134,"Steve Vaughan"
12135,"Randon Grau"
12136,"Josh Cockroft"
12137,"Dustin Roberts"
12138,"Aaron Stiles"
12139,"Sean Roberts"
12140,"Donnie Condit"
12141,"Mark Allen"
12142,"Jadine Nollan"
12144,"Rick Brinkley"
12147,"Emily Virgin"
12148,"Elise Hall"
12149,"Tommy Hardin"
12151,"Greg Treat"
12152,"Frank Simpson"
12153,"Glen Mulready"
12156,"James Lockhart"
13891,"Curtis McDaniel"
13945,"Ann Griffin"
14057,"Kyle Loveless"
14088,"Nathan Dahm"
14089,"Corey Brooks"
15061,"Arthur Hulbert"
15062,"Rob Standridge"
15165,"Kay Floyd"
15166,"Ron Sharp"
15261,"Scott Biggs"
15262,"Bobby Cleveland"
15263,"Mark McBride"
15264,"David Perryman"
15265,"Jason Smalley"
15266,"Michael Turner"
15267,"Justin Wood"
15268,"Charles McCall"
15285,"Jon Echols"
15286,"Dan Fisher"
15287,"Katie Henke"
15288,"Kevin Matthews"
15713,"Larry Boggs"
15714,"Wayne Shaw"
15740,"Terry O'Donnell"
