bill_number,bill_id,title
HB1001,794293,"Labor; relating to the Employment Security Act of 1980; exemptions from coverage; taxation; unemployment benefit claims; effective date."
HB1002,795213,"Firefighters Pension and Retirement System; requiring Board to develop certain procedures; updating language; emergency."
HB1003,794246,"Professions and occupations; plumbers; removing Committee from sunset law; adoption of rules and procedures for certain military training; effective date."
HB1004,795131,"Motor vehicles; modifying certain time requirement for displaying lamps and illuminating devices; effective date."
HB1005,794924,"Teachers' Retirement System of Oklahoma; treatment of certain contributions."
HB1006,794149,"Common carriers; adding certain offenses for which an order of interception may be obtained; effective date."
HB1007,793930,"Marriage; prohibiting requirement of religious official to solemnize a marriage that violates their conscience or religious beliefs; effective date."
HB1008,795270,"Cities and towns; increasing timing and number of notices prior to hearing on urban renewal plan; effective date."
HB1009,794942,"Motor vehicles; making certain acts unlawful; effective date."
HB1010,795005,"Sunset; Capitol-Medical Center Improvement and Zoning Commission; re-creating Board; termination date; emergency."
HB1011,793975,"Sunset; Oklahoma State Athletic Commission; recreating the Commission; modifying termination date."
HB1012,795486,"Sunset; Commission on County Government Personnel Education and Training; recreating the Commission; modifying termination date."
HB1013,794999,"Sunset; Board of Tests for Alcohol and Drug Influence; recreating the Board; modifying termination date."
HB1014,795542,"Liquefied Petroleum Gas Research, Marketing and Safety Commission; terminating on certain date; creating the Propane Education and Safety Council; effective date."
HB1015,795190,"Sunset; re-creating Oklahoma American Civil War Sesquicentennial Commission; re-creating advisory council to Commission; modifying termination dates."
HB1016,793449,"Sunset; State Board of Examiners of Perfusionists; recreating the Board; modifying termination date."
HB1017,794852,"Sunset; Polygraph Examiners Board; re-creating the Board; modifying termination date."
HB1018,793549,"Sunset; State Board of Osteopathic Examiners; re-creating the Board; modifying termination date."
HB1019,793379,"Sunset; Board of Podiatric Medical Examiners; re-creating the Board; modifying termination date."
HB1020,794471,"Sunset; Board of Examiners for Speech-Language Pathology and Audiology; re-creating the Board; modifying termination date."
HB1021,793628,"Sunset; P-20 Data Coordinating Council; re-creating the Council; modifying termination date."
HB1022,793885,"Sunset; Educational Quality and Accountability Board; re-creating the Board; modifying termination date."
HB1023,793754,"Sunset; State Capitol Preservation Commission; re-creating the Commission; modifying termination date."
HB1024,795138,"Sunset; enacting the Oklahoma Sunset Act of 2015; effective date."
HB1025,795320,"Sunset; omnibus lists of termination of certain statutory entities; effective date."
HB1026,794205,"Sunset; creating the Sunset Act of 2015; effective date."
HB1027,795192,"Schools; modifying implementation dates and duties relating to the Oklahoma Teacher and Leader Effectiveness Evaluation System; emergency."
HB1028,795078,"Counties and county officers; dilapidated buildings; removing certain population requirement; effective date."
HB1029,793950,"Crimes and punishments; eluding a peace officer; modifying penalties; effective date."
HB1030,794240,"Crimes and punishments; modifying certain residency provision; effective date."
HB1031,793673,"Wills and succession; prohibiting persons convicted of certain crimes from inheriting from the victim; effective date."
HB1032,794581,"Definitions and general provisions; permitting certain individual to participate in executive session to discuss real property; effective date."
HB1033,794553,"Bail bonds; requiring submission of audited financial statements in accordance with certain standards; deleting certain filing requirement and fees; effective date."
HB1034,793323,"Schools; authorizing sponsorship of charter schools by certain tribes on certain property; effective date."
HB1035,793691,"Civil procedure; providing for the admissibility of certain evidence; effective date."
HB1036,793917,"Public health and safety; requiring Emergency Medical Services to conduct certain reviews; effective date."
HB1037,793516,"Oklahoma Open Records Act; providing additional exemption under Oklahoma Open Records Act; release of certain audio and video recordings; emergency."
HB1038,794864,"Contracts; Telemarketer Restriction Act; modifying definition; effective date."
HB1039,794909,"Corporations; enacting the Oklahoma Benefit Corporation Act; effective date."
HB1040,795343,"Purple Heart Day; changing Purple Heart Week to Purple Heart Day; effective date."
HB1041,795543,"Aircraft and airports; directing that certain fees be deposited in the Oklahoma Aeronautics Commission Revolving Fund; effective date; emergency."
HB1042,793966,"Child support; prohibiting parents who participate in shared parenting time from paying increased child support amount; effective date."
HB1043,793334,"Motor vehicles; enacting the Oklahoma Auto Salvage Act of 2015; effective date."
HB1044,795026,"State employees; establishing a state employee suggestion program."
HB1045,794279,"Criminal procedure; modifying procedures for filing petitions for post-conviction relief; effective date."
HB1046,794377,"Criminal procedure; modifying certain restitution requirement; effective date."
HB1047,795451,"Crimes and punishments; adding certain offense; increasing penalty and fine; effective date."
HB1048,794141,"State government; authorizing the subpoena of witnesses and production of records for certain investigations; effective date."
HB1049,794497,"Oklahoma Open Records Act; adding Legislature and judiciary to definition of public body; effective date."
HB1050,793372,"Driving under the influence; authorizing search warrant requests under certain circumstances; effective date."
HB1051,795444,"Schools; creating the Safe Sports School Act; effective date."
HB1052,793821,"Oklahoma State Pension Commission; membership; voting."
HB1053,795532,"Oklahoma Law Enforcement Retirement System; compliance with Internal Revenue Code of 1986; emergency."
HB1054,793339,"Lotteries; modifying reference; effective date."
HB1055,793737,"Definitions and general provisions; requiring written or electronic recording in executive session; effective date."
HB1056,794049,"Corporations; creating the Shareholder's Bill of Rights Act; prohibiting corporations from spending certain funds; effective date."
HB1057,793790,"Prisons and reformatories; requiring payment of fee under certain circumstances; effective date."
HB1058,794691,"Public finance; claims processing; institutions within Oklahoma State System of Higher Education; effective date; emergency."
HB1059,794935,"Crimes and punishments; proving an exception for licensed emergency medical technicians; effective date."
HB1060,795467,"Counties and county officers; county commissioners; authorizing use of funds for certain improvements; effective date."
HB1061,794857,"Business; Business Employment and Transparency Act; effective date."
HB1062,794278,"Public health and safety; requiring nursing facilities to have emergency plan; effective date."
HB1063,793825,"Schools; exempting students from taking certain tests after certain conditions are met; effective date; emergency."
HB1064,794584,"Schools; excluding certain students from certain calculation of school grades for the annual reports for the Oklahoma School Testing Program; effective date; emergency."
HB1065,794988,"Schools; categories of employment contracts; changing time when employee information worksheets are to be provided to teachers and administrators."
HB1066,793708,"Children and juvenile code; providing for the inclusion of certain reports; effective date."
HB1067,794359,"Professions and occupations; Alarm and Locksmith Industry Act; modifying short title; modifying definition; effective date."
HB1068,794641,"Feral swine; removing permit requirement to kill feral swine at night and authorizing certain lighting to be used; effective date."
HB1069,795227,"State government; modifying scope of database to include certain persons; effective date."
HB1070,794812,"Agriculture; clarifying language; effective date."
HB1071,794296,"Veterinary practice; clarifying language; effective date."
HB1072,793651,"Higher education; repealers; studies of higher education institution employee benefit programs and salary and other remunerative benefits for higher education institution faculty and staff; effective date."
HB1073,793543,"State government; creating the State Purchasing Act of 2015; effective date."
HB1074,795180,"Public health and safety; creating the Right to Try Act; effective date."
HB1075,795269,"Cedar trees; modifying the Eastern Red Cedar Registry Board Act; creating the Oklahoma Resource Reclamation Act; creating the Oklahoma Woody Biomass Energy Initiative Act of 2015; effective date."
HB1076,795298,"Prisoner training; directing the Department of Corrections to provide for the creation of the Oklahoma Cedar Control Project program; effective date."
HB1077,795482,"Railroads; requiring contract renegotiations and reporting by Department of Transportation."
HB1078,795104,"Children; modifying and updating sections in the Oklahoma Children's Code; effective date."
HB1079,795474,"Children; allowing foster parent to submit report to court for review hearing; effective date."
HB1080,795023,"Public health and safety; allowing certain persons to access information from the central repository; effective date."
HB1081,795566,"Professions and occupations; including certain duties of Executive Director of Oklahoma Board of Nursing; effective date."
HB1082,794549,"Motor vehicles; prohibiting the sale of certain unmounted tires; effective date."
HB1083,794572,"Technology; establishing the Criminal Justice Information Systems Center for Excellence; codification; effective date."
HB1084,794037,"Schools; expanding minimum salary schedule for certain school years; effective date; emergency."
HB1085,795161,"Public health; public health advisory councils; creating the Home Care, Hospice and Palliative Care Advisory Council; effective date."
HB1086,793464,"Department of Human Services; creating the Department of Human Services Act of 2015; effective date."
HB1087,795079,"Foster care; creating the Foster Care Act of 2015; effective date."
HB1088,794941,"Memorial highway designations; designating the President George H.W. Bush Highway; effective date."
HB1089,793574,"Memorial highway designations; designating the President George W. Bush Highway; effective date."
HB1090,795235,"Revenue and taxation; sales tax exemption; American Legion; effective date; emergency."
HB1091,794461,"Motor vehicles; multiyear registration renewals; effective date."
HB1092,793534,"Schools; directing school districts to increase support employee salaries; increasing the minimum salary schedule for teachers; effective date; emergency."
HB1093,793903,"Criminal procedure; granting certain authority to law enforcement officers; effective date."
HB1094,793857,"Children; requiring child care facility to develop attendance system; effective date."
HB1095,793294,"Consumer protection; enacting the Oklahoma Protected Consumer Security Freeze Act; effective date."
HB1096,794015,"State employee compensation; salary increase for Corporation Commission Motor Carrier Enforcement Officers; effective date; emergency."
HB1097,794066,"Elections; requiring nonpartisan elections for county sheriff; effective date."
HB1098,793766,"State government; creating the State Employee Act of 2015; effective date."
HB1099,795099,"Court reporters; modifying various procedures and maintenance related to court clerk records; effective date."
HB1100,794730,"Courts; modifying various sections related to certification standards for courtroom interpreters; effective date."
HB1101,795356,"State government; creating the Veteran Preference for State Contracts Act; effective date."
HB1102,794195,"Public health and safety; creating the Oklahoma Medical Examiners Reform Act of 2015; effective date."
HB1103,793677,"Agriculture; providing limited exemption that certain reports be produced under the Open Records Act; effective date."
HB1104,794561,"Feral swine; requiring certain persons to kill all feral swine upon capture; effective date; emergency."
HB1105,793942,"Schools; requiring teachers to receive certain stipend for classroom expenses; effective date."
HB1106,794668,"Schools; directing school districts to increase support employee salaries; effective date; emergency."
HB1107,795537,"Oil and gas; modifying restriction on the location of habitable structures; adding restriction for wells using hydraulic fracturing techniques; effective date."
HB1108,794806,"Revenue and taxation; sales tax exemptions; increasing exemption for certain surviving spouses of deceased disabled veterans; effective date."
HB1109,793443,"Teachers' Retirement System of Oklahoma; post-retirement earnings limitations; effective date; emergency."
HB1110,795286,"Vulnerable adults; establishing Vulnerable Adult Injury and Death Review Board; effective date."
HB1111,795419,"Teachers' Retirement System of Oklahoma; post-retirement earnings limitations; effective date; emergency."
HB1112,794318,"Teachers' Retirement System of Oklahoma; post-retirement earnings limitations; effective date; emergency."
HB1113,794139,"Motor vehicles; relating to approaching emergency vehicles; requiring certain caution to be taken when approaching certain maintenance vehicles; effective date."
HB1114,793888,"Criminal procedure; defining term; effective date."
HB1115,794128,"Corrections; creating the Oklahoma Corrections Act of 2015; effective date."
HB1116,793897,"State property; relating to easement and right-of-way grants; adding Department of Wildlife Conservation to exemption."
HB1117,795025,"Crimes and punishments; modifying eligibility requirements for earned credits; effective date."
HB1118,793655,"Child care; creating the Child Care Center Bill of Rights; emergency."
HB1119,794469,"Title insurance; authorizing a title insurance company to execute and record certain records in certain circumstances; effective date."
HB1120,794104,"Mortgages; authorizing title insurance company to recover certain penalty; effective date."
HB1121,793390,"Motor vehicles; vehicle registration fees; modifying penalty; effective date."
HB1122,795586,"Counties and county officers; records and deeds; clarifying acceptance and filing of certain documents by county clerks; effective date."
HB1123,795293,"Mortgages; decreasing time for filing release of mortgage after debt payment; effective date."
HB1124,793786,"Child care facilities; sex offender employment; OMES to contract with statewide vendor that can provide electronic fingerprint services to support the national criminal history records.; effective date."
HB1125,794220,"Marriage licenses; deleting issuance of marriage licenses; providing for marriage certificates and affidavits of common law marriage; effective date."
HB1126,793957,"Banking and financial services; creating the Banking and Financial Services Act of 2015; effective date."
HB1127,793581,"Environment and natural resources; creating the Subsurface Sewage System Act; effective date."
HB1128,794043,"Motor vehicles; creating the School Bus Safety Act of 2015; effective date."
HB1129,794361,"Revenue and taxation; gross production taxes; revenue stabilization; effective date."
HB1130,795230,"Intoxicating liquors; enacting the Oklahoma Intoxicating Liquors Act of 2015; effective date."
HB1131,795380,"Professions and occupations; creating the Real Estate Practices Act of 2015; effective date."
HB1132,795339,"Oklahoma Legislature; creating the Legislative Rules Reform Act of 2015; effective date."
HB1133,795120,"Motor vehicles; enacting the Oklahoma Commercial Vehicles Act of 2015; effective date."
HB1134,793687,"Motor vehicles; enacting the Oklahoma Commercial Driver License Act of 2015; effective date."
HB1135,794711,"Revenue and taxation; Tax Credit Review and Analysis Act of 2015; effective date."
HB1136,795432,"Motor vehicles; deleting certain term; effective date."
HB1137,795290,"Prisons and reformatories; creating the Corrections Ombudsman Task Force; effective date."
HB1138,794425,"Revenue and taxation; sales tax exemption for hearing aids under certain conditions; effective date; emergency."
HB1139,794155,"Motor vehicles; modifying certain seat belt requirement; effective date."
HB1140,794472,"Requiring Oklahoma Health Care Authority to provide certain reimbursement; effective date."
HB1141,795250,"Schools; modifying funding requirements of the annual salary bonus for certain school psychologists, speech-language pathologists and audiologists; effective date; emergency."
HB1142,793369,"Schools; providing for an evaluation system for speech-language pathologists; effective date; emergency."
HB1143,793960,"Crimes and punishments; authorizing handgun licensees to carry on certain school property; effective date."
HB1144,795288,"Registrations; registration of vessels, motors and trailers; authorizing consolidated registration; requiring registration; effective date."
HB1145,793481,"Schools; creating the Civics Education Initiative Act; effective date."
HB1146,795082,"Crimes and punishments; prostitution offenses; modifying scope; effective date."
HB1147,794746,"Prisons and reformatories; providing for the removal of earned credits under certain circumstances; effective date."
HB1148,793573,"Roads and bridges; county line roads and bridges construction and maintenance; county agreements; effective date; emergency."
HB1149,793717,"Wills and succession; requiring strict application of in terrorem clause if will contest fails; effective date."
HB1150,794539,"Mental health; removing private treatment facility from certain zoning prohibition; effective date; emergency."
HB1151,794092,"Department of Human Services; creating the Oklahoma Department of Human Services Act; effective date."
HB1152,794649,"Public finance; Constitutional Reserve Fund; authorized investments; effective date; emergency."
HB1153,794054,"Public finance; Constitutional Reserve Fund; authorized investments; effective date; emergency."
HB1154,794901,"Schools; providing certain exemption for law enforcement officers; effective date."
HB1155,793689,"Revenue and taxation; corporate income tax credit; patent holders; effective date."
HB1156,793850,"Revenue and taxation; exempting from taxable income wages and compensation paid to persons performing temporary services for certain public utilities; effective date."
HB1157,794865,"Revenue and taxation; income tax rate; corporations; relocated assets; effective date."
HB1158,794807,"Schools; modifying implementation dates and duties relating to the Oklahoma Teacher and Leader Effectiveness Evaluation System; emergency."
HB1159,794799,"Initiative and referendum; modifying time limit for filing; effective date."
HB1160,794479,"Jurors; modifying time allowed to circulate a grand jury petition; effective date."
HB1161,794675,"Revenue and taxation; tax credit; investments in film or music projects; repealer; effective date."
HB1162,795454,"Higher education; directing the Oklahoma State Regents for Higher Education to develop or provide for an online admission portal or website; effective date."
HB1163,794943,"Cities and towns; creating the Oklahoma Municipal Fire Protection District Act; effective date."
HB1164,794568,"Prisons and reformatories; providing restrictions prior to transferring inmates to certain correctional facilities; effective date."
HB1165,794500,"Counties; county commissioners; specifying minimum content requirements of cooperative agreements; effective date."
HB1166,795234,"Criminal procedure; creating Sandy's Law; authorizing victim protection orders for witnesses of domestic violence; effective date."
HB1167,794787,"Schools; creating the Promoting Child Nutrition through School Assemblies Act; effective date."
HB1168,794276,"Community gardens; authorizing owners of private land to enter into an agreement with the Oklahoma Tax Commission to utilize land as community gardens; effective date."
HB1169,795077,"Children; creating the JaRay Wilson Runaway Child Alert System Act; effective date."
HB1170,793562,"Oklahoma Arts Council; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1171,794335,"State Board of Career and Technology Education; appropriations; purposes; budgetary limitations, duties and compensation; effective date."
HB1172,794634,"State Board of Education; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1173,793674,"Oklahoma Educational Television Authority; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1174,794330,"Oklahoma State Regents for Higher Education; appropriation; purpose; effective date."
HB1175,793529,"Commissioners of the Land Office; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1176,793528,"Oklahoma Department of Libraries; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1177,794413,"Physician Manpower Training Commission; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1178,793872,"Office of Educational Quality and Accountability; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1179,794381,"Oklahoma School of Science and Mathematics; purpose; budgetary limitations; duties and compensation; effective date."
HB1180,794758,"Oklahoma Center for the Advancement of Science and Technology; appropriation; purpose; budgetary limitations; duties and compensation; effective date."
HB1181,794927,"State Auditor and Inspector; appropriations; purposes; limitations; procedures; effective date."
HB1182,794756,"State Bond Advisor; appropriation; purpose; budgetary procedures; effective date."
HB1183,793624,"State Election Board; appropriation; purpose; budgetary limitations; duties and compensation; nonfiscal; effective date."
HB1184,794207,"Department of Emergency Management; appropriation; purpose; budgetary procedures; limitations; effective date."
HB1185,794615,"Ethics Commission; appropriation; purpose; budgetary procedures; limitations; effective date."
HB1186,795466,"Governor; appropriation; purpose; budgetary procedures; effective date."
HB1187,794013,"Oklahoma House of Representatives; appropriation; purpose; nonfiscal; claims; effective date."
HB1188,794483,"Legislative Service Bureau; appropriation; purpose; nonfiscal; effective date."
HB1189,793315,"Office of the Lieutenant Governor; appropriation; purpose; budgetary procedures; effective date."
HB1190,795208,"Office of Management and Enterprise Services; appropriations; purposes; budgetary procedures; effective date."
HB1191,794715,"Oklahoma Merit Protection Commission; appropriation; purpose; duties and compensation; budgetary procedures; lapse procedures; effective date."
HB1192,793329,"Oklahoma Military Department; appropriation; purpose; budget limitations; duties and compensation; budgetary procedures; effective date."
HB1193,793999,"Oklahoma State Senate; appropriation; purpose; nonfiscal; effective date."
HB1194,794444,"Oklahoma Tax Commission; appropriation; purpose; payments; budgetary limitations; duties and compensation; budgetary procedures; effective date."
HB1195,793750,"Office of the State Treasurer; appropriations; purposes; budgetary limitations; duties and compensation; budgetary procedure; effective date."
HB1196,795135,"Oklahoma Space Industry Development Authority; appropriation; purpose; transfer; duties and compensation; budgetary procedures; effective date."
HB1197,795438,"Department of Transportation; authorization; purpose; expenditures; transfers; duties and compensation; budgetary procedure; effective date."
HB1198,793626,"Appropriation; Oklahoma Health Care Authority; effective date"
HB1199,793734,"Appropriation; Oklahoma State Department of Health; effective date."
