bill_id,roll_call_id,date,description,yea,nay,nv
792689,516251,2016-03-09,"Senate: THIRD READING",40,0,0
792689,526497,2016-03-31,"House: Public Safety Committee: DO PASS",8,0,0
792689,530993,2016-04-12,"House: THIRD READING",88,8,0
792689,530994,2016-04-12,"House: EMERGENCY",69,9,0
793294,498588,2016-02-15,"House: Banking and Financial Services Committee: DO PASS AS AMENDED BY CS",6,0,0
793295,477860,2015-05-05,"Senate: THIRD READING",45,0,0
793295,477861,2015-04-07,"House: Joint Committee on Appropriations and Budget Committee Meeting: DO PASS",20,0,0
793295,477862,2015-04-28,"House: THIRD READING",91,2,0
793297,477863,2015-02-23,"Senate: Third Reading",41,4,0
793297,477864,2015-02-18,"House: Joint Committee on Appropriations and Budget Committee Meeting: DO PASS",23,3,0
793297,477865,2015-03-25,"House: EMERGENCY",68,24,0
793297,477866,2015-03-25,"House: THIRD READING",83,10,0
793298,477867,2015-04-16,"Senate: THIRD READING",40,0,0
793298,477868,2015-05-21,"Senate: FOURTH READING",43,3,0
793298,477869,2015-02-19,"House: Insurance Committee Meeting: DO PASS AS AMENDED BY CS",7,0,0
793298,477870,2015-03-09,"House: THIRD READING",94,1,0
793298,477871,2015-05-20,"House: FOURTH READING",77,1,0
793299,477872,2015-05-19,"Senate: Reconsider",35,11,0
793299,477873,2015-05-18,"Senate: THIRD READING",24,22,0
793299,477874,2015-05-14,"House: Joint Committee on Appropriations and Budget Committee Meeting: DO PASS",16,8,0
793299,477875,2015-05-21,"House: SUSPEND JOINT RULES",29,65,0
793299,477876,2015-05-21,"House: PLACE MOU IN HOUSE JOURNAL",42,4,0
793299,477877,2015-05-21,"House: THIRD READING",44,49,0
793299,477878,2015-05-22,"House: RECONSIDER MEASURE",55,16,0
793307,477879,2015-03-09,"Senate: THIRD READING",45,0,0
793307,477880,2015-04-09,"House: Public Safety Committee Meeting: DO PASS",9,0,0
793307,477881,2015-04-15,"House: THIRD READING",79,6,0
793313,477882,2015-02-24,"Senate: Third Reading",45,0,0
793313,477883,2015-03-24,"House: Business, Labor, and Retirement Laws Committee Meeting: DO PASS",9,0,0
793313,477884,2015-03-31,"House: THIRD READING",89,0,0
793314,477885,2015-02-19,"House: Public Safety Committee Meeting: DO PASS AS AMENDED BY CS",10,0,0
793314,477886,2015-03-11,"House: SUSPEND HOUSE RULES",68,25,0
793314,477887,2015-03-11,"House: RECONSIDER MEASURE",60,26,0
793314,477888,2015-03-11,"House: THIRD READING",44,48,0
793316,477889,2015-04-21,"Senate: THIRD READING",38,4,0
793316,477890,2015-02-17,"House: Children, Youth, and Family Services Committee Meeting: DO PASS AS AMENDED BY CS",8,0,0
793316,477891,2015-03-04,"House: THIRD READING",86,2,0
793318,477892,2015-04-14,"Senate: THIRD READING",42,2,0
793318,477893,2015-02-11,"House: Agriculture and Rural Development Committee Meeting: DO PASS",14,0,0
793318,477894,2015-02-23,"House: THIRD READING",96,0,0
793321,477895,2015-03-10,"Senate: THIRD READING",44,0,0
793323,477896,2015-04-22,"Senate: RECONSIDER",26,16,0
793323,477897,2015-04-22,"Senate: THIRD READING",18,26,0
793323,477898,2015-02-09,"House: Common Education Committee Meeting: DO PASS",17,0,0
793323,477899,2015-02-12,"House: THIRD READING",92,0,0
793324,477900,2015-03-10,"Senate: THIRD READING",44,0,0
793325,477901,2015-04-21,"Senate: THIRD READING",43,0,0
793325,477902,2015-02-19,"House: Public Safety Committee Meeting: DO PASS",9,1,0
793325,477903,2015-03-04,"House: THIRD READING",70,19,0
793331,477904,2015-05-15,"House: ADOPT RESOLUTION",39,29,0
793332,477905,2015-03-10,"Senate: THIRD READING",45,0,0
793332,477906,2015-05-12,"Senate: FOURTH READING",43,0,0
793332,477907,2015-03-24,"House: Judiciary and Civil Procedure Committee Meeting: DO PASS AS AMENDED BY CS",5,2,0
793332,477908,2015-04-13,"House: THIRD READING",92,2,0
793333,477909,2015-02-18,"House: Economic Development, Commerce, and Real Estate Committee Meeting: DO PASS",2,7,0
793339,477910,2015-02-18,"House: State Government Operations Committee Meeting: DO PASS",6,0,0
