bill_id,sponsor_id
217018,10540
217019,10540
217020,10540
217021,10540
217022,10540
217023,10540
217024,10540
217025,10540
217026,10540
217027,10540
217028,6224
217029,6224
217030,10540
217031,10540
217032,10540
217033,10540
217034,10540
217035,10540
217036,10540
217037,10540
217038,10540
217039,6247
217040,10540
217041,10540
217042,10540
217043,10540
217044,10540
217045,10540
217046,10540
217047,10540
217048,10540
217049,10540
217050,10540
217051,10540
217052,10540
217053,10540
217054,10540
217055,10540
217056,10540
217057,10540
217058,10540
217059,10540
217060,10540
217061,10540
217062,10540
217063,10540
217064,10540
217065,10540
217066,10540
217067,10540
217068,10540
217069,10540
217070,10540
217071,10540
217072,10540
217073,10540
217074,10540
217075,10540
217076,10540
217077,10540
217078,10540
217079,10540
217080,10540
217081,10540
217082,10540
217083,10540
217084,10540
217085,10540
217086,10540
217087,10540
217088,10540
217089,10540
217090,10540
217091,10540
217092,10540
217093,10540
217094,10540
217095,10540
217096,10540
217097,10540
217098,10540
217099,10540
217100,10540
217101,10540
217102,10540
217103,10540
217104,10540
217105,10540
217106,10540
217107,10540
217108,10540
217109,10540
217110,10540
217111,10540
217112,10540
217113,10540
217114,10540
217115,10540
217116,10540
217117,10540
217118,10540
217119,10540
217120,10540
221694,6199
221694,6219
221694,6244
221694,6245
221695,6244
221695,6245
221696,6244
221697,6244
221698,6244
221698,6272
221699,6244
221699,6245
221699,6246
221699,6249
221700,6248
221700,6272
221700,6277
221701,6248
221702,6248
221703,6248
221704,6248
221705,6224
221705,6232
221705,6255
221706,6208
221706,6212
221706,6221
221706,6224
221706,6225
221706,6226
221706,6232
221706,6236
221706,6254
221706,6264
221707,6199
221707,6209
221707,6217
221708,6199
221708,6209
221708,6217
221709,6199
221709,6209
221709,6217
221710,6199
221710,6217
221711,6199
221711,6209
221711,6217
221712,6216
221712,6238
221736,6205
221736,6227
221736,6248
221737,6250
221738,6207
221738,6225
221738,6231
221738,6240
221738,6247
221738,6260
221738,6267
221738,12062
221739,6207
221740,6222
221740,6226
221740,6244
221740,6256
221741,6244
221742,6201
221742,6244
221743,6204
221743,6232
221743,6244
221743,6245
221744,6225
221744,6244
221744,6260
221745,6201
221745,6204
221745,6225
221745,6244
221746,6204
221746,6244
221747,6204
221747,6219
221747,6244
221748,6199
221748,6201
221748,6208
221748,6210
221748,6214
221748,6217
221748,6219
221748,6222
221748,6229
221748,6244
221748,6245
221748,6249
221749,6249
221750,6249
221751,6201
221751,6249
221752,6249
221753,6249
221754,6249
221755,6249
221756,6249
221757,6249
221758,6249
221759,6249
221760,6226
221760,6250
221764,6214
221764,6240
221765,6201
221765,6202
221765,6204
221765,6210
221765,6225
221765,6244
221765,6246
221765,6249
221765,6263
221766,6225
221766,6244
221766,6263
221767,6201
221767,6225
221767,6244
221767,6260
221767,6263
221768,6201
221768,6225
221768,6247
221768,6249
221768,6263
221768,6267
221769,6201
221769,6204
221769,6244
221769,6260
221769,6263
221776,6201
221776,6225
221776,6249
221776,6260
221777,6201
221777,6249
221786,6225
221786,6247
221786,6267
221786,10756
221791,6210
221791,6249
221792,6236
221793,6236
221794,6210
221794,6249
221795,6228
221796,6228
221797,6228
221797,6231
221797,6245
221797,6247
221797,6249
221797,6267
221797,6272
221798,6201
221798,6204
221798,6228
221798,6231
221800,6239
221800,6286
221801,6201
221801,6202
221801,6210
221801,6224
221801,6228
221801,6231
221801,6232
221801,6236
221801,6244
221801,6247
221837,6228
221838,6222
221838,6232
221838,6248
221838,6263
221838,6269
221839,6226
221839,6250
221839,6267
221840,6207
221840,6249
221841,6249
221842,6249
221843,6201
221843,6204
221843,6228
221843,6229
221843,6247
221843,6263
221844,6247
221844,6263
221845,6245
221845,6247
221846,6210
221846,6246
221846,6247
221846,6260
221847,6210
221847,6246
221847,6247
221847,6254
221847,6260
221847,6267
221848,6243
221848,6244
221848,6245
221848,6247
221848,6260
221848,6264
221848,6267
221848,6280
221849,6225
221849,6245
221849,6247
221849,6286
221850,6228
221850,6245
221850,6247
221850,6249
221851,6201
221851,6202
221851,6205
221851,6210
221851,6225
221851,6228
221851,6230
221851,6232
221851,6240
221851,6272
221851,6277
221891,6267
221892,6201
221892,6204
221892,6222
221892,6225
221892,6228
221892,6230
221892,6264
221892,6267
221892,6272
221893,6201
221893,6210
221893,6215
221893,6225
221893,6226
221893,6248
221893,6267
221893,6269
221893,6283
221893,10751
221894,6225
221894,6228
221894,6231
221894,6267
221895,6201
221895,6228
221895,6263
221895,6267
221896,6201
221896,6204
221896,6210
221896,6225
221896,6228
221896,6230
221896,6231
221896,6249
221896,6259
221896,6267
221897,6249
221897,6267
221898,6201
221898,6204
221898,6210
221898,6228
221898,6250
221898,6267
221937,6201
221937,6204
221937,6224
221937,6225
221937,6256
221937,6259
221937,6260
221937,6268
221938,6201
221938,6204
221938,6225
221938,6260
221938,6268
221939,6260
221939,6268
221940,6224
221940,6260
221963,6207
221964,6201
221964,6210
221964,6220
221964,6224
221964,6225
221964,6228
