bill_id,roll_call_id,date,description,yea,nay,nv
609357,313621,2013-10-01,"Senate Committee Do pass with amendments. (Printed A-Eng.)",10,0,0
609357,313622,2013-10-02,"Senate Third Reading",22,7,0
609357,313623,2013-10-02,"House Third Reading",31,24,0
609420,313629,2013-10-01,"House Committee Be Adopted",10,0,0
609420,313630,2013-10-02,House,53,0,0
609420,313631,2013-10-02,Senate,26,0,0
609432,313634,2013-10-01,"Senate Committee Do pass",10,0,0
609432,313635,2013-10-02,"Senate Third Reading",17,12,0
609432,313636,2013-10-02,"House Third Reading",32,22,0
609479,313638,2013-10-01,"House Committee Do Pass",10,0,0
609479,313639,2013-10-02,"House Third Reading",54,1,0
609479,313640,2013-10-02,"Senate Third Reading",27,1,0
609533,313646,2013-10-01,"House Committee Do pass as amended and be printed engrossed",10,0,0
609533,313647,2013-10-02,"House Third Reading",36,19,0
609533,313648,2013-10-02,"Senate Third Reading",18,10,0
609560,313651,2013-10-01,"Senate Committee Do pass with amendments. (Printed A-Eng.)",10,0,0
609560,313652,2013-10-02,"Senate Third Reading",27,2,0
609560,313653,2013-10-02,"House Third Reading",55,0,0
