bill_number,bill_id,title
HB4001,609395,"Relating to retirement benefits of sheriffs, county judges and county commissioners in counties with population of fewer than 110,000 inhabitants; declaring an emergency."
HB4002,609351,"Relating to the practice of psychology."
HB4003,609337,"Relating to connection to federal tax law; and prescribing an effective date."
HB4004,609502,"Relating to taxation; prescribing an effective date."
HB4005,609409,"Relating to tax expenditures; and prescribing an effective date."
HB4006,609338,"Relating to sentencing; declaring an emergency."
HB4007,609526,"Relating to continuity in the enrollment of nonresident students; and declaring an emergency."
HB4008,609516,"Relating to distributions of state funds for the education of youths in confinement; and prescribing an effective date."
HB4009,609334,"Relating to students admitted to pediatric nursing facilities; appropriating money; and prescribing an effective date."
HB4010,609564,"Relating to the publication of Employment Appeals Board decisions; and declaring an emergency."
HB4011,609441,"Relating to pawnbrokers; and declaring an emergency."
HB4012,609459,"Relating to election offenses penalties; declaring an emergency."
HB4013,609371,"Relating to prescriptions; and declaring an emergency."
HB4014,609324,"Relating to portable electronics insurance; and declaring an emergency."
HB4015,609455,"Relating to state agency alignment with regional community and economic development priorities; and declaring an emergency."
HB4016,609339,"Relating to entrepreneurial development; appropriating money; declaring an emergency."
HB4017,609396,"Relating to local improvement districts; declaring an emergency."
HB4018,609341,"Relating to higher education; appropriating money; and declaring an emergency."
HB4019,609405,"Relating to higher education; and declaring an emergency."
HB4020,609482,"Relating to the Engineering and Technology Industry Council; appropriating money; and prescribing an effective date."
HB4021,609413,"Relating to veterans' educational benefits; and declaring an emergency."
HB4022,609319,"Relating to emergency access to call location information of cellular device."
HB4023,609536,"Relating to veterans; declaring an emergency."
HB4024,609468,"Relating to veterans who apply for civil service positions."
HB4025,609360,"Relating to loans from the Department of Veterans' Affairs; and declaring an emergency."
HB4026,609481,"Relating to ignition interlock devices."
HB4027,609461,"Relating to cultural programs."
HB4028,609423,"Relating to problem gambling treatment; and declaring an emergency."
HB4029,609501,"Relating to the withdrawal of property from a city; and declaring an emergency."
HB4030,609335,"Relating to accountability for information technology projects; declaring an emergency."
HB4031,609561,"Relating to interoperable public safety communications systems; and prescribing an effective date."
HB4032,609554,"Relating to charitable checkoffs; prescribing an effective date."
HB4033,609548,"Relating to statements concerning obligations owed to beneficiaries that are secured by real property."
HB4034,609523,"Relating to sex-selection abortions; declaring an emergency."
HB4035,609453,"Relating to possession of a weapon by a corrections officer; and prescribing an effective date."
HB4036,609535,"Relating to crime."
HB4037,609558,"Relating to juvenile offenders; and declaring an emergency."
HB4038,609510,"Relating to tenant purchase of residential facility."
HB4039,609428,"Relating to exemption from property taxation for low-income housing; and prescribing an effective date."
HB4040,609556,"Relating to the Oregon State Lottery."
HB4041,609327,"Relating to the facilitation of financing for energy improvements by local governments; and declaring an emergency."
HB4042,609489,"Relating to net metering of energy produced by marine resources."
HB4043,609487,"Relating to utilities; declaring an emergency."
HB4044,609524,"Relating to procedures for regulating water rights; declaring an emergency."
