bill_id,date,action
829444,2016-01-27,"Presession Released to the Public."
829444,2016-02-01,"First reading. Referred to Speaker's desk."
829444,2016-02-01,"Referred to Rules."
829444,2016-03-03,"In committee upon adjournment."
829445,2016-01-27,"Presession Released to the Public."
829445,2016-02-01,"First reading. Referred to Speaker's desk."
829445,2016-02-01,"Referred to Energy and Environment."
829445,2016-02-09,"Public Hearing held."
829445,2016-03-03,"In committee upon adjournment."
829446,2016-01-27,"Presession Released to the Public."
829446,2016-02-01,"First reading. Referred to Speaker's desk."
829446,2016-02-01,"Referred to Education."
829446,2016-03-03,"In committee upon adjournment."
829447,2016-01-27,"Presession Released to the Public."
829447,2016-02-01,"First reading. Referred to Speaker's desk."
829447,2016-02-01,"Referred to Consumer Protection and Government Effectiveness."
829447,2016-02-09,"Public Hearing held."
829447,2016-02-11,"Work Session held."
829447,2016-02-15,"Recommendation: Do pass with amendments and be printed A-Engrossed."
829447,2016-02-16,"Second reading."
829447,2016-02-17,"Third reading. Carried by Gomberg, Kennemer. Passed.Ayes, 58; Excused, 1--Barton; Excused for Business of the House, 1--Buckley."
829447,2016-02-18,"First reading. Referred to President's desk."
829447,2016-02-18,"Referred to Workforce and General Government."
829447,2016-02-23,"Public Hearing and Work Session held."
829447,2016-02-24,"Recommendation: Do pass the A-Eng. bill."
829447,2016-02-24,"Second reading."
829447,2016-02-25,"Carried over to 02-26 by unanimous consent."
829447,2016-02-26,"Third reading. Carried by Thatcher. Passed.Ayes, 24; excused, 6--Bates, Boquist, Girod, Hansell, Shields, Winters."
829447,2016-03-01,"Speaker signed."
829447,2016-03-02,"President signed."
829447,2016-03-14,"Governor signed."
829447,2016-03-24,"Chapter 44, (2016 Laws): Effective date January 1, 2017."
829448,2016-01-27,"Presession Released to the Public."
829448,2016-02-01,"Introduction and first reading. Referred to President's desk."
829448,2016-02-01,"Referred to Business and Transportation."
829448,2016-02-03,"Public Hearing held."
829448,2016-02-08,"Work Session held."
829448,2016-02-10,"Work Session held."
829448,2016-02-12,"Recommendation: Do pass with amendments. (Printed A-Eng)."
829448,2016-02-12,"Minority Recommendation: Do pass with different amendments. (Printed A-Eng. Minority)"
829448,2016-02-15,"Second reading."
829448,2016-02-16,"Motion to refer bill along with minority report to Rules carried by voice vote."
829448,2016-03-03,"In committee upon adjournment."
829449,2016-01-27,"Presession Released to the Public."
829449,2016-02-01,"First reading. Referred to Speaker's desk."
829449,2016-02-01,"Referred to Judiciary."
829449,2016-02-01,"Public Hearing and Work Session held."
829449,2016-02-05,"Recommendation: Do pass with amendments and be printed A-Engrossed."
829449,2016-02-08,"Second reading."
829449,2016-02-09,"Third reading. Carried by Barton. Passed.Ayes, 59; Excused, 1--Weidner."
829449,2016-02-10,"First reading. Referred to President's desk."
829449,2016-02-11,"Referred to Judiciary."
829449,2016-02-17,"Public Hearing and Work Session held."
829449,2016-02-19,"Recommendation: Do pass with amendments to the A-Eng. bill. (Printed B-Eng.)"
829449,2016-02-22,"Second reading."
829449,2016-02-23,"Carried over to 02-24 by unanimous consent."
829449,2016-02-24,"Carried over to 02-25 by unanimous consent."
829449,2016-02-25,"Third reading. Carried by Prozanski. Passed.Ayes, 28; nays, 1--Boquist; excused, 1--Winters."
829449,2016-02-26,"House concurred in Senate amendments and repassed bill.Ayes, 58; Excused, 2--Boone, Smith."
829449,2016-03-01,"Speaker signed."
829449,2016-03-02,"President signed."
829449,2016-03-14,"Governor signed."
829449,2016-03-24,"Chapter 42, (2016 Laws): Effective date March 14, 2016."
829450,2016-01-27,"Presession Released to the Public."
829450,2016-02-01,"First reading. Referred to Speaker's desk."
829450,2016-02-01,"Referred to Revenue."
829450,2016-02-03,"Public Hearing and Work Session held."
829450,2016-02-05,"Public Hearing and Work Session held."
829450,2016-02-08,"Recommendation: Do pass with amendments, be printed A-Engrossed, and be referred to Ways and Means."
829450,2016-02-08,"Referred to Ways and Means by order of Speaker."
829450,2016-02-17,"Assigned to Subcommittee On General Government."
829450,2016-02-22,"Work Session held."
829450,2016-02-22,"Returned to Full Committee."
829450,2016-02-23,"Work Session held."
829450,2016-02-24,"Recommendation: Do pass with amendments and be printed B-Engrossed."
829450,2016-02-25,"Second reading."
829450,2016-02-26,"Third reading. Carried by Taylor."
829450,2016-02-26,"Motion to rerefer to Rules failed.Ayes, 23; Nays, 33--Barker, Barnhart, Barton, Buckley, Clem, Doherty, Evans, Fagan, Frederick, Gallegos, Gomberg, Gorsek, Greenlick, Helm, Holvey, Hoyle, Keny-Guyer, Komp, Lininger, Lively, McKeown, McLain, Nathanson, Nosse, Piluso, Rayfield, Read, Reardon, Smith Warner, Taylor, Vega Pederson, Williamson, Speaker Kotek; Excused, 4--Boone, Heard, Smith, Witt."
829450,2016-02-26,"Passed.Ayes, 43; Nays, 13--Barreto, Esquivel, Gilliam, Krieger, McLane, Nearman, Olson, Sprenger, Stark, Weidner, Whisnant, Whitsett, Wilson; Excused, 4--Boone, Heard, Smith, Witt."
829450,2016-02-29,"First reading. Referred to President's desk."
829450,2016-03-01,"Referred to Ways and Means."
829450,2016-03-01,"Recommendation: Do pass the B-Eng. bill."
829450,2016-03-01,"Second reading."
829450,2016-03-02,"Motion to refer to Health Care carried.Ayes, 28; excused, 2--Shields, Winters."
829450,2016-03-03,"In committee upon adjournment."
829451,2016-01-27,"Presession Released to the Public."
829451,2016-02-01,"First reading. Referred to Speaker's desk."
829451,2016-02-01,"Referred to Revenue."
829451,2016-02-04,"Public Hearing held."
829451,2016-03-03,"In committee upon adjournment."
829452,2016-01-27,"Presession Released to the Public."
