sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
6199,"Sal Esquivel",Sal,,Esquivel,,,2,R,1,Rep,HD-006
6201,"Jeff Barker",Jeff,,Barker,,,1,D,1,Rep,HD-028
6202,"Brian Clem",Brian,L.,Clem,,,1,D,1,Rep,HD-021
6204,"Sara Gelser",Sara,,Gelser,,,1,D,2,Sen,SD-008
6205,"John Huffman",John,E.,Huffman,,,2,R,1,Rep,HD-059
6207,"Betty Komp",Betty,,Komp,,,1,D,1,Rep,HD-022
6208,"Arnie Roblan",Arnie,,Roblan,,,1,D,2,Sen,SD-005
6212,"Gene Whisnant",Gene,,Whisnant,,,2,R,1,Rep,HD-053
6214,"Jim Weidner",Jim,,Weidner,,,2,R,1,Rep,HD-024
6215,"Cliff Bentz",Cliff,,Bentz,,,2,R,1,Rep,HD-060
6217,"Wayne Krieger",Wayne,,Krieger,,,2,R,1,Rep,HD-001
6220,"Sherrie Sprenger",Sherrie,,Sprenger,,,2,R,1,Rep,HD-017
6221,"Lona Thatcher",Lona,Kim,Thatcher,,,2,R,2,Sen,HD-025
6222,"Jim Thompson",Jim,,Thompson,,,2,R,1,Rep,HD-023
6224,"Jules Kopel-Bailey",Jules,,Kopel-Bailey,,,1,D,1,Rep,HD-042
6225,"Margaret Doherty",Margaret,,Doherty,,,1,D,1,Rep,HD-035
6227,"Elizabeth Beyer",Elizabeth,Terry,Beyer,,,1,D,1,Rep,HD-012
6228,"Michael Dembrow",Michael,E.,Dembrow,,,1,D,2,Sen,SD-023
6229,"Lew Frederick",Lew,,Frederick,,,1,D,1,Rep,HD-043
6230,"Val Hoyle",Val,,Hoyle,,,1,D,1,Rep,HD-014
6231,"Tina Kotek",Tina,,Kotek,,,1,D,1,Rep,HD-044
6234,"Bill Kennemer",Bill,,Kennemer,,,2,R,1,Rep,HD-039
6236,"Deborah Boone",Deborah,,Boone,,,1,D,1,Rep,HD-032
6240,"Vic Gilliam",Vic,,Gilliam,,,2,R,1,Rep,HD-018
6242,"Andy Olson",Andy,,Olson,,,2,R,1,Rep,HD-015
6244,"Peter Buckley",Peter,,Buckley,,,1,D,1,Rep,HD-005
6245,"Alan Bates",Alan,C.,Bates,,,1,D,2,Sen,SD-003
6247,"Philip Barnhart",Philip,N.,Barnhart,,,1,D,1,Rep,HD-011
6249,"Mitch Greenlick",Mitch,,Greenlick,,,1,D,1,Rep,HD-033
6251,"Paul Holvey",Paul,R.,Holvey,,,1,D,1,Rep,HD-008
6253,"Bradley Witt",Bradley,K.,Witt,,Brad,1,D,1,Rep,HD-031
6255,"Diane Rosenbaum",Diane,,Rosenbaum,,,1,D,2,Sen,SD-021
6256,"Chris Edwards",Chris,,Edwards,,,1,D,2,Sen,SD-007
6257,"Charles Riley",Charles,D.,Riley,,Chuck,1,D,2,Sen,SD-015
6258,"William Shields",William,,Shields,,Chip,1,D,2,Sen,SD-022
6260,"Tobias Read",Tobias,,Read,,,1,D,1,Rep,HD-027
6264,"Richard Devlin",Richard,,Devlin,,,1,D,2,Sen,SD-019
6265,"Rod Monroe",Rod,,Monroe,,,1,D,2,Sen,SD-024
6266,"Brent Barton",Brent,,Barton,,,1,D,1,Rep,HD-040
6267,"Nancy Nathanson",Nancy,,Nathanson,,,1,D,1,Rep,HD-013
6268,"Mark Hass",Mark,,Hass,,,1,D,2,Sen,SD-014
6269,"Elizabeth Johnson",Elizabeth,K.,Johnson,,Betsy,1,D,2,Sen,
6271,"Peter Courtney",Peter,,Courtney,,,1,D,2,Sen,SD-011
6272,"Laurie Monnes Anderson",Laurie,Monnes,"Monnes Anderson",,,1,D,2,Sen,SD-025
6273,"Jackie Winters",Jackie,,Winters,,,2,R,2,Sen,SD-010
6274,"Ted Ferrioli",Ted,,Ferrioli,,,2,R,2,Sen,SD-030
6275,"Fred Girod",Fred,,Girod,,,2,R,2,Sen,SD-009
6279,"Brian Boquist",Brian,J.,Boquist,,,2,R,2,Sen,SD-012
6280,"Ginny Burdick",Ginny,,Burdick,,,1,D,2,Sen,SD-018
6282,"Jeff Kruse",Jeff,,Kruse,,,2,R,2,Sen,SD-001
6283,"Floyd Prozanski",Floyd,F.,Prozanski,,,1,D,2,Sen,SD-004
6286,"Douglas Whitsett",Douglas,K.,Whitsett,,,2,R,2,Sen,SD-028
10751,"Vicki Berger",Vicki,,Berger,,,2,R,1,Rep,HD-020
10752,"Mike McLane",Mike,,McLane,,,2,R,1,Rep,HD-055
10753,"Leslee Beyer",Leslee,,Beyer,,Lee,1,D,2,Sen,SD-006
12022,"Mark Johnson",Mark,,Johnson,,,2,R,1,Rep,
12023,"Julie Parrish",Julie,N.,Parrish,,,2,R,1,Rep,HD-037
12024,"Chuck Thomsen",Chuck,,Thomsen,,,2,R,2,Sen,SD-026
12026,"Matthew Hicks",Matthew,,Hicks,,Wally,2,R,1,Rep,HD-003
12166,"Alan Olsen",Alan,R.,Olsen,,,2,R,2,Sen,SD-020
13858,"Elizabeth Steiner Hayward",Elizabeth,,"Steiner Hayward",,,1,D,2,Sen,SD-017
13859,"Alissa Keny-Guyer",Alissa,,Keny-Guyer,,,1,D,1,Rep,HD-046
14771,"Joe Gallegos",Joe,,Gallegos,,,1,D,1,Rep,HD-030
14772,"David Gomberg",David,,Gomberg,,,1,D,1,Rep,HD-010
14773,"Caddy McKeown",Caddy,,McKeown,,,1,D,1,Rep,HD-009
14774,"Jeff Reardon",Jeff,,Reardon,,,1,D,1,Rep,HD-048
14775,Smith,,,Smith,,,0,,1,Rep,
14776,"Jessica Pederson",Jessica,Vega,Pederson,,,1,D,1,Rep,HD-047
14777,"Jennifer Williamson",Jennifer,,Williamson,,,1,D,1,Rep,HD-036
14780,"Bill Hansell",Bill,,Hansell,,,2,R,2,Sen,SD-029
14781,"Tim Knopp",Tim,,Knopp,,,2,R,2,Sen,SD-027
15768,"Chris Gorsek",Chris,,Gorsek,,,1,D,1,Rep,HD-049
15769,"John Lively",John,D.,Lively,,,1,D,1,Rep,HD-012
15770,"Herman Baertschiger",Herman,,Baertschiger,Jr.,,2,R,2,Sen,SD-002
15780,"John Davis",John,,Davis,,,2,R,1,Rep,HD-026
15781,"Shemia Fagan",Shemia,,Fagan,,,1,D,1,Rep,HD-051
15782,"Gail Whitsett",Gail,,Whitsett,,,2,R,1,Rep,HD-056
16181,"Barbara Warner",Barbara,Smith,Warner,,,1,D,1,Rep,HD-045
16208,"Ann Lininger",Ann,,Lininger,,,1,D,1,Rep,HD-038
16808,"Paul Evans",Paul,,Evans,,,1,D,1,Rep,HD-020
16809,"Ken Helm",Ken,,Helm,,,1,D,1,Rep,HD-034
16810,"Susan McLain",Susan,,McLain,,,1,D,1,Rep,HD-029
16811,"Robert Nosse",Robert,A.,Nosse,Jr.,Rob,1,D,1,Rep,HD-042
16812,"Bill Post",Bill,,Post,,,2,R,1,Rep,HD-025
16813,"Duane Stark",Duane,A.,Stark,,,2,R,1,Rep,HD-004
16814,"Kathleen Taylor",Kathleen,,Taylor,,,1,D,1,Rep,HD-041
16815,"Gregory Barreto",Gregory,L.,Barreto,,Greg,2,R,1,Rep,HD-058
16816,"Knute Buehler",Knute,C.,Buehler,,,2,R,1,Rep,HD-054
16817,"Jodi Hack",Jodi,L.,Hack,,,2,R,1,Rep,HD-019
16818,"Cedric Hayden",Cedric,Ross,Hayden,,,2,R,1,Rep,HD-007
16819,"Dallas Heard",Dallas,,Heard,,,2,R,1,Rep,HD-002
16820,"Mike Nearman",Mike,,Nearman,,,2,R,1,Rep,HD-023
16821,"Carla Piluso",Carla,C.,Piluso,,,1,D,1,Rep,HD-050
16822,"Dan Rayfield",Dan,,Rayfield,,,1,D,1,Rep,HD-016
16823,"Carl Wilson",Carl,,Wilson,,,2,R,1,Rep,HD-003
