sponsor_id,name
262,"David Argall"
264,"Stephen Barrar"
267,"Robert Belfanti"
270,"Karen Beyer"
274,"Karen Boback"
275,"Scott Boyd"
276,"Joseph Brennan"
279,"Thomas Caltagirone"
281,"Mike Carroll"
282,"James Casorio"
287,"Scott Conklin"
288,"Paul Costa"
290,"Thomas Creighton"
293,"Bryan Cutler"
294,"Peter Daley"
296,"Anthony DeLuca"
300,"Frank Dermody"
302,"Robert Donatucci"
303,"Todd Eachus"
305,"Dwight Evans"
306,"John Evans"
307,"Garth Everett"
311,"Dan Frankel"
312,"Robert Freeman"
315,"Richard Geist"
317,"Michael Gerber"
321,"Mauree Gingrich"
322,"Robert Godshall"
323,"Neal Goodman"
325,"Richard Grucela"
326,"Gary Haluska"
328,"Ted Harhai"
330,"Patrick Harkins"
332,"Christopher Harris"
333,"Susan Helm"
336,"Dick Hess"
338,"John Hornaman"
341,"Babette Josephs"
344,"Mark Keller"
346,"David Kessler"
347,"Thomas Killion"
350,"William Kortz"
351,"Nickolas Kotik"
352,"Deberah Kula"
354,"Bryan Lentz"
356,"Mark Longietti"
359,"Timothy Mahoney"
360,"Sandra Major"
364,"Joseph Markosek"
365,"James Marshall"
366,"Ron Marsico"
370,"Barbara Smith"
372,"Robert Mensch"
374,"Nicholas Micozzie"
375,"David Millard"
376,"Ron Miller"
377,"Duane Milne"
378,"Dan Moul"
381,"Thomas Murt"
382,"Thomas Mustio"
386,"Michael O'Brien"
388,"Bernie O'Neill"
390,"John Pallone"
392,"Eddie Pashinski"
394,"Tony Payton"
395,"Michael Peifer"
396,"Scott Perry"
399,"Scott Petri"
401,"Merle Phillips"
402,"Tina Pickett"
404,"Jeffrey Pyle"
410,"Harry Readshaw"
412,"Douglas Reichley"
413,"Bradley Roae"
420,"Christopher Sainato"
422,"Dante Santoni"
423,"Stanley Saylor"
424,"Mario Scavello"
426,"Tim Seip"
429,"John Siptroth"
430,"Sam Smith"
432,"Ken Smith"
433,"Timothy Solobay"
438,"Jerry Stern"
440,"Michael Sturla"
445,"Rick Taylor"
451,"Randy Vulakovich"
452,"Chelsa Wagner"
456,"Katharine Watson"
458,"Jesse White"
462,"Rosita Youngblood"
465,"Lisa Baker"
469,"Jacob Corman"
473,"John Eichelberger"
476,"Michael Folmer"
491,"Jane Orie"
493,"Dominic Pileggi"
499,"Robert Robbins"
500,"Joseph Scarnati"
505,"Patricia Vance"
507,"Michael Waugh"
508,"Donald White"
509,"Mary White"
511,"Anthony Williams"
903,"Kim Ward"
905,"Brendan Boyle"
906,"Matthew Bradford"
907,"Timothy Briggs"
909,"Frank Burns"
911,"Dominic Costa"
913,"Gary Day"
919,"Seth Grove"
920,"Tom Houghton"
924,"Robert Matzie"
925,"Carl Metzgar"
928,"Kevin Murphy"
934,"Gene Yaw"
