bill_id,date,action
439664,2013-01-01,"Introduced and adopted (201-0)"
439667,2013-01-04,"Referred to COMMERCE"
439668,2013-01-04,"Referred to CONSUMER AFFAIRS"
439669,2013-01-04,"Referred to EDUCATION"
439669,2013-01-22,"Reported as committed"
439669,2013-01-22,"First consideration"
439669,2013-01-22,"Laid on the table"
439669,2013-01-23,"Removed from table"
439669,2013-02-05,"Second consideration"
439669,2013-02-05,"Re-committed to APPROPRIATIONS"
439669,2013-02-06,"Re-reported as committed"
439669,2013-02-06,"Third consideration and final passage (177-18)"
439669,2013-02-06,"In the Senate"
439669,2013-02-08,"Referred to EDUCATION"
439669,2013-04-16,"Reported as committed"
439669,2013-04-16,"First consideration"
439669,2013-05-01,"Re-referred to APPROPRIATIONS"
439670,2013-01-04,"Referred to JUDICIARY"
439670,2013-09-24,"Reported as committed"
439670,2013-09-24,"First consideration"
439670,2013-09-24,"Laid on the table"
439670,2013-10-01,"Removed from table"
439670,2013-10-02,"Second consideration"
439670,2013-10-02,"Re-committed to APPROPRIATIONS"
439670,2013-10-15,"Re-reported as committed"
439670,2013-10-15,"Third consideration and final passage (200-0)"
439670,2013-10-15,"In the Senate"
439670,2013-10-22,"Referred to JUDICIARY"
439709,2013-01-04,"Referred to JUDICIARY"
439709,2013-06-18,"Reported as amended"
439709,2013-06-18,"First consideration"
439709,2013-06-18,"Re-committed to RULES"
439709,2013-06-24,"Re-reported as committed"
439709,2013-06-24,"Second consideration"
439709,2013-06-24,"Re-committed to APPROPRIATIONS"
439709,2013-06-25,"Re-reported as committed"
439709,2013-06-25,"Third consideration and final passage (199-0)"
439709,2013-06-25,"In the Senate"
439709,2013-06-28,"Referred to JUDICIARY"
439709,2013-10-22,"Reported as committed"
439709,2013-10-22,"First consideration"
439709,2013-10-23,"Second consideration"
439709,2013-11-20,"Third consideration and final passage (50-0)"
439709,2013-11-21,"Signed in House"
439709,2013-11-21,"Signed in Senate"
439709,2013-11-22,"Presented to the Governor"
439709,2013-11-27,"Approved by the Governor"
439709,2013-11-27,"Act No. 91"
439710,2013-01-04,"Referred to JUDICIARY"
439710,2013-06-18,"Reported as amended"
439710,2013-06-18,"First consideration"
439710,2013-06-18,"Re-committed to RULES"
439710,2013-09-23,"Re-reported as committed"
439710,2013-09-23,"Laid on the table"
439710,2013-09-30,"Removed from table"
439710,2013-10-01,"Second consideration"
439710,2013-10-01,"Re-committed to APPROPRIATIONS"
439710,2013-10-02,"Re-reported as committed"
439710,2013-10-02,"Third consideration and final passage (194-0)"
439710,2013-10-02,"In the Senate"
439710,2013-10-10,"Referred to LAW AND JUSTICE"
439710,2014-10-07,"Reported as committed"
439710,2014-10-07,"First consideration"
439710,2014-10-08,"Re-referred to APPROPRIATIONS"
439711,2013-01-04,"Referred to AGING AND OLDER ADULT SERVICES"
439712,2013-01-04,"Referred to JUDICIARY"
439712,2013-02-12,"Reported as committed"
439712,2013-02-12,"First consideration"
439712,2013-02-12,"Laid on the table"
439712,2013-02-13,"Removed from table"
439712,2013-03-11,"Second consideration"
439712,2013-03-11,"Re-committed to APPROPRIATIONS"
439712,2013-03-12,"Re-reported as committed"
439712,2013-03-12,"Third consideration and final passage (195-0)"
439712,2013-03-12,"In the Senate"
439712,2013-03-15,"Referred to JUDICIARY"
439713,2013-01-04,"Referred to JUDICIARY"
439714,2013-01-04,"Referred to RULES"
439715,2013-01-01,"Introduced and adopted"
439716,2013-01-01,"Introduced and adopted"
439717,2013-01-01,"Introduced and adopted"
440242,2013-01-01,"Introduced and adopted"
440351,2013-01-08,"Referred to LOCAL GOVERNMENT"
440351,2013-01-09,"Corrective Reprint, Printer's No. 25"
440351,2013-01-09,"Referred to Environmental Resources and Energy"
