bill_id,sponsor_id
125525,5100
125525,5101
125526,5101
125527,5102
125527,5103
125527,5104
125527,5105
125527,5106
125527,13533
125528,5102
125528,5103
125528,5104
125528,5105
125528,5106
125528,13533
125529,5102
125529,5103
125529,5104
125529,5105
125529,5106
125529,13533
125530,5100
125530,5107
125530,5108
125530,5109
125530,5110
125531,5104
125531,5109
125531,5111
125531,5112
125531,5113
125531,13533
125532,5100
125532,5114
125532,5115
125533,5116
125534,5116
125535,5102
125535,5104
125535,5105
125535,5117
125535,5118
125535,13533
125536,5116
125537,5116
125538,5102
125538,5117
125538,5119
125538,5120
125538,5121
125538,13533
125539,5116
125540,5122
125540,5123
125541,5124
125542,5125
125543,5126
125544,5127
125545,5116
125546,5116
125547,5122
125547,5123
125548,5104
125548,5112
125548,5128
125548,5128
125548,5129
125548,13533
125549,5113
125549,5130
125549,5130
125549,5131
125549,5132
125550,5104
125550,5113
125550,5130
125550,5130
125550,5131
125550,5133
125550,13533
125551,5100
125551,5115
125551,5134
125551,5135
125551,5136
125552,5105
125553,5113
125553,5115
125553,5130
125553,5130
125553,5134
125553,5137
125554,5103
125554,5111
125554,5114
125555,5115
125555,5127
125555,5131
125555,5134
125555,5138
125556,5126
125557,5120
125557,5138
125557,5139
125557,5140
125557,5141
125557,5142
125557,13533
125558,5120
125558,13533
125559,5117
125559,5119
125559,5140
125560,5117
125560,5120
125560,5131
125560,5140
125560,5143
125560,13533
125561,5105
125561,5117
125561,5118
125561,5143
125561,5144
125562,5105
125563,5117
125563,5119
125564,5105
125565,5105
125566,5105
125566,5143
125567,5139
125568,5112
125568,5145
125568,5146
125568,5147
125568,5148
125569,5102
125569,5105
125569,5143
125569,5149
125569,5150
125570,5102
125570,5103
125570,5138
125570,5141
125570,5142
125570,5151
125571,5102
125571,5116
125571,5135
125571,5138
125571,5141
125571,5142
125572,5102
125572,5116
125572,5126
125572,5135
125572,5150
125573,5152
125573,5153
125573,5154
125574,5111
125575,5101
125575,5104
125575,5113
125575,5117
125575,5121
125575,13533
125576,5155
125577,5130
125577,5130
125577,5133
125577,5135
125577,5136
125577,5157
125577,5157
125578,5130
125578,5130
125578,5133
125578,5135
125578,5136
125578,5157
125578,5157
125579,5149
125579,5150
125580,5104
125580,5113
125580,5130
125580,5130
125580,13533
125581,5104
125581,5112
125581,5125
125581,5145
125581,5148
125581,13533
125582,5105
125582,5144
125583,5130
125583,5130
125584,5158
125584,5159
125585,5111
125585,5114
125585,5152
125585,5155
125585,5160
125586,5105
125587,5116
125587,5161
125588,5117
125588,5119
125588,5121
125588,5131
125588,5148
125589,5104
125589,5113
125589,5127
