bill_id,date,action
577466,2014-01-06,"Introduced, referred to Senate Judiciary"
578298,2014-01-07,"House read and passed"
578316,2014-01-07,"Recommended for Immediate Consideration"
578316,2014-01-07,"Senate read and passed"
578337,2014-01-07,"House read and passed"
578359,2014-01-07,"Recommended for Immediate Consideration"
578359,2014-01-07,"Senate read and passed"
578380,2014-01-07,"House read and passed"
578405,2014-01-07,"Recommended for Immediate Consideration"
578405,2014-01-07,"Senate read and passed"
578425,2014-01-07,"House read and passed"
578448,2014-01-07,"House read and passed"
578783,2014-01-08,"Introduced, referred to House Judiciary"
578783,2014-01-17,"Scheduled for hearing and/or consideration"
578783,2014-01-21,"Meeting postponed (01/21/2014)"
578783,2014-01-31,"Scheduled for hearing and/or consideration (02/04/2014)"
578783,2014-02-04,"Committee recommended measure be held for further study"
578799,2014-01-08,"Introduced, referred to House Finance"
578816,2014-01-08,"Introduced, referred to House Judiciary"
578816,2014-01-17,"Scheduled for hearing and/or consideration"
578816,2014-01-21,"Meeting postponed (01/21/2014)"
578816,2014-01-24,"Scheduled for hearing and/or consideration (01/28/2014)"
578816,2014-01-28,"Committee recommends passage"
578816,2014-01-28,"Placed on the House Consent Calendar (01/30/2014)"
578816,2014-01-30,"House read and passed"
578816,2014-02-04,"Referred to Senate Judiciary"
578816,2014-03-14,"Scheduled for hearing and/or consideration (03/18/2014)"
578816,2014-03-18,"Committee recommends passage in concurrence"
578816,2014-03-20,"Placed on the Senate Consent Calendar (03/25/2014)"
578816,2014-03-25,"Senate passed in concurrence"
578816,2014-03-25,"Transmitted to Governor"
578816,2014-03-28,"Signed by Governor"
578834,2014-01-08,"Introduced, referred to House Finance"
578834,2014-04-24,"Scheduled for hearing and/or consideration (05/01/2014)"
578834,2014-05-01,"Committee recommended measure be held for further study"
578852,2014-01-08,"Introduced, referred to House Judiciary"
578852,2014-03-18,"Scheduled for hearing and/or consideration (03/26/2014)"
578852,2014-03-26,"Committee recommended measure be held for further study"
578852,2014-05-27,"Scheduled for consideration (05/29/2014)"
578852,2014-05-29,"Committee recommended measure be held for further study"
578852,2014-06-06,"Scheduled for consideration (06/10/2014)"
578852,2014-06-10,"Committee recommends passage of Sub A"
578852,2014-06-11,"Placed on House Calendar (06/18/2014)"
578852,2014-06-18,"House passed Sub A as amended (floor amendment)"
578852,2014-06-18,"House voted to reconsider"
578852,2014-06-18,"House passed Sub A as amended (floor amendment)"
578852,2014-06-19,"Placed on Senate Calendar (06/19/2014)"
