bill_number,bill_id,title
H7002,808142,"Relating To Criminal Offenses"
H7003,808170,"The Good Samaritan Overdose Prevention Act Of 2016"
H7004,808283,"Relating To Probate Practice And Procedure-peter Falk Bill"
H7005,808317,"Causes Of Action"
H7006,808274,"Relating To Public Utilities And Carriers"
H7007,808189,"Licensing Of Massage Therapists"
H7008,808161,Sidewalks
H7009,808309,"Get On Your Feet Loan Forgiveness Program"
H7010,808254,"Sales And Use Taxes - Liability And Computation"
H7011,808150,"Registration Of Vehicles -- Special Plate For Rocky Point Foundation"
H7012,808246,"Registration Of Vehicles -- Providence City Council"
H7013,808216,"Property Subject To Taxation - Brown University Professors"
H7014,808301,"Public Utilities Commission--information Accessibility Service For Persons With Disabilities"
H7015,808237,"Relating To Alcoholic Beverages-retail Licenses-town Of Lincoln"
H7016,808263,"Retail Licenses--town Of East Greenwich"
H7017,808197,"Relating To Animals And Animal Husbandry"
H7018,808228,"Relating To Solemnization Of Marriages"
H7019,808179,"Relating To Solemnization Of Marriages"
H7020,808290,"Relating To Solemnization Of Marriages"
H7021,808207,"Relating To Solemnization Of Marriages"
H7024,809277,"Registrations Of Voters"
H7025,809097,"Relating To Criminal Procedure-identification And Apprehension Of Criminals"
H7026,809235,"Relating To Alcoholic Beverages"
H7027,809261,"Pawnbrokers Liability For Selling Stolen Goods"
H7028,809316,"Expired Debt Act"
H7029,809152,"Adoption Of Children"
H7031,809168,"Lobbyist Political Contributions"
H7032,809157,"Accidents And Accident Reports"
H7033,809184,"Motor Vehicle Offenses"
H7034,809140,"National Criminal Records Check"
H7035,809359,"Publication Of Municipal And Other Public Budgets In Digital Form"
H7036,809147,"Relating To Elections-nomination Of Party And Independent Candidates-city Of Woonsocket"
H7037,809163,"Uniform Child Custody Jurisdiction And Enforcement Act"
H7038,809311,"Courts - District Court"
H7040,809230,"Nonregulated Power Producer Consumer Bill Of Rights"
H7041,809113,"Public Utilities Commission"
H7042,809179,"To Vacate The Forfeiture Or Revocation Of The Charter Of Imprint, Inc."
H7043,809288,"To Vacate The Forfeiture Or Revocation Of The Charter Of The Executives Association Of Rhode Island, Inc."
H7044,809369,"To Vacate The Forfeiture Or Revocation Of The Charter Of Miceli Construction & Roofing, Inc"
H7045,809118,"Regulatory Powers Of Administration"
H7046,809343,"Hearing Aid Dealers And Fitters"
H7047,809205,Electricians
H7048,809306,"Quonset Development Corporation"
H7049,809240,"Career And Technical Education"
H7050,809129,"Relating To Education"
H7051,809224,"Establishment Of Charter Public Schools"
H7052,809211,"Relating To Education"
H7053,809301,"Rhode Island Vision Education And Services Program"
H7054,809364,"Screening For Reading Disabilities"
H7055,809081,"Professional Development"
H7056,809251,"School Committees And Superintendents"
H7057,809092,"School Committees And Superintendents"
H7058,809189,"School Committees And Superintendents"
H7059,809272,"Commission On Standards And Training"
H7060,809348,"Commission On Standards And Training"
H7061,809086,Dogs
H7062,809173,Dogs
H7063,809134,"Relating To Food And Drugs-regulation Of Powdered Caffeine"
H7064,809256,"In Amendment Of Chapter 3235 Of The 1953 Public Laws Entitled ""pertaining To Municipal Primaries And Elections In The City Of Woonsocket, State Of Rhode Island, And Also Validating Certain Provisions In City Of Woonsocket, Rhode Island Home Rule Charter,"" As Amended"
H7065,809102,"Animal Care"
H7066,809293,"Charter Schools"
H7067,809332,"Municipal Funding Of Charter Schools"
H7068,809195,"Sales And Use Taxes - Liability And Computation"
H7069,809354,"Sales And Use Taxes - Liability And Computation - Lease Payments"
H7070,809322,"Relating To Public Utilities And Carriers-green Energy Revolving Fund"
H7071,809338,"Lean Government Initiative Act"
H7072,809327,"Department Of Transportation"
H7073,809124,"Department Of Transportation"
H7074,809200,"Public Transit Authority"
H7075,809267,"Relating To Sports, Racing And Athletics"
H7076,809283,"Housing Resources -- Homeless Shelters"
H7077,809245,"Registration Of Vehicles"
H7078,809076,"Relating To The Exeter-west Greenwich School District"
H7080,810056,"Property Subject To Taxation"
H7081,810017,"The Student Loan Bill Of Rights"
H7082,810022,"Genetically-engineered Foods"
H7083,810013,"Animal Care"
H7084,809978,"Refuse Disposal"
