sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
5102,"John Edwards",John,G.,Edwards,,,1,D,1,Rep,HD-070
5107,"Gregory Costantino",Gregory,J.,Costantino,,,1,D,1,Rep,HD-044
5110,"Joseph Almeida",Joseph,S.,Almeida,Jr.,,1,D,1,Rep,HD-012
5111,"Joseph Trillo",Joseph,A.,Trillo,,,2,R,1,Rep,HD-024
5113,"Eileen Naughton",Eileen,Slattery,Naughton,,,1,D,1,Rep,HD-021
5116,"Arthur Corvese",Arthur,J.,Corvese,,,1,D,1,Rep,HD-055
5117,"Raymond Gallison",Raymond,E.,Gallison,Jr.,,1,D,1,Rep,HD-069
5121,"Jan Malik",Jan,P.,Malik,,,1,D,1,Rep,HD-067
5125,"Patricia Serpa",Patricia,A.,Serpa,,,1,D,1,Rep,HD-027
5126,"Helio Melo",Helio,,Melo,,,1,D,1,Rep,HD-064
5127,"Michael Marcello",Michael,J.,Marcello,,,1,D,1,Rep,HD-041
5131,"Joseph McNamara",Joseph,M.,McNamara,,,1,D,1,Rep,HD-019
5134,"Deborah Fellela",Deborah,A.,Fellela,,,1,D,1,Rep,HD-043
5136,"Mary Messier",Mary,Duffy,Messier,,,1,D,1,Rep,HD-062
5137,"Charlene Lima",Charlene,M.,Lima,,,1,D,1,Rep,HD-014
5138,"Joy Hearn",Joy,,Hearn,,,1,D,1,Rep,HD-066
5139,"Deborah Ruggiero",Deborah,L.,Ruggiero,,,1,D,1,Rep,HD-074
5143,"Samuel Azzinaro",Samuel,A.,Azzinaro,,,1,D,1,Rep,HD-037
5144,"Nicholas Mattiello",Nicholas,Anthony,Mattiello,,,1,D,1,Rep,HD-015
5145,"Edith Ajello",Edith,H.,Ajello,,,1,D,1,Rep,HD-001
5148,"Arthur Handy",Arthur,,Handy,,,1,D,1,Rep,HD-018
5153,"Thomas Winfield",Thomas,J.,Winfield,,,1,D,1,Rep,HD-053
5155,"Stephen Ucci",Stephen,R.,Ucci,,,1,D,1,Rep,HD-042
5159,"Brian Newberry",Brian,C.,Newberry,,,2,R,1,Rep,HD-048
5160,"Brian Kennedy",Brian,Patrick,Kennedy,,,1,D,1,Rep,HD-038
5162,"Karen Macbeth",Karen,L.,Macbeth,,,1,D,1,Rep,HD-052
5165,"Robert Jacquard",Robert,B.,Jacquard,,,1,D,1,Rep,HD-017
5166,"Anastasia Williams",Anastasia,P.,Williams,,,1,D,1,Rep,HD-009
5167,"Grace Diaz",Grace,,Diaz,,,1,D,1,Rep,HD-011
5168,"Scott Slater",Scott,A.,Slater,,,1,D,1,Rep,HD-010
5169,"John Carnevale",John,M.,Carnevale,,,1,D,1,Rep,HD-013
5176,"John Desimone",John,J.,Desimone,,,1,D,1,Rep,HD-005
5178,"Walter Felag",Walter,S.,Felag,Jr.,,1,D,2,Sen,SD-010
5180,"Joshua Miller",Joshua,B.,Miller,,,1,D,2,Sen,SD-028
5181,"Paul Jabour",Paul,V.,Jabour,,,1,D,2,Sen,SD-005
5183,"Juan Pichardo",Juan,M.,Pichardo,,,1,D,2,Sen,SD-002
5184,"Maryellen Goodwin",Maryellen,,Goodwin,,,1,D,2,Sen,SD-001
5187,"Teresa Paiva-Weed","M. Teresa",,Paiva-Weed,,,1,D,2,Sen,SD-013
5189,"Leonidas Raptakis",Leonidas,P.,Raptakis,,,1,D,2,Sen,SD-033
5191,"Edward O'Neil",Edward,J.,O'Neil,,,3,I,2,Sen,SD-017
5192,"Roger Picard",Roger,A.,Picard,,,1,D,2,Sen,SD-020
5194,"Marc Cote",Marc,A.,Cote,,,1,D,2,Sen,SD-024
5195,"William Walaska",William,A.,Walaska,,,1,D,2,Sen,SD-030
5196,"Louis Dipalma",Louis,P.,Dipalma,,,1,D,2,Sen,SD-012
5198,"James Doyle",James,E.,Doyle,II,,1,D,2,Sen,SD-008
5199,"James Sheehan",James,C.,Sheehan,,,1,D,2,Sen,SD-036
5200,"Susan Sosnowski","V. Susan",,Sosnowski,,,1,D,2,Sen,SD-037
5202,"Paul Fogarty",Paul,W.,Fogarty,,,1,D,2,Sen,SD-023
5203,"Daniel DaPonte",Daniel,,DaPonte,,,1,D,2,Sen,SD-014
5204,"Michael McCaffrey",Michael,J.,McCaffrey,,,1,D,2,Sen,SD-029
5205,"Erin Lynch Prata",Erin,P.,"Lynch Prata",,,1,D,2,Sen,SD-031
5207,"Elizabeth Crowley",Elizabeth,A.,Crowley,,,1,D,2,Sen,SD-016
5208,"Hanna Gallo",Hanna,M.,Gallo,,,1,D,2,Sen,SD-027
5209,"Dominick Ruggerio",Dominick,J.,Ruggerio,,,1,D,2,Sen,SD-004
5210,"Frank Ciccone",Frank,A.,Ciccone,III,,1,D,2,Sen,SD-007
5212,"Harold Metts",Harold,M.,Metts,,,1,D,2,Sen,SD-006
5213,"Dennis Algiere",Dennis,L.,Algiere,,,2,R,2,Sen,SD-038
10758,"Doreen Costa",Doreen,Marie,Costa,,,2,R,1,Rep,HD-031
10759,"Daniel Reilly",Daniel,Patrick,Reilly,,,2,R,1,Rep,HD-072
10760,"Raymond Johnston",Raymond,H.,Johnston,Jr.,,1,D,1,Rep,HD-061
10762,"Teresa Tanzi",Teresa,Ann,Tanzi,,,1,D,1,Rep,HD-034
10763,"Jeremiah O'Grady",Jeremiah,T.,O'Grady,,,1,D,1,Rep,HD-046
10764,"Patricia Morgan",Patricia,L.,Morgan,,,2,R,1,Rep,HD-026
10765,"Michael Chippendale",Michael,W.,Chippendale,,,2,R,1,Rep,HD-040
10766,"Frank Lombardo",Frank,,Lombardo,III,,1,D,2,Sen,SD-025
10768,"Donna Nesselbush",Donna,M.,Nesselbush,,,1,D,2,Sen,SD-015
11287,"Robert Phillips",Robert,D.,Phillips,,,1,D,1,Rep,HD-051
11288,"Raymond Hull",Raymond,A.,Hull,,,1,D,1,Rep,HD-006
11289,"Cale Keable",Cale,P.,Keable,,,1,D,1,Rep,HD-047
11735,"James McLaughlin",James,N.,McLaughlin,,,1,D,1,Rep,HD-057
11736,"Christopher Blazejewski",Christopher,R.,Blazejewski,,,1,D,1,Rep,HD-002
11737,"David Bennett",David,A.,Bennett,,,1,D,1,Rep,HD-020
11881,"Jared Nunes",Jared,R.,Nunes,,,1,D,1,Rep,HD-025
11903,"Nicholas Kettle",Nicholas,D.,Kettle,,,2,R,2,Sen,SD-021
14194,"William O'Brien",William,W.,O'Brien,,,1,D,1,Rep,HD-054
14407,"Dennis Canario",Dennis,M.,Canario,,,1,D,1,Rep,HD-071
14409,"Kenneth Marshall",Kenneth,A.,Marshall,,,1,D,1,Rep,HD-068
14493,"John Lombardi",John,Joseph,Lombardi,,,1,D,1,Rep,HD-008
14541,"Katherine Kazarian",Katherine,S.,Kazarian,,,1,D,1,Rep,HD-063
14557,"Thomas Palangio",Thomas,A.,Palangio,,,1,D,1,Rep,HD-003
14590,"Marvin Abney",Marvin,L.,Abney,,,1,D,1,Rep,HD-073
14591,"Antonio Giarrusso",Antonio,,Giarrusso,,,2,R,1,Rep,HD-030
14592,"Joseph Shekarchi","K. Joseph",,Shekarchi,,,1,D,1,Rep,HD-023
14593,"William Conley",William,J.,Conley,Jr.,,1,D,2,Sen,SD-018
14752,"Gregg Amore",Gregg,,Amore,,,1,D,1,Rep,HD-065
14753,"Stephen Casey",Stephen,M.,Casey,,,1,D,1,Rep,HD-050
14754,"Robert Craven",Robert,E.,Craven,Sr.,,1,D,1,Rep,HD-032
14755,"Stephen Archambault",Stephen,R.,Archambault,,,1,D,2,Sen,SD-022
14980,"Frank Lombardi",Frank,S.,Lombardi,,,1,D,2,Sen,SD-026
14981,"Ryan Pearson",Ryan,William,Pearson,,,1,D,2,Sen,SD-019
14983,"Adam Satchell",Adam,J.,Satchell,,,1,D,2,Sen,SD-009
15303,"Mia Ackerman",Mia,A.,Ackerman,,,1,D,1,Rep,HD-045
15364,"Gayle Goldin",Gayle,L.,Goldin,,,1,D,2,Sen,SD-003
16232,"Michael Morin",Michael,A.,Morin,,,1,D,1,Rep,HD-049
16540,"Daniel Mckiernan",Daniel,P.,McKiernan,,,1,D,1,Rep,HD-007
16541,"Elaine Morgan",Elaine,J.,Morgan,,,2,R,2,Sen,SD-034
16542,"Aaron Regunberg",Aaron,,Regunberg,,,1,D,1,Rep,HD-004
16625,"David Coughlin",David,A.,Coughlin,Jr.,,1,D,1,Rep,HD-060
16626,"Blake Filippi",Blake,Anthony,Filippi,,,3,I,1,Rep,HD-036
16627,"Robert Lancia",Robert,B.,Lancia,,,2,R,1,Rep,HD-016
16628,"Robert Nardolillo",Robert,A.,Nardolillo,,,2,R,1,Rep,HD-028
16629,"Justin Price",Justin,,Price,,,2,R,1,Rep,HD-039
16630,"Sherry Roberts",Sherry,,Roberts,,,2,R,1,Rep,HD-029
16854,"Joseph Solomon",Joseph,J.,Solomon,Jr.,,1,D,1,Rep,HD-022
16855,"Shelby Maldonado",Shelby,,Maldonado,,,1,D,1,Rep,HD-056
16995,"Lauren Carson",Lauren,H.,Carson,,,1,D,1,Rep,HD-075
17046,"Kathleen Fogarty",Kathleen,A.,Fogarty,,,1,D,1,Rep,HD-035
17103,"Jean Barros",Jean,Philippe,Barros,,,1,D,1,Rep,HD-059
17104,"Carlos Tobon",Carlos,E.,Tobon,,,1,D,1,Rep,HD-058
17306,"Cynthia Coyne",Cynthia,Armour,Coyne,,,1,D,2,Sen,SD-032
17307,"Mark Gee",Mark,W.,Gee,,,2,R,2,Sen,SD-035
17706,"Hagan McEntee",Carol,Hagan,McEntee,,,1,D,1,Rep,HD-033
17836,"John Pagliarini",John,A.,Pagliarini,Jr.,,2,R,2,Sen,SD-011
