bill_id,roll_call_id,date,description,yea,nay,nv
807925,483858,2016-01-06,"Prevention act of 2016",35,1,1
807925,487631,2016-01-26,Passage,71,0,4
808142,532597,2016-04-13,Passage,71,0,4
808142,546115,2016-05-17,"Passage in concurrence",37,0,1
808150,553566,2016-06-16,Passage,70,1,3
808150,553912,2016-06-16,"Passage in concurrence",35,3,0
808170,486112,2016-01-21,Passage,69,0,6
808170,487482,2016-01-26,"Passage in concurrence",35,1,2
808179,485541,2016-01-19,Passage,59,4,12
808189,553795,2016-06-16,Passage,54,16,4
808189,554053,2016-06-18,"Passage in concurrence",32,0,6
808197,553466,2016-06-16,Passage,70,0,4
808197,553902,2016-06-16,"Passage in concurrence",38,0,0
808207,485552,2016-01-19,Passage,59,4,12
808228,485567,2016-01-19,Passage,59,4,12
808237,529169,2016-04-07,Passage,68,0,7
808237,546613,2016-05-18,"Passage in concurrence",36,1,1
808263,548743,2016-05-26,Passage,68,0,6
808263,552227,2016-06-09,"Passage in concurrence",35,0,3
808274,506304,2016-02-24,Passage,66,3,5
808290,485607,2016-01-19,Passage,59,4,12
808301,516360,2016-03-09,Passage,73,0,2
808301,549740,2016-05-31,"Passage in concurrence",33,0,5
808317,491364,2016-02-04,Passage,70,0,5
808317,550294,2016-06-01,"Passage in concurrence",37,0,1
809076,553649,2016-06-16,Passage,73,0,1
809086,553721,2016-06-16,Passage,71,2,1
809097,487579,2016-01-26,Passage,70,1,4
809097,554048,2016-06-18,Passage,32,0,6
809102,553951,2016-06-18,Passage,66,0,8
809129,517334,2016-03-10,Passage,68,0,7
809129,554223,2016-06-17,Passage,34,0,4
809129,554224,2016-06-18,Passage,53,1,20
809134,549871,2016-05-31,Passage,63,6,5
809134,554266,2016-06-18,"Passage in concurrence",29,2,7
809140,553881,2016-06-16,Passage,73,0,1
809140,554096,2016-06-18,"Passage in concurrence",32,0,6
809152,552175,2016-06-09,Passage,72,1,1
809152,554154,2016-06-18,Passage,27,0,11
809152,554155,2016-06-18,"Passage in concurrence",57,3,14
809179,485544,2016-01-19,Passage,63,0,12
809211,490587,2016-02-03,Passage,72,0,3
809211,554262,2016-06-18,Passage,32,0,6
809224,488062,2016-01-27,Passage,60,11,4
809224,554178,2016-06-17,Passage,27,5,6
809230,488794,2016-01-28,Passage,71,0,4
809235,524138,2016-03-24,Passage,65,3,7
809235,532096,2016-04-13,"Passage in concurrence",36,0,2
809245,553735,2016-06-16,Passage,63,6,5
809245,553831,2016-06-16,"Passage in concurrence",35,3,0
809251,542039,2016-05-04,Passage,66,0,8
809251,554108,2016-06-17,"Passage as amended",35,3,0
809251,554109,2016-06-17,"Superintendents approval of amendment",38,0,0
809251,554110,2016-06-18,Passage,50,2,22
809256,528766,2016-04-06,Passage,70,0,5
809277,493462,2016-02-09,Passage,70,0,5
809277,525558,2016-03-29,"Passage in concurrence",30,6,2
809288,485540,2016-01-19,Passage,65,0,10
809293,488711,2016-01-28,Passage,60,11,4
809306,551948,2016-06-08,"Passage as amended",68,0,6
809306,551949,2016-06-08,"Passage of amendment",67,0,7
809327,552636,2016-06-14,Passage,71,1,2
809327,554020,2016-06-18,Passage,34,0,4
809364,490980,2016-02-03,Passage,71,0,4
809369,485905,2016-01-20,Passage,68,0,7
809959,553446,2016-06-16,Passage,72,0,2
809964,516774,2016-03-09,Passage,73,0,2
809964,526746,2016-03-31,"Passage in concurrence",34,0,4
809978,510770,2016-03-01,Passage,70,0,5
809978,554139,2016-06-18,"Passage in concurrence",29,2,7
809978,554140,2016-06-18,"Passage in concurrence",55,2,17
809978,554141,2016-06-18,Passage,57,2,15
810026,553691,2016-06-16,Passage,71,0,2
810041,485558,2016-01-19,Passage,59,4,12
810056,554254,2016-06-17,Passage,63,0,11
810056,554255,2016-06-18,Passage,31,0,7
810071,485525,2016-01-19,Passage,59,4,12
812333,552747,2016-06-14,Passage,36,0,2
812333,553979,2016-06-18,Passage,53,6,15
812753,552548,2016-06-14,Passage,70,1,3
812775,554073,2016-06-17,Passage,65,0,9
812775,554074,2016-06-18,Passage,30,1,7
812785,546113,2016-05-17,Passage,71,0,3
812785,554052,2016-06-18,"Passage in concurrence",32,0,6
812796,486160,2016-01-21,Passage,68,0,7
812830,546418,2016-05-17,Passage,71,0,3
812898,544543,2016-05-10,Passage,71,0,3
812898,548274,2016-05-25,"Passage in concurrence",37,0,1
812909,486282,2016-01-21,Passage,68,0,7
812933,486167,2016-01-21,Passage,68,0,7
812943,553442,2016-06-16,Passage,67,1,6
812988,486173,2016-01-21,Passage,68,0,7
813024,486170,2016-01-21,Passage,68,0,7
813045,486177,2016-01-21,Passage,68,0,7
813057,551913,2016-06-08,Passage,69,0,5
813057,553772,2016-06-16,"Passage in concurrence",37,0,1
813068,486178,2016-01-21,Passage,68,0,7
813079,523601,2016-03-23,Passage,61,11,3
813079,554278,2016-06-18,"Passage in concurrence",29,3,6
813124,552251,2016-06-09,Passage,72,0,2
813145,553510,2016-06-16,Passage,69,0,5
813155,549975,2016-05-31,Passage,53,13,6
813155,552255,2016-06-09,"Passage in concurrence",22,14,2
816231,532995,2016-04-14,"Passage as amended",34,3,1
816231,532996,2016-04-14,"Plate for rocky point foundation approval of amendment lc 003155/2",34,3,1
816231,554279,2016-06-18,"Passage as amended",65,0,9
816234,533228,2016-04-14,Passage,37,0,1
816241,552960,2016-06-15,Passage,38,0,0
816245,550467,2016-06-01,Passage,71,1,2
816245,552733,2016-06-14,"Passage in concurrence",33,2,3
816258,554008,2016-06-17,Passage,64,0,10
816258,554009,2016-06-18,Passage,32,0,6
816260,548620,2016-05-26,Passage,36,0,2
816269,507292,2016-02-25,Passage,36,0,2
816275,541510,2016-05-03,Passage,35,0,3
816275,553947,2016-06-18,"Passage in concurrence",53,6,15
816281,515493,2016-03-08,Passage,68,1,6
816300,511967,2016-03-02,"Passage as amended",33,2,3
816300,511968,2016-03-02,"Regulation of powdered caffeine approval of amendment lc 003056/2",34,0,4
816300,553984,2016-06-18,Passage,29,3,6
816300,553985,2016-06-18,Passage,63,0,11
816300,553986,2016-06-18,Passage,65,0,9
816304,553203,2016-06-15,Passage,37,0,0
816304,554013,2016-06-18,"Passage in concurrence",65,0,9
816311,553562,2016-06-16,Passage,36,1,1
816311,554028,2016-06-18,"Passage in concurrence",65,0,9
816314,553914,2016-06-17,Passage,62,8,4
816314,554181,2016-06-18,"Passage in concurrence",31,0,7
816341,548282,2016-05-25,Passage,37,0,1
816341,554159,2016-06-18,"Passage in concurrence",65,0,9
816351,539494,2016-04-28,Passage,34,0,4
816351,554175,2016-06-18,"Passage in concurrence",65,0,9
816364,520975,2016-03-17,Passage,68,0,7
816364,552253,2016-06-09,"Passage in concurrence",37,0,1
816367,488214,2016-01-27,Passage,73,0,2
816378,507122,2016-02-25,Passage,36,0,2
816378,554202,2016-06-18,"Passage in concurrence",65,0,9
816388,494284,2016-02-10,Passage,35,1,2
816405,545209,2016-05-12,Passage,31,3,4
816409,545298,2016-05-12,Passage,71,0,3
816425,533125,2016-04-14,Passage,30,6,2
816451,490754,2016-02-03,Passage,68,0,7
816463,547106,2016-05-19,Passage,36,0,2
816463,550067,2016-05-31,"Passage in concurrence",69,0,5
816489,548628,2016-05-26,Passage,36,0,2
816494,507106,2016-02-25,Passage,63,0,12
816516,516444,2016-03-09,Passage,37,0,1
816525,553600,2016-06-16,Passage,71,0,3
816525,554263,2016-06-18,"Passage in concurrence",28,2,8
816534,542089,2016-05-04,Passage,35,0,3
816534,550913,2016-06-02,"Passage in concurrence",65,4,5
816536,544887,2016-05-11,Passage,67,3,4
816536,554280,2016-06-17,"Passage in concurrence",33,2,3
816536,554281,2016-06-18,Passage,53,1,20
816542,516902,2016-03-09,Passage,37,0,1
816542,548269,2016-05-25,"Passage in concurrence",71,0,3
816549,546508,2016-05-18,Passage,37,0,1
816549,550797,2016-06-02,"Passage in concurrence",69,0,5
816946,494851,2016-02-10,Passage,36,0,2
816946,532100,2016-04-13,"Passage in concurrence",68,2,5
817517,538363,2016-04-26,Passage,54,13,8
817517,551932,2016-06-08,"Passage in concurrence",29,7,2
817532,550435,2016-06-01,Passage,63,8,3
817564,548690,2016-05-26,Passage,68,0,6
817564,554135,2016-06-18,Passage,32,0,6
817571,494639,2016-02-10,Passage,71,0,4
817576,545233,2016-05-12,Passage,62,7,4
817614,519643,2016-03-15,Passage,68,0,7
817614,552683,2016-06-14,"Subdivision of land",36,0,2
817631,542912,2016-05-05,Passage,71,0,3
817631,546102,2016-05-17,"Passage in concurrence",37,0,1
817642,517559,2016-03-10,Passage,69,0,6
817642,552972,2016-06-15,"Passage in concurrence",38,0,0
817652,493646,2016-02-09,Passage,70,0,5
817657,491638,2016-02-04,Passage,70,0,5
817668,520973,2016-03-17,Passage,66,1,8
817668,553987,2016-06-18,Passage,31,1,6
818989,512726,2016-03-03,Passage,33,2,3
818989,512727,2016-03-03,Passage,66,3,6
819598,490935,2016-02-03,Passage,68,0,7
819635,553792,2016-06-17,Passage,71,0,3
819708,554213,2016-06-17,Passage,64,1,9
819708,554214,2016-06-18,Passage,29,0,9
819768,551988,2016-06-08,Passage,69,0,5
819768,552585,2016-06-14,"Standards and training",36,0,2
819780,511144,2016-03-02,Passage,69,4,2
819780,512717,2016-03-03,"Passage in concurrence",33,2,3
819819,485972,2016-01-20,Passage,35,0,3
819854,542462,2016-05-04,Passage,56,11,7
819854,554011,2016-06-18,"Passage in concurrence",30,0,8
819877,523675,2016-03-23,Passage,68,4,3
819877,554024,2016-06-18,"Passage in concurrence",16,12,9
819902,553491,2016-06-16,Passage,65,8,1
819902,553492,2016-06-16,Passage,61,11,2
819913,490964,2016-02-03,Passage,68,0,7
821352,495811,2016-02-11,Passage,69,0,6
821561,491007,2016-02-03,Passage,68,0,7
821588,553478,2016-06-16,Passage,70,1,3
821588,553905,2016-06-16,"Passage in concurrence",35,3,0
821771,553780,2016-06-16,Passage,73,0,1
821821,553793,2016-06-17,Passage,71,0,3
821821,554049,2016-06-18,"Passage in concurrence",31,1,6
821874,553674,2016-06-16,Passage,71,1,2
821874,553903,2016-06-16,"Passage in concurrence",35,3,0
821924,553921,2016-06-17,Passage,72,1,1
823633,486161,2016-01-21,Passage,33,0,5
824925,548590,2016-05-26,Passage,34,2,2
824927,504970,2016-02-23,Passage,70,0,5
824929,553651,2016-06-16,Passage,38,0,0
824939,542463,2016-05-04,Passage,35,0,3
824939,554210,2016-06-18,"Passage of amendment in concurrence",51,7,16
824939,554211,2016-06-18,"Passage of amendment in concurrence",53,7,14
824949,526237,2016-03-30,Passage,28,7,3
824951,552709,2016-06-14,Passage,72,0,2
824953,511623,2016-03-02,Passage,34,1,3
824972,490836,2016-02-03,Passage,68,0,7
824975,549886,2016-05-31,Passage,33,0,5
824978,490912,2016-02-03,Passage,68,0,7
824980,546663,2016-05-18,Passage,37,0,1
824980,554149,2016-06-18,Passage,65,0,9
824993,546544,2016-05-18,Passage,68,0,6
825019,538483,2016-04-26,Passage,31,4,3
825019,554248,2016-06-18,"Passage in concurrence",32,0,6
825019,554249,2016-06-18,Passage,63,0,11
825021,542993,2016-05-05,Passage,71,0,3
825021,551690,2016-06-07,"Passage in concurrence",37,0,1
825025,509952,2016-03-01,Passage,31,0,7
825025,549957,2016-05-31,"Passage in concurrence",69,0,5
825027,533257,2016-04-14,Passage,36,1,1
825027,550318,2016-06-01,Passage,72,0,2
825027,551883,2016-06-08,"Passage in concurrence",33,3,2
825038,510348,2016-03-01,Passage,26,6,6
825055,504566,2016-02-23,Passage,71,0,4
825069,490961,2016-02-03,Passage,68,0,7
825073,539014,2016-04-27,Passage,65,0,10
825077,546969,2016-05-19,Passage,36,0,2
825077,554060,2016-06-18,Passage,65,0,9
825086,510091,2016-03-01,Passage,31,1,6
825107,553934,2016-06-18,Passage,32,0,6
825107,555788,2016-06-18,"Passage in concurrence",53,6,15
825120,494179,2016-02-10,Passage,36,0,2
825120,545097,2016-05-12,"Passage in concurrence",71,0,3
825138,554033,2016-06-18,"Passage in concurrence",30,0,8
825138,554034,2016-06-18,Passage,55,1,18
825157,544392,2016-05-10,"Passage as amended",35,0,3
825157,544393,2016-05-10,"Wastewater treatment plants approval of amendment lc 003149/2",34,0,4
825163,516652,2016-03-09,Passage,37,0,1
825163,526723,2016-03-31,"Passage in concurrence",72,0,3
825170,550002,2016-05-31,Passage,33,0,5
825173,554030,2016-06-18,"Passage as amended",32,1,5
825173,554031,2016-06-18,"Emergency police power approval of amendment",33,0,5
825173,554032,2016-06-18,"Passage as amended in concurrence",53,6,15
825184,507342,2016-02-25,"Passage in concurrence",63,0,12
825192,552180,2016-06-09,Passage,37,0,1
825192,554125,2016-06-18,Passage,65,0,9
825195,516645,2016-03-09,Passage,37,0,1
825201,542951,2016-05-05,Passage,71,0,3
825201,554142,2016-06-18,"Passage in concurrence",32,1,5
828609,553569,2016-06-16,Passage,70,1,3
828669,495802,2016-02-11,Passage,69,0,6
828700,493306,2016-02-09,Passage,69,0,6
828716,493591,2016-02-09,Passage,69,0,6
828734,493308,2016-02-09,Passage,69,0,6
828800,551884,2016-06-08,Passage,69,0,5
828800,554287,2016-06-18,"Passage in concurrence",32,0,6
828832,550339,2016-06-01,Passage,72,0,2
828832,552559,2016-06-14,"Technician protection act",36,0,2
828866,528036,2016-04-05,Passage,69,3,3
828866,550958,2016-06-02,"Passage in concurrence",36,0,2
828968,546218,2016-05-17,Passage,71,0,3
828968,551960,2016-06-08,"Passage in concurrence",33,3,2
828984,546626,2016-05-18,Passage,69,0,5
828984,552067,2016-06-08,"Passage in concurrence",36,0,2
829265,488438,2016-01-27,Passage,35,0,3
832487,542984,2016-05-05,Passage,33,0,5
832487,553850,2016-06-17,"Passage in concurrence",70,0,4
832499,546500,2016-05-17,Passage,18,15,5
832499,552272,2016-06-09,"Passage as amended",56,16,1
