bill_number,bill_id,title
H3002,217897,"Education Finance Act"
H3003,217898,"Voter ID"
H3004,226856,"Spending Accountability Act"
H3005,217899,Contributions
H3007,217901,"House of Representatives"
H3009,217903,"County ordinances"
H3010,217904,"Income tax credit"
H3011,217905,"Freedom of Choice in Health Care Act"
H3012,217906,"Licensure of In-Home Care Provider Act"
H3013,217907,"School districts"
H3014,217908,"High school diploma requirements"
H3015,217909,"Clean Indoor Act"
H3016,217910,"Commission on Disabilities and Special Needs"
H3017,217911,Teachers
H3018,217912,"School administrators"
H3019,217913,"Special purpose districts"
H3020,217914,"Special purpose districts"
H3021,217915,"Public Service Commission"
H3022,217916,"Clean Indoor Air Act"
H3024,217918,"Children of public officials"
H3025,217919,"S.C. College and University Board of Regents"
H3026,217920,Abortion
H3027,217921,"Compensation packages"
H3028,217922,"Teacher contracts"
H3029,217923,"Social Security Number Protection Act"
H3030,217924,Swimming
H3031,217925,"School courses"
H3032,217926,"School districts"
H3033,217927,"Clean Indoor Air Act"
H3034,217928,"Statewide Assessment Program"
H3035,217929,"Length of school term"
H3036,217930,"S.C. College and University Board of Regents"
H3037,217931,"School courses"
H3038,217932,Tattoos
H3039,217933,"Public schools"
H3040,217934,"Student athletes"
H3041,217935,"School bond election"
H3042,217936,Schmooney
H3043,217937,GED
H3044,217938,"S.C. Angel Investment Act"
H3045,217939,"Fishing license fees"
H3046,217940,"Dock, pier or boathouse owners"
H3047,217941,"Carolina-Clemson Day"
H3048,217942,"Hunting licenses"
H3049,217943,"Department of Natural Resources"
H3052,217946,"Office of the State Inspector General"
H3054,217948,Restaurants
H3055,217949,"Department of Revenue"
H3056,217950,"Candidates for public office"
H3057,217951,"Superintendent of Education"
H3058,217952,"Business license tax"
H3059,217953,"Plug-in hybrid vehicles"
H3060,217954,Raffles
H3062,217956,"Ad valorem tax"
H3063,217957,"Ad valorem tax"
H3064,217958,"Private school tax credit"
H3066,217960,"S.C. Restructuring Act"
H3067,217961,"S.C. Truth in Spending Act"
H3068,217962,"State Human Affairs Commission"
H3077,217970,"Property tax exemption"
H3078,217971,"Property tax exemptions"
H3079,217972,"Charitable Bingo Advisory Committee"
H3080,217973,"Adjournment of the General Assembly"
H3081,217974,"Property tax exemptions"
H3082,217975,"Local hospitality tax revenues"
H3083,217976,"S.C. Conservation Bank Reauthorization Act"
H3084,217977,"S.C. Conservation Bank Reauthorization and Stabilization Act"
H3085,217978,"Income tax deductions"
H3086,217979,"Sales tax exemptions"
H3087,217980,"Property tax exemptions"
H3088,217981,"Income tax deductions"
H3089,217982,"Real property"
H3090,217983,"County Forfeited Land Commission"
H3091,217984,"Adjournment of the General Assembly"
H3092,217985,"Long-Term Care Income Tax Credit Act"
H3093,217986,"Music Therapy Practice Act"
H3094,217987,"Department of Health and Environmental Control"
H3095,217988,"Transfer fee covenants"
H3096,217989,"Residential home builders"
H3097,217990,"Ejectment from federally subsidized public housing"
H3099,217992,"Hair braiding"
H3101,217994,"Use of credit reports"
H3102,217995,Barbers
H3103,217996,"U.S. Flag"
H3104,217997,"Satisfaction of mortgage"
H3105,217998,"Land Resources and Conservation Districts Division"
H3106,217999,"Magistrates' salaries"
H3107,218000,"S.C. Foreclosure Database"
H3108,218001,"Mandatory Mortgage Foreclosure Mediation Program"
H3109,218002,Smoking
H3110,218003,Voting
H3111,218004,"Workers' compensation policies"
H3112,218005,"Parking placards"
H3113,218006,"Antlered deer"
H3114,218007,Euthanasia
H3115,218008,"Text messaging"
H3116,218009,Handguns
H3118,218011,"Deadly force"
H3119,218012,"Text messaging"
H3120,218013,"Vegetation management"
H3121,218014,"Golf carts"
H3122,218015,"Department of Motor Vehicles"
H3123,218016,Mopeds
H3124,218017,"Special license plates"
H3125,218018,"State Veterinarian"
H3126,218019,"Custodial interrogations"
H3127,218020,Pardons
H3128,218021,"Motor vehicle sunscreen devices"
H3129,218022,"Illegal alien enforcement"
H3130,218023,Sexting
H3131,218024,"Household member"
H3132,218025,"Domestic abuse"
H3133,218026,"S.C. Teacher Protection Act"
H3134,218027,"Clerks of court"
H3135,218028,"Probate judges"
H3136,218029,Balloons
H3137,218030,"Schedule I drugs"
H3138,218031,"Home Invasion Protection Act"
H3139,218032,"Drive-By Shooting Accountability and Protection Act"
H3140,218033,Weapons
H3141,218034,"Hate crime"
H3142,218035,"Safe Schools Climate Act"
H3143,218036,"Special purpose district"
H3144,218037,"Schedule I drugs"
H3145,218038,"Abandoned babies"
H3147,218040,"Judicial Merit Selection Committee"
H3148,218041,"S.C. Immigration Compliance Act"
H3149,218042,"Lollis's Law"
H3150,218043,"Behavioral Health Services Act"
H3151,218044,Magistrates
H3153,218046,"Magistrate court"
H3154,218047,"Solicitation of a minor"
H3155,218048,"Out of court statements"
H3156,218049,"Department of Transportation"
H3157,218050,"Speed limits"
H3158,218051,"Speed limits"
H3159,218052,"Deed recording fees"
H3160,218053,"Handheld wireless communication devices"
H3161,218054,Handguns
H3162,218055,"Special license plate"
H3163,218056,Mopeds
H3164,218057,"Driver's licenses"
H3165,218058,"Irmo Fire District"
H3166,218059,"Registering to vote"
H3167,218060,"Registered sex offenders"
H3169,218062,"Darlington County Sherriff"
H3171,218064,"Local hospitality tax revenues"
H3172,218065,"Election of county officers"
H3173,218066,"S.C. Voter Accessibility Act"
H3174,218067,"Local hospitality tax revenues"
H3175,218068,Lobbying
H3177,218070,"Posting of notices"
H3178,218071,"Sale of beer and wine"
H3179,218072,"Veterans Court Program Act"
H3180,218073,Voting
H3181,218074,"Licensing of insurance consultants"
H3182,218075,"Pharmacy Patient Protection Act"
H3183,218076,"Lobbyist registration"
H3185,218078,"Higher Education Transparency Act"
H3186,218079,"School bond election"
H3188,218081,"Athlete agents"
H3189,218082,Litter
H3190,218083,"Department of Health and Human Services"
H3191,218084,"Jobs-Economic Development Authority"
H3192,218085,"Impact fee"
H3193,218086,"Income tax deduction"
H3194,218087,"Income tax deduction"
H3195,218088,"Department of Juvenile Justice"
H3196,218089,Juveniles
H3197,226857,"Department of Juvenile Justice"
H3198,218090,"Department of Juvenile Justice"
H3199,218091,"Special purpose district"
H3200,218092,"Department of Juvenile Justice"
H3201,218093,"Corporal punishment"
H3202,218094,Smoking
H3203,218095,"Disturbing schools"
H3205,218097,"Joint Council on Children and Adolescents"
H3206,218098,Counseling
H3207,218099,"Criminal domestic violence"
H3208,218100,"Strangulation and smothering"
H3209,218101,"Domestic abuse"
H3210,218102,"Venue change"
H3211,218103,"Attorney General"
H3212,218104,"Schedule I drugs"
H3213,218105,"Computer crime"
H3214,218106,"Snack food"
H3215,218107,"Zero-base budget review"
H3216,218108,"Income tax credits"
H3217,218109,"Procurement Code"
H3218,218110,"Sales tax exemption"
H3219,218111,"Sales tax exemption"
H3220,218112,"Uniform fees"
H3221,218113,"Department of Revenue"
H3222,218114,"Fiscal Accountability Act"
H3223,218115,"Government personnel positions"
H3224,218116,"Budget and Control Board"
H3225,218117,"Child custody"
H3226,218118,"Regulatory Reform Act"
H3227,218119,"Workforce Department Appellate Panel"
H3228,218120,"Department of Employment and Workforce"
H3229,218121,"Behavioral Health Services Act"
H3230,218122,"Charitable Investment Recovery Act"
H3231,218123,Foreclosure
H3232,218124,"Automobile repair estimates"
H3233,218125,"Redevelopment project costs"
H3234,218126,Contractors
H3235,218127,"Freedom of Information Act"
H3236,218128,"Compulsory education"
H3237,218129,"Unlawful trade practice"
H3238,218130,Counties
H3239,218131,"Education Finance Act"
H3240,218132,"Sydney's Law"
H3241,218133,"Charter schools"
H3242,218134,"Department of Education"
H3243,218135,"Greenwood County Board of Trustees"
H3244,218136,Attendance
H3245,218137,"Local school district"
H3246,218138,"Alcoholic energy drinks"
H3247,218139,"Annexation proposals"
H3248,218140,"Ethic violations"
H3249,218141,"Transportation of alcoholic liquors"
H3250,218142,"Veteran's Day"
H3251,218143,"Child abuse"
H3252,218144,"Recreational vehicles"
H3254,218146,"Department of Transportation/Summerville"
H3255,218147,Moped
H3257,218149,"Special license plate"
H3258,218150,"Special license plate"
H3259,218151,"Golf carts"
H3260,218152,"Department of Motor Vehicles"
H3261,218153,"Special license plate"
H3263,218155,"Caffeinated or stimulant-enhanced malt beverages"
H3264,218156,"Terrain vehicle"
H3265,218157,"Law enforcement officers"
H3266,218158,Highways
H3267,218159,"Department of Probation, Parole and Pardon Services"
H3268,218160,"Department of Public Safety"
H3270,218162,"Angel Investment Act"
H3274,226861,"Ejectment of tenant"
H3276,226863,"Hunting and fishing"
H3277,226864,"Secret ballot"
H3286,226873,"Unemployment benefits"
H3287,226874,Watercraft
H3288,226875,"Local government funds"
H3289,226876,"Special license plates"
H3290,226877,"Florence County School District 2"
H3291,226878,"S.C. Department of Law Enforcement and Public Safety"
H3292,226879,Handguns
H3293,226880,"Golf carts"
H3294,226881,Insurer
H3295,226882,"Alcoholic permits"
H3296,226883,"Educational instruction days"
H3297,226884,Superintendents
H3301,226888,"Modular homes"
H3308,226895,"Jaidon's Law"
H3313,226900,"School term length"
H3314,226901,Geese
H3315,226902,"General Assembly"
H3316,226903,"Caller identification fraud"
H3320,226907,"Sales and use tax"
H3321,226908,"Bath Water and Sewer District"
H3323,226910,Pesticides
H3331,234294,"Homestead property tax exemption"
H3332,234295,"Automobile insurance"
H3333,234296,Insurance
H3334,234297,"Make-up school days"
H3335,234298,"Friendship Nine Act"
H3341,234304,Methamphetamine
H3342,234305,"DUI hearings"
H3344,234307,"Unfair Discrimination Against Subjects of Abuse in Insurance Act"
H3345,234308,"Healthcare Sharing Ministries Freedom to Share Act"
H3346,234309,"Income tax credits"
H3347,234310,"Technical institutions"
H3349,234312,"Absentee ballot"
H3350,234313,"Physicians transmitting patient records"
H3351,234314,"Eartha Kitt"
H3354,234317,"Fire insurance"
H3355,234318,"Highway signage"
H3357,234320,"Adult education"
H3358,234321,"County boards of education abolished"
H3360,234323,"Medicaid recipients"
H3361,234324,"State agencies"
H3362,234325,"Department of Revenue"
H3363,234326,"Education Professional Performance and Pay Accountability Act"
H3368,234331,"General fund appropriations"
H3372,234334,"Dog control"
H3373,234335,"Automobile insurer"
H3374,234336,"Interstate Wildlife Violator Compact"
