sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
2202,"Terry Alexander",Terry,,Alexander,,,1,D,1,Rep,HD-059
2203,"Karl Allen",Karl,B.,Allen,,,1,D,2,Sen,SD-007
2204,"Merita Allison",Merita,A.,Allison,,Rite,2,R,1,Rep,HD-036
2205,"Carl Anderson",Carl,L.,Anderson,,,1,D,1,Rep,HD-103
2206,"Michael Anthony",Michael,A.,Anthony,,Mike,1,D,1,Rep,HD-042
2207,"Jimmy Bales",Jimmy,C.,Bales,,,1,D,1,Rep,HD-080
2208,"Nathan Ballentine",Nathan,,Ballentine,,,2,R,1,Rep,HD-071
2209,"Bruce Bannister",Bruce,W.,Bannister,,,2,R,1,Rep,HD-024
2212,"Eric Bedingfield",Eric,M.,Bedingfield,,,2,R,1,Rep,HD-028
2213,"Kenneth Bingham",Kenneth,A.,Bingham,,Kenny,2,R,1,Rep,HD-089
2215,"William Bowers",William,K.,Bowers,,Bill,1,D,1,Rep,HD-122
2219,"Grady Brown",Grady,A.,Brown,,,1,D,1,Rep,HD-050
2221,"Robert Brown",Robert,L.,Brown,,,1,D,1,Rep,HD-116
2224,"Alan Clemmons",Alan,D.,Clemmons,,,2,R,1,Rep,HD-107
2225,"William Clyburn",William,,Clyburn,,Bill,1,D,1,Rep,HD-082
2226,"Gilda Cobb-Hunter",Gilda,,Cobb-Hunter,,,1,D,1,Rep,HD-066
2227,"Derham Cole","J. Derham",,Cole,Jr.,,2,R,1,Rep,HD-032
2229,"Kristopher Crawford",Kristopher,R.,Crawford,,Kris,2,R,1,Rep,HD-063
2230,"Joseph Daning",Joseph,S.,Daning,,Joe,2,R,1,Rep,HD-092
2231,"Gregory Delleney","F. Gregory",,Delleney,Jr.,Greg,2,R,1,Rep,HD-043
2232,"Chandra Dillard",Chandra,E.,Dillard,,,1,D,1,Rep,HD-023
2235,"Shannon Erickson",Shannon,S.,Erickson,,,2,R,1,Rep,HD-124
2236,"Michael Forrester","P. Michael",,Forrester,,Mike,2,R,1,Rep,HD-034
2238,"Laurie Funderburk",Laurie,Slade,Funderburk,,,1,D,1,Rep,HD-052
2239,"Michael Gambrell",Michael,W.,Gambrell,,Mike,2,R,2,Sen,HD-007
2240,"Wendell Gilliard",Wendell,G.,Gilliard,,,1,D,1,Rep,HD-111
2241,"Jerry Govan",Jerry,N.,Govan,Jr.,,1,D,1,Rep,HD-095
2244,"Daniel Hamilton",Daniel,P.,Hamilton,,Dan,2,R,1,Rep,HD-020
2245,"Nelson Hardwick",Nelson,L.,Hardwick,,,2,R,1,Rep,HD-106
2248,"Christopher Hart",Christopher,R.,Hart,,Chris,1,D,1,Rep,HD-073
2250,"Jackie Hayes",Jackie,E.,Hayes,,Coach,1,D,1,Rep,HD-055
2252,"William Herbkersman",William,G.,Herbkersman,,Bill,2,R,1,Rep,HD-118
2253,"Davey Hiott",Davey,R.,Hiott,,David,2,R,1,Rep,HD-004
2254,"Kenneth Hodges",Kenneth,F.,Hodges,,,1,D,1,Rep,HD-121
2255,"Jenny Horne",Jenny,Anderson,Horne,,,2,R,1,Rep,HD-094
2256,"Lonnie Hosey",Lonnie,,Hosey,,,1,D,1,Rep,HD-091
2257,"Leon Howard",Leon,,Howard,,,1,D,1,Rep,HD-076
2258,"Chip Huggins",Chip,,Huggins,,,2,R,1,Rep,HD-085
2260,"Joseph Jefferson",Joseph,H.,Jefferson,Jr.,,1,D,1,Rep,HD-102
2264,"John King",John,R.,King,,,1,D,1,Rep,HD-049
