bill_id,roll_call_id,date,description,yea,nay,nv
661448,387129,2015-01-28,"Senate: 2nd Reading",41,0,0
661456,384289,2015-01-15,"Senate: 2nd Reading",38,0,6
661456,397884,2015-02-19,"House: Passage Of Bill",100,0,6
661456,401384,2015-02-25,"Senate: To Concur",41,0,0
661459,389600,2015-02-04,"Senate: 2nd Reading",43,0,1
661459,390397,2015-02-05,"Senate: 3rd Reading",42,0,3
661459,490987,2016-02-03,"House: Newman",64,0,2
661459,490988,2016-02-03,"House: Patterson",57,0,2
661470,387050,2015-01-28,"Senate: 2nd Reading",39,0,0
661470,445959,2015-05-13,"House: Passage Of Bill",98,0,5
661471,495709,2016-02-11,"Senate: 2nd Reading",40,0,3
661482,537533,2016-04-21,"Senate: 2nd Reading",39,0,4
661482,550482,2016-06-01,"House: Passage Of Bill",114,0,2
661487,410170,2015-03-12,"Senate: 2nd Reading",42,0,2
661493,432128,2015-04-15,"Senate: 2nd Reading",44,0,0
661493,448744,2015-05-20,"House: Passage Of Bill",59,22,5
661493,451131,2015-05-26,"Senate: To Concur",45,0,1
661498,393750,2015-02-11,"Senate: 2nd Reading",19,24,2
661509,441034,2015-04-29,"Senate: 2nd Reading",39,4,0
661516,441767,2015-04-30,"Senate: 3rd Reading",42,0,1
661521,424656,2015-03-31,"Senate: 2nd Reading",37,4,3
661521,425607,2015-04-01,"Senate: Waive Rule 26b",23,19,3
661522,440818,2015-04-29,"Senate: 3rd Reading",41,3,0
661522,445856,2015-05-13,"House: Passage Of Bill",112,0,7
661522,451121,2015-05-26,"House: Concur In Senate Amendments",3,99,1
661522,457420,2015-06-04,"Senate: To Adopt The Conference Report",41,1,2
661522,457421,2015-06-04,"House: Adopt Conference Report",113,0,5
661523,394262,2015-02-12,"Senate: 2nd Reading",39,1,2
661523,451914,2015-05-27,"House: Adoption Of Bill",73,1,4
661523,455857,2015-06-02,"Senate: To Concur",39,2,1
661525,522605,2016-03-22,"House: Part Ib-adopt Section",108,0,6
661532,393450,2015-02-11,"Senate: 2nd Reading",40,0,0
661532,550408,2016-06-01,"House: Passage Of Bill",82,12,4
661539,400939,2015-02-25,"Senate: 2nd Reading",38,3,4
661539,449724,2015-05-20,"House: Passage Of Bill",104,0,5
661539,453156,2015-05-28,"House: Concur In Senate Amendments",81,23,5
661544,440677,2015-04-29,"Senate: 2nd Reading",42,3,0
661548,387052,2015-01-28,"Senate: 2nd Reading",40,0,0
661548,450914,2015-05-26,"House: Passage Of Bill",105,0,1
661568,384282,2015-01-15,"Senate: 2nd Reading",38,0,6
661574,398111,2015-02-19,"Senate: 2nd Reading",41,0,1
661584,409865,2015-03-12,"Senate: 2nd Reading",37,5,2
661587,390142,2015-02-05,"Senate: 2nd Reading",42,0,3
661588,446330,2015-05-14,"Senate: To Lay On The Table Recall 105",23,15,3
661590,387212,2015-01-29,"Senate: 2nd Reading",32,0,0
661590,439733,2015-04-28,"House: Passage Of Bill",100,0,7
661590,441984,2015-04-30,"Senate: To Adopt Amendment",42,0,1
661590,443503,2015-05-06,"House: Concur In Senate Amendments",0,113,1
661590,456001,2015-06-02,"Senate: To Grant Free Conference Powers",39,0,0
661590,456002,2015-06-02,"Senate: To Adopt The Free Conference Report",39,0,0
661590,456477,2015-06-03,"House: Granting Free Conference Powers",100,1,6
661590,456478,2015-06-03,"House: Adopt Free Conference Report",103,0,7
661602,382482,2014-12-02,"House: Table The Motion To Divide The Question",119,1,1
