bill_number,bill_id,title
HB1001,219493,"Revise certain provisions concerning the assessment of agricultural land."
HB1002,219494,"Revise certain provisions regarding the documentation of data used to make adjustments during the assessment process for factors that affect the capacity of the land to produce agricultural products."
HB1003,219495,"Permit the Interim Rules Review Committee to revert a rule if the rule imposes certain costs."
HB1004,219496,"Codify the legislation enacted in 2010."
HB1005,219497,"Revise certain provisions pertaining to private shooting preserves."
HB1006,219498,"Authorize certain air guns for use in hunting certain animals."
HB1007,219499,"Authorize the South Dakota Building Authority to issue revenue bonds to provide for maintenance and repair on facilities controlled by the Board of Regents and to provide appropriations therefor."
HB1008,219500,"Authorize the Board of Regents to expend higher education facilities funds to maintain and repair certain facilities occupied under capital leases."
HB1009,219501,"Repeal the authority of the Department of Environment and Natural Resources to regulate public swimming places and bulk water haulers."
HB1010,219502,"Revise the definition of bulk pesticide."
HB1011,219503,"Revise certain provisions pertaining to domestic abuse programs."
HB1012,219504,"Change the terminology for mental retard, mentally retarded, mental retardation, and other similar terms in statute and to provide for the change in printed materials and signage."
HB1013,219505,"Revise the membership of the Board of Examiners for Counselors and Marriage and Family Therapists."
HB1014,219506,"Revise certain provisions regarding the purpose of the 911 emergency surcharge and to provide rule-making authority to the 911 Coordination Board to establish allowable recurring and nonrecurring costs for the operation of a public safety answering point."
HB1015,219507,"Place certain substances on the controlled substances schedule and to declare an emergency."
HB1016,219508,"Revise certain provisions regarding the licensing and regulation of grain buyers, grain warehouses, and weighmasters."
HB1017,219509,"Authorize the release of offender photographs and physical description for purposes of victim and community notification."
HB1018,219510,"Provide for a partial early final discharge from parole."
HB1019,219511,"Include employees responsible for persons on supervised release or probation and members of the Board of Pardons and Paroles in protections afforded law enforcement and judicial officers."
HB1020,219512,"Repeal certain provisions regarding the disclosure of parole eligibility at sentencing."
HB1021,219513,"Revise certain provisions regarding the inspection of parole files."
HB1022,219514,"Revise certain provisions regarding veterans credited service and benefits under the South Dakota Retirement System and under the South Dakota deferred compensation plan."
HB1023,219515,"Revise certain provisions regarding how South Dakota Retirement System survivor benefits and disability benefits are handled in regard to children."
HB1024,219516,"Revise certain provisions regarding vacancies on the Board of Trustees of the South Dakota Retirement System."
HB1025,219517,"Revise certain provisions regarding references to the Internal Revenue Code."
HB1026,219518,"Repeal fleet licensing procedures for certain vehicles."
HB1027,219519,"Revise the definition of a trailer for the purpose of titling a restored or rebuilt trailer."
HB1028,219520,"Revise the due dates of certain tax returns and remittances."
HB1029,219521,"Revise certain provisions concerning the taxation of telecommunications companies."
HB1030,219522,"Revise the provisions relating to placement of surplus lines insurance and tax allocation of surplus lines insurance."
HB1031,219523,"Increase the national registry fee for real estate appraisers."
HB1032,219524,"Authorize imposition of a permanent injunction upon any person engaged in an unlicensed real estate appraisal practice."
HB1033,219525,"Provide for the registration and regulation of appraisal management companies."
HB1034,219526,"Repeal the requirement for motor vehicle liability insurance safety rating discounts for certain older motor vehicle drivers."
HB1035,219527,"Revise the process for the collection of the annual insurance company examination assessment fee."
HB1036,228142,"Revise the time when financial reports of the guaranty association are submitted to the director of insurance."
HB1037,228143,"Revise certain posting requirements relating to hunting in the Black Hills Fire Protection District."
