bill_id,roll_call_id,date,description,yea,nay,nv
219493,61608,0000-00-00,"House Agriculture and Natural Resources Do Pass",12,0,0
219493,61609,0000-00-00,"House of Representatives Do Pass",67,2,0
219493,61610,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",9,0,0
219493,61611,0000-00-00,"Senate Do Pass",22,9,0
219494,61738,0000-00-00,"House Agriculture and Natural Resources Do Pass Amended",8,4,0
219494,61739,0000-00-00,"House of Representatives Do Pass Amended",51,16,0
219494,61740,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",7,0,0
219494,61741,0000-00-00,"Senate Do Pass Amended",25,8,0
219495,47938,0000-00-00,"House Judiciary Do Pass",10,3,0
219495,47939,0000-00-00,"House of Representatives Do Pass",46,24,0
219495,47940,0000-00-00,"Senate Judiciary Do Pass",7,0,0
219495,47941,0000-00-00,"Senate Do Pass Amended",34,1,0
219495,47942,0000-00-00,"House of Representatives Concurred in amendments",67,3,0
219496,61208,0000-00-00,"House Judiciary Do Pass",11,0,0
219496,61209,0000-00-00,"House of Representatives Do Pass",69,0,0
219496,61210,0000-00-00,"Senate Judiciary Do Pass",7,0,0
219496,61211,0000-00-00,"Senate Do Pass",35,0,0
219497,61580,0000-00-00,"House Agriculture and Natural Resources Do Pass Amended",12,0,0
219497,61581,0000-00-00,"House of Representatives Do Pass Amended",69,1,0
219497,61582,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",9,0,0
219497,61583,0000-00-00,"Senate Do Pass Amended",34,0,0
219498,61561,0000-00-00,"House Agriculture and Natural Resources Do Pass",13,0,0
219498,61562,0000-00-00,"House of Representatives Do Pass",67,3,0
219498,61563,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",9,0,0
219498,61564,0000-00-00,"Senate Do Pass",34,0,0
219499,61938,0000-00-00,"House Appropriations Do Pass",8,0,0
219499,61939,0000-00-00,"House of Representatives Do Pass",67,3,0
219499,61940,0000-00-00,"Senate Appropriations Do Pass",8,0,0
219499,61941,0000-00-00,"Senate Do Pass",33,1,0
219500,47681,0000-00-00,"House Appropriations Do Pass",9,0,0
219500,47682,0000-00-00,"House of Representatives Do Pass",69,1,0
219500,47683,0000-00-00,"Senate Appropriations Do Pass Amended",9,0,0
219500,47684,0000-00-00,"Senate Do Pass Amended",33,1,0
219500,47685,0000-00-00,"House of Representatives Concurred in amendments",64,3,0
219501,61423,0000-00-00,"House Agriculture and Natural Resources Do Pass",12,1,0
219501,61424,0000-00-00,"House of Representatives Do Pass",60,9,0
219501,61425,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",8,1,0
219501,61426,0000-00-00,"Senate Do Pass",33,1,0
219502,61446,0000-00-00,"House Agriculture and Natural Resources Do Pass",12,0,0
219502,61447,0000-00-00,"House of Representatives Do Pass",70,0,0
219502,61448,0000-00-00,"Senate Agriculture and Natural Resources Do Pass",9,0,0
219502,61449,0000-00-00,"Senate Do Pass",34,0,0
219503,61296,0000-00-00,"House Health and Human Services Do Pass",12,0,0
219503,61297,0000-00-00,"House of Representatives Do Pass",69,0,0
219503,61298,0000-00-00,"Senate Health and Human Services Do Pass",7,0,0
219503,61299,0000-00-00,"Senate Do Pass",34,0,0
219504,52709,0000-00-00,"House Health and Human Services Tabled",11,0,0
219505,61437,0000-00-00,"House Health and Human Services Do Pass",12,0,0
219505,61438,0000-00-00,"House of Representatives Do Pass",69,0,0
219505,61439,0000-00-00,"Senate Health and Human Services Do Pass",7,0,0
219505,61440,0000-00-00,"Senate Do Pass",34,0,0
219506,61220,0000-00-00,"House State Affairs Do Pass",12,0,0
219506,61221,0000-00-00,"House of Representatives Do Pass",69,0,0
219506,61222,0000-00-00,"Senate State Affairs Do Pass",9,0,0
