bill_id,date,action
349827,2012-01-10,"First read in Senate and referred to Senate State Affairs S.J. 23"
349827,2012-01-20,"Scheduled for hearing"
349827,2012-01-20,"State Affairs Do Pass, Passed, YEAS 7, NAYS 0. S.J. 93"
349827,2012-01-23,"Senate Do Pass, Passed, YEAS 34, NAYS 0. S.J. 145"
349827,2012-01-24,"First read in House and referred to House State Affairs H.J. 179"
349827,2012-02-15,"Scheduled for hearing"
349827,2012-02-15,"State Affairs Do Pass, Passed, YEAS 11, NAYS 0. H.J. 480"
349827,2012-02-15,"Placed on consent, Passed"
349827,2012-02-16,"House of Representatives Do Pass, Passed, YEAS 63, NAYS 1. H.J. 507"
349827,2012-02-21,"Signed by President S.J. 491"
349827,2012-02-22,"Signed by Speaker H.J. 559"
349827,2012-02-23,"Delivered to the Governor S.J. 533"
349827,2012-03-01,"Signed by Governor S.J. 640"
349844,2012-01-10,"First read in Senate and referred to Senate State Affairs S.J. 23"
349844,2012-01-20,"Scheduled for hearing"
349844,2012-01-20,"State Affairs Do Pass, Passed, YEAS 7, NAYS 0. S.J. 93"
349844,2012-01-20,"Placed on consent, Passed"
349844,2012-01-23,"Senate Do Pass, Passed, YEAS 34, NAYS 0. S.J. 141"
349844,2012-01-24,"First read in House and referred to House State Affairs H.J. 179"
349844,2012-02-15,"Scheduled for hearing"
349844,2012-02-15,"State Affairs Do Pass, Passed, YEAS 11, NAYS 0. H.J. 480"
349844,2012-02-15,"Placed on consent, Passed"
349844,2012-02-16,"House of Representatives Do Pass, Passed, YEAS 63, NAYS 1. H.J. 506"
349844,2012-02-21,"Signed by President S.J. 491"
349844,2012-02-22,"Signed by Speaker H.J. 559"
349844,2012-02-23,"Delivered to the Governor S.J. 533"
349844,2012-03-01,"Signed by Governor S.J. 640"
349862,2012-01-10,"First read in Senate and referred to Senate Transportation S.J. 23"
349862,2012-01-20,"Scheduled for hearing"
349862,2012-01-20,"Transportation Do Pass, Passed, YEAS 6, NAYS 0. S.J. 91"
349862,2012-01-20,"Placed on consent, Passed"
349862,2012-01-23,"Senate Do Pass, Passed, YEAS 34, NAYS 0. S.J. 140"
349862,2012-01-24,"First read in House and referred to House Transportation H.J. 179"
349862,2012-01-31,"Scheduled for hearing"
349862,2012-01-31,"Transportation Do Pass, Passed, YEAS 12, NAYS 0. H.J. 255"
349862,2012-01-31,"Placed on consent, Passed"
349862,2012-02-02,"House of Representatives Deferred to another day, Passed H.J. 306"
349862,2012-02-06,"House of Representatives Deferred to another day, Passed H.J. 326"
349862,2012-02-07,"House of Representatives Do Pass, Passed, YEAS 67, NAYS 2. H.J. 346"
349862,2012-02-08,"Signed by President S.J. 327"
349862,2012-02-09,"Signed by Speaker H.J. 398"
349862,2012-02-10,"Delivered to the Governor S.J. 364"
349862,2012-02-14,"Signed by Governor S.J. 402"
349880,2012-01-10,"First read in Senate and referred to Senate Judiciary S.J. 23"
349880,2012-01-12,"Judiciary Do Pass, Passed, YEAS 6, NAYS 1. S.J. 50"
349880,2012-01-13,"Senate Deferred to another day, Passed S.J. 71"
349880,2012-01-19,"Senate Do Pass, Failed, YEAS 17, NAYS 16. S.J. 84"
349880,2012-01-19,"Intent to reconsider S.J. 84"
349880,2012-01-20,"No motion to reconsider S.J. 95"
349898,2012-01-10,"First read in Senate and referred to Senate Judiciary S.J. 23"
349898,2012-01-12,"Judiciary Do Pass, Passed, YEAS 6, NAYS 1. S.J. 50"
349898,2012-01-13,"Senate Deferred to another day, Passed S.J. 71"
349898,2012-01-19,"Senate Do Pass, Passed, YEAS 32, NAYS 1. S.J. 83"
349898,2012-01-20,"First read in House and referred to House Judiciary H.J. 71"
349898,2012-02-22,"Scheduled for hearing"
349898,2012-02-22,"Judiciary Do Pass, Passed, YEAS 10, NAYS 0. H.J. 545"
349898,2012-02-22,"Placed on consent, Passed"
