sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
8215,"Tim Rounds",Tim,G.,Rounds,,,2,R,1,Rep,HD-024
8217,"Craig Tieszen",Craig,,Tieszen,,,2,R,2,Sen,SD-034
8221,"Larry Tidemann",Larry,,Tidemann,,,2,R,2,Sen,SD-007
8222,"Phil Jensen",Phil,,Jensen,,,2,R,2,Sen,SD-033
8223,"Patrick Kirschman",Patrick,A,Kirschman,,,1,D,1,Rep,HD-015
8228,"Jeffrey Haverly",Jeffrey,K,Haverly,,,2,R,2,Sen,SD-035
8229,"Jim Bradford",Jim,,Bradford,,,1,D,2,Sen,SD-027
8230,"Corey Brown",Corey,,Brown,,,2,R,2,Sen,SD-023
8234,"Justin Cronin",Justin,R,Cronin,,,2,R,1,Rep,HD-023
8244,"Mike Verchio",Mike,,Verchio,,,2,R,1,Rep,HD-030
8245,"Mike Vehle",Mike,,Vehle,,,2,R,2,Sen,SD-020
8255,Appropriations,,,Appropriations,,,0,,1,Rep,
8256,"State Affairs",State,,Affairs,,,0,,1,Rep,
8257,"Agriculture and Natural Resources",,,,,,0,,1,Rep,
8259,Judiciary,,,Judiciary,,,0,,1,Rep,
8260,Education,,,Education,,,0,,1,Rep,
8261,"Health and Human Services",,,,,,0,,1,Rep,
8262,Taxation,,,Taxation,,,0,,1,Rep,
8264,"Local Government",Local,,Government,,,0,,1,Rep,
8265,"Thomas Brunner",Thomas,J,Brunner,,,2,R,1,Rep,HD-029
8266,"Betty Olson",Betty,,Olson,,,2,R,2,Sen,SD-028
8267,"Dean Schrempp",Dean,,Schrempp,,,1,D,1,Rep,HD-028A
8269,"Jacqueline Sly",Jacqueline,,Sly,,,2,R,1,Rep,HD-033
8273,"Peggy Gibson",Peggy,Anne,Gibson,,,1,D,1,Rep,HD-022
8276,"Kevin Killer",Kevin,,Killer,,,1,D,1,Rep,HD-027
8285,"Roger Hunt",Roger,W,Hunt,,,2,R,1,Rep,HD-025
8286,"Fred Romkema",Fred,W,Romkema,,,2,R,1,Rep,HD-031
8287,"Jason Frerichs",Jason,,Frerichs,,,1,D,2,Sen,SD-001
8288,"Dean Wink",Dean,,Wink,,,2,R,1,Rep,HD-029
8289,"Julie Bartling",Julie,,Bartling,,,1,D,1,Rep,HD-021
8290,"Dennis Feickert",Dennis,,Feickert,,,1,D,1,Rep,HD-001
8291,"Jim Bolin",Jim,,Bolin,,,2,R,1,Rep,HD-016
8292,"Bernie Hunhoff",Bernie,,Hunhoff,,,1,D,2,Sen,SD-018
8293,"Roger Solum",Roger,D,Solum,,,2,R,1,Rep,HD-005
8294,"Bill Van Gerpen",Bill,L.,"Van Gerpen",,,2,R,2,Sen,SD-019
8296,"Al Novstrup",Al,,Novstrup,,,2,R,1,Rep,HD-003
8298,"Brian Gosch",Brian,G,Gosch,,,2,R,1,Rep,HD-032
8303,"Jean Hunhoff",Jean,,Hunhoff,,,2,R,1,Rep,HD-018
8305,"Jim Peterson",Jim,,Peterson,,,1,D,2,Sen,SD-004
8311,"Kristin Conzet",Kristin,A,Conzet,,,2,R,1,Rep,HD-032
8312,"Deb Peters",Deb,,Peters,,,2,R,2,Sen,SD-009
8314,"David Novstrup",David,,Novstrup,,,2,R,2,Sen,SD-003
8319,"Brock Greenfield",Brock,L.,Greenfield,,,2,R,2,Sen,SD-002
8320,"Lance Russell",Lance,S.,Russell,,,2,R,1,Rep,HD-030
8324,"Richard Curd",Richard,Blake,Curd,,,2,R,2,Sen,SD-012
8326,Transportation,,,Transportation,,,0,,2,Sen,
8328,"Retirement Laws",Retirement,,Laws,,,0,,2,Sen,
8329,Education,,,Education,,,0,,2,Sen,
8330,Appropriations,,,Appropriations,,,0,,2,Sen,
8331,Taxation,,,Taxation,,,0,,2,Sen,
8332,"Agriculture and Natural Resources",,,,,,0,,2,Sen,
8333,"Health and Human Services",,,,,,0,,2,Sen,
8334,Judiciary,,,Judiciary,,,0,,2,Sen,
8335,"State Affairs",State,,Affairs,,,0,,2,Sen,
10616,"Dan Dryden",Dan,,Dryden,,,2,R,1,Rep,HD-034
10617,"Spencer Hawley",Spencer,,Hawley,,,1,D,1,Rep,HD-007
10621,"Scott Munsterman",Scott,,Munsterman,,,2,R,1,Rep,HD-007
10623,"James Schaefer",James,G,Schaefer,,,2,R,1,Rep,HD-026B
10627,"Jim White",Jim,,White,,,2,R,2,Sen,SD-022
10628,"Mark Willadsen",Mark,K,Willadsen,,,2,R,1,Rep,HD-011
10637,"Billie Sutton",Billie,H,Sutton,,,1,D,2,Sen,SD-021
10983,"Jenna Haggar",Jenna,,Haggar,,,2,R,2,Sen,SD-010
10986,"Bruce Rampelberg",Bruce,E,Rampelberg,,,2,R,2,Sen,SD-030
11489,"Phyllis Heineman",Phyllis,M,Heineman,,,2,R,2,Sen,SD-013
11490,"Ried Holien",Ried,S,Holien,,,2,R,2,Sen,SD-005
11493,"Burt Tulson",Burt,E,Tulson,,,2,R,1,Rep,HD-002
11499,"Tona Rozum",Tona,,Rozum,,,2,R,1,Rep,HD-020
12217,"Commerce and Energy",,,,,,0,,2,Sen,
13688,"Commerce and Energy",,,,,,0,,1,Rep,
14195,"Kent Peterson",Kent,S.,Peterson,,,2,R,1,Rep,HD-019
14196,"Ernie Otten",Ernie,,Otten,Jr.,,2,R,2,Sen,SD-006
14418,"Timothy Johns",Timothy,R.,Johns,,,2,R,1,Rep,HD-031
14419,"Scott Parsley",Scott,,Parsley,,,1,D,2,Sen,SD-008
14420,"Mike Stevens",Mike,,Stevens,,,2,R,1,Rep,HD-018
14495,"Gary Cammack",Gary,L.,Cammack,,,2,R,2,Sen,SD-029
14496,"Scott Craig",Scott,W.,Craig,,,2,R,1,Rep,HD-033
14497,"Mary Duvall",Mary,,Duvall,,,2,R,1,Rep,HD-024
14499,"Paula Hawks",Paula,,Hawks,,,1,D,1,Rep,HD-009
14500,"Leslie Heinemann",Leslie,,Heinemann,,,2,R,1,Rep,HD-008
14501,"Troy Heinert",Troy,,Heinert,,,1,D,2,Sen,SD-026
14502,"Isaac Latterell",Isaac,,Latterell,,,2,R,1,Rep,HD-006
14503,"Mark Mickelson","G. Mark",,Mickelson,,,2,R,1,Rep,HD-013
14504,"Lee Qualm",Lee,,Qualm,,,2,R,1,Rep,HD-021
14505,"Karen Soli",Karen,L.,Soli,,,1,D,1,Rep,HD-015
14507,"Steve Westra",Steve,,Westra,,,2,R,1,Rep,HD-013
14508,"Bob Ewing",Bob,,Ewing,,,2,R,2,Sen,SD-031
14512,"Jeff Monroe",Jeff,,Monroe,,,2,R,2,Sen,SD-024
14513,"David Omdahl",David,M.,Omdahl,,,2,R,2,Sen,SD-011
14514,"Deb Soholt",Deb,,Soholt,,,2,R,2,Sen,SD-014
14684,"Blaine Campbell",Blaine,B.,Campbell,,Chip,2,R,1,Rep,HD-035
14685,"Don Haggar",Don,,Haggar,,,2,R,1,Rep,HD-010
14686,"Dan Kaiser",Dan,,Kaiser,,,2,R,1,Rep,HD-003
14687,"Elizabeth May",Elizabeth,,May,,,2,R,1,Rep,HD-027
14689,"Nancy Rasmussen",Nancy,,Rasmussen,,,2,R,1,Rep,HD-017
14690,"Ray Ring",Ray,,Ring,,,1,D,1,Rep,HD-017
14691,"Herman Otten",Herman,,Otten,,,2,R,1,Rep,HD-006
